s,kW/m2,kg/m2/s
Time,"HRRPUA","MLRPUA"
 1.8100000E+003, 0.0000000E+000, 3.1158469E-006
 1.8200000E+003, 0.0000000E+000, 2.8860758E-006
 1.8300000E+003, 0.0000000E+000, 2.6795760E-006
 1.8400000E+003, 0.0000000E+000, 2.4924865E-006
 1.8500000E+003, 0.0000000E+000, 2.3220893E-006
 1.8600000E+003, 0.0000000E+000, 2.1682432E-006
 1.8700000E+003, 0.0000000E+000, 2.0284119E-006
 1.8800000E+003, 0.0000000E+000, 1.8996653E-006
 1.8900000E+003, 0.0000000E+000, 1.7820023E-006
 1.9000000E+003, 0.0000000E+000, 1.6748266E-006
 1.9100000E+003, 0.0000000E+000, 1.5766054E-006
 1.9200000E+003, 0.0000000E+000, 1.4855136E-006
 1.9300000E+003, 0.0000000E+000, 1.4013120E-006
 1.9400000E+003, 0.0000000E+000, 1.3242395E-006
 1.9500000E+003, 0.0000000E+000, 1.2531122E-006
 1.9600000E+003, 0.0000000E+000, 1.1872814E-006
 1.9700000E+003, 0.0000000E+000, 1.1255546E-006
 1.9800000E+003, 0.0000000E+000, 1.0682819E-006
 1.9900000E+003, 0.0000000E+000, 1.0154917E-006
 2.0000000E+003, 0.0000000E+000, 9.6637533E-007
 2.0100000E+003, 0.0000000E+000, 9.2055579E-007
 2.0200000E+003, 0.0000000E+000, 8.7743470E-007
 2.0300000E+003, 0.0000000E+000, 8.3677791E-007
 2.0400000E+003, 0.0000000E+000, 7.9906777E-007
 2.0500000E+003, 0.0000000E+000, 7.6391350E-007
 2.0600000E+003, 0.0000000E+000, 7.3104108E-007
 2.0700000E+003, 0.0000000E+000, 7.0014616E-007
 2.0800000E+003, 0.0000000E+000, 6.7075729E-007
 2.0900000E+003, 0.0000000E+000, 6.4291190E-007
 2.1000000E+003, 0.0000000E+000, 6.1684197E-007
 2.1100000E+003, 0.0000000E+000, 5.9239174E-007
 2.1200000E+003, 0.0000000E+000, 5.6938712E-007
 2.1300000E+003, 0.0000000E+000, 5.4768596E-007
 2.1400000E+003, 0.0000000E+000, 5.2703404E-007
 2.1500000E+003, 0.0000000E+000, 5.0730918E-007
 2.1600000E+003, 0.0000000E+000, 4.8867169E-007
 2.1700000E+003, 0.0000000E+000, 4.7101330E-007
 2.1800000E+003, 0.0000000E+000, 4.5432254E-007
 2.1900000E+003, 0.0000000E+000, 4.3852150E-007
 2.2000000E+003, 0.0000000E+000, 4.2350021E-007
 2.2100000E+003, 0.0000000E+000, 4.0906902E-007
 2.2200000E+003, 0.0000000E+000, 3.9536416E-007
 2.2300000E+003, 0.0000000E+000, 3.8235123E-007
 2.2400000E+003, 0.0000000E+000, 3.6991034E-007
 2.2500000E+003, 0.0000000E+000, 3.5806038E-007
 2.2600000E+003, 0.0000000E+000, 3.4677040E-007
 2.2700000E+003, 0.0000000E+000, 3.3594846E-007
 2.2800000E+003, 0.0000000E+000, 3.2553590E-007
 2.2900000E+003, 0.0000000E+000, 3.1563145E-007
 2.3000000E+003, 0.0000000E+000, 3.0622178E-007
 2.3100000E+003, 0.0000000E+000, 2.9717089E-007
 2.3200000E+003, 0.0000000E+000, 2.8851269E-007
 2.3300000E+003, 0.0000000E+000, 2.8022591E-007
 2.3400000E+003, 0.0000000E+000, 2.7218185E-007
 2.3500000E+003, 0.0000000E+000, 2.6445290E-007
 2.3600000E+003, 0.0000000E+000, 2.5706947E-007
 2.3700000E+003, 0.0000000E+000, 2.5003194E-007
 2.3800000E+003, 0.0000000E+000, 2.4328649E-007
 2.3900000E+003, 0.0000000E+000, 2.3675797E-007
 2.4000000E+003, 0.0000000E+000, 2.3046798E-007
 2.4100000E+003, 0.0000000E+000, 2.2438369E-007
 2.4200000E+003, 0.0000000E+000, 2.1853430E-007
 2.4300000E+003, 0.0000000E+000, 2.1292309E-007
 2.4400000E+003, 0.0000000E+000, 2.0753511E-007
 2.4500000E+003, 0.0000000E+000, 2.0235644E-007
 2.4600000E+003, 0.0000000E+000, 1.9735049E-007
 2.4700000E+003, 0.0000000E+000, 1.9243428E-007
 2.4800000E+003, 0.0000000E+000, 1.8772461E-007
 2.4900000E+003, 0.0000000E+000, 1.8316540E-007
 2.5000000E+003, 0.0000000E+000, 1.7879816E-007
