m,kg/m3,C,Pa,m/s,m/s,m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s
RHO_Z-z,RHO_Z,T_Z,P_Z,U_Z,V_Z,W_Z,COV-uu,COV-vv,COV-ww,COV-uv,COV-vw,COV-uw
 4.7794872E+002, 1.0009934E+000, 1.5212562E+001,-1.0277959E+001, 7.1939266E+000, 2.4597633E-001, 2.2209814E-003, 2.4145576E-002, 2.4968974E-002, 3.4266727E-003, 2.2484091E-003, 3.0931502E-003, 5.2089821E-004
 4.9666667E+002, 1.0008959E+000, 1.5240662E+001,-1.0441522E+001, 7.1766997E+000, 2.2031349E-001, 2.1245147E-003, 1.8687518E-002, 2.3024781E-002, 4.2762245E-003, 2.5152928E-003, 4.6502725E-003, 7.1406759E-004
 5.1538462E+002, 1.0008093E+000, 1.5265614E+001,-1.0587068E+001, 7.1616377E+000, 2.0151258E-001, 8.7256445E-004, 1.7612818E-002, 1.7246371E-002, 4.6517929E-003, 3.9030314E-003, 3.5182921E-003, 1.1531547E-003
 5.3410256E+002, 1.0007332E+000, 1.5287533E+001,-1.0717329E+001, 7.1310050E+000, 1.8584717E-001, 3.1884713E-007, 1.6839148E-002, 1.5675388E-002, 4.7528421E-003, 3.0210829E-003, 3.1406762E-003, 1.0054619E-003
 5.5282051E+002, 1.0006683E+000, 1.5306240E+001,-1.0833854E+001, 7.1103915E+000, 1.8491516E-001,-3.6968692E-004, 1.5193548E-002, 1.3571757E-002, 4.8823508E-003, 1.6068926E-003, 3.0999291E-003, 1.2212372E-003
 5.7153846E+002, 1.0006129E+000, 1.5322232E+001,-1.0939069E+001, 7.1005969E+000, 1.7416391E-001,-1.0748806E-003, 1.2855397E-002, 1.1730267E-002, 4.4343770E-003, 1.8272666E-003, 2.7997921E-003, 1.3989004E-003
 5.9025641E+002, 1.0005655E+000, 1.5335901E+001,-1.1033483E+001, 7.0929613E+000, 1.7169641E-001,-2.0798724E-003, 1.1871401E-002, 1.1491234E-002, 3.8689840E-003, 3.7101010E-003, 1.7863877E-003, 1.3685818E-003
 6.0897436E+002, 1.0005253E+000, 1.5347489E+001,-1.1119834E+001, 7.0875326E+000, 1.6396153E-001,-1.4760507E-004, 1.1748082E-002, 8.4550509E-003, 3.3024487E-003, 1.5504230E-003, 6.1882685E-004, 1.2210093E-003
 6.2769231E+002, 1.0004920E+000, 1.5357072E+001,-1.1200093E+001, 7.0851089E+000, 1.6642169E-001, 6.0974568E-004, 1.0965855E-002, 6.2695822E-003, 2.9604599E-003,-9.4006545E-004, 6.6020172E-004, 6.8085410E-004
 6.4641026E+002, 1.0004648E+000, 1.5364932E+001,-1.1275331E+001, 7.0847954E+000, 1.7226998E-001, 5.2851247E-004, 1.0250415E-002, 6.3154708E-003, 3.3024071E-003,-1.1054408E-003, 9.6560067E-004,-7.6926332E-005
 6.6512821E+002, 1.0004431E+000, 1.5371173E+001,-1.1346856E+001, 7.0821252E+000, 1.7238046E-001,-4.3308124E-004, 1.0546844E-002, 6.5203306E-003, 4.0500543E-003,-4.2853824E-004, 8.6061100E-004,-7.8406819E-005
 6.8384615E+002, 1.0004269E+000, 1.5375861E+001,-1.1414724E+001, 7.0769287E+000, 1.7096935E-001,-9.7485104E-004, 1.0698891E-002, 6.1215335E-003, 3.7818074E-003, 2.3819754E-004, 7.1570080E-004, 3.3413364E-004
 7.0256410E+002, 1.0004158E+000, 1.5379064E+001,-1.1479138E+001, 7.0688718E+000, 1.6524653E-001,-1.0277168E-003, 1.0814816E-002, 6.1037202E-003, 2.5161348E-003, 5.5991181E-004, 9.2637863E-004, 6.9769794E-004
 7.2128205E+002, 1.0004078E+000, 1.5381352E+001,-1.1540010E+001, 7.0701204E+000, 1.6449273E-001,-9.0052742E-004, 1.2394392E-002, 9.9301049E-003, 6.6870677E-004, 1.3900277E-003, 4.7887203E-004, 5.0643226E-004
 7.4000000E+002, 1.0004047E+000, 1.5382272E+001,-1.1601098E+001, 7.0709698E+000, 1.7002096E-001, 0.0000000E+000, 1.1000923E-002, 7.8967735E-003, 0.0000000E+000, 2.0141491E-003, 0.0000000E+000, 0.0000000E+000
