m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
NaN,NaN,NaN,NaN,NaN,NaN, 8.7000000E+000, 4.0465488E-005,-1.3000000E+000, 1.9462982E+002
NaN,NaN,NaN,NaN,NaN,NaN, 8.9000000E+000, 2.8826056E-005,-1.1000000E+000, 3.0607347E+002
NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 2.0533361E-005,-9.0000000E-001, 4.9643349E+002
NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 1.4724255E-005,-7.0000000E-001, 8.5153057E+002
NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 1.0565002E-005,-5.0000000E-001, 1.3188563E+003
NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 7.8036272E-006,-3.0000000E-001, 3.9076657E+003
NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 4.7544956E-006,-1.0000000E-001, 3.2374411E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0000000E-001, 3.0423207E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0000000E-001, 2.1514348E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.0000000E-001, 2.5588490E+001
