m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 3.9394194E+000, 3.3000000E+000, 7.8028338E-001
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 2.3644673E+000, 3.5000000E+000, 5.2865148E-001
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 1.4267719E+000, 3.7000000E+000, 3.5724936E-001
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 8.6773522E-001, 3.9000000E+000, 2.4179590E-001
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 5.3156132E-001, 4.1000000E+000, 1.6134103E-001
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 3.2898589E-001, 4.3000000E+000, 1.0873766E-001
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 2.0529085E-001, 4.5000000E+000, 7.6322808E-002
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 1.2857624E-001, 4.7000000E+000, 5.4761295E-002
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 8.0864464E-002, 4.9000000E+000, 3.8737589E-002
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 5.1103892E-002, 5.1000000E+000, 2.7453515E-002
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 3.2632602E-002, 5.3000000E+000, 2.0143008E-002
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 2.1073580E-002, 5.5000000E+000, 1.4832576E-002
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 1.3726230E-002, 5.7000000E+000, 1.0410756E-002
NaN,NaN,NaN,NaN,NaN,NaN, 6.3000000E+000, 9.0198378E-003, 5.9000000E+000, 7.0254236E-003
NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 5.9693352E-003, 6.1000000E+000, 4.8219354E-003
NaN,NaN,NaN,NaN,NaN,NaN, 6.7000000E+000, 3.9804078E-003, 6.3000000E+000, 3.3640837E-003
NaN,NaN,NaN,NaN,NaN,NaN, 6.9000000E+000, 2.6773896E-003, 6.5000000E+000, 2.3860950E-003
NaN,NaN,NaN,NaN,NaN,NaN, 7.1000000E+000, 1.8151614E-003, 6.7000000E+000, 1.7118198E-003
NaN,NaN,NaN,NaN,NaN,NaN, 7.3000000E+000, 1.2358362E-003, 6.9000000E+000, 1.2672727E-003
NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 8.4570410E-004, 7.1000000E+000, 9.5908249E-004
NaN,NaN,NaN,NaN,NaN,NaN, 7.7000000E+000, 5.8030506E-004, 7.3000000E+000, 7.2371723E-004
NaN,NaN,NaN,NaN,NaN,NaN, 7.9000000E+000, 3.9785643E-004, 7.5000000E+000, 5.5195365E-004
NaN,NaN,NaN,NaN,NaN,NaN, 8.1000000E+000, 2.7133832E-004, 7.7000000E+000, 4.1988873E-004
NaN,NaN,NaN,NaN,NaN,NaN, 8.3000000E+000, 1.8387048E-004, 7.9000000E+000, 3.1683739E-004
NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 1.2422914E-004, 8.1000000E+000, 2.4040634E-004
NaN,NaN,NaN,NaN,NaN,NaN, 8.7000000E+000, 8.3870193E-005, 8.3000000E+000, 1.8286873E-004
NaN,NaN,NaN,NaN,NaN,NaN, 8.9000000E+000, 5.6501959E-005, 8.5000000E+000, 1.3760006E-004
NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 3.7961831E-005, 8.7000000E+000, 1.0210047E-004
NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 2.5631886E-005, 8.9000000E+000, 7.5792518E-005
NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 1.7128850E-005, 9.1000000E+000, 5.7644719E-005
NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 1.1715300E-005, 9.3000000E+000, 4.3351956E-005
NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 6.2163677E-006, 9.5000000E+000, 3.2478587E-005
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 2.4234460E-005
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 1.7745453E-005
