m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 3.1244422E+002, 1.5000000E+000, 9.3185110E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 2.1157602E+002, 1.7000000E+000, 8.2180776E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 1.4272957E+002, 1.9000000E+000, 7.7967200E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 9.6928397E+001, 2.1000000E+000, 7.5814775E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 6.5618122E+001, 2.3000000E+000, 7.3974610E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 4.4192326E+001, 2.5000000E+000, 7.1778177E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 2.9523994E+001, 2.7000000E+000, 6.9047564E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 1.9609658E+001, 2.9000000E+000, 6.5782967E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 1.3024432E+001, 3.1000000E+000, 6.2011445E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 8.6634762E+000, 3.3000000E+000, 5.7578341E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 5.7482978E+000, 3.5000000E+000, 5.2843933E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 3.8162917E+000, 3.7000000E+000, 4.7900188E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 2.5488780E+000, 3.9000000E+000, 4.2749736E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 1.7001578E+000, 4.1000000E+000, 3.7611246E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 1.1270874E+000, 4.3000000E+000, 3.2629922E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 7.4787080E-001, 4.5000000E+000, 2.8005252E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 4.9738341E-001, 4.7000000E+000, 2.3740046E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 3.3282190E-001, 4.9000000E+000, 1.9919517E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 2.2290459E-001, 5.1000000E+000, 1.6431964E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.3000000E+000, 1.4942846E-001, 5.3000000E+000, 1.3376357E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 1.0040985E-001, 5.5000000E+000, 1.0714321E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.7000000E+000, 6.7624128E-002, 5.7000000E+000, 8.5085970E+001
NaN,NaN,NaN,NaN,NaN,NaN, 6.9000000E+000, 4.5912223E-002, 5.9000000E+000, 6.7227771E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.1000000E+000, 3.1458846E-002, 6.1000000E+000, 5.2683221E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.3000000E+000, 2.1728856E-002, 6.3000000E+000, 4.0933485E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 1.5080184E-002, 6.5000000E+000, 3.1671804E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.7000000E+000, 1.0492484E-002, 6.7000000E+000, 2.4368920E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.9000000E+000, 7.2956449E-003, 6.9000000E+000, 1.8644150E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.1000000E+000, 5.0668956E-003, 7.1000000E+000, 1.4211225E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.3000000E+000, 3.5189051E-003, 7.3000000E+000, 1.0856717E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 2.4528887E-003, 7.5000000E+000, 8.2751199E+000
NaN,NaN,NaN,NaN,NaN,NaN, 8.7000000E+000, 1.7137242E-003, 7.7000000E+000, 6.3022995E+000
NaN,NaN,NaN,NaN,NaN,NaN, 8.9000000E+000, 1.1923043E-003, 7.9000000E+000, 4.8248378E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 8.2354440E-004, 8.1000000E+000, 3.7217168E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 5.6731063E-004, 8.3000000E+000, 2.8926046E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 3.8726696E-004, 8.5000000E+000, 2.2678912E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 2.7029778E-004, 8.7000000E+000, 1.7902068E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 1.3228554E-004, 8.9000000E+000, 1.4231377E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 1.1384087E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 9.1589137E-001
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 7.4122817E-001
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 6.0299257E-001
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 4.9314111E-001
