m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 1.5683006E+000, 6.5000000E+000, 6.7084030E+002
NaN,NaN,NaN,NaN,NaN,NaN, 8.7000000E+000, 1.1163668E+000, 6.7000000E+000, 6.4508413E+002
NaN,NaN,NaN,NaN,NaN,NaN, 8.9000000E+000, 7.9540773E-001, 6.9000000E+000, 6.2025869E+002
NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 5.6864890E-001, 7.1000000E+000, 5.9599056E+002
NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 4.1077036E-001, 7.3000000E+000, 5.7127370E+002
NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 2.9883912E-001, 7.5000000E+000, 5.4646985E+002
NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 2.2456172E-001, 7.7000000E+000, 5.2282183E+002
NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 1.2774736E-001, 7.9000000E+000, 5.0027482E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.1000000E+000, 4.7720741E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.3000000E+000, 4.5382971E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 4.3041459E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.7000000E+000, 4.0738780E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.9000000E+000, 3.8505484E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 3.6307132E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 3.4067648E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 3.1856453E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 2.9664306E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 2.7501981E+002
