m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
NaN,NaN,NaN,NaN,NaN,NaN, 6.9000000E+000, 3.0125808E+000, 5.9000000E+000, 3.1078321E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.1000000E+000, 2.1988776E+000, 6.1000000E+000, 2.1425210E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.3000000E+000, 1.6142910E+000, 6.3000000E+000, 1.4538910E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 1.1903805E+000, 6.5000000E+000, 9.9904895E+000
NaN,NaN,NaN,NaN,NaN,NaN, 7.7000000E+000, 8.7596301E-001, 6.7000000E+000, 7.1138177E+000
NaN,NaN,NaN,NaN,NaN,NaN, 7.9000000E+000, 6.4357708E-001, 6.9000000E+000, 4.8926526E+000
NaN,NaN,NaN,NaN,NaN,NaN, 8.1000000E+000, 4.7433192E-001, 7.1000000E+000, 3.4899822E+000
NaN,NaN,NaN,NaN,NaN,NaN, 8.3000000E+000, 3.4929686E-001, 7.3000000E+000, 2.2927834E+000
NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 2.5645482E-001, 7.5000000E+000, 1.4190381E+000
NaN,NaN,NaN,NaN,NaN,NaN, 8.7000000E+000, 1.8666730E-001, 7.7000000E+000, 8.9566166E-001
NaN,NaN,NaN,NaN,NaN,NaN, 8.9000000E+000, 1.3667557E-001, 7.9000000E+000, 5.7472298E-001
NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 1.0040624E-001, 8.1000000E+000, 3.7519093E-001
NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 7.4192451E-002, 8.3000000E+000, 2.4068920E-001
NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 5.4988974E-002, 8.5000000E+000, 1.5702499E-001
NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 4.2004454E-002, 8.7000000E+000, 1.0712847E-001
NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 2.3722147E-002, 8.9000000E+000, 7.4730430E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 5.3736494E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 3.7444360E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 2.6266061E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 1.8022786E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 1.1954693E-002
