m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 5.8828731E-002, 5.1000000E+000, 1.4623996E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.3000000E+000, 4.0329991E-002, 5.3000000E+000, 1.1896985E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 2.7871152E-002, 5.5000000E+000, 9.6072398E+001
NaN,NaN,NaN,NaN,NaN,NaN, 6.7000000E+000, 1.9358377E-002, 5.7000000E+000, 7.7114556E+001
NaN,NaN,NaN,NaN,NaN,NaN, 6.9000000E+000, 1.3495550E-002, 5.9000000E+000, 6.1555295E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.1000000E+000, 9.4170468E-003, 6.1000000E+000, 4.9007149E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.3000000E+000, 6.5662934E-003, 6.3000000E+000, 3.8873370E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 4.5763861E-003, 6.5000000E+000, 3.0648903E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.7000000E+000, 3.1750365E-003, 6.7000000E+000, 2.4022971E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.9000000E+000, 2.1861188E-003, 6.9000000E+000, 1.8767219E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.1000000E+000, 1.4972215E-003, 7.1000000E+000, 1.4634450E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.3000000E+000, 1.0167897E-003, 7.3000000E+000, 1.1399650E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 6.8207465E-004, 7.5000000E+000, 8.9076499E+000
NaN,NaN,NaN,NaN,NaN,NaN, 8.7000000E+000, 4.5149475E-004, 7.7000000E+000, 6.9669831E+000
NaN,NaN,NaN,NaN,NaN,NaN, 8.9000000E+000, 2.9491464E-004, 7.9000000E+000, 5.4713345E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 1.8988212E-004, 8.1000000E+000, 4.3180496E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 1.2084241E-004, 8.3000000E+000, 3.4149533E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 7.6012693E-005, 8.5000000E+000, 2.7131555E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 4.8265341E-005, 8.7000000E+000, 2.1693252E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 2.2451236E-005, 8.9000000E+000, 1.7419941E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 1.4038876E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 1.1342214E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 9.1808783E-001
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 7.4490029E-001
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 6.0633059E-001
