m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
NaN,NaN,NaN,NaN,NaN,NaN, 6.9000000E+000, 2.1630036E-002, 5.9000000E+000, 1.1402201E+002
NaN,NaN,NaN,NaN,NaN,NaN, 7.1000000E+000, 1.4968739E-002, 6.1000000E+000, 9.2718208E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.3000000E+000, 1.0404649E-002, 6.3000000E+000, 7.4765652E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 7.2589477E-003, 6.5000000E+000, 5.9751439E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.7000000E+000, 5.0780476E-003, 6.7000000E+000, 4.7650853E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.9000000E+000, 3.5608358E-003, 6.9000000E+000, 3.7868537E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.1000000E+000, 2.5018087E-003, 7.1000000E+000, 3.0029257E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.3000000E+000, 1.7580191E-003, 7.3000000E+000, 2.3713075E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 1.2349123E-003, 7.5000000E+000, 1.8615439E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.7000000E+000, 8.6724243E-004, 7.7000000E+000, 1.4514484E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.9000000E+000, 6.1018718E-004, 7.9000000E+000, 1.1340957E+001
NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 4.2950030E-004, 8.1000000E+000, 8.8548129E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 3.0465607E-004, 8.3000000E+000, 6.9163171E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 2.1565298E-004, 8.5000000E+000, 5.3876779E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 1.5954518E-004, 8.7000000E+000, 4.1704263E+000
NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 9.0678538E-005, 8.9000000E+000, 3.2409967E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.1000000E+000, 2.5408051E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.3000000E+000, 2.0044606E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 1.5880382E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.7000000E+000, 1.2610749E+000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.9000000E+000, 1.0047066E+000
