m,Pa
p-x,p
 2.3171125E+002, 2.1524385E+001
 2.3271000E+002, 2.1511003E+001
 2.3370875E+002, 2.1511003E+001
 2.3470750E+002, 2.1497461E+001
 2.3570625E+002, 2.1497461E+001
 2.3670500E+002, 2.1483998E+001
 2.3770375E+002, 2.1483998E+001
 2.3870250E+002, 2.1470757E+001
 2.3970125E+002, 2.1470757E+001
 2.4070000E+002, 2.1457622E+001
 2.4169875E+002, 2.1457622E+001
 2.4269750E+002, 2.1444401E+001
 2.4369625E+002, 2.1444401E+001
 2.4469500E+002, 2.1430966E+001
 2.4569375E+002, 2.1430966E+001
 2.4669250E+002, 2.1417393E+001
 2.4769125E+002, 2.1417393E+001
 2.4869000E+002, 2.1403735E+001
 2.4968875E+002, 2.1403735E+001
 2.5068750E+002, 2.1389955E+001
 2.5168625E+002, 2.1389955E+001
 2.5268500E+002, 2.1376112E+001
 2.5368375E+002, 2.1376112E+001
 2.5468250E+002, 2.1362362E+001
 2.5568125E+002, 2.1362362E+001
 2.5668000E+002, 2.1348716E+001
 2.5767875E+002, 2.1348716E+001
 2.5867750E+002, 2.1334884E+001
 2.5967625E+002, 2.1334884E+001
 2.6067500E+002, 2.1320927E+001
 2.6167375E+002, 2.1320927E+001
 2.6267250E+002, 2.1307005E+001
 2.6367125E+002, 2.1307005E+001
 2.6467000E+002, 2.1293216E+001
 2.6566875E+002, 2.1293216E+001
 2.6666750E+002, 2.1279411E+001
 2.6766625E+002, 2.1279411E+001
 2.6866500E+002, 2.1265547E+001
 2.6966375E+002, 2.1265547E+001
 2.7066250E+002, 2.1251608E+001
 2.7166125E+002, 2.1251608E+001
 2.7266000E+002, 2.1237666E+001
 2.7365875E+002, 2.1237666E+001
 2.7465750E+002, 2.1223755E+001
 2.7565625E+002, 2.1223755E+001
 2.7665500E+002, 2.1209684E+001
 2.7765375E+002, 2.1209684E+001
 2.7865250E+002, 2.1195311E+001
 2.7965125E+002, 2.1195311E+001
 2.8065000E+002, 2.1180781E+001
 2.8164875E+002, 2.1180781E+001
 2.8264750E+002, 2.1166228E+001
 2.8364625E+002, 2.1166228E+001
 2.8464500E+002, 2.1151528E+001
 2.8564375E+002, 2.1151528E+001
 2.8664250E+002, 2.1136575E+001
 2.8764125E+002, 2.1136575E+001
 2.8864000E+002, 2.1121507E+001
 2.8963875E+002, 2.1121507E+001
 2.9063750E+002, 2.1106487E+001
