s,kg/s,kg/s,m3/s,m3/s
 8.9018872E+001, 2.3891235E+002, 3.0788486E+002, 2.0000001E+002, 2.5773883E+002
 9.0087482E+001, 2.3891234E+002, 3.1010412E+002, 2.0000001E+002, 2.5959666E+002
 9.1002295E+001, 2.3891233E+002, 3.0876933E+002, 2.0000000E+002, 2.5847921E+002
 9.2040378E+001, 2.3891233E+002, 3.0664675E+002, 1.9999999E+002, 2.5670234E+002
 9.3092627E+001, 2.3891233E+002, 3.1190714E+002, 1.9999999E+002, 2.6110610E+002
 9.4049217E+001, 2.3891234E+002, 3.0710741E+002, 2.0000000E+002, 2.5708827E+002
 9.5053244E+001, 2.3891234E+002, 3.0263700E+002, 2.0000000E+002, 2.5334598E+002
 9.6011628E+001, 2.3891235E+002, 3.0647382E+002, 1.9999999E+002, 2.5655770E+002
 9.7013737E+001, 2.3891235E+002, 3.0851337E+002, 1.9999999E+002, 2.5826478E+002
 9.8106035E+001, 2.3891233E+002, 3.0377416E+002, 1.9999998E+002, 2.5429731E+002
 9.9009388E+001, 2.3891231E+002, 3.1023521E+002, 1.9999998E+002, 2.5970610E+002
 1.0001719E+002, 2.3891231E+002, 2.9988481E+002, 1.9999998E+002, 2.5104162E+002
 1.0103424E+002, 2.3891233E+002, 3.0199205E+002, 2.0000000E+002, 2.5280563E+002
 1.0203094E+002, 2.3891234E+002, 3.1049700E+002, 2.0000000E+002, 2.5992520E+002
 1.0307158E+002, 2.3891235E+002, 2.9947463E+002, 1.9999999E+002, 2.5069798E+002
 1.0406015E+002, 2.3891234E+002, 3.0777464E+002, 1.9999999E+002, 2.5764618E+002
 1.0500444E+002, 2.3891233E+002, 3.0874864E+002, 1.9999999E+002, 2.5846165E+002
 1.0608929E+002, 2.3891231E+002, 3.0309017E+002, 2.0000000E+002, 2.5372479E+002
 1.0706743E+002, 2.3891231E+002, 3.0525795E+002, 2.0000000E+002, 2.5553944E+002
 1.0805923E+002, 2.3891233E+002, 3.0833088E+002, 2.0000001E+002, 2.5811200E+002
 1.0900050E+002, 2.3891235E+002, 3.0395283E+002, 2.0000001E+002, 2.5444735E+002
 1.1005146E+002, 2.3891236E+002, 3.0086508E+002, 2.0000000E+002, 2.5186290E+002
 1.1103586E+002, 2.3891235E+002, 3.0574600E+002, 1.9999999E+002, 2.5594899E+002
 1.1207185E+002, 2.3891233E+002, 2.9820568E+002, 1.9999999E+002, 2.4963659E+002
 1.1304831E+002, 2.3891232E+002, 2.9986559E+002, 1.9999999E+002, 2.5102576E+002
 1.1403132E+002, 2.3891232E+002, 3.0533051E+002, 2.0000000E+002, 2.5560012E+002
 1.1507651E+002, 2.3891233E+002, 2.9882379E+002, 2.0000001E+002, 2.5015284E+002
 1.1601288E+002, 2.3891234E+002, 3.0259971E+002, 2.0000001E+002, 2.5331376E+002
 1.1704382E+002, 2.3891234E+002, 3.0320142E+002, 2.0000000E+002, 2.5381762E+002
 1.1801446E+002, 2.3891234E+002, 2.9570551E+002, 2.0000000E+002, 2.4754272E+002
 1.1906993E+002, 2.3891233E+002, 3.0038834E+002, 1.9999999E+002, 2.5146303E+002
 1.2006860E+002, 2.3891233E+002, 2.9809783E+002, 2.0000000E+002, 2.4954586E+002
 1.2106726E+002, 2.3891233E+002, 2.9897119E+002, 2.0000001E+002, 2.5027717E+002
 1.2201857E+002, 2.3891233E+002, 2.9683709E+002, 2.0000001E+002, 2.4849064E+002
 1.2309090E+002, 2.3891234E+002, 2.9890551E+002, 2.0000001E+002, 2.5022214E+002
 1.2407244E+002, 2.3891234E+002, 2.9239204E+002, 2.0000000E+002, 2.4476977E+002
 1.2501506E+002, 2.3891233E+002, 2.9857844E+002, 1.9999999E+002, 2.4994866E+002
 1.2605194E+002, 2.3891233E+002, 2.9973919E+002, 1.9999999E+002, 2.5091998E+002
 1.2708882E+002, 2.3891232E+002, 2.9206792E+002, 1.9999999E+002, 2.4449785E+002
 1.2801729E+002, 2.3891232E+002, 2.9753612E+002, 2.0000001E+002, 2.4907555E+002
 1.2901834E+002, 2.3891233E+002, 2.9557220E+002, 2.0000001E+002, 2.4743157E+002
 1.3001855E+002, 2.3891233E+002, 2.9347184E+002, 2.0000001E+002, 2.4567264E+002
 1.3102975E+002, 2.3891234E+002, 2.9655159E+002, 2.0000001E+002, 2.4824977E+002
 1.3210077E+002, 2.3891233E+002, 2.9543299E+002, 2.0000000E+002, 2.4731290E+002
 1.3300535E+002, 2.3891234E+002, 2.9142766E+002, 1.9999999E+002, 2.4396029E+002
 1.3405633E+002, 2.3891234E+002, 2.9584200E+002, 2.0000000E+002, 2.4765632E+002
 1.3503289E+002, 2.3891233E+002, 2.9162200E+002, 2.0000000E+002, 2.4412414E+002
 1.3600947E+002, 2.3891233E+002, 2.9014461E+002, 2.0000001E+002, 2.4288751E+002
 1.3702196E+002, 2.3891231E+002, 2.9400745E+002, 2.0000002E+002, 2.4612128E+002
 1.3803446E+002, 2.3891231E+002, 2.9512723E+002, 2.0000003E+002, 2.4705894E+002
 1.3905794E+002, 2.3891232E+002, 2.9377880E+002, 2.0000003E+002, 2.4592994E+002
 1.4001397E+002, 2.3891233E+002, 2.8990113E+002, 2.0000002E+002, 2.4268289E+002
 1.4100607E+002, 2.3891235E+002, 2.9383095E+002, 2.0000000E+002, 2.4597179E+002
 1.4206017E+002, 2.3891238E+002, 2.9448114E+002, 1.9999998E+002, 2.4651617E+002
 1.4301505E+002, 2.3891239E+002, 2.9423311E+002, 1.9999997E+002, 2.4630910E+002
 1.4403937E+002, 2.3891237E+002, 2.9559591E+002, 1.9999998E+002, 2.4745027E+002
 1.4508974E+002, 2.3891233E+002, 2.9038287E+002, 1.9999999E+002, 2.4308632E+002
 1.4603532E+002, 2.3891227E+002, 2.9243562E+002, 2.0000001E+002, 2.4480457E+002
 1.4706827E+002, 2.3891224E+002, 2.9223041E+002, 2.0000002E+002, 2.4463249E+002
 1.4808251E+002, 2.3891225E+002, 2.9058573E+002, 2.0000001E+002, 2.4325542E+002
 1.4906830E+002, 2.3891234E+002, 2.9354077E+002, 2.0000001E+002, 2.4572931E+002
 1.5004825E+002, 2.3891241E+002, 2.9460879E+002, 1.9999999E+002, 2.4662404E+002
 1.5108162E+002, 2.3891246E+002, 2.8965231E+002, 1.9999997E+002, 2.4247570E+002
 1.5206417E+002, 2.3891244E+002, 2.9271682E+002, 1.9999997E+002, 2.4504169E+002
 1.5304672E+002, 2.3891234E+002, 2.9404907E+002, 1.9999996E+002, 2.4615703E+002
 1.5400962E+002, 2.3891225E+002, 2.9090267E+002, 1.9999998E+002, 2.4352279E+002
 1.5507077E+002, 2.3891218E+002, 2.9204319E+002, 2.0000001E+002, 2.4447747E+002
 1.5601696E+002, 2.3891220E+002, 2.8696213E+002, 2.0000002E+002, 2.4022440E+002
 1.5708695E+002, 2.3891232E+002, 2.8699457E+002, 2.0000004E+002, 2.4025190E+002
 1.5805967E+002, 2.3891242E+002, 2.9039990E+002, 2.0000003E+002, 2.4310232E+002
 1.5904212E+002, 2.3891246E+002, 2.8655190E+002, 2.0000000E+002, 2.3988048E+002
 1.6008477E+002, 2.3891245E+002, 2.8531662E+002, 1.9999999E+002, 2.3884621E+002
 1.6101806E+002, 2.3891235E+002, 2.8871140E+002, 1.9999996E+002, 2.4168832E+002
 1.6210067E+002, 2.3891228E+002, 2.8414944E+002, 1.9999998E+002, 2.3786965E+002
 1.6305764E+002, 2.3891222E+002, 2.8468935E+002, 1.9999999E+002, 2.3832183E+002
 1.6404684E+002, 2.3891223E+002, 2.9076802E+002, 2.0000000E+002, 2.4341062E+002
 1.6509540E+002, 2.3891233E+002, 2.8430887E+002, 2.0000003E+002, 2.3800371E+002
 1.6601087E+002, 2.3891239E+002, 2.8870310E+002, 2.0000002E+002, 2.4168316E+002
 1.6706736E+002, 2.3891244E+002, 2.8716524E+002, 2.0000001E+002, 2.4039710E+002
 1.6802781E+002, 2.3891242E+002, 2.8226026E+002, 2.0000000E+002, 2.3629205E+002
 1.6908430E+002, 2.3891233E+002, 2.8717254E+002, 1.9999997E+002, 2.4040477E+002
 1.7004475E+002, 2.3891228E+002, 2.8458657E+002, 1.9999998E+002, 2.3824007E+002
 1.7106045E+002, 2.3891223E+002, 2.8882190E+002, 1.9999998E+002, 2.4178508E+002
 1.7201778E+002, 2.3891226E+002, 2.8331622E+002, 2.0000001E+002, 2.3717520E+002
 1.7305060E+002, 2.3891233E+002, 2.8275097E+002, 2.0000004E+002, 2.3670162E+002
 1.7406576E+002, 2.3891237E+002, 2.8006849E+002, 2.0000004E+002, 2.3445610E+002
 1.7503863E+002, 2.3891242E+002, 2.8056097E+002, 2.0000004E+002, 2.3486832E+002
 1.7601150E+002, 2.3891240E+002, 2.8901813E+002, 2.0000001E+002, 2.4194750E+002
 1.7708829E+002, 2.3891235E+002, 2.8667832E+002, 1.9999997E+002, 2.3998736E+002
 1.7809899E+002, 2.3891232E+002, 2.8687997E+002, 1.9999997E+002, 2.4015453E+002
 1.7905556E+002, 2.3891228E+002, 2.8518479E+002, 1.9999996E+002, 2.3873467E+002
 1.8007966E+002, 2.3891230E+002, 2.8910011E+002, 1.9999998E+002, 2.4201175E+002
 1.8107583E+002, 2.3891234E+002, 2.8327650E+002, 2.0000001E+002, 2.3713640E+002
 1.8202523E+002, 2.3891235E+002, 2.8031816E+002, 2.0000001E+002, 2.3466008E+002
 1.8303876E+002, 2.3891237E+002, 2.8444525E+002, 2.0000003E+002, 2.3811524E+002
 1.8402193E+002, 2.3891234E+002, 2.8145849E+002, 2.0000002E+002, 2.3561503E+002
 1.8502587E+002, 2.3891228E+002, 2.7964957E+002, 1.9999999E+002, 2.3410062E+002
 1.8608790E+002, 2.3891229E+002, 2.8147038E+002, 1.9999999E+002, 2.3562469E+002
 1.8710608E+002, 2.3891233E+002, 2.7781140E+002, 1.9999998E+002, 2.3256167E+002
 1.8802596E+002, 2.3891237E+002, 2.8559106E+002, 1.9999998E+002, 2.3907436E+002
 1.8900718E+002, 2.3891242E+002, 2.7787795E+002, 2.0000000E+002, 2.3261783E+002
 1.9003235E+002, 2.3891239E+002, 2.8253904E+002, 1.9999998E+002, 2.3652000E+002
 1.9108479E+002, 2.3891234E+002, 2.8091819E+002, 2.0000000E+002, 2.3516333E+002
 1.9208712E+002, 2.3891225E+002, 2.8156659E+002, 2.0000000E+002, 2.3570602E+002
 1.9301424E+002, 2.3891220E+002, 2.8446937E+002, 2.0000000E+002, 2.3813569E+002
 1.9406199E+002, 2.3891225E+002, 2.7820892E+002, 2.0000002E+002, 2.3289470E+002
 1.9509867E+002, 2.3891235E+002, 2.8067699E+002, 2.0000002E+002, 2.3496070E+002
 1.9603169E+002, 2.3891244E+002, 2.8176356E+002, 2.0000001E+002, 2.3586999E+002
 1.9706837E+002, 2.3891248E+002, 2.7927923E+002, 1.9999999E+002, 2.3378975E+002
 1.9807822E+002, 2.3891243E+002, 2.7559729E+002, 1.9999996E+002, 2.3070698E+002
 1.9902341E+002, 2.3891233E+002, 2.7820089E+002, 1.9999996E+002, 2.3288637E+002
 2.0000072E+002, 2.3891223E+002, 2.7783995E+002, 1.9999998E+002, 2.3258488E+002
 2.0109874E+002, 2.3891216E+002, 2.8110942E+002, 1.9999999E+002, 2.3532322E+002
 2.0202523E+002, 2.3891222E+002, 2.8167983E+002, 2.0000003E+002, 2.3580189E+002
 2.0306866E+002, 2.3891233E+002, 2.8074465E+002, 2.0000004E+002, 2.3501945E+002
 2.0401216E+002, 2.3891243E+002, 2.7789553E+002, 2.0000003E+002, 2.3263428E+002
 2.0508212E+002, 2.3891248E+002, 2.7963442E+002, 2.0000000E+002, 2.3408988E+002
 2.0604508E+002, 2.3891246E+002, 2.7794116E+002, 1.9999997E+002, 2.3267268E+002
 2.0700804E+002, 2.3891235E+002, 2.7829804E+002, 1.9999995E+002, 2.3297203E+002
 2.0807800E+002, 2.3891225E+002, 2.7821573E+002, 1.9999996E+002, 2.3290399E+002
 2.0900383E+002, 2.3891218E+002, 2.7447011E+002, 1.9999998E+002, 2.2978827E+002
 2.1008522E+002, 2.3891220E+002, 2.7538485E+002, 2.0000001E+002, 2.3091823E+002
 2.1101252E+002, 2.3891232E+002, 2.7681593E+002, 2.0000005E+002, 2.3318839E+002
 2.1202604E+002, 2.3891240E+002, 2.7444174E+002, 2.0000004E+002, 2.3247420E+002
 2.1306063E+002, 2.3891246E+002, 2.7372948E+002, 2.0000001E+002, 2.3284400E+002
 2.1402625E+002, 2.3891247E+002, 2.6770672E+002, 2.0000000E+002, 2.2826513E+002
 2.1502204E+002, 2.3891237E+002, 2.7184474E+002, 1.9999996E+002, 2.3205241E+002
 2.1602564E+002, 2.3891228E+002, 2.7010552E+002, 1.9999996E+002, 2.3081256E+002
 2.1707584E+002, 2.3891221E+002, 2.6894486E+002, 1.9999997E+002, 2.3005701E+002
 2.1802522E+002, 2.3891221E+002, 2.7660618E+002, 1.9999999E+002, 2.3686690E+002
 2.1900420E+002, 2.3891230E+002, 2.6620065E+002, 2.0000003E+002, 2.2835600E+002
 2.2007041E+002, 2.3891238E+002, 2.7290143E+002, 2.0000003E+002, 2.3445063E+002
 2.2100591E+002, 2.3891244E+002, 2.6972997E+002, 2.0000002E+002, 2.3203258E+002
 2.2203496E+002, 2.3891245E+002, 2.6849028E+002, 2.0000001E+002, 2.3117043E+002
 2.2306401E+002, 2.3891235E+002, 2.7547621E+002, 1.9999996E+002, 2.3734614E+002
 2.2409305E+002, 2.3891228E+002, 2.6893919E+002, 1.9999997E+002, 2.3200882E+002
 2.2503790E+002, 2.3891222E+002, 2.6590020E+002, 1.9999997E+002, 2.2967013E+002
 2.2610119E+002, 2.3891224E+002, 2.6430589E+002, 1.9999999E+002, 2.2853480E+002
 2.2701693E+002, 2.3891235E+002, 2.6495381E+002, 2.0000004E+002, 2.2929779E+002
 2.2803443E+002, 2.3891238E+002, 2.6628508E+002, 2.0000001E+002, 2.3066109E+002
 2.2904956E+002, 2.3891244E+002, 2.6827892E+002, 2.0000001E+002, 2.3260677E+002
 2.3002563E+002, 2.3891242E+002, 2.6753098E+002, 2.0000000E+002, 2.3215839E+002
 2.3106226E+002, 2.3891231E+002, 2.6929578E+002, 1.9999997E+002, 2.3387372E+002
 2.3207269E+002, 2.3891226E+002, 2.6653819E+002, 1.9999999E+002, 2.3172102E+002
 2.3300753E+002, 2.3891222E+002, 2.6548651E+002, 1.9999999E+002, 2.3098557E+002
 2.3405802E+002, 2.3891228E+002, 2.6298328E+002, 2.0000001E+002, 2.2889916E+002
 2.3507291E+002, 2.3891237E+002, 2.6035537E+002, 2.0000003E+002, 2.2667688E+002
 2.3604839E+002, 2.3891240E+002, 2.6503681E+002, 2.0000000E+002, 2.3081410E+002
 2.3708415E+002, 2.3891244E+002, 2.6483476E+002, 2.0000001E+002, 2.3078406E+002
 2.3804006E+002, 2.3891239E+002, 2.6450872E+002, 1.9999999E+002, 2.3068071E+002
 2.3906910E+002, 2.3891230E+002, 2.6609823E+002, 1.9999998E+002, 2.3225481E+002
 2.4009815E+002, 2.3891224E+002, 2.6616386E+002, 1.9999998E+002, 2.3248902E+002
 2.4102429E+002, 2.3891223E+002, 2.6287325E+002, 1.9999998E+002, 2.2973686E+002
 2.4205333E+002, 2.3891229E+002, 2.5718233E+002, 2.0000000E+002, 2.2484406E+002
 2.4302064E+002, 2.3891237E+002, 2.6331498E+002, 2.0000002E+002, 2.3022623E+002
 2.4407526E+002, 2.3891242E+002, 2.5748108E+002, 2.0000002E+002, 2.2532209E+002
 2.4500215E+002, 2.3891241E+002, 2.5863694E+002, 2.0000001E+002, 2.2654310E+002
 2.4603329E+002, 2.3891238E+002, 2.5952295E+002, 2.0000000E+002, 2.2751667E+002
 2.4705566E+002, 2.3891227E+002, 2.5937886E+002, 1.9999997E+002, 2.2755943E+002
 2.4803833E+002, 2.3891224E+002, 2.6057504E+002, 1.9999998E+002, 2.2872385E+002
 2.4902099E+002, 2.3891227E+002, 2.5827368E+002, 2.0000000E+002, 2.2681494E+002
 2.5000366E+002, 2.3891229E+002, 2.6005413E+002, 2.0000000E+002, 2.2845652E+002
 2.5109551E+002, 2.3891241E+002, 2.6039073E+002, 2.0000004E+002, 2.2884532E+002
 2.5207326E+002, 2.3891244E+002, 2.6384983E+002, 2.0000002E+002, 2.3195091E+002
 2.5303915E+002, 2.3891240E+002, 2.5653891E+002, 1.9999998E+002, 2.2564284E+002
 2.5404788E+002, 2.3891236E+002, 2.6027927E+002, 1.9999997E+002, 2.2896419E+002
 2.5504009E+002, 2.3891225E+002, 2.5551415E+002, 1.9999995E+002, 2.2487991E+002
 2.5603229E+002, 2.3891222E+002, 2.6463408E+002, 1.9999998E+002, 2.3292792E+002
 2.5701052E+002, 2.3891227E+002, 2.5761867E+002, 2.0000003E+002, 2.2690415E+002
 2.5806701E+002, 2.3891232E+002, 2.6259446E+002, 2.0000004E+002, 2.3138713E+002
 2.5905813E+002, 2.3891240E+002, 2.6007477E+002, 2.0000004E+002, 2.2934840E+002
 2.6000997E+002, 2.3891244E+002, 2.5856417E+002, 2.0000002E+002, 2.2816907E+002
 2.6102111E+002, 2.3891237E+002, 2.6227318E+002, 1.9999996E+002, 2.3152766E+002
 2.6206902E+002, 2.3891232E+002, 2.5599747E+002, 1.9999995E+002, 2.2612995E+002
 2.6308016E+002, 2.3891227E+002, 2.5973697E+002, 1.9999997E+002, 2.2950754E+002
 2.6409130E+002, 2.3891226E+002, 2.5829731E+002, 2.0000000E+002, 2.2838647E+002
 2.6500133E+002, 2.3891232E+002, 2.5492602E+002, 2.0000004E+002, 2.2557587E+002
 2.6605351E+002, 2.3891237E+002, 2.6028515E+002, 2.0000005E+002, 2.3040382E+002
 2.6707700E+002, 2.3891237E+002, 2.5914328E+002, 2.0000001E+002, 2.2951730E+002
 2.6804188E+002, 2.3891238E+002, 2.5772706E+002, 1.9999999E+002, 2.2836974E+002
 2.6907824E+002, 2.3891233E+002, 2.6008055E+002, 1.9999997E+002, 2.3051652E+002
 2.7010623E+002, 2.3891229E+002, 2.5721818E+002, 1.9999996E+002, 2.2803902E+002
 2.7105275E+002, 2.3891233E+002, 2.5365825E+002, 2.0000001E+002, 2.2488758E+002
 2.7205179E+002, 2.3891233E+002, 2.5801986E+002, 2.0000002E+002, 2.2865688E+002
 2.7305427E+002, 2.3891235E+002, 2.5583175E+002, 2.0000003E+002, 2.2666935E+002
 2.7403580E+002, 2.3891236E+002, 2.5435234E+002, 2.0000003E+002, 2.2533408E+002
 2.7508048E+002, 2.3891230E+002, 2.5860836E+002, 1.9999998E+002, 2.2908020E+002
 2.7604919E+002, 2.3891231E+002, 2.5706851E+002, 1.9999999E+002, 2.2782045E+002
 2.7701736E+002, 2.3891232E+002, 2.5669761E+002, 2.0000000E+002, 2.2764255E+002
