s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 8.400E+02, 7.494E+02,-2.400E+02,-4.864E+02, 7.245E+00, 0.000E+00, 0.000E+00,-9.128E+00, 1.813E+01, 2.104E+01, 1.875E-02, 1.875E-02
 8.500E+02, 7.943E+02,-2.397E+02,-5.582E+02, 6.532E+00, 0.000E+00, 0.000E+00,-9.300E+00,-8.186E+00,-6.340E+00, 1.908E-02, 1.908E-02
 8.600E+02, 7.940E+02,-2.532E+02,-5.402E+02, 6.763E+00, 0.000E+00, 0.000E+00,-9.581E+00,-5.782E+00,-2.256E+00, 1.954E-02, 1.954E-02
 8.700E+02, 7.334E+02,-2.319E+02,-4.936E+02, 7.356E+00, 0.000E+00, 0.000E+00,-9.467E+00, 3.877E+00, 5.832E+00, 1.940E-02, 1.940E-02
 8.800E+02, 7.660E+02,-2.369E+02,-5.148E+02, 7.350E+00, 0.000E+00, 0.000E+00,-9.580E+00, 9.085E+00, 1.203E+01, 1.964E-02, 1.964E-02
 8.900E+02, 7.866E+02,-2.455E+02,-5.292E+02, 7.431E+00, 0.000E+00, 0.000E+00,-9.766E+00, 8.720E+00, 9.597E+00, 1.998E-02, 1.998E-02
 9.000E+02, 7.982E+02,-2.584E+02,-5.369E+02, 7.246E+00, 0.000E+00, 0.000E+00,-9.876E+00,-2.440E+00, 3.263E-01, 2.020E-02, 2.020E-02
 9.100E+02, 7.531E+02,-2.387E+02,-5.037E+02, 8.585E+00, 0.000E+00, 0.000E+00,-9.857E+00, 6.576E+00, 9.490E+00, 2.019E-02, 2.019E-02
 9.200E+02, 8.258E+02,-2.491E+02,-5.652E+02, 7.342E+00, 0.000E+00, 0.000E+00,-9.980E+00, 7.032E+00, 8.815E+00, 2.038E-02, 2.038E-02
 9.300E+02, 7.755E+02,-2.378E+02,-5.135E+02, 8.041E+00, 0.000E+00, 0.000E+00,-1.006E+01, 2.007E+01, 2.214E+01, 2.058E-02, 2.058E-02
 9.400E+02, 8.516E+02,-2.570E+02,-5.884E+02, 8.021E+00, 0.000E+00, 0.000E+00,-1.009E+01, 2.539E+00, 4.069E+00, 2.070E-02, 2.070E-02
 9.500E+02, 8.601E+02,-2.649E+02,-5.967E+02, 7.710E+00, 0.000E+00, 0.000E+00,-1.037E+01,-8.151E+00,-4.127E+00, 2.113E-02, 2.113E-02
 9.600E+02, 8.002E+02,-2.366E+02,-5.455E+02, 7.045E+00, 0.000E+00, 0.000E+00,-1.028E+01, 1.277E+01, 1.486E+01, 2.103E-02, 2.103E-02
 9.700E+02, 8.641E+02,-2.536E+02,-6.017E+02, 7.787E+00, 0.000E+00, 0.000E+00,-1.039E+01, 3.899E+00, 6.160E+00, 2.119E-02, 2.119E-02
 9.800E+02, 8.133E+02,-2.498E+02,-5.600E+02, 8.160E+00, 0.000E+00, 0.000E+00,-1.049E+01,-1.292E+00, 1.158E+00, 2.142E-02, 2.142E-02
 9.900E+02, 8.671E+02,-2.596E+02,-6.012E+02, 7.544E+00, 0.000E+00, 0.000E+00,-1.071E+01,-2.704E-01, 3.183E+00, 2.181E-02, 2.181E-02
