s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 6.700E+02, 4.877E+01, 4.608E+01,-1.834E+02, 6.586E+01, 6.261E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.212E+01,-2.260E+01, 1.095E-03, 1.095E-03
 6.800E+02, 4.527E+01, 4.415E+01,-1.782E+02, 6.531E+01, 5.851E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.312E+01,-2.343E+01, 1.017E-03, 1.017E-03
 6.900E+02, 4.180E+01, 4.219E+01,-1.698E+02, 6.372E+01, 5.408E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.149E+01,-2.201E+01, 9.389E-04, 9.389E-04
 7.000E+02, 3.836E+01, 4.031E+01,-1.627E+02, 6.287E+01, 4.975E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.048E+01,-2.109E+01, 8.607E-04, 8.607E-04
 7.100E+02, 3.487E+01, 3.848E+01,-1.543E+02, 6.183E+01, 4.543E-02, 0.000E+00, 0.000E+00, 0.000E+00,-1.874E+01,-1.907E+01, 7.825E-04, 7.825E-04
 7.200E+02, 3.137E+01, 3.656E+01,-1.496E+02, 6.106E+01, 4.091E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.021E+01,-2.053E+01, 7.041E-04, 7.041E-04
 7.300E+02, 2.792E+01, 3.459E+01,-1.434E+02, 6.051E+01, 3.653E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.000E+01,-2.030E+01, 6.258E-04, 6.258E-04
 7.400E+02, 2.443E+01, 3.269E+01,-1.357E+02, 5.955E+01, 3.207E-02, 0.000E+00, 0.000E+00, 0.000E+00,-1.852E+01,-1.898E+01, 5.476E-04, 5.476E-04
 7.500E+02, 2.095E+01, 3.069E+01,-1.310E+02, 5.914E+01, 2.758E-02, 0.000E+00, 0.000E+00, 0.000E+00,-1.969E+01,-2.018E+01, 4.693E-04, 4.693E-04
 7.600E+02, 1.747E+01, 2.884E+01,-1.229E+02, 5.823E+01, 2.307E-02, 0.000E+00, 0.000E+00, 0.000E+00,-1.798E+01,-1.834E+01, 3.910E-04, 3.910E-04
 7.700E+02, 1.400E+01, 2.712E+01,-1.165E+02, 5.785E+01, 1.852E-02, 0.000E+00, 0.000E+00, 0.000E+00,-1.731E+01,-1.756E+01, 3.128E-04, 3.128E-04
 7.800E+02, 1.051E+01, 2.515E+01,-1.134E+02, 5.744E+01, 1.394E-02, 0.000E+00, 0.000E+00, 0.000E+00,-1.964E+01,-2.025E+01, 2.346E-04, 2.346E-04
 7.900E+02, 7.040E+00, 2.325E+01,-1.036E+02, 5.716E+01, 9.314E-03, 0.000E+00, 0.000E+00, 0.000E+00,-1.590E+01,-1.609E+01, 1.562E-04, 1.562E-04
 8.000E+02, 3.559E+00, 2.130E+01,-1.021E+02, 5.695E+01, 4.659E-03, 0.000E+00, 0.000E+00, 0.000E+00,-1.980E+01,-2.033E+01, 7.789E-05, 7.789E-05
 8.100E+02, 4.786E-01, 1.879E+01,-9.657E+01, 5.732E+01, 5.761E-04, 0.000E+00, 0.000E+00, 0.000E+00,-1.960E+01,-1.998E+01, 9.601E-06, 9.601E-06
 8.200E+02, 1.912E-10, 1.543E+01,-9.357E+01, 5.766E+01, 1.174E-17, 0.000E+00, 0.000E+00, 0.000E+00,-2.020E+01,-2.047E+01, 0.000E+00, 0.000E+00
 8.300E+02, 0.000E+00, 1.250E+01,-8.642E+01, 5.781E+01, 1.722E-17, 0.000E+00, 0.000E+00, 0.000E+00,-1.588E+01,-1.610E+01, 0.000E+00, 0.000E+00
 8.400E+02, 0.000E+00, 1.005E+01,-8.439E+01, 5.782E+01, 7.342E-18, 0.000E+00, 0.000E+00, 0.000E+00,-1.639E+01,-1.653E+01, 0.000E+00, 0.000E+00
