s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2
 9.0013548E+000, 3.2119814E-002, 1.0669968E+000, 5.9982022E+000, 3.1993737E+001, 2.3607509E+001, 3.0351392E-001, 7.0199063E-002, 3.5849840E+001, 4.3807781E+001, 5.2012628E+001, 6.0332307E+001
 1.0000679E+001, 3.0696407E-002, 7.6670106E-001, 5.1931894E+000, 3.2393394E+001, 2.3884166E+001, 3.5650327E-001, 6.7668847E-002, 3.6300188E+001, 4.3652802E+001, 5.0138399E+001, 5.5871141E+001
 1.1001499E+001, 3.1456901E-002, 8.2618679E-001, 3.3491779E+000, 3.3875962E+001, 2.6735729E+001, 3.6700895E-001, 1.1376128E-001, 3.8404631E+001, 4.8358460E+001, 5.9725526E+001, 7.2275597E+001
 1.2001560E+001, 3.1189020E-002, 7.0223556E-001, 3.2718723E+000, 3.1994707E+001, 2.6980365E+001, 4.0410156E-001, 9.9478326E-002, 3.5894867E+001, 4.3262571E+001, 5.0053042E+001, 5.6191107E+001
 1.3002717E+001, 3.0296093E-002, 8.1345148E-001, 5.7441033E+000, 3.3470517E+001, 2.6856327E+001, 3.8844542E-001, 6.6817404E-002, 3.7720541E+001, 4.5364324E+001, 5.1548888E+001, 5.7265430E+001
 1.4001245E+001, 2.9368150E-002, 1.1331482E+000, 3.8969195E+000, 3.2568860E+001, 2.6089232E+001, 3.7950369E-001, 1.1236312E-001, 3.6756002E+001, 4.4220706E+001, 5.0317105E+001, 5.5884018E+001
 1.5000412E+001, 2.9035533E-002, 1.2419490E+000, 6.9527845E+000, 2.9880672E+001, 2.4745818E+001, 3.5940857E-001, 6.5148124E-002, 3.3832661E+001, 4.1011332E+001, 4.6968794E+001, 5.2494357E+001
 1.6002270E+001, 3.1299899E-002, 9.5561667E-001, 4.0003078E+000, 3.1095734E+001, 2.5632597E+001, 4.1547687E-001, 9.0271171E-002, 3.5114677E+001, 4.2563145E+001, 4.8431060E+001, 5.3105029E+001
 1.7000413E+001, 2.9510530E-002, 9.4277120E-001, 5.0138241E+000, 2.9794518E+001, 1.9085970E+001, 4.1441245E-001, 6.7274642E-002, 3.3711364E+001, 4.1149944E+001, 4.7552523E+001, 5.4430980E+001
 1.8001560E+001, 3.0336617E-002, 1.2595084E+000, 2.1933844E+000, 2.9367881E+001, 2.0608913E+001, 3.5442660E-001, 1.0523631E-001, 3.3494392E+001, 4.2211840E+001, 5.1037905E+001, 5.9111517E+001
 1.9001923E+001, 3.0798169E-002, 8.0478099E-001, 2.4814936E+000, 2.9845476E+001, 2.2266202E+001, 4.4286354E-001, 9.4622704E-002, 3.4073839E+001, 4.3041458E+001, 5.2440083E+001, 5.8876164E+001
 2.0000389E+001, 3.2776695E-002, 7.5203549E-001, 1.1458730E+000, 3.1693944E+001, 2.1572939E+001, 4.6327571E-001, 2.5140821E-001, 3.6141279E+001, 4.5703104E+001, 5.5568226E+001, 6.3439591E+001
 2.1001852E+001, 3.1794057E-002, 8.6498626E-001, 7.5147642E-001, 2.9535276E+001, 2.1676794E+001, 4.3373975E-001, 2.1341030E-001, 3.3541099E+001, 4.1564783E+001, 4.9435038E+001, 5.7464106E+001
 2.2001492E+001, 2.8606124E-002, 8.2434680E-001, 2.8116640E+000, 2.9884902E+001, 1.9378009E+001, 4.4808733E-001, 1.0153553E-001, 3.3925096E+001, 4.1759938E+001, 4.8584257E+001, 5.5413415E+001
 2.3002338E+001, 3.1714729E-002, 1.0230248E+000, 9.6363926E-001, 2.9135398E+001, 1.8074122E+001, 4.2774394E-001, 2.3340861E-001, 3.3228033E+001, 4.1475676E+001, 4.8680483E+001, 5.4876660E+001
 2.4001004E+001, 2.9973712E-002, 9.0555863E-001, 6.6398866E-001, 3.0146333E+001, 2.2083892E+001, 4.5403807E-001, 2.4979452E-001, 3.4292859E+001, 4.2128574E+001, 4.8331023E+001, 5.3927677E+001
 2.5001902E+001, 2.8138543E-002, 8.6045773E-001, 7.0965902E-001, 2.8504441E+001, 1.7904782E+001, 4.6112856E-001, 3.2138090E-001, 3.2540807E+001, 4.0342352E+001, 4.7160713E+001, 5.2869682E+001
 2.6002336E+001, 2.8662250E-002, 7.6971135E-001, 6.7503167E-001, 2.8919885E+001, 1.9433272E+001, 4.8952115E-001, 2.1103806E-001, 3.2860031E+001, 3.9725916E+001, 4.5124064E+001, 4.9618614E+001
 2.7000830E+001, 2.9823605E-002, 7.0990906E-001, 8.5855708E-001, 2.6959356E+001, 1.7710887E+001, 5.0749388E-001, 3.0134038E-001, 3.0476612E+001, 3.7064088E+001, 4.2816860E+001, 4.9638093E+001
 2.8000673E+001, 2.9887979E-002, 8.1041853E-001, 1.7931184E+000, 2.7256057E+001, 1.9423349E+001, 4.7164532E-001, 1.1356221E-001, 3.0855746E+001, 3.7624107E+001, 4.3213815E+001, 4.8043666E+001
 2.9002237E+001, 2.8258728E-002, 7.2813209E-001, 1.4033780E+000, 2.8664249E+001, 2.1043474E+001, 4.9009913E-001, 1.1619053E-001, 3.2679984E+001, 3.9922196E+001, 4.5533057E+001, 5.0261032E+001
 3.0002009E+001, 2.9389392E-002, 6.4776594E-001, 1.2584275E+000, 2.9444713E+001, 2.1455414E+001, 5.3074411E-001, 1.6381921E-001, 3.3493622E+001, 4.1388164E+001, 4.8328356E+001, 5.3846183E+001
 3.1000000E+001, 2.7888995E-002, 8.1327881E-001, 7.9981452E-001, 2.5907992E+001, 1.7428264E+001, 4.9171591E-001, 3.2688592E-001, 2.9364424E+001, 3.5419397E+001, 4.0267016E+001, 4.4866508E+001
 3.2001899E+001, 2.8439670E-002, 7.7691193E-001, 8.6775454E-001, 2.6479669E+001, 2.0189449E+001, 5.0689923E-001, 2.0921183E-001, 2.9980180E+001, 3.6153479E+001, 4.1469377E+001, 4.6979619E+001
 3.3001837E+001, 2.8519938E-002, 8.5074987E-001, 1.0970828E+000, 2.6027786E+001, 1.9062266E+001, 4.7620167E-001, 2.0613314E-001, 2.9548164E+001, 3.5619823E+001, 4.0797087E+001, 4.5524589E+001
 3.4000685E+001, 3.0311307E-002, 6.3241087E-001, 7.5137715E-001, 2.7790560E+001, 1.9666515E+001, 5.2653285E-001, 3.0549918E-001, 3.1728071E+001, 3.9492977E+001, 4.5858141E+001, 5.2100980E+001
 3.5000858E+001, 2.8748240E-002, 6.4833104E-001, 5.3831303E-001, 2.6065392E+001, 1.8800610E+001, 5.1149026E-001, 3.4617764E-001, 2.9560149E+001, 3.6397888E+001, 4.2344807E+001, 4.8536806E+001
 3.6002028E+001, 2.8987366E-002, 5.7192354E-001, 7.0146268E-001, 2.5891449E+001, 1.8680500E+001, 5.3890110E-001, 3.5022498E-001, 2.9436599E+001, 3.6073155E+001, 4.1821035E+001, 4.6982283E+001
 3.7002180E+001, 2.9919799E-002, 6.4962657E-001, 8.1439210E-001, 2.6872410E+001, 1.8868165E+001, 5.1795278E-001, 2.6737466E-001, 3.0377216E+001, 3.7183602E+001, 4.2907372E+001, 4.8869382E+001
 3.8001325E+001, 2.9344258E-002, 7.3353053E-001, 7.5940378E-001, 2.6011508E+001, 1.8339121E+001, 4.8836405E-001, 2.7761108E-001, 2.9585995E+001, 3.6655195E+001, 4.3155353E+001, 4.9427531E+001
 3.9000096E+001, 3.0471849E-002, 5.4443352E-001, 1.2886699E+000, 2.6733460E+001, 2.0860538E+001, 5.4243823E-001, 1.4258734E-001, 3.0211117E+001, 3.6737391E+001, 4.1914063E+001, 4.6658261E+001
 4.0000407E+001, 2.9635419E-002, 7.6111930E-001, 6.8887323E-001, 2.5240886E+001, 1.6945944E+001, 4.8630651E-001, 3.1039200E-001, 2.8620572E+001, 3.4827665E+001, 3.9860889E+001, 4.4043921E+001
 4.1001778E+001, 2.9929117E-002, 6.5075910E-001, 5.0812096E-001, 2.5250306E+001, 1.6632098E+001, 5.0077898E-001, 3.6825959E-001, 2.8604625E+001, 3.5111543E+001, 4.0507833E+001, 4.5158760E+001
 4.2000148E+001, 2.9594848E-002, 4.9488348E-001, 5.3398910E-001, 2.5738744E+001, 1.7847045E+001, 5.4753060E-001, 4.0949916E-001, 2.9194004E+001, 3.6064628E+001, 4.2306871E+001, 4.8429228E+001
 4.3000283E+001, 3.0114032E-002, 7.5654577E-001, 5.1925732E-001, 2.5371211E+001, 1.7290381E+001, 4.6290620E-001, 3.9920239E-001, 2.8714367E+001, 3.5313280E+001, 4.0970998E+001, 4.6754154E+001
 4.4001816E+001, 3.0491099E-002, 4.7459375E-001, 6.1593671E-001, 2.6378727E+001, 2.0927948E+001, 5.6409033E-001, 4.3195676E-001, 2.9953768E+001, 3.7472230E+001, 4.4856983E+001, 5.2766369E+001
 4.5001717E+001, 3.0689128E-002, 8.6087466E-001, 4.8265833E-001, 2.6132412E+001, 1.8257197E+001, 4.6458223E-001, 3.8020712E-001, 2.9799299E+001, 3.7166241E+001, 4.4182845E+001, 5.1574352E+001
 4.6001100E+001, 3.1052878E-002, 9.0683147E-001, 4.8034591E-001, 2.6025377E+001, 1.9444790E+001, 4.5079202E-001, 3.6351717E-001, 2.9441681E+001, 3.6014614E+001, 4.1427202E+001, 4.6423430E+001
 4.7000290E+001, 3.1725622E-002, 6.2586643E-001, 5.4710358E-001, 2.6011461E+001, 1.8357725E+001, 5.3539269E-001, 3.6279262E-001, 2.9488063E+001, 3.6169695E+001, 4.1532014E+001, 4.6354940E+001
 4.8000255E+001, 3.0910805E-002, 4.9383950E-001, 3.0979281E-001, 2.5381636E+001, 1.8437024E+001, 5.7587245E-001, 3.8128626E-001, 2.8831167E+001, 3.5389035E+001, 4.0751713E+001, 4.5716547E+001
 4.9000721E+001, 3.2432005E-002, 6.8189971E-001, 4.0498096E-001, 2.6275421E+001, 1.7981311E+001, 5.3717634E-001, 4.3501533E-001, 2.9852073E+001, 3.6659122E+001, 4.1931120E+001, 4.6655166E+001
 5.0002633E+001, 3.1576365E-002, 6.5622277E-001, 4.9115708E-001, 2.4835363E+001, 1.6607877E+001, 5.4984708E-001, 3.9640882E-001, 2.8114251E+001, 3.4142449E+001, 3.9074267E+001, 4.3847296E+001
 5.1001884E+001, 3.1087513E-002, 6.1855739E-001, 4.8172400E-001, 2.5111524E+001, 1.6525372E+001, 5.4705129E-001, 4.1201828E-001, 2.8586808E+001, 3.5331111E+001, 4.1168360E+001, 4.6554798E+001
 5.2000473E+001, 3.1413874E-002, 5.2219926E-001, 4.7438837E-001, 2.5132379E+001, 1.6554297E+001, 5.4725557E-001, 4.4638285E-001, 2.8571878E+001, 3.5335889E+001, 4.1431641E+001, 4.7309570E+001
 5.3001582E+001, 3.0971825E-002, 4.5604361E-001, 3.9817396E-001, 2.5119154E+001, 1.8843020E+001, 5.7743869E-001, 4.2235541E-001, 2.8573784E+001, 3.5556692E+001, 4.1943893E+001, 4.8711527E+001
 5.4002383E+001, 3.0312571E-002, 4.3983473E-001, 3.5437324E-001, 2.4382841E+001, 1.6678220E+001, 5.9652276E-001, 4.5745910E-001, 2.7692946E+001, 3.4163190E+001, 3.9471822E+001, 4.4300619E+001
 5.5001910E+001, 3.1768768E-002, 5.9006365E-001, 5.3017842E-001, 2.5105155E+001, 1.6653867E+001, 5.3810137E-001, 4.0497761E-001, 2.8390523E+001, 3.4863804E+001, 4.0371841E+001, 4.5705713E+001
 5.6001267E+001, 3.1856365E-002, 5.6708788E-001, 1.5368490E+000, 2.4552676E+001, 1.8835658E+001, 5.5686978E-001, 1.8500342E-001, 2.7861171E+001, 3.4024458E+001, 3.9271781E+001, 4.3827167E+001
 5.7001633E+001, 3.2796835E-002, 4.4553484E-001, 5.1891379E-001, 2.6462523E+001, 1.9299746E+001, 6.0986563E-001, 3.8018610E-001, 2.9901286E+001, 3.6761034E+001, 4.2345218E+001, 4.7834772E+001
 5.8001119E+001, 3.2156354E-002, 9.4133753E-001, 5.4913681E-001, 2.4226590E+001, 1.5652939E+001, 4.5680148E-001, 4.2097457E-001, 2.7507902E+001, 3.3669285E+001, 3.8916586E+001, 4.3815961E+001
 5.9002119E+001, 3.4014848E-002, 3.9103327E-001, 9.9339689E-001, 2.5930185E+001, 2.1017109E+001, 6.2130411E-001, 2.6169732E-001, 2.9144201E+001, 3.5674122E+001, 4.0545590E+001, 4.4853526E+001
 6.0002526E+001, 3.4775043E-002, 6.0712361E-001, 1.9460003E+000, 2.4894024E+001, 2.0015799E+001, 5.5347978E-001, 1.3950927E-001, 2.8246761E+001, 3.4965052E+001, 4.0582429E+001, 4.5797052E+001
 6.1002543E+001, 3.2784970E-002, 5.3965407E-001, 5.6843210E-001, 2.5169640E+001, 1.9650930E+001, 5.7166556E-001, 3.6384025E-001, 2.8442295E+001, 3.4725682E+001, 3.9667685E+001, 4.4379069E+001
 6.2000249E+001, 3.2334996E-002, 4.2011143E-001, 4.4109043E-001, 2.3639111E+001, 1.5944649E+001, 6.1150352E-001, 4.4094911E-001, 2.6846629E+001, 3.3038513E+001, 3.8281298E+001, 4.3242401E+001
 6.3000846E+001, 3.1808148E-002, 5.5122751E-001, 3.7523544E-001, 2.5469062E+001, 1.7450455E+001, 5.5397384E-001, 4.5638022E-001, 2.8842218E+001, 3.5384180E+001, 4.0726795E+001, 4.5335225E+001
 6.4002781E+001, 3.2700475E-002, 5.5434028E-001, 3.4849441E-001, 2.3947053E+001, 1.5234253E+001, 5.5606307E-001, 4.7709241E-001, 2.7204269E+001, 3.3703382E+001, 3.9459647E+001, 4.5161626E+001
 6.5001490E+001, 3.2964396E-002, 5.2003345E-001, 3.1322789E-001, 2.4975645E+001, 1.7389498E+001, 5.7792250E-001, 4.6001189E-001, 2.8311777E+001, 3.4846558E+001, 4.0396300E+001, 4.5021713E+001
 6.6001072E+001, 3.4623306E-002, 6.2198332E-001, 4.4185452E-001, 2.5332581E+001, 1.8737218E+001, 5.3213923E-001, 3.4650222E-001, 2.8733782E+001, 3.5492562E+001, 4.1014675E+001, 4.5825501E+001
 6.7000247E+001, 3.3342850E-002, 4.9669805E-001, 4.8194915E-001, 2.4947010E+001, 1.8361129E+001, 5.8458209E-001, 3.8788007E-001, 2.8253199E+001, 3.4769374E+001, 4.0059837E+001, 4.4983247E+001
 6.8000176E+001, 3.3241155E-002, 5.4017304E-001, 3.9064067E-001, 2.4280193E+001, 1.9710682E+001, 5.6644838E-001, 4.3637759E-001, 2.7487496E+001, 3.3969875E+001, 3.9209588E+001, 4.3991604E+001
 6.9000611E+001, 3.2994729E-002, 5.6473661E-001, 3.9461617E-001, 2.5248344E+001, 1.8017446E+001, 5.7270091E-001, 4.6820454E-001, 2.8723379E+001, 3.5398757E+001, 4.0838186E+001, 4.5551888E+001
 7.0000122E+001, 3.2392928E-002, 4.8813378E-001, 5.3851413E-001, 2.3907040E+001, 1.6807623E+001, 6.0755848E-001, 4.1226454E-001, 2.7245254E+001, 3.3898207E+001, 3.9613431E+001, 4.4985116E+001
 7.1000464E+001, 3.2906332E-002, 5.0542754E-001, 6.0774606E-001, 2.5020827E+001, 1.7372171E+001, 5.9615822E-001, 3.9610517E-001, 2.8510773E+001, 3.5595508E+001, 4.2140694E+001, 4.8841330E+001
 7.2002086E+001, 3.4677004E-002, 4.4165855E-001, 5.1184614E-001, 2.4894265E+001, 1.9174839E+001, 6.2279495E-001, 4.4346614E-001, 2.8274212E+001, 3.5095019E+001, 4.1025706E+001, 4.6519559E+001
 7.3002334E+001, 3.3618360E-002, 3.8023224E-001, 4.0939201E-001, 2.4154881E+001, 1.6047329E+001, 6.4795650E-001, 4.7450392E-001, 2.7503593E+001, 3.4227659E+001, 4.0074672E+001, 4.5570092E+001
 7.4000799E+001, 3.4958053E-002, 5.3773169E-001, 3.3630080E-001, 2.6238741E+001, 1.8984801E+001, 5.5535499E-001, 4.6611650E-001, 2.9804823E+001, 3.7177776E+001, 4.3947968E+001, 5.1293074E+001
 7.5000391E+001, 3.5633070E-002, 5.4176736E-001, 2.8048116E-001, 2.4713927E+001, 1.6777970E+001, 5.6816517E-001, 4.9021508E-001, 2.8033078E+001, 3.4714667E+001, 4.0595414E+001, 4.6260134E+001
 7.6000835E+001, 3.5345779E-002, 5.4476034E-001, 4.0738528E-001, 2.4901466E+001, 1.8420216E+001, 5.5287719E-001, 4.5060617E-001, 2.8124545E+001, 3.4896168E+001, 4.0311294E+001, 4.5152599E+001
 7.7000965E+001, 3.4239424E-002, 4.9338087E-001, 3.5185564E-001, 2.3150484E+001, 1.6801702E+001, 5.8751159E-001, 4.2578434E-001, 2.6340874E+001, 3.2843402E+001, 3.8425354E+001, 4.3537291E+001
 7.8000904E+001, 3.5055538E-002, 3.9445595E-001, 4.0059770E-001, 2.6113129E+001, 1.9309744E+001, 6.2387130E-001, 4.5600935E-001, 2.9713716E+001, 3.7015897E+001, 4.3300142E+001, 4.9285015E+001
 7.9002046E+001, 3.4757664E-002, 4.2505119E-001, 3.5288803E-001, 2.4718736E+001, 1.6434924E+001, 6.0986546E-001, 4.3379901E-001, 2.8113792E+001, 3.4843817E+001, 4.0496738E+001, 4.6169930E+001
 8.0001788E+001, 3.5504339E-002, 6.3637147E-001, 3.7536226E-001, 2.5666936E+001, 1.7279649E+001, 5.1084620E-001, 4.4498638E-001, 2.9100232E+001, 3.6123539E+001, 4.2168553E+001, 4.7388633E+001
 8.1002570E+001, 3.7053708E-002, 3.5852077E-001, 2.0052050E-001, 2.6722207E+001, 1.9626320E+001, 6.1243269E-001, 4.8185651E-001, 3.0219409E+001, 3.7377196E+001, 4.3246204E+001, 4.8373170E+001
 8.2000244E+001, 3.5757591E-002, 5.2307905E-001, 3.5796337E-001, 2.4517696E+001, 1.6384691E+001, 5.5775833E-001, 4.4469592E-001, 2.7887789E+001, 3.4807949E+001, 4.1154314E+001, 4.7074445E+001
 8.3001932E+001, 3.8617616E-002, 3.9114131E-001, 3.9962143E-001, 2.7664625E+001, 1.9358111E+001, 6.1114257E-001, 4.5457031E-001, 3.1407593E+001, 3.9336633E+001, 4.6853654E+001, 5.5341245E+001
 8.4001322E+001, 3.7275363E-002, 7.1004739E-001, 2.8936620E-001, 2.6601441E+001, 1.6302151E+001, 5.0444381E-001, 5.1072522E-001, 3.0383807E+001, 3.8178108E+001, 4.5007041E+001, 5.1438416E+001
 8.5000653E+001, 3.7476305E-002, 4.7673148E-001, 2.3263634E-001, 2.5911416E+001, 1.7521836E+001, 5.8236953E-001, 5.1709417E-001, 2.9483715E+001, 3.7270695E+001, 4.4583169E+001, 5.1779417E+001
 8.6001270E+001, 3.6811075E-002, 4.2542477E-001, 3.2585068E-001, 2.4482647E+001, 1.7201550E+001, 5.9096734E-001, 4.7404819E-001, 2.7923875E+001, 3.5530093E+001, 4.2827456E+001, 5.0590856E+001
 8.7000162E+001, 3.6386288E-002, 4.3911864E-001, 3.5416041E-001, 2.5215546E+001, 1.7736522E+001, 6.0181979E-001, 4.7961203E-001, 2.8734956E+001, 3.6043204E+001, 4.2826818E+001, 4.9213338E+001
 8.8002519E+001, 3.6620952E-002, 3.7669633E-001, 2.6801127E-001, 2.4560769E+001, 1.8212235E+001, 6.1837389E-001, 4.7139444E-001, 2.7852362E+001, 3.4515167E+001, 4.0234721E+001, 4.5691238E+001
 8.9002153E+001, 3.7709837E-002, 5.9426336E-001, 2.7393925E-001, 2.6819691E+001, 1.8938591E+001, 5.5734553E-001, 4.8363434E-001, 3.0392649E+001, 3.7339424E+001, 4.3147054E+001, 4.8800088E+001
 9.0001001E+001, 3.9609791E-002, 5.4132874E-001, 2.0570524E-001, 2.9487110E+001, 1.9706463E+001, 5.7026378E-001, 4.7859236E-001, 3.3647323E+001, 4.2481565E+001, 5.0608768E+001, 5.8878747E+001
 9.1001956E+001, 3.7763202E-002, 3.6991248E-001, 3.0998162E-001, 2.6432202E+001, 1.6842514E+001, 6.5664151E-001, 5.0565602E-001, 3.0213104E+001, 3.8175594E+001, 4.5242671E+001, 5.1723299E+001
 9.2001911E+001, 3.7159075E-002, 3.9126501E-001, 2.9714525E-001, 2.4237048E+001, 1.5365095E+001, 6.4949220E-001, 4.7701992E-001, 2.7493678E+001, 3.4264138E+001, 3.9825273E+001, 4.5563519E+001
 9.3000839E+001, 3.6842822E-002, 6.3182563E-001, 3.0057697E-001, 2.4411168E+001, 1.6591964E+001, 5.4920517E-001, 4.1723870E-001, 2.7824008E+001, 3.4900894E+001, 4.1087049E+001, 4.6399776E+001
 9.4001617E+001, 3.8512877E-002, 5.3311682E-001, 3.8230088E-001, 2.6647381E+001, 2.0782122E+001, 5.5864017E-001, 4.5214518E-001, 3.0178517E+001, 3.7819804E+001, 4.4523861E+001, 5.0511680E+001
 9.5000853E+001, 3.7629140E-002, 5.3136280E-001, 3.3478155E-001, 2.4916874E+001, 1.8003949E+001, 5.7104296E-001, 4.8980632E-001, 2.8335760E+001, 3.5622357E+001, 4.1909112E+001, 4.7942806E+001
 9.6000110E+001, 3.6664613E-002, 3.8400041E-001, 3.6029839E-001, 2.4791522E+001, 1.7751070E+001, 6.3981977E-001, 4.2939369E-001, 2.8168289E+001, 3.5244844E+001, 4.1446541E+001, 4.7399205E+001
 9.7002110E+001, 3.7728572E-002, 3.8218177E-001, 5.0654691E-001, 2.5110406E+001, 1.6976383E+001, 6.3150105E-001, 3.9456673E-001, 2.8340035E+001, 3.5086273E+001, 4.0289488E+001, 4.5378124E+001
 9.8000372E+001, 3.9495474E-002, 6.6527966E-001, 4.8199637E-001, 2.6840045E+001, 1.7973835E+001, 5.3600168E-001, 4.3777061E-001, 3.0624434E+001, 3.8196201E+001, 4.4933986E+001, 5.0318582E+001
 9.9002089E+001, 4.2373380E-002, 3.6396199E-001, 5.6812024E-001, 3.0132297E+001, 1.9578205E+001, 6.4620978E-001, 4.0721574E-001, 3.4353232E+001, 4.3340073E+001, 5.1890996E+001, 6.0512316E+001
 1.0000213E+002, 4.1711939E-002, 4.3458860E-001, 5.0626455E-001, 3.0136656E+001, 1.8101336E+001, 6.0372975E-001, 4.3298223E-001, 3.4698761E+001, 4.4580398E+001, 5.4064697E+001, 6.2430910E+001
 1.0100070E+002, 4.2827037E-002, 5.8327229E-001, 2.4362402E-001, 3.0578486E+001, 1.7021963E+001, 5.4235966E-001, 5.0300980E-001, 3.5615314E+001, 4.7776321E+001, 6.1190991E+001, 7.1327022E+001
 1.0200160E+002, 4.2942455E-002, 2.8952882E-001, 1.6434843E-001, 3.0458525E+001, 1.8104159E+001, 6.4502821E-001, 5.1194101E-001, 3.5234975E+001, 4.6447904E+001, 5.9362960E+001, 7.2209525E+001
 1.0300032E+002, 4.2046930E-002, 4.8095935E-001, 2.1807600E-001, 2.9950928E+001, 1.6457738E+001, 5.7454968E-001, 5.0658730E-001, 3.4534131E+001, 4.4370909E+001, 5.4884974E+001, 6.7770286E+001
 1.0400191E+002, 4.3256221E-002, 5.9410207E-001, 2.6741099E-001, 3.0981199E+001, 1.7387608E+001, 5.2915864E-001, 4.9719564E-001, 3.5583167E+001, 4.5808237E+001, 5.6327293E+001, 6.7807452E+001
 1.0500169E+002, 4.2709143E-002, 4.7702103E-001, 1.6857850E-001, 2.8715675E+001, 1.5521715E+001, 5.5749712E-001, 4.9619670E-001, 3.3179871E+001, 4.3287916E+001, 5.3087702E+001, 5.8698996E+001
 1.0600051E+002, 4.3171784E-002, 3.3955820E-001, 2.1786907E-001, 2.9282058E+001, 1.6652907E+001, 6.1629276E-001, 3.8129645E-001, 3.4029809E+001, 4.5493108E+001, 5.7163132E+001, 6.3847292E+001
 1.0700225E+002, 4.3016728E-002, 3.7401794E-001, 2.1382202E-001, 2.8081614E+001, 1.6488185E+001, 5.9242926E-001, 4.7073837E-001, 3.2270135E+001, 4.1846332E+001, 5.1947013E+001, 6.2983248E+001
 1.0800156E+002, 4.1457739E-002, 2.8908034E-001, 1.6383018E-001, 2.8137731E+001, 1.5594195E+001, 6.2766935E-001, 4.7189149E-001, 3.2365821E+001, 4.1688795E+001, 5.1103942E+001, 6.1551664E+001
 1.0900085E+002, 4.2543459E-002, 3.9822789E-001, 2.3774764E-001, 2.9528464E+001, 1.8022152E+001, 6.0040963E-001, 4.5862853E-001, 3.4068123E+001, 4.4467864E+001, 5.6243997E+001, 6.8176345E+001
 1.1000151E+002, 4.5606206E-002, 5.7900336E-001, 2.6017058E-001, 3.4135074E+001, 2.0976046E+001, 5.2140605E-001, 5.1755800E-001, 3.9625325E+001, 5.3148108E+001, 7.1079019E+001, 7.9587273E+001
 1.1100070E+002, 4.7206825E-002, 3.7264232E-001, 2.1514090E-001, 3.2370797E+001, 1.9629456E+001, 6.3197907E-001, 4.9171113E-001, 3.7584812E+001, 5.0171365E+001, 6.5550665E+001, 6.9582279E+001
 1.1200140E+002, 4.7233729E-002, 3.2835059E-001, 1.4850318E-001, 3.1599172E+001, 1.8748969E+001, 6.7200491E-001, 5.0882610E-001, 3.6749838E+001, 4.8958609E+001, 6.3560724E+001, 7.7720343E+001
 1.1300077E+002, 4.6772988E-002, 3.6927512E-001, 1.8432273E-001, 2.9811298E+001, 1.8122036E+001, 6.5073873E-001, 4.9848391E-001, 3.4614073E+001, 4.6373273E+001, 6.1867881E+001, 7.3659848E+001
 1.1400223E+002, 4.6599694E-002, 4.5106566E-001, 2.8158510E-001, 3.0706692E+001, 1.9544210E+001, 5.9832316E-001, 4.7599195E-001, 3.5578298E+001, 4.7208199E+001, 6.2186609E+001, 7.1634980E+001
