s,kg/s/m2,C
 3.9600000E+001, 1.6167393E-002, 5.6103886E+001
 4.0800000E+001, 1.6384572E-002, 5.6058685E+001
 4.2000000E+001, 1.6543832E-002, 5.5949923E+001
 4.3210000E+001, 1.6699507E-002, 5.5762468E+001
 4.4410000E+001, 1.6468460E-002, 5.5916446E+001
 4.5610000E+001, 1.6330251E-002, 5.6356775E+001
 4.6810000E+001, 1.6861978E-002, 5.6248358E+001
 4.8010000E+001, 1.6900348E-002, 5.5844338E+001
 4.9210000E+001, 1.6827389E-002, 5.6002225E+001
 5.0410000E+001, 1.6725423E-002, 5.6135008E+001
 5.1610000E+001, 1.6710038E-002, 5.6399121E+001
 5.2810000E+001, 1.6735408E-002, 5.6573835E+001
 5.4010000E+001, 1.7101885E-002, 5.6331108E+001
 5.5210000E+001, 1.6796973E-002, 5.6491650E+001
 5.6410000E+001, 1.6884353E-002, 5.6694715E+001
 5.7610000E+001, 1.7039030E-002, 5.6678587E+001
 5.8810000E+001, 1.7223731E-002, 5.6424647E+001
 6.0010000E+001, 1.7127707E-002, 5.6456165E+001
 6.1210000E+001, 1.7097625E-002, 5.6562526E+001
 6.2410000E+001, 1.7148848E-002, 5.6645862E+001
 6.3610000E+001, 1.7189633E-002, 5.6640865E+001
 6.4810000E+001, 1.7181561E-002, 5.6743059E+001
 6.6010000E+001, 1.7265455E-002, 5.6729183E+001
 6.7210000E+001, 1.7212033E-002, 5.6811513E+001
 6.8410000E+001, 1.7285752E-002, 5.6865221E+001
 6.9610000E+001, 1.7389978E-002, 5.6811190E+001
 7.0810000E+001, 1.7474734E-002, 5.6677943E+001
 7.2010000E+001, 1.7408123E-002, 5.6686394E+001
 7.3200000E+001, 1.7457142E-002, 5.6738890E+001
 7.4400000E+001, 1.7283325E-002, 5.6972490E+001
 7.5600000E+001, 1.7491951E-002, 5.6938997E+001
 7.6800000E+001, 1.7694147E-002, 5.6661433E+001
 7.8000000E+001, 1.7514670E-002, 5.6737086E+001
 7.9200000E+001, 1.7317756E-002, 5.7026257E+001
 8.0400000E+001, 1.7203170E-002, 5.7445285E+001
 8.1600000E+001, 1.7101994E-002, 5.7857845E+001
 8.2800000E+001, 1.7524725E-002, 5.7818493E+001
 8.4000000E+001, 1.7780234E-002, 5.7295768E+001
 8.5200000E+001, 1.7715127E-002, 5.7170704E+001
 8.6400000E+001, 1.7914892E-002, 5.6975272E+001
 8.7600000E+001, 1.8095837E-002, 5.6445532E+001
 8.8800000E+001, 1.7836344E-002, 5.6642897E+001
 9.0000000E+001, 1.7559158E-002, 5.6832424E+001
 9.1200000E+001, 1.7990885E-002, 5.6769857E+001
 9.2400000E+001, 1.7714950E-002, 5.6794706E+001
 9.3600000E+001, 1.7786857E-002, 5.6950988E+001
 9.4800000E+001, 1.8008063E-002, 5.6862660E+001
 9.6000000E+001, 1.8214022E-002, 5.6151230E+001
 9.7200000E+001, 1.8132212E-002, 5.6140231E+001
 9.8400000E+001, 1.8048588E-002, 5.6049339E+001
 9.9600000E+001, 1.7488562E-002, 5.6869070E+001
 1.0080000E+002, 1.7802809E-002, 5.7005455E+001
 1.0200000E+002, 1.7909495E-002, 5.6851355E+001
 1.0320000E+002, 1.7857688E-002, 5.6975208E+001
 1.0440000E+002, 1.7816445E-002, 5.7005491E+001
 1.0560000E+002, 1.7945416E-002, 5.7061447E+001
 1.0680000E+002, 1.7991034E-002, 5.6958246E+001
 1.0800000E+002, 1.7798468E-002, 5.7131042E+001
 1.0920000E+002, 1.7624735E-002, 5.7605883E+001
 1.1040000E+002, 1.8078814E-002, 5.7332982E+001
 1.1160000E+002, 1.8270452E-002, 5.6838942E+001
 1.1280000E+002, 1.8011357E-002, 5.7079030E+001
 1.1400000E+002, 1.8018009E-002, 5.6908233E+001
 1.1520000E+002, 1.7976006E-002, 5.7169864E+001
 1.1640000E+002, 1.8090630E-002, 5.7127409E+001
 1.1760000E+002, 1.7775086E-002, 5.7448853E+001
 1.1880000E+002, 1.8165737E-002, 5.7249863E+001
 1.2000000E+002, 1.7925648E-002, 5.7340937E+001
 1.2120000E+002, 1.8348316E-002, 5.7134407E+001
 1.2240000E+002, 1.8460674E-002, 5.6615253E+001
 1.2360000E+002, 1.7956920E-002, 5.7016633E+001
 1.2480000E+002, 1.8043643E-002, 5.7237090E+001
 1.2600000E+002, 1.8104194E-002, 5.7016662E+001
 1.2720000E+002, 1.8513511E-002, 5.7016382E+001
 1.2840000E+002, 1.8283546E-002, 5.6580868E+001
 1.2960000E+002, 1.7703854E-002, 5.7407356E+001
 1.3080000E+002, 1.7956905E-002, 5.7664619E+001
 1.3200000E+002, 1.8750250E-002, 5.6873757E+001
 1.3320000E+002, 1.8366812E-002, 5.6527992E+001
 1.3440000E+002, 1.8224226E-002, 5.6896477E+001
 1.3560000E+002, 1.7503501E-002, 5.7741832E+001
 1.3680000E+002, 1.8190291E-002, 5.7638765E+001
 1.3800000E+002, 1.8443767E-002, 5.7336244E+001
 1.3920000E+002, 1.8330758E-002, 5.7079751E+001
 1.4040000E+002, 1.7926201E-002, 5.7556892E+001
 1.4160000E+002, 1.8144249E-002, 5.7731764E+001
 1.4280000E+002, 1.8153617E-002, 5.7672670E+001
 1.4400000E+002, 1.8579367E-002, 5.7177750E+001
 1.4520000E+002, 1.8774368E-002, 5.6559224E+001
 1.4640000E+002, 1.8199386E-002, 5.7083978E+001
 1.4760000E+002, 1.8053071E-002, 5.7414276E+001
 1.4880000E+002, 1.8645459E-002, 5.7020797E+001
 1.5000000E+002, 1.8310346E-002, 5.6986124E+001
 1.5120000E+002, 1.8313824E-002, 5.7100338E+001
 1.5240000E+002, 1.8299849E-002, 5.7279363E+001
 1.5360000E+002, 1.8474770E-002, 5.7109353E+001
 1.5480000E+002, 1.8227119E-002, 5.7250615E+001
 1.5600000E+002, 1.8334359E-002, 5.7300688E+001
 1.5720000E+002, 1.8300360E-002, 5.7322476E+001
 1.5840000E+002, 1.8262652E-002, 5.7489959E+001
 1.5961000E+002, 1.8431441E-002, 5.7320258E+001
 1.6081000E+002, 1.8257771E-002, 5.7496363E+001
 1.6201000E+002, 1.8345602E-002, 5.7521158E+001
 1.6321000E+002, 1.8381527E-002, 5.7439570E+001
 1.6441000E+002, 1.8129088E-002, 5.7802077E+001
 1.6561000E+002, 1.8231928E-002, 5.7820643E+001
 1.6681000E+002, 1.8287823E-002, 5.7925958E+001
 1.6801000E+002, 1.8404040E-002, 5.7823992E+001
 1.6921000E+002, 1.8259777E-002, 5.7856444E+001
 1.7041000E+002, 1.8248611E-002, 5.8095896E+001
 1.7161000E+002, 1.8394937E-002, 5.7895068E+001
 1.7281000E+002, 1.8357212E-002, 5.8036970E+001
 1.7401000E+002, 1.8611125E-002, 5.7539195E+001
 1.7521000E+002, 1.8081951E-002, 5.8185119E+001
 1.7641000E+002, 1.8353398E-002, 5.8113376E+001
 1.7761000E+002, 1.8551638E-002, 5.7952110E+001
 1.7881000E+002, 1.8572839E-002, 5.7686596E+001
 1.8001000E+002, 1.8441834E-002, 5.7747170E+001
 1.8121000E+002, 1.8300238E-002, 5.7986189E+001
 1.8241000E+002, 1.8293192E-002, 5.8162642E+001
 1.8361000E+002, 1.8569384E-002, 5.7951013E+001
 1.8481000E+002, 1.8501493E-002, 5.7858997E+001
 1.8601000E+002, 1.8690782E-002, 5.7688050E+001
 1.8721000E+002, 1.8581944E-002, 5.7576218E+001
 1.8841000E+002, 1.8516596E-002, 5.7689100E+001
 1.8961000E+002, 1.8827874E-002, 5.7273963E+001
 1.9081000E+002, 1.8388573E-002, 5.7585378E+001
 1.9201000E+002, 1.8352445E-002, 5.7879816E+001
 1.9321000E+002, 1.8767702E-002, 5.7605834E+001
 1.9441000E+002, 1.8788879E-002, 5.7143738E+001
 1.9561000E+002, 1.8195394E-002, 5.7848192E+001
 1.9681000E+002, 1.8388429E-002, 5.8006967E+001
 1.9801000E+002, 1.8636961E-002, 5.7786440E+001
 1.9921000E+002, 1.8517116E-002, 5.7774309E+001
 2.0041000E+002, 1.8664077E-002, 5.7755749E+001
 2.0161000E+002, 1.8521122E-002, 5.7764684E+001
 2.0281000E+002, 1.8722999E-002, 5.7521920E+001
 2.0401000E+002, 1.8239157E-002, 5.8045734E+001
 2.0521000E+002, 1.8560837E-002, 5.8095759E+001
 2.0641000E+002, 1.8905879E-002, 5.7454473E+001
 2.0761000E+002, 1.8543842E-002, 5.7623123E+001
 2.0881000E+002, 1.8670852E-002, 5.7752794E+001
 2.1001000E+002, 1.8524423E-002, 5.7677088E+001
 2.1121000E+002, 1.8476899E-002, 5.7902336E+001
 2.1241000E+002, 1.8198992E-002, 5.8263934E+001
 2.1361000E+002, 1.8752480E-002, 5.8124903E+001
 2.1481000E+002, 1.8611487E-002, 5.7998435E+001
 2.1601000E+002, 1.8781153E-002, 5.7611267E+001
 2.1721000E+002, 1.8916213E-002, 5.7478835E+001
 2.1841000E+002, 1.8759498E-002, 5.7418758E+001
 2.1961000E+002, 1.8442807E-002, 5.7740440E+001
 2.2081000E+002, 1.8494255E-002, 5.8029139E+001
 2.2201000E+002, 1.8846639E-002, 5.7629699E+001
 2.2321000E+002, 1.8611219E-002, 5.7690893E+001
 2.2441000E+002, 1.8616268E-002, 5.7860012E+001
 2.2561000E+002, 1.8588205E-002, 5.7870905E+001
 2.2681000E+002, 1.8822646E-002, 5.7618610E+001
 2.2801000E+002, 1.8483165E-002, 5.7979263E+001
 2.2921000E+002, 1.8736594E-002, 5.7881435E+001
 2.3041000E+002, 1.8581500E-002, 5.7849206E+001
 2.3161000E+002, 1.8579960E-002, 5.8049210E+001
 2.3281000E+002, 1.8574028E-002, 5.8132514E+001
 2.3401000E+002, 1.8871409E-002, 5.7776537E+001
 2.3521000E+002, 1.8831391E-002, 5.7574348E+001
 2.3641000E+002, 1.8687309E-002, 5.7858865E+001
 2.3761000E+002, 1.8987694E-002, 5.7439133E+001
 2.3881000E+002, 1.8692246E-002, 5.7487909E+001
 2.4001000E+002, 1.8739440E-002, 5.7614580E+001
 2.4121000E+002, 1.8549701E-002, 5.7859169E+001
 2.4241000E+002, 1.8627916E-002, 5.7960918E+001
 2.4361000E+002, 1.8911611E-002, 5.7719736E+001
 2.4481000E+002, 1.8560888E-002, 5.7842039E+001
 2.4601000E+002, 1.8904062E-002, 5.7779808E+001
 2.4721000E+002, 1.8958298E-002, 5.7242241E+001
 2.4841000E+002, 1.8514381E-002, 5.7897920E+001
 2.4961000E+002, 1.8942664E-002, 5.7664008E+001
 2.5081000E+002, 1.8508393E-002, 5.7710775E+001
 2.5201000E+002, 1.9036008E-002, 5.7683391E+001
 2.5321000E+002, 1.8683673E-002, 5.7592576E+001
 2.5441000E+002, 1.8815630E-002, 5.7679246E+001
 2.5561000E+002, 1.9324497E-002, 5.7040948E+001
 2.5681000E+002, 1.8588066E-002, 5.7682791E+001
 2.5801000E+002, 1.8870079E-002, 5.7339124E+001
 2.5921000E+002, 1.8173489E-002, 5.8018468E+001
 2.6041000E+002, 1.8893094E-002, 5.7884077E+001
 2.6161000E+002, 1.9215131E-002, 5.7408252E+001
 2.6281000E+002, 1.9370345E-002, 5.6643452E+001
 2.6401000E+002, 1.8923331E-002, 5.6888896E+001
 2.6521000E+002, 1.8936913E-002, 5.6901254E+001
 2.6641000E+002, 1.8542770E-002, 5.7392478E+001
 2.6761000E+002, 1.8602444E-002, 5.7711641E+001
 2.6881000E+002, 1.8859739E-002, 5.7568202E+001
 2.7001000E+002, 1.8732846E-002, 5.7565738E+001
 2.7121000E+002, 1.8613988E-002, 5.7899786E+001
 2.7241000E+002, 1.8915020E-002, 5.7652423E+001
 2.7361000E+002, 1.8967778E-002, 5.7441265E+001
 2.7481000E+002, 1.8787428E-002, 5.7471966E+001
 2.7601000E+002, 1.8661738E-002, 5.7854962E+001
 2.7721000E+002, 1.9216845E-002, 5.7005689E+001
 2.7841000E+002, 1.8835186E-002, 5.7822574E+001
 2.7961000E+002, 1.8840854E-002, 5.7398427E+001
 2.8081000E+002, 1.8883301E-002, 5.7290792E+001
 2.8201000E+002, 1.9136126E-002, 5.7364246E+001
 2.8321000E+002, 1.8372762E-002, 5.7661897E+001
 2.8441000E+002, 1.8957445E-002, 5.7476355E+001
 2.8561000E+002, 1.8855860E-002, 5.7792585E+001
 2.8681000E+002, 1.8862433E-002, 5.7635857E+001
 2.8801000E+002, 1.8865392E-002, 5.7492012E+001
 2.8921000E+002, 1.9003194E-002, 5.7668602E+001
 2.9041000E+002, 1.8957349E-002, 5.7230571E+001
 2.9161000E+002, 1.8926043E-002, 5.7413015E+001
 2.9281000E+002, 1.8671850E-002, 5.7635750E+001
 2.9401000E+002, 1.8760317E-002, 5.7876892E+001
 2.9521000E+002, 1.8606727E-002, 5.8002827E+001
 2.9641000E+002, 1.8611986E-002, 5.8276586E+001
 2.9761000E+002, 1.8985226E-002, 5.7994310E+001
 2.9881000E+002, 1.8750511E-002, 5.7908588E+001
 3.0001000E+002, 1.8439278E-002, 5.8446657E+001
 3.0121000E+002, 1.8562773E-002, 5.8738494E+001
 3.0241000E+002, 1.8856911E-002, 5.8504063E+001
 3.0361000E+002, 1.9050734E-002, 5.8134408E+001
 3.0481000E+002, 1.8668143E-002, 5.8210711E+001
 3.0601000E+002, 1.9345841E-002, 5.7995663E+001
 3.0721000E+002, 1.9271343E-002, 5.7212770E+001
 3.0841000E+002, 1.9440546E-002, 5.6957476E+001
 3.0961000E+002, 1.9025935E-002, 5.7044185E+001
 3.1081000E+002, 1.8821749E-002, 5.7460988E+001
 3.1201000E+002, 1.9047221E-002, 5.7340173E+001
 3.1321000E+002, 1.8878320E-002, 5.7540516E+001
 3.1441000E+002, 1.8597221E-002, 5.7798866E+001
 3.1561000E+002, 1.8740734E-002, 5.8163004E+001
 3.1681000E+002, 1.8850558E-002, 5.8092549E+001
 3.1801000E+002, 1.9025800E-002, 5.7860611E+001
 3.1921000E+002, 1.9093861E-002, 5.7610048E+001
 3.2041000E+002, 1.8765762E-002, 5.7919614E+001
 3.2161000E+002, 1.8790231E-002, 5.8007901E+001
 3.2281000E+002, 1.8951340E-002, 5.8023017E+001
 3.2401000E+002, 1.8868274E-002, 5.7988657E+001
 3.2521000E+002, 1.8859716E-002, 5.8049362E+001
 3.2641000E+002, 1.8980385E-002, 5.7999664E+001
 3.2761000E+002, 1.8888335E-002, 5.8053486E+001
 3.2881000E+002, 1.9208873E-002, 5.7720396E+001
 3.3001000E+002, 1.8991470E-002, 5.7793999E+001
 3.3121000E+002, 1.8676962E-002, 5.8109511E+001
 3.3241000E+002, 1.9030901E-002, 5.8058479E+001
 3.3361000E+002, 1.8992488E-002, 5.7896625E+001
 3.3481000E+002, 1.8697764E-002, 5.8288458E+001
 3.3601000E+002, 1.9275364E-002, 5.7806684E+001
 3.3721000E+002, 1.8872447E-002, 5.7986915E+001
 3.3841000E+002, 1.9018363E-002, 5.8040060E+001
 3.3961000E+002, 1.9165900E-002, 5.7540616E+001
 3.4081000E+002, 1.8981661E-002, 5.7874032E+001
 3.4201000E+002, 1.9085486E-002, 5.7660678E+001
 3.4321000E+002, 1.8982638E-002, 5.7780969E+001
 3.4441000E+002, 1.8938684E-002, 5.7833146E+001
 3.4561000E+002, 1.8922993E-002, 5.7968487E+001
 3.4681000E+002, 1.9001936E-002, 5.7988254E+001
 3.4801000E+002, 1.8918292E-002, 5.8159074E+001
 3.4921000E+002, 1.9227788E-002, 5.7733697E+001
 3.5041000E+002, 1.8999948E-002, 5.7775266E+001
 3.5161000E+002, 1.8663646E-002, 5.8251330E+001
 3.5281000E+002, 1.9065424E-002, 5.8134977E+001
 3.5401000E+002, 1.9083792E-002, 5.7977609E+001
 3.5521000E+002, 1.8905790E-002, 5.8060914E+001
 3.5641000E+002, 1.9082826E-002, 5.8064280E+001
 3.5761000E+002, 1.9123712E-002, 5.7924405E+001
 3.5881000E+002, 1.9058360E-002, 5.7903135E+001
 3.6001000E+002, 1.9056268E-002, 5.7823173E+001
 3.6121000E+002, 1.9610089E-002, 5.7312399E+001
 3.6241000E+002, 1.9241309E-002, 5.7248961E+001
 3.6361000E+002, 1.8854433E-002, 5.7655613E+001
 3.6481000E+002, 1.9207360E-002, 5.7739346E+001
 3.6601000E+002, 1.9044603E-002, 5.7575161E+001
 3.6721000E+002, 1.9224045E-002, 5.7480495E+001
 3.6841000E+002, 1.8847997E-002, 5.7777868E+001
 3.6961000E+002, 1.9129636E-002, 5.7767940E+001
 3.7081000E+002, 1.8589707E-002, 5.8277340E+001
 3.7201000E+002, 1.9869572E-002, 5.7323139E+001
 3.7321000E+002, 1.9254708E-002, 5.7808927E+001
 3.7441000E+002, 1.8991066E-002, 5.7085056E+001
 3.7561000E+002, 1.9385075E-002, 5.7514008E+001
 3.7681000E+002, 1.8908622E-002, 5.7425407E+001
 3.7801000E+002, 1.9150514E-002, 5.7622311E+001
 3.7921000E+002, 1.8971636E-002, 5.7819535E+001
 3.8041000E+002, 1.8994545E-002, 5.7960294E+001
 3.8161000E+002, 1.8988233E-002, 5.7691258E+001
 3.8281000E+002, 1.9056999E-002, 5.8184395E+001
 3.8401000E+002, 1.9467258E-002, 5.7161558E+001
 3.8521000E+002, 1.9695786E-002, 5.7430258E+001
 3.8641000E+002, 1.8926183E-002, 5.7364295E+001
 3.8761000E+002, 1.9467591E-002, 5.7096386E+001
 3.8881000E+002, 1.9424604E-002, 5.6884920E+001
 3.9001000E+002, 1.8958003E-002, 5.7506328E+001
 3.9121000E+002, 1.9012921E-002, 5.7872875E+001
 3.9241000E+002, 1.8711687E-002, 5.7926129E+001
 3.9361000E+002, 1.9045763E-002, 5.8009898E+001
 3.9481000E+002, 1.9376221E-002, 5.7649188E+001
 3.9601000E+002, 1.9305885E-002, 5.7408856E+001
 3.9721000E+002, 1.8934462E-002, 5.7823108E+001
 3.9841000E+002, 1.8716383E-002, 5.8250379E+001
 3.9961000E+002, 1.8775377E-002, 5.8679935E+001
 4.0081000E+002, 1.9030876E-002, 5.8490104E+001
 4.0201000E+002, 1.9137982E-002, 5.8345957E+001
 4.0321000E+002, 1.9296447E-002, 5.8108169E+001
 4.0441000E+002, 1.9295732E-002, 5.7833209E+001
 4.0561000E+002, 1.9091655E-002, 5.8028066E+001
 4.0681000E+002, 1.9271416E-002, 5.7915790E+001
 4.0801000E+002, 1.9364897E-002, 5.7707102E+001
 4.0921000E+002, 1.9372109E-002, 5.7480895E+001
 4.1041000E+002, 1.9042245E-002, 5.7732293E+001
 4.1161000E+002, 1.9580191E-002, 5.7647109E+001
 4.1281000E+002, 1.9150461E-002, 5.7503237E+001
 4.1401000E+002, 1.9122024E-002, 5.7704923E+001
 4.1521000E+002, 1.9171116E-002, 5.7902951E+001
 4.1641000E+002, 1.9108052E-002, 5.7954120E+001
 4.1761000E+002, 1.9023197E-002, 5.8150398E+001
 4.1881000E+002, 1.9310761E-002, 5.7902644E+001
 4.2001000E+002, 1.9545608E-002, 5.7675565E+001
 4.2121000E+002, 1.9336096E-002, 5.7352563E+001
 4.2241000E+002, 1.9211442E-002, 5.7687347E+001
 4.2361000E+002, 1.8971901E-002, 5.7951391E+001
 4.2481000E+002, 1.8945505E-002, 5.8464819E+001
 4.2601000E+002, 1.9034463E-002, 5.8236490E+001
 4.2721000E+002, 1.9220731E-002, 5.8365513E+001
 4.2841000E+002, 1.9039411E-002, 5.8531858E+001
 4.2961000E+002, 1.9319869E-002, 5.7967051E+001
 4.3081000E+002, 1.9082035E-002, 5.8299306E+001
 4.3201000E+002, 1.9279933E-002, 5.8386584E+001
 4.3321000E+002, 1.9406035E-002, 5.7983597E+001
 4.3441000E+002, 1.9157473E-002, 5.8223007E+001
 4.3561000E+002, 1.9850156E-002, 5.7469373E+001
 4.3681000E+002, 1.8834405E-002, 5.8342170E+001
 4.3801000E+002, 1.9977532E-002, 5.7211375E+001
 4.3921000E+002, 1.8986193E-002, 5.8187856E+001
 4.4041000E+002, 1.9071577E-002, 5.8046787E+001
 4.4161000E+002, 1.9721876E-002, 5.7382762E+001
 4.4281000E+002, 1.9035964E-002, 5.7953650E+001
 4.4401000E+002, 1.9593412E-002, 5.7807646E+001
 4.4521000E+002, 1.9168255E-002, 5.7892768E+001
 4.4641000E+002, 1.9130816E-002, 5.8082600E+001
 4.4761000E+002, 1.9235528E-002, 5.8153644E+001
 4.4881000E+002, 1.9333841E-002, 5.8041732E+001
 4.5001000E+002, 1.9173630E-002, 5.8259649E+001
 4.5121000E+002, 1.9390579E-002, 5.8032780E+001
 4.5241000E+002, 1.9236428E-002, 5.8124743E+001
 4.5361000E+002, 1.9281382E-002, 5.8299759E+001
 4.5481000E+002, 1.9050496E-002, 5.8375074E+001
 4.5601000E+002, 1.9134132E-002, 5.8746256E+001
 4.5721000E+002, 1.9095938E-002, 5.8660227E+001
 4.5841000E+002, 1.9539254E-002, 5.8291944E+001
 4.5961000E+002, 1.9765190E-002, 5.7923491E+001
 4.6081000E+002, 1.9466211E-002, 5.7761472E+001
 4.6201000E+002, 1.9192633E-002, 5.8119392E+001
 4.6321000E+002, 1.9432368E-002, 5.8019973E+001
 4.6441000E+002, 1.9116178E-002, 5.8483198E+001
 4.6561000E+002, 1.9715105E-002, 5.8007067E+001
 4.6681000E+002, 1.9309948E-002, 5.7945701E+001
 4.6801000E+002, 1.9725112E-002, 5.7672104E+001
 4.6921000E+002, 1.9487366E-002, 5.7665624E+001
 4.7041000E+002, 1.9298550E-002, 5.7867494E+001
 4.7161000E+002, 1.9128852E-002, 5.8315773E+001
 4.7281000E+002, 1.9164670E-002, 5.8513193E+001
 4.7401000E+002, 1.9293262E-002, 5.8573339E+001
 4.7521000E+002, 1.9779144E-002, 5.7966124E+001
 4.7641000E+002, 1.9506393E-002, 5.7852632E+001
 4.7761000E+002, 1.8955964E-002, 5.8491722E+001
 4.7881000E+002, 1.9137824E-002, 5.8819341E+001
 4.8001000E+002, 1.9350170E-002, 5.8695769E+001
 4.8121000E+002, 1.9315347E-002, 5.8655405E+001
 4.8241000E+002, 1.9394131E-002, 5.8660671E+001
 4.8361000E+002, 1.9609752E-002, 5.8216927E+001
 4.8481000E+002, 1.9438104E-002, 5.8343053E+001
 4.8601000E+002, 1.9309314E-002, 5.8544567E+001
 4.8721000E+002, 1.9629120E-002, 5.8367882E+001
 4.8841000E+002, 1.9615433E-002, 5.8040771E+001
 4.8961000E+002, 1.9519324E-002, 5.8246406E+001
 4.9081000E+002, 1.9293755E-002, 5.8417580E+001
 4.9201000E+002, 1.9535390E-002, 5.8314504E+001
 4.9321000E+002, 1.9398463E-002, 5.8402036E+001
 4.9441000E+002, 1.9634712E-002, 5.8278889E+001
 4.9561000E+002, 1.9265137E-002, 5.8379849E+001
 4.9681000E+002, 1.9593716E-002, 5.8440221E+001
 4.9801000E+002, 1.9461100E-002, 5.8444397E+001
 4.9921000E+002, 1.9570823E-002, 5.8297322E+001
 5.0041000E+002, 1.9342508E-002, 5.8464088E+001
 5.0161000E+002, 1.9489370E-002, 5.8582329E+001
 5.0281000E+002, 1.9882794E-002, 5.8182964E+001
 5.0401000E+002, 1.9637347E-002, 5.7806197E+001
 5.0521000E+002, 1.9439984E-002, 5.8356013E+001
 5.0641000E+002, 1.9634257E-002, 5.8158821E+001
 5.0761000E+002, 1.9493934E-002, 5.8224033E+001
 5.0881000E+002, 1.9807813E-002, 5.7768443E+001
 5.1001000E+002, 1.9436893E-002, 5.8723802E+001
 5.1121000E+002, 1.9509302E-002, 5.8219252E+001
 5.1241000E+002, 2.0028981E-002, 5.8090391E+001
 5.1361000E+002, 1.9939572E-002, 5.7441006E+001
 5.1481000E+002, 1.9711843E-002, 5.7590065E+001
 5.1601000E+002, 1.9617450E-002, 5.7738048E+001
 5.1721000E+002, 1.9715237E-002, 5.7583103E+001
 5.1841000E+002, 1.9319263E-002, 5.8521970E+001
 5.1961000E+002, 1.9826125E-002, 5.8125064E+001
 5.2081000E+002, 1.9525040E-002, 5.7989239E+001
 5.2201000E+002, 1.9751812E-002, 5.7822748E+001
 5.2321000E+002, 1.9257155E-002, 5.8498260E+001
 5.2441000E+002, 1.9612937E-002, 5.8420309E+001
 5.2561000E+002, 1.9672139E-002, 5.8299237E+001
 5.2681000E+002, 2.0107294E-002, 5.7771850E+001
 5.2801000E+002, 1.9913616E-002, 5.7560081E+001
 5.2921000E+002, 1.9703679E-002, 5.7685175E+001
 5.3041000E+002, 1.9455018E-002, 5.8397762E+001
 5.3161000E+002, 1.9851301E-002, 5.7826830E+001
 5.3281000E+002, 1.9613406E-002, 5.7919264E+001
 5.3401000E+002, 1.9743611E-002, 5.7998244E+001
 5.3521000E+002, 1.9557799E-002, 5.8321802E+001
 5.3641000E+002, 1.9432197E-002, 5.8495439E+001
 5.3761000E+002, 1.9586877E-002, 5.8617951E+001
 5.3881000E+002, 1.9861292E-002, 5.8264421E+001
 5.4001000E+002, 1.9985585E-002, 5.8022520E+001
 5.4121000E+002, 1.9684596E-002, 5.8097556E+001
 5.4241000E+002, 1.9772242E-002, 5.8115559E+001
 5.4361000E+002, 1.9639796E-002, 5.8327014E+001
 5.4481000E+002, 1.9645222E-002, 5.8373306E+001
 5.4601000E+002, 1.9684517E-002, 5.8457029E+001
 5.4721000E+002, 1.9719615E-002, 5.8443510E+001
 5.4841000E+002, 1.9718257E-002, 5.8444214E+001
 5.4961000E+002, 1.9764800E-002, 5.8458750E+001
 5.5081000E+002, 1.9866588E-002, 5.8324823E+001
 5.5201000E+002, 1.9639090E-002, 5.8494469E+001
 5.5321000E+002, 1.9575849E-002, 5.8701749E+001
 5.5441000E+002, 1.9873368E-002, 5.8844791E+001
 5.5561000E+002, 1.9335431E-002, 5.8542670E+001
 5.5681000E+002, 2.0234753E-002, 5.8536295E+001
