s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2
Time,"MLRPUA","C 1","C 2","R 1","R 2","G 1","G 2","R 1.1","R 1.2","R 1.3","R 1.4"
 3.5002029E+001, 3.0049334E-002, 1.0878134E+000, 4.4735325E-001, 2.6570915E+001, 2.6778671E+001, 4.6857170E-001, 5.3468886E-001, 2.9820881E+001, 3.5545996E+001, 4.0578514E+001, 4.5278992E+001
 3.6001373E+001, 2.9969505E-002, 6.5663154E-001, 4.6606528E-001, 2.5001418E+001, 2.7989044E+001, 5.7059573E-001, 5.2393163E-001, 2.7810200E+001, 3.2961660E+001, 3.7002697E+001, 4.1155955E+001
 3.7000244E+001, 3.1840744E-002, 6.1039856E-001, 5.0927244E-001, 2.5626371E+001, 2.8212745E+001, 5.8849744E-001, 4.8306704E-001, 2.8483987E+001, 3.3601712E+001, 3.7721152E+001, 4.1870675E+001
 3.8001760E+001, 3.0953510E-002, 7.4239308E-001, 5.3634052E-001, 2.7020807E+001, 2.9433887E+001, 5.5938211E-001, 5.1351608E-001, 3.0182987E+001, 3.6023422E+001, 4.1106270E+001, 4.6298425E+001
 3.9001150E+001, 3.0803620E-002, 8.2185834E-001, 6.0570260E-001, 2.5808456E+001, 2.8760865E+001, 5.3764619E-001, 4.8568531E-001, 2.8691985E+001, 3.3768927E+001, 3.8111007E+001, 4.2392222E+001
 4.0002470E+001, 2.9682552E-002, 5.5002747E-001, 4.3689817E-001, 2.5624728E+001, 2.5883239E+001, 6.1914513E-001, 5.4109174E-001, 2.8542264E+001, 3.3844351E+001, 3.8219827E+001, 4.2647257E+001
 4.1001070E+001, 3.0721101E-002, 6.6334896E-001, 3.7194505E-001, 2.5185610E+001, 2.3710463E+001, 5.7770339E-001, 6.0651105E-001, 2.8142238E+001, 3.3329776E+001, 3.7783855E+001, 4.2491629E+001
 4.2002401E+001, 3.2427972E-002, 4.9868773E-001, 5.4929074E-001, 2.4971646E+001, 2.6917620E+001, 6.2628714E-001, 5.5859715E-001, 2.7819995E+001, 3.3208136E+001, 3.7585241E+001, 4.2213117E+001
 4.3002663E+001, 3.2033407E-002, 6.3331456E-001, 7.7117438E-001, 2.6504715E+001, 2.5872146E+001, 5.7818460E-001, 4.8809036E-001, 2.9463339E+001, 3.4894845E+001, 3.9172563E+001, 4.3143223E+001
 4.4002256E+001, 3.1343240E-002, 7.5856679E-001, 5.5622943E-001, 2.6134648E+001, 2.8327940E+001, 5.5238907E-001, 5.5189723E-001, 2.9158694E+001, 3.4338474E+001, 3.8782789E+001, 4.3192474E+001
 4.5001506E+001, 3.1534717E-002, 6.3201146E-001, 4.9452947E-001, 2.6323027E+001, 2.6896689E+001, 5.8426353E-001, 5.2487185E-001, 2.9446534E+001, 3.5566094E+001, 4.1143712E+001, 4.6321478E+001
 4.6002081E+001, 3.1363382E-002, 4.7596802E-001, 7.3749561E-001, 2.4311441E+001, 2.5513292E+001, 6.3047371E-001, 4.3900459E-001, 2.7151778E+001, 3.2529494E+001, 3.7105620E+001, 4.1867990E+001
 4.7000904E+001, 3.0621738E-002, 6.5240451E-001, 4.8431560E-001, 2.4235207E+001, 2.5758000E+001, 5.7750534E-001, 5.1421778E-001, 2.7123803E+001, 3.2395425E+001, 3.6947873E+001, 4.1255318E+001
 4.8002675E+001, 3.1281082E-002, 5.1744580E-001, 3.7070707E-001, 2.5606928E+001, 2.6395689E+001, 6.3060015E-001, 5.4369082E-001, 2.8572708E+001, 3.4130286E+001, 3.8900678E+001, 4.3972628E+001
 4.9002134E+001, 3.2250325E-002, 4.9896927E-001, 4.4541364E-001, 2.4760242E+001, 2.3828037E+001, 6.2342925E-001, 5.2249423E-001, 2.7699324E+001, 3.3154858E+001, 3.7766092E+001, 4.2353727E+001
 5.0001930E+001, 3.2101669E-002, 5.3205050E-001, 2.8133257E-001, 2.4580012E+001, 2.4749315E+001, 6.1243507E-001, 5.8307008E-001, 2.7427243E+001, 3.2521836E+001, 3.6833884E+001, 4.1169983E+001
 5.1001917E+001, 3.2486288E-002, 4.4220584E-001, 4.0343189E-001, 2.5229475E+001, 2.6832448E+001, 6.4623961E-001, 5.5807395E-001, 2.8044323E+001, 3.3460938E+001, 3.7389189E+001, 4.1138628E+001
 5.2002423E+001, 3.2574186E-002, 6.9275958E-001, 5.3644468E-001, 2.5851082E+001, 2.9867639E+001, 5.7387421E-001, 5.2360712E-001, 2.8918161E+001, 3.4172089E+001, 3.9043145E+001, 4.3971757E+001
 5.3000413E+001, 3.2277002E-002, 6.1374828E-001, 4.5717544E-001, 2.4370012E+001, 2.6039631E+001, 6.0302515E-001, 5.1021943E-001, 2.7153441E+001, 3.2173432E+001, 3.6347927E+001, 4.0611245E+001
 5.4002164E+001, 3.2805325E-002, 4.4430007E-001, 3.8162859E-001, 2.4422867E+001, 2.5726939E+001, 6.6438820E-001, 5.4723780E-001, 2.7388542E+001, 3.3148723E+001, 3.8478494E+001, 4.4222736E+001
 5.5001706E+001, 3.3808070E-002, 3.4535118E-001, 4.5499939E-001, 2.5688973E+001, 2.4904651E+001, 6.7751827E-001, 4.9610636E-001, 2.8731278E+001, 3.4643708E+001, 3.9875321E+001, 4.5621936E+001
 5.6001298E+001, 3.3129748E-002, 7.0590051E-001, 3.3808694E-001, 2.4800388E+001, 2.2263919E+001, 5.5147435E-001, 5.7713954E-001, 2.7691608E+001, 3.2715007E+001, 3.7010739E+001, 4.1281143E+001
 5.7002202E+001, 3.2870468E-002, 5.1087111E-001, 4.1330695E-001, 2.5937017E+001, 2.4408165E+001, 6.2162110E-001, 5.5513509E-001, 2.9018741E+001, 3.4978799E+001, 4.0229359E+001, 4.5480982E+001
 5.8000244E+001, 3.3465643E-002, 4.4355697E-001, 4.1086317E-001, 2.4905902E+001, 2.4701043E+001, 6.2398364E-001, 5.9205208E-001, 2.7779316E+001, 3.3142775E+001, 3.7693363E+001, 4.2187263E+001
 5.9001310E+001, 3.3783010E-002, 4.1885779E-001, 2.9798962E-001, 2.5483935E+001, 2.5659625E+001, 6.4670997E-001, 6.6891872E-001, 2.8548006E+001, 3.4177513E+001, 3.9146115E+001, 4.4408999E+001
 6.0000273E+001, 3.3381535E-002, 4.3465123E-001, 3.2853295E-001, 2.4568205E+001, 2.2982903E+001, 6.5046126E-001, 6.4493712E-001, 2.7420022E+001, 3.2847583E+001, 3.7146877E+001, 4.1543212E+001
 6.1000629E+001, 3.3279052E-002, 4.3551258E-001, 5.7429900E-001, 2.3912256E+001, 2.3834349E+001, 6.5774789E-001, 5.7946524E-001, 2.6760992E+001, 3.1885312E+001, 3.6049380E+001, 3.9860541E+001
 6.2000652E+001, 3.4521827E-002, 3.0586074E-001, 4.7265963E-001, 2.4829533E+001, 2.5875070E+001, 7.1415503E-001, 6.1199736E-001, 2.7653297E+001, 3.3022338E+001, 3.7614461E+001, 4.2490946E+001
 6.3001155E+001, 3.4675517E-002, 5.0781062E-001, 5.1386695E-001, 2.5352194E+001, 2.6129198E+001, 6.4533393E-001, 5.9145559E-001, 2.8276274E+001, 3.3446103E+001, 3.7994300E+001, 4.2790994E+001
 6.4002474E+001, 3.4868428E-002, 4.3638354E-001, 4.7545381E-001, 2.5288022E+001, 2.5168723E+001, 6.6559806E-001, 6.0047983E-001, 2.8307519E+001, 3.3844719E+001, 3.8573279E+001, 4.3191927E+001
 6.5000400E+001, 3.4878114E-002, 5.6171026E-001, 2.1725784E-001, 2.5559294E+001, 2.4798742E+001, 6.3703147E-001, 6.7759991E-001, 2.8548839E+001, 3.4350588E+001, 3.9447555E+001, 4.4948723E+001
 6.6001433E+001, 3.4502334E-002, 6.7265040E-001, 2.5631150E-001, 2.4583952E+001, 2.4526164E+001, 5.9427911E-001, 6.6828132E-001, 2.7401741E+001, 3.2437364E+001, 3.6431364E+001, 4.0375213E+001
 6.7000233E+001, 3.5483588E-002, 4.4304981E-001, 4.5691826E-001, 2.5685169E+001, 2.6199318E+001, 6.6774319E-001, 6.1528192E-001, 2.8589188E+001, 3.4311628E+001, 3.8953348E+001, 4.3681247E+001
 6.8002026E+001, 3.5650392E-002, 5.4651050E-001, 4.9158750E-001, 2.4380638E+001, 2.3646058E+001, 6.2362794E-001, 6.1637607E-001, 2.7297223E+001, 3.2429139E+001, 3.6951666E+001, 4.1209251E+001
 6.9001979E+001, 3.5422830E-002, 3.2197672E-001, 5.4831320E-001, 2.5137845E+001, 2.5828701E+001, 6.9569573E-001, 5.9754992E-001, 2.7946785E+001, 3.3834434E+001, 3.8551209E+001, 4.3510614E+001
 7.0000145E+001, 3.5249253E-002, 5.9073849E-001, 4.6689906E-001, 2.5546174E+001, 2.4180140E+001, 6.1362022E-001, 6.1837084E-001, 2.8550522E+001, 3.3807714E+001, 3.8438878E+001, 4.3517833E+001
 7.1000503E+001, 3.5250608E-002, 4.4059619E-001, 4.7743806E-001, 2.4948995E+001, 2.5775764E+001, 6.6796320E-001, 5.9135108E-001, 2.7838648E+001, 3.3402859E+001, 3.7889218E+001, 4.2344016E+001
 7.2001170E+001, 3.5902777E-002, 6.0204929E-001, 3.8338234E-001, 2.3734306E+001, 2.3195468E+001, 6.1584260E-001, 6.1342454E-001, 2.6536417E+001, 3.1150940E+001, 3.4932613E+001, 3.8791231E+001
 7.3002114E+001, 3.6474510E-002, 3.8648289E-001, 4.5404612E-001, 2.4536948E+001, 2.5435356E+001, 6.8492831E-001, 6.0809625E-001, 2.7245120E+001, 3.2307969E+001, 3.6263655E+001, 4.0214618E+001
