s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 4.6500217E+002, 2.7373857E+002,-1.4590002E+002,-4.5113987E+001,-9.6012794E+001,-1.8652892E-001,-2.7447091E+000, 0.0000000E+000,-1.6117024E+001,-1.6219468E+001, 1.1662821E-002, 1.1662821E-002,-1.2912651E+002
 4.8000476E+002, 2.6079073E+002,-1.4288267E+002,-4.2984567E+001,-9.3554966E+001,-1.8940883E-001,-4.4905910E-001, 0.0000000E+000,-1.8713351E+001,-1.9269937E+001, 1.1599825E-002, 1.1599825E-002,-1.5724291E+002
 4.9500427E+002, 2.7767877E+002,-1.4573793E+002,-4.4353226E+001,-9.2920546E+001,-1.7445695E-001, 1.0932292E+000, 0.0000000E+000,-3.2478435E+000,-4.4141585E+000, 1.1536823E-002, 1.1536823E-002,-8.9108446E+001
 5.1002417E+002, 2.5137444E+002,-1.4152416E+002,-4.1810529E+001,-8.9763039E+001,-2.4062753E-001, 1.2995925E+000, 0.0000000E+000,-2.0469597E+001,-2.0664318E+001, 1.1473785E-002, 1.1473785E-002,-8.8223259E+000
 5.2500787E+002, 3.5432181E+002,-1.5625689E+002,-5.3044282E+001,-9.5793747E+001,-2.1970196E-001, 1.4569571E+000, 0.0000000E+000, 5.0474993E+001, 5.0464143E+001, 1.1410770E-002, 1.1410770E-002, 8.2373640E+001
 5.4002277E+002, 3.6172849E+002,-1.7249765E+002,-5.2932549E+001,-1.0269129E+002,-1.5139914E-001, 1.5362503E-001, 0.0000000E+000, 3.3571482E+001, 3.3609231E+001, 1.1347783E-002, 1.1347783E-002, 9.1944124E+001
 5.5501324E+002, 3.9724892E+002,-1.9740399E+002,-5.4453380E+001,-1.1306631E+002,-1.6379397E-001,-8.3497151E-001, 0.0000000E+000, 3.1341312E+001, 3.1326471E+001, 1.1284776E-002, 1.1284776E-002, 3.8484271E+001
 5.7001367E+002, 4.1224942E+002,-2.0421115E+002,-5.6654617E+001,-1.1639500E+002,-2.6262870E-001, 7.7897525E-001, 0.0000000E+000, 3.5556418E+001, 3.5504997E+001, 1.1221788E-002, 1.1221788E-002, 8.7009387E+001
 5.8500537E+002, 4.3160280E+002,-2.0991950E+002,-5.8699088E+001,-1.2170554E+002,-2.8895072E-001, 3.3090917E-001, 0.0000000E+000, 4.1284825E+001, 4.1320624E+001, 1.1158803E-002, 1.1158803E-002, 1.0678172E+002
 6.0000964E+002, 4.1799314E+002,-2.2183135E+002,-5.6276969E+001,-1.2574989E+002,-2.8195235E-001,-1.5975396E+000, 0.0000000E+000, 1.2499847E+001, 1.2255443E+001, 1.1095815E-002, 1.1095815E-002, 7.6264346E+000
