s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 3.2000667E+003, 0.0000000E+000,-2.5292306E-001,-7.0417305E-001,-1.2598645E-002,-2.7322623E-006, 3.3945824E-003, 0.0000000E+000,-9.7725534E-001,-9.6630291E-001, 0.0000000E+000, 0.0000000E+000, 1.0030274E+002
 3.2100710E+003, 0.0000000E+000,-2.2944268E-001,-6.9628965E-001, 6.5058211E-003,-2.7276468E-006, 4.5592276E-003, 0.0000000E+000,-9.2521888E-001,-9.1467000E-001, 0.0000000E+000, 0.0000000E+000, 1.0068197E+002
 3.2200754E+003, 0.0000000E+000,-2.0731799E-001,-6.9239497E-001, 2.5497613E-002,-2.5297617E-006, 4.0658004E-003, 0.0000000E+000,-8.8047880E-001,-8.7015208E-001, 0.0000000E+000, 0.0000000E+000, 1.0102081E+002
 3.2300034E+003, 0.0000000E+000,-1.8806090E-001,-6.8755785E-001, 2.9130864E-002,-3.8916282E-006, 1.8510333E-003, 0.0000000E+000,-8.5433495E-001,-8.4464074E-001, 0.0000000E+000, 0.0000000E+000, 1.0117831E+002
 3.2400078E+003, 0.0000000E+000,-1.6903537E-001,-6.8274633E-001, 4.2381995E-002,-4.8284690E-006, 3.8518774E-003, 0.0000000E+000,-8.1530516E-001,-8.0555266E-001, 0.0000000E+000, 0.0000000E+000, 1.0149935E+002
 3.2500122E+003, 0.0000000E+000,-1.5051923E-001,-6.7874841E-001, 6.3095938E-002,-1.9867178E-006, 3.5967199E-003, 0.0000000E+000,-7.7192527E-001,-7.6257696E-001, 0.0000000E+000, 0.0000000E+000, 1.0179871E+002
 3.2600166E+003, 0.0000000E+000,-1.3472457E-001,-6.7487862E-001, 6.9118207E-002,-2.7294445E-006, 1.9066962E-003, 0.0000000E+000,-7.4774882E-001,-7.3858102E-001, 0.0000000E+000, 0.0000000E+000, 1.0195759E+002
 3.2700210E+003, 0.0000000E+000,-1.2000565E-001,-6.6993745E-001, 7.1545998E-002,-2.3374056E-006, 2.2022316E-003, 0.0000000E+000,-7.2533839E-001,-7.1619721E-001, 0.0000000E+000, 0.0000000E+000, 1.0214097E+002
 3.2800254E+003, 0.0000000E+000,-1.0436047E-001,-6.6515123E-001, 7.7257661E-002,-2.4813585E-006, 2.3305650E-003, 0.0000000E+000,-6.9845177E-001,-6.8992596E-001, 0.0000000E+000, 0.0000000E+000, 1.0233535E+002
 3.2900298E+003, 0.0000000E+000,-8.9613547E-002,-6.6019513E-001, 8.9302627E-002,-2.1316478E-006, 2.3049090E-003, 0.0000000E+000,-6.6683788E-001,-6.5820328E-001, 0.0000000E+000, 0.0000000E+000, 1.0253100E+002
 3.3000000E+003, 0.0000000E+000,-7.6311545E-002,-6.5707193E-001, 9.6065957E-002,-1.7786396E-006, 2.1037735E-003, 0.0000000E+000,-6.4338047E-001,-6.3521552E-001, 0.0000000E+000, 0.0000000E+000, 1.0270693E+002
