s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
 1.6001077E+002, 1.2848593E+002,-4.6516733E+001,-9.7282863E+000,-3.2439815E+001,-3.5788393E-001,-5.0178750E-001, 0.0000000E+000, 0.0000000E+000, 3.8641772E+001, 3.8941422E+001, 3.0470133E-003, 3.0470133E-003, 2.7570773E+002
 1.7000320E+002, 1.2616510E+002,-4.7980173E+001,-8.9610643E+000,-3.4206319E+001,-3.5427223E-001,-4.5852330E-001, 0.0000000E+000, 0.0000000E+000, 3.3869346E+001, 3.4204744E+001, 3.0014162E-003, 3.0014162E-003, 2.3723424E+002
 1.8001089E+002, 1.2484116E+002,-4.9392502E+001,-7.9672303E+000,-3.5412685E+001,-3.4603718E-001,-1.6725555E-001, 0.0000000E+000, 0.0000000E+000, 3.1204547E+001, 3.1555454E+001, 2.9558191E-003, 2.9558191E-003, 2.2278061E+002
 1.9001138E+002, 1.2245469E+002,-5.0144807E+001,-7.3884433E+000,-3.7215563E+001,-3.4287416E-001,-2.7101476E-001, 0.0000000E+000, 0.0000000E+000, 2.6834415E+001, 2.7091987E+001, 2.9102031E-003, 2.9102031E-003, 2.0073970E+002
 2.0000172E+002, 1.2041229E+002,-5.1120784E+001,-6.4315563E+000,-3.8199648E+001,-3.3812175E-001, 1.7556423E-001, 0.0000000E+000, 0.0000000E+000, 2.4127498E+001, 2.4497743E+001, 2.8646431E-003, 2.8646431E-003, 2.1476645E+002
 2.1001048E+002, 1.1867631E+002,-5.1859687E+001,-6.1386866E+000,-3.9448329E+001,-3.3452957E-001,-2.0334751E-001, 0.0000000E+000, 0.0000000E+000, 2.0368509E+001, 2.0691730E+001, 2.8190563E-003, 2.8190563E-003, 1.9814268E+002
 2.2000676E+002, 1.1724501E+002,-5.2433410E+001,-5.8396425E+000,-4.0656839E+001,-3.2874427E-001,-2.1984802E-001, 0.0000000E+000, 0.0000000E+000, 1.7398838E+001, 1.7766529E+001, 2.7810098E-003, 2.7810098E-003, 1.7931392E+002
 2.3000214E+002, 1.1701455E+002,-5.3048741E+001,-5.5126526E+000,-4.1202024E+001,-3.2894586E-001, 3.5822888E-001, 0.0000000E+000, 0.0000000E+000, 1.6899919E+001, 1.7280413E+001, 2.7602515E-003, 2.7602515E-003, 2.0917516E+002
 2.4000002E+002, 1.1503772E+002,-5.3392502E+001,-5.5024665E+000,-4.1392097E+001,-3.2481453E-001,-1.4907341E-001, 0.0000000E+000, 0.0000000E+000, 1.3890264E+001, 1.4276762E+001, 2.7401777E-003, 2.7401777E-003, 1.9649784E+002
 2.5001076E+002, 1.1457547E+002,-5.3592059E+001,-5.4554227E+000,-4.2171218E+001,-3.2251673E-001, 2.4210574E-002, 0.0000000E+000, 0.0000000E+000, 1.2688000E+001, 1.3058466E+001, 2.7200996E-003, 2.7200996E-003, 1.9873969E+002
 2.6001187E+002, 1.1352759E+002,-5.4084292E+001,-5.4852608E+000,-4.2778757E+001,-3.2162228E-001,-1.8020310E-001, 0.0000000E+000, 0.0000000E+000, 1.0249404E+001, 1.0677457E+001, 2.7000381E-003, 2.7000381E-003, 1.8301971E+002
 2.7000284E+002, 1.1374243E+002,-5.4484260E+001,-5.4756938E+000,-4.3713605E+001,-3.2231474E-001,-1.2659615E-001, 0.0000000E+000, 0.0000000E+000, 9.2582890E+000, 9.6199631E+000, 2.6937996E-003, 2.6937996E-003, 1.7264250E+002
 2.8001285E+002, 1.1383208E+002,-5.4949101E+001,-5.5301406E+000,-4.3527438E+001,-3.2219973E-001, 1.6254616E-001, 0.0000000E+000, 0.0000000E+000, 9.2676757E+000, 9.6657441E+000, 2.7001363E-003, 2.7001363E-003, 1.8622633E+002
 2.9001373E+002, 1.1334485E+002,-5.5118335E+001,-5.5159127E+000,-4.4029686E+001,-3.1591052E-001,-8.6556630E-002, 0.0000000E+000, 0.0000000E+000, 7.9019886E+000, 8.2784530E+000, 2.7064751E-003, 2.7064751E-003, 1.7910457E+002
 3.0000888E+002, 1.1402566E+002,-5.5713309E+001,-5.4598018E+000,-4.4352280E+001,-3.2114677E-001,-8.8640565E-002, 0.0000000E+000, 0.0000000E+000, 7.6813212E+000, 8.0904843E+000, 2.7113917E-003, 2.7113917E-003, 1.7133362E+002
 3.1001373E+002, 1.1315390E+002,-5.5893624E+001,-5.6497816E+000,-4.4558633E+001,-3.1827681E-001,-1.4801839E-001, 0.0000000E+000, 0.0000000E+000, 6.1795567E+000, 6.5855691E+000, 2.6888094E-003, 2.6888094E-003, 1.5878901E+002
 3.2000464E+002, 1.1208439E+002,-5.6023969E+001,-5.5171254E+000,-4.4531546E+001,-3.1328947E-001, 7.5275835E-002, 0.0000000E+000, 0.0000000E+000, 5.4204307E+000, 5.7737402E+000, 2.6556216E-003, 2.6556216E-003, 1.6532289E+002
 3.3000128E+002, 1.1001130E+002,-5.5684886E+001,-5.4978448E+000,-4.4697940E+001,-3.1200754E-001,-2.8547124E-001, 0.0000000E+000, 0.0000000E+000, 3.1400789E+000, 3.5331546E+000, 2.6224592E-003, 2.6224592E-003, 1.4140031E+002
 3.4000858E+002, 1.0986795E+002,-5.5868514E+001,-5.4260808E+000,-4.4763774E+001,-3.0614509E-001, 1.2008766E-001, 0.0000000E+000, 0.0000000E+000, 3.1883039E+000, 3.6235243E+000, 2.5892653E-003, 2.5892653E-003, 1.5055368E+002
 3.5000858E+002, 1.0732641E+002,-5.5290519E+001,-5.4460061E+000,-4.4580050E+001,-3.0253898E-001,-2.1900515E-001, 0.0000000E+000, 0.0000000E+000, 1.1215673E+000, 1.4882886E+000, 2.5560668E-003, 2.5560668E-003, 1.3221543E+002
 3.6001187E+002, 1.0630827E+002,-5.4889269E+001,-5.3939372E+000,-4.4422731E+001,-3.0453443E-001, 5.2929965E-002, 0.0000000E+000, 0.0000000E+000, 1.0188521E+000, 1.3507317E+000, 2.5228786E-003, 2.5228786E-003, 1.3699218E+002
 3.7001144E+002, 1.0546160E+002,-5.4575654E+001,-5.3753534E+000,-4.4611380E+001,-2.9725396E-001,-2.7327751E-002, 0.0000000E+000, 0.0000000E+000, 1.9063820E-001, 5.7463115E-001, 2.4896611E-003, 2.4896611E-003, 1.3419474E+002
 3.8000119E+002, 1.0335957E+002,-5.4271123E+001,-5.3151117E+000,-4.4025404E+001,-2.9271368E-001,-1.3351975E-001, 0.0000000E+000, 0.0000000E+000,-1.0807112E+000,-6.7830016E-001, 2.4564932E-003, 2.4564932E-003, 1.2222061E+002
 3.9000513E+002, 1.0185600E+002,-5.3581167E+001,-5.2394014E+000,-4.2914173E+001,-2.8875793E-001,-3.4476535E-002, 0.0000000E+000, 0.0000000E+000,-5.1202121E-001,-2.0197875E-001, 2.4233146E-003, 2.4233146E-003, 1.1976076E+002
 4.0001151E+002, 1.0102755E+002,-5.3153684E+001,-5.3063943E+000,-4.3218626E+001,-2.8648244E-001,-1.7057520E-001, 0.0000000E+000, 0.0000000E+000,-1.4459634E+000,-1.1082126E+000, 2.3901177E-003, 2.3901177E-003, 1.0541042E+002
 4.1000348E+002, 9.9137095E+001,-5.2615929E+001,-5.2489653E+000,-4.3077975E+001,-2.8471911E-001,-1.8993533E-001, 0.0000000E+000, 0.0000000E+000,-2.6170541E+000,-2.2804284E+000, 2.3569296E-003, 2.3569296E-003, 8.9322186E+001
 4.2000308E+002, 9.7834391E+001,-5.2067017E+001,-5.0513836E+000,-4.2956809E+001,-2.7951901E-001, 6.2396619E-002, 0.0000000E+000, 0.0000000E+000,-2.7690014E+000,-2.4579407E+000, 2.3237516E-003, 2.3237516E-003, 9.4392940E+001
 4.3000122E+002, 9.7005133E+001,-5.1520411E+001,-5.1537189E+000,-4.2445664E+001,-2.8054184E-001, 3.3414134E-002, 0.0000000E+000, 0.0000000E+000,-2.6714137E+000,-2.3617886E+000, 2.2905726E-003, 2.2905726E-003, 9.7104606E+001
 4.4000790E+002, 9.5483459E+001,-5.1057044E+001,-5.1112139E+000,-4.1630152E+001,-2.7520833E-001, 8.6597842E-002, 0.0000000E+000, 0.0000000E+000,-2.8101951E+000,-2.5035613E+000, 2.2573614E-003, 2.2573614E-003, 1.0407208E+002
 4.5000970E+002, 9.4404586E+001,-5.0278275E+001,-5.0306169E+000,-4.1682979E+001,-2.6996901E-001, 2.1933330E-002, 0.0000000E+000, 0.0000000E+000,-3.1160708E+000,-2.8353201E+000, 2.2241598E-003, 2.2241598E-003, 1.0600070E+002
 4.6000909E+002, 9.1935205E+001,-4.9674198E+001,-5.0119146E+000,-4.1160363E+001,-2.6826023E-001,-2.2469974E-001, 0.0000000E+000, 0.0000000E+000,-4.7074667E+000,-4.4042312E+000, 2.1909712E-003, 2.1909712E-003, 8.7031066E+001
 4.7000259E+002, 9.1149798E+001,-4.9166157E+001,-5.0589891E+000,-4.0638116E+001,-2.6246576E-001, 6.4281747E-002, 0.0000000E+000, 0.0000000E+000,-4.2159878E+000,-3.9116488E+000, 2.1578049E-003, 2.1578049E-003, 9.1995636E+001
 4.8000653E+002, 9.0335972E+001,-4.8553647E+001,-4.9449692E+000,-4.0489239E+001,-2.6051111E-001, 8.3920851E-002, 0.0000000E+000, 0.0000000E+000,-4.1192690E+000,-3.8284745E+000, 2.1246182E-003, 2.1246182E-003, 9.8811146E+001
 4.9001050E+002, 8.8088223E+001,-4.7723487E+001,-5.0193506E+000,-3.9420042E+001,-2.5726250E-001,-8.9427020E-002, 0.0000000E+000, 0.0000000E+000,-4.7106828E+000,-4.4213454E+000, 2.0914131E-003, 2.0914131E-003, 9.1124860E+001
 5.0000323E+002, 8.7501605E+001,-4.7166102E+001,-4.9185016E+000,-3.9015590E+001,-2.5682293E-001, 4.1077171E-002, 0.0000000E+000, 0.0000000E+000,-4.0728596E+000,-3.8143348E+000, 2.0658112E-003, 2.0658112E-003, 9.4727780E+001
 5.1000394E+002, 8.6594005E+001,-4.6729338E+001,-4.8616639E+000,-3.8592099E+001,-2.5114672E-001, 3.3343490E-002, 0.0000000E+000, 0.0000000E+000,-4.0871742E+000,-3.8068989E+000, 2.0513904E-003, 2.0513904E-003, 9.7386317E+001
 5.2001331E+002, 8.6222851E+001,-4.6178686E+001,-4.9222800E+000,-3.8161234E+001,-2.5203781E-001, 3.3863783E-002, 0.0000000E+000, 0.0000000E+000,-3.5456481E+000,-3.2575229E+000, 2.0370446E-003, 2.0370446E-003, 9.9983913E+001
 5.3001178E+002, 8.4955647E+001,-4.5864460E+001,-4.9324571E+000,-3.7542029E+001,-2.5090362E-001,-2.4783206E-002, 0.0000000E+000, 0.0000000E+000,-3.9521972E+000,-3.6589853E+000, 2.0227080E-003, 2.0227080E-003, 9.7452758E+001
 5.4000281E+002, 8.4919269E+001,-4.5359168E+001,-4.9745235E+000,-3.6937549E+001,-2.4964304E-001, 5.3365336E-002, 0.0000000E+000, 0.0000000E+000,-2.8420544E+000,-2.5482490E+000, 2.0083766E-003, 2.0083766E-003, 1.0169167E+002
 5.5000391E+002, 8.4261648E+001,-4.4839591E+001,-4.8935868E+000,-3.6799877E+001,-2.4736925E-001, 7.4911170E-002, 0.0000000E+000, 0.0000000E+000,-2.6918029E+000,-2.4438642E+000, 1.9940484E-003, 1.9940484E-003, 1.0814835E+002
 5.6001233E+002, 8.3264688E+001,-4.4638423E+001,-4.8983346E+000,-3.6726486E+001,-2.4878659E-001,-1.4048151E-001, 0.0000000E+000, 0.0000000E+000,-3.7046486E+000,-3.3878228E+000, 1.9797033E-003, 1.9797033E-003, 9.5802563E+001
 5.7000775E+002, 8.2614252E+001,-4.4203480E+001,-4.8135824E+000,-3.5738051E+001,-2.4585233E-001, 8.7139757E-002, 0.0000000E+000, 0.0000000E+000,-2.5473242E+000,-2.2995741E+000, 1.9653554E-003, 1.9653554E-003, 1.0343669E+002
 5.8000287E+002, 8.2370622E+001,-4.3781522E+001,-4.7966622E+000,-3.6145886E+001,-2.4166829E-001, 2.1056597E-002, 0.0000000E+000, 0.0000000E+000,-2.8473497E+000,-2.5740591E+000, 1.9543678E-003, 1.9543678E-003, 1.0491869E+002
 5.9000183E+002, 8.2579917E+001,-4.3533425E+001,-4.8021591E+000,-3.5864128E+001,-2.4182616E-001, 5.5156644E-002, 0.0000000E+000, 0.0000000E+000,-2.0602582E+000,-1.8064640E+000, 1.9573762E-003, 1.9573762E-003, 1.0968431E+002
 6.0000171E+002, 8.3110908E+001,-4.3501130E+001,-4.7928630E+000,-3.5250703E+001,-2.4250629E-001, 1.5185084E-001, 0.0000000E+000, 0.0000000E+000,-8.1964277E-001,-5.2444252E-001, 1.9619398E-003, 1.9619398E-003, 1.2220779E+002
 6.1000739E+002, 8.2670909E+001,-4.3352395E+001,-4.7804760E+000,-3.5432744E+001,-2.4507368E-001,-1.2304824E-001, 0.0000000E+000, 0.0000000E+000,-1.5632119E+000,-1.2628279E+000, 1.9665051E-003, 1.9665051E-003, 1.1166516E+002
 6.2000153E+002, 8.3647824E+001,-4.3447075E+001,-4.8509687E+000,-3.5180343E+001,-2.4550094E-001, 1.6900248E-001, 0.0000000E+000, 0.0000000E+000,-2.3045364E-001, 9.2938844E-002, 1.9710697E-003, 1.9710697E-003, 1.2528291E+002
 6.3001636E+002, 8.2796016E+001,-4.3030565E+001,-4.8222521E+000,-3.4906668E+001,-2.4477407E-001,-1.1255142E-001, 0.0000000E+000, 0.0000000E+000,-5.9251820E-001,-3.2079540E-001, 1.9756381E-003, 1.9756381E-003, 1.1599976E+002
 6.4000806E+002, 8.4222167E+001,-4.3211397E+001,-4.8552308E+000,-3.5250236E+001,-2.4664532E-001, 1.4473694E-001, 0.0000000E+000, 0.0000000E+000, 5.1835394E-001, 8.0339468E-001, 1.9802045E-003, 1.9802045E-003, 1.2813298E+002
 6.5000012E+002, 8.3326955E+001,-4.3172910E+001,-4.8437717E+000,-3.4633898E+001,-2.4639130E-001,-3.7630144E-002, 0.0000000E+000, 0.0000000E+000, 8.4472412E-002, 3.9235462E-001, 1.9847657E-003, 1.9847657E-003, 1.2476167E+002
 6.6000433E+002, 8.4119175E+001,-4.3159597E+001,-4.9215732E+000,-3.4774429E+001,-2.4693940E-001, 9.7751902E-002, 0.0000000E+000, 0.0000000E+000, 8.1095801E-001, 1.1143873E+000, 1.9893288E-003, 1.9893288E-003, 1.3281899E+002
 6.7000317E+002, 8.4159618E+001,-4.3324661E+001,-4.8849964E+000,-3.4920909E+001,-2.4738851E-001,-1.6340650E-002, 0.0000000E+000, 0.0000000E+000, 4.6133087E-001, 7.6532235E-001, 1.9938956E-003, 1.9938956E-003, 1.3117044E+002
 6.8000153E+002, 8.3874847E+001,-4.3211310E+001,-4.9120772E+000,-3.4751510E+001,-2.5052583E-001,-8.5620824E-002, 0.0000000E+000, 0.0000000E+000, 3.6281815E-001, 6.6380231E-001, 1.9984592E-003, 1.9984592E-003, 1.2396870E+002
 6.9000714E+002, 8.4851069E+001,-4.3374261E+001,-4.9261250E+000,-3.4889733E+001,-2.4963372E-001, 1.0578265E-001, 0.0000000E+000, 0.0000000E+000, 1.1895965E+000, 1.5170982E+000, 2.0030242E-003, 2.0030242E-003, 1.3245907E+002
 7.0000476E+002, 8.4837204E+001,-4.3454321E+001,-4.8982167E+000,-3.5081301E+001,-2.4942976E-001, 6.0627859E-002, 0.0000000E+000, 0.0000000E+000, 8.8057984E-001, 1.2145629E+000, 2.0075912E-003, 2.0075912E-003, 1.3693235E+002
 7.1000598E+002, 8.4577546E+001,-4.3330178E+001,-4.9823018E+000,-3.4844737E+001,-2.5040583E-001,-3.2871132E-002, 0.0000000E+000, 0.0000000E+000, 8.7794264E-001, 1.1370522E+000, 2.0121557E-003, 2.0121557E-003, 1.3470632E+002
 7.2000525E+002, 8.4950156E+001,-4.3494904E+001,-4.9390212E+000,-3.4900656E+001,-2.4971478E-001,-1.5325139E-002, 0.0000000E+000, 0.0000000E+000, 1.0230268E+000, 1.3505343E+000, 2.0167213E-003, 2.0167213E-003, 1.3296160E+002
 7.3000800E+002, 8.5241629E+001,-4.3484654E+001,-4.9717239E+000,-3.4869698E+001,-2.4998009E-001, 1.1475030E-001, 0.0000000E+000, 0.0000000E+000, 1.4628558E+000, 1.7803240E+000, 2.0212859E-003, 2.0212859E-003, 1.4236397E+002
 7.4001331E+002, 8.5342170E+001,-4.3639697E+001,-4.9621207E+000,-3.5021495E+001,-2.5286997E-001,-1.4376604E-001, 0.0000000E+000, 0.0000000E+000, 1.0126155E+000, 1.3222213E+000, 2.0258522E-003, 2.0258522E-003, 1.3026857E+002
 7.5000214E+002, 8.5919841E+001,-4.3677854E+001,-4.9060958E+000,-3.4866121E+001,-2.5218251E-001, 1.8962762E-001, 0.0000000E+000, 0.0000000E+000, 2.0858784E+000, 2.4072150E+000, 2.0304161E-003, 2.0304161E-003, 1.4587383E+002
 7.6000751E+002, 8.5321851E+001,-4.3678773E+001,-4.9212254E+000,-3.4986327E+001,-2.4956246E-001,-9.4996345E-002, 0.0000000E+000, 0.0000000E+000, 1.0848206E+000, 1.3909661E+000, 2.0349800E-003, 2.0349800E-003, 1.3785977E+002
 7.7000446E+002, 8.6481565E+001,-4.4341411E+001,-5.0803883E+000,-3.4937949E+001,-2.5378049E-001,-2.3484694E-002, 0.0000000E+000, 0.0000000E+000, 1.4975641E+000, 1.8445523E+000, 2.0395457E-003, 2.0395457E-003, 1.3511891E+002
 7.8000122E+002, 8.5891085E+001,-4.3914071E+001,-4.9950750E+000,-3.4891128E+001,-2.5560351E-001, 1.0155839E-002, 0.0000000E+000, 0.0000000E+000, 1.5572756E+000, 1.8453630E+000, 2.0441096E-003, 2.0441096E-003, 1.3624028E+002
 7.9001019E+002, 8.6181335E+001,-4.4211424E+001,-5.0440035E+000,-3.5044810E+001,-2.5555078E-001,-5.3000097E-002, 0.0000000E+000, 0.0000000E+000, 1.2696618E+000, 1.5725465E+000, 2.0486750E-003, 2.0486750E-003, 1.3180141E+002
 8.0000055E+002, 8.7027851E+001,-4.4417002E+001,-5.0949436E+000,-3.5208464E+001,-2.5646487E-001, 7.7502271E-002, 0.0000000E+000, 0.0000000E+000, 1.7873269E+000, 2.1284779E+000, 2.0532393E-003, 2.0532393E-003, 1.3774104E+002
 8.1001520E+002, 8.6551144E+001,-4.4105949E+001,-5.1479574E+000,-3.5332967E+001,-2.5380091E-001,-2.7810820E-002, 0.0000000E+000, 0.0000000E+000, 1.4101537E+000, 1.6826589E+000, 2.0578050E-003, 2.0578050E-003, 1.3579782E+002
 8.2000073E+002, 8.7660890E+001,-4.4691112E+001,-5.0647834E+000,-3.5514961E+001,-2.5698234E-001, 1.4944585E-001, 0.0000000E+000, 0.0000000E+000, 1.9380221E+000, 2.2824968E+000, 2.0623698E-003, 2.0623698E-003, 1.4780215E+002
 8.3000940E+002, 8.6861354E+001,-4.4360091E+001,-5.0746863E+000,-3.5624659E+001,-2.5607418E-001,-6.5551780E-002, 0.0000000E+000, 0.0000000E+000, 1.1973159E+000, 1.4802916E+000, 2.0669342E-003, 2.0669342E-003, 1.4242150E+002
 8.4000336E+002, 8.6996361E+001,-4.4556533E+001,-5.1334822E+000,-3.5300746E+001,-2.5639050E-001,-7.1223453E-002, 0.0000000E+000, 0.0000000E+000, 1.3897119E+000, 1.6779862E+000, 2.0715006E-003, 2.0715006E-003, 1.3654653E+002
 8.5001208E+002, 8.7613530E+001,-4.4653620E+001,-5.1198858E+000,-3.5716986E+001,-2.5886301E-001, 4.6460082E-003, 0.0000000E+000, 0.0000000E+000, 1.5530521E+000, 1.8688214E+000, 2.0760671E-003, 2.0760671E-003, 1.3670400E+002
 8.6000189E+002, 8.7988237E+001,-4.4780130E+001,-5.0822569E+000,-3.5839800E+001,-2.5706935E-001,-9.2470486E-003, 0.0000000E+000, 0.0000000E+000, 1.6934766E+000, 2.0197332E+000, 2.0806299E-003, 2.0806299E-003, 1.3560311E+002
 8.7000140E+002, 8.8259990E+001,-4.4848928E+001,-5.0932411E+000,-3.5777240E+001,-2.5688318E-001, 5.0004256E-002, 0.0000000E+000, 0.0000000E+000, 2.0572972E+000, 2.3337012E+000, 2.0851922E-003, 2.0851922E-003, 1.4001795E+002
 8.8000092E+002, 8.8234170E+001,-4.4941692E+001,-5.1257705E+000,-3.5789181E+001,-2.5393679E-001, 1.1751030E-001, 0.0000000E+000, 0.0000000E+000, 1.9217588E+000, 2.2411004E+000, 2.0897572E-003, 2.0897572E-003, 1.4952495E+002
 8.9001239E+002, 8.8459443E+001,-4.5181399E+001,-5.1697111E+000,-3.6182545E+001,-2.5975460E-001,-2.0682584E-001, 0.0000000E+000, 0.0000000E+000, 1.1976624E+000, 1.4592076E+000, 2.0943226E-003, 2.0943226E-003, 1.3266209E+002
 9.0000403E+002, 8.8376733E+001,-4.5508346E+001,-5.1377848E+000,-3.5555407E+001,-2.5769829E-001, 3.2605214E-002, 0.0000000E+000, 0.0000000E+000, 1.5691815E+000, 1.9501022E+000, 2.0988918E-003, 2.0988918E-003, 1.3438170E+002
 9.1000439E+002, 8.8786167E+001,-4.5094566E+001,-5.1859818E+000,-3.6194924E+001,-2.5794237E-001, 1.1464984E-001, 0.0000000E+000, 0.0000000E+000, 1.9029837E+000, 2.1674033E+000, 2.1034539E-003, 2.1034539E-003, 1.4428027E+002
 9.2000940E+002, 8.8754732E+001,-4.5568336E+001,-5.2674108E+000,-3.5710222E+001,-2.5797893E-001,-8.6903928E-002, 0.0000000E+000, 0.0000000E+000, 1.5418094E+000, 1.8638798E+000, 2.1080202E-003, 2.1080202E-003, 1.3669592E+002
 9.3000763E+002, 8.8726636E+001,-4.5436775E+001,-5.1663584E+000,-3.6407055E+001,-2.5815646E-001,-9.1577374E-002, 0.0000000E+000, 0.0000000E+000, 1.0585344E+000, 1.3667132E+000, 2.1125845E-003, 2.1125845E-003, 1.2881028E+002
 9.4000061E+002, 8.9233780E+001,-4.5608020E+001,-5.2693233E+000,-3.6082445E+001,-2.5977093E-001, 1.4507436E-001, 0.0000000E+000, 0.0000000E+000, 1.8450463E+000, 2.1592940E+000, 2.1171472E-003, 2.1171472E-003, 1.4073861E+002
 9.5000354E+002, 8.9356024E+001,-4.5743063E+001,-5.3143167E+000,-3.6346176E+001,-2.5992709E-001,-3.5292451E-002, 0.0000000E+000, 0.0000000E+000, 1.3512040E+000, 1.6572483E+000, 2.1217119E-003, 2.1217119E-003, 1.3760525E+002
 9.6000714E+002, 8.9372988E+001,-4.5781650E+001,-5.3186981E+000,-3.6070238E+001,-2.6072709E-001, 5.8510685E-002, 0.0000000E+000, 0.0000000E+000, 1.7083177E+000, 2.0001854E+000, 2.1262786E-003, 2.1262786E-003, 1.4264112E+002
 9.7000525E+002, 8.9857236E+001,-4.5976273E+001,-5.3245962E+000,-3.6242761E+001,-2.6112483E-001, 5.3423938E-002, 0.0000000E+000, 0.0000000E+000, 1.8240878E+000, 2.1059046E+000, 2.1308457E-003, 2.1308457E-003, 1.4719025E+002
