s,C,C,C,C
 2.4003551E+002, 1.8958289E+002, 4.1874626E+001, 4.2537601E+001, 4.2642874E+001
 2.5003975E+002, 1.9955939E+002, 4.3614771E+001, 4.4363870E+001, 4.4482607E+001
 2.6001443E+002, 2.0855555E+002, 4.5549366E+001, 4.6390654E+001, 4.6523645E+001
 2.7000148E+002, 2.1753633E+002, 4.7666194E+001, 4.8601540E+001, 4.8748850E+001
 2.8002534E+002, 2.2653405E+002, 4.9965123E+001, 5.0996584E+001, 5.1158377E+001
 2.9000944E+002, 2.3554483E+002, 5.2443677E+001, 5.3574506E+001, 5.3751152E+001
 3.0000998E+002, 2.4252743E+002, 5.5103992E+001, 5.6337983E+001, 5.6530002E+001
 3.1005448E+002, 2.4753208E+002, 5.7937367E+001, 5.9272727E+001, 5.9479551E+001
 3.2006631E+002, 2.5254370E+002, 6.0912725E+001, 6.2347961E+001, 6.2569261E+001
 3.3003693E+002, 2.5753976E+002, 6.3999003E+001, 6.5532309E+001, 6.5767764E+001
 3.4000951E+002, 2.6252860E+002, 6.7180881E+001, 6.8809853E+001, 6.9059026E+001
 3.5000113E+002, 2.6751835E+002, 7.0463619E+001, 7.2188080E+001, 7.2450939E+001
 3.6002796E+002, 2.7252089E+002, 7.3844475E+001, 7.5663382E+001, 7.5939669E+001
 3.7002776E+002, 2.7752713E+002, 7.7311696E+001, 7.9224108E+001, 7.9513584E+001
 3.8000422E+002, 2.8252249E+002, 8.0858589E+001, 8.2865055E+001, 8.3167794E+001
 3.9003228E+002, 2.8752372E+002, 8.4501887E+001, 8.6604414E+001, 8.6920750E+001
 4.0001916E+002, 2.9252557E+002, 8.8238894E+001, 9.0437903E+001, 9.0767763E+001
 4.1002448E+002, 2.9616120E+002, 9.2057148E+001, 9.4351881E+001, 9.4695057E+001
 4.2004152E+002, 2.9846444E+002, 9.5958558E+001, 9.8348246E+001, 9.8704583E+001
 4.3004700E+002, 3.0076725E+002, 9.9910736E+001, 1.0239023E+002, 1.0275874E+002
 4.4005250E+002, 3.0306768E+002, 1.0388091E+002, 1.0644335E+002, 1.0682283E+002
 4.5003247E+002, 3.0536592E+002, 1.0784512E+002, 1.1048420E+002, 1.1087364E+002
 4.6004417E+002, 3.0766465E+002, 1.1181046E+002, 1.1452322E+002, 1.1492222E+002
 4.7003497E+002, 3.0996491E+002, 1.1577606E+002, 1.1856050E+002, 1.1896884E+002
 4.8001023E+002, 3.1226217E+002, 1.1972804E+002, 1.2258179E+002, 1.2299916E+002
 4.9004244E+002, 3.1456116E+002, 1.2368209E+002, 1.2660382E+002, 1.2703009E+002
 5.0004208E+002, 3.1686613E+002, 1.2763612E+002, 1.3062436E+002, 1.3105932E+002
 5.1001706E+002, 3.1916432E+002, 1.3158176E+002, 1.3463579E+002, 1.3507932E+002
 5.2003158E+002, 3.2146135E+002, 1.3553099E+002, 1.3864904E+002, 1.3910084E+002
 5.3002549E+002, 3.2376244E+002, 1.3948325E+002, 1.4266362E+002, 1.4312347E+002
 5.4001662E+002, 3.2606165E+002, 1.4341775E+002, 1.4665611E+002, 1.4712331E+002
 5.5004384E+002, 3.2836324E+002, 1.4734455E+002, 1.5063799E+002, 1.5111209E+002
 5.6000809E+002, 3.3066178E+002, 1.5126409E+002, 1.5461267E+002, 1.5509378E+002
 5.7001039E+002, 3.3295831E+002, 1.5517235E+002, 1.5857286E+002, 1.5906041E+002
 5.8001165E+002, 3.3525794E+002, 1.5907789E+002, 1.6252840E+002, 1.6302216E+002
 5.9003708E+002, 3.3756106E+002, 1.6299638E+002, 1.6649706E+002, 1.6699702E+002
 6.0000156E+002, 3.3986041E+002, 1.6687853E+002, 1.7042086E+002, 1.7092554E+002
 6.1004021E+002, 3.4211112E+002, 1.7075541E+002, 1.7434001E+002, 1.7484971E+002
 6.2000195E+002, 3.4431013E+002, 1.7463178E+002, 1.7825836E+002, 1.7877314E+002
 6.3004190E+002, 3.4651137E+002, 1.7849787E+002, 1.8216252E+002, 1.8268168E+002
 6.4004193E+002, 3.4871498E+002, 1.8234667E+002, 1.8604448E+002, 1.8656720E+002
 6.5003172E+002, 3.5091416E+002, 1.8618424E+002, 1.8991650E+002, 1.9044313E+002
 6.6002876E+002, 3.5311248E+002, 1.9001614E+002, 1.9378081E+002, 1.9431102E+002
 6.7000381E+002, 3.5530912E+002, 1.9383059E+002, 1.9762458E+002, 1.9815795E+002
 6.8000445E+002, 3.5750595E+002, 1.9763445E+002, 2.0145568E+002, 2.0199189E+002
 6.9004250E+002, 3.5971034E+002, 2.0143109E+002, 2.0527613E+002, 2.0581464E+002
 7.0002729E+002, 3.6191399E+002, 2.0520259E+002, 2.0906829E+002, 2.0960866E+002
 7.1002309E+002, 3.6411181E+002, 2.0894765E+002, 2.1283106E+002, 2.1337276E+002
 7.2000284E+002, 3.6630783E+002, 2.1264218E+002, 2.1653403E+002, 2.1707550E+002
 7.3003333E+002, 3.6850956E+002, 2.1633083E+002, 2.2023634E+002, 2.2077886E+002
 7.4000862E+002, 3.7071019E+002, 2.2004242E+002, 2.2396707E+002, 2.2451160E+002
 7.5000018E+002, 3.7290634E+002, 2.2372795E+002, 2.2766508E+002, 2.2821034E+002
 7.6002319E+002, 3.7510809E+002, 2.2738677E+002, 2.3132879E+002, 2.3187352E+002
 7.7002418E+002, 3.7730974E+002, 2.3100582E+002, 2.3494877E+002, 2.3549251E+002
 7.8003094E+002, 3.7951178E+002, 2.3459754E+002, 2.3854007E+002, 2.3908267E+002
 7.9002520E+002, 3.8171138E+002, 2.3814343E+002, 2.4207943E+002, 2.4261982E+002
 8.0000503E+002, 3.8390891E+002, 2.4168551E+002, 2.4562285E+002, 2.4616268E+002
 8.1002905E+002, 3.8610995E+002, 2.4524496E+002, 2.4918591E+002, 2.4972548E+002
 8.2001804E+002, 3.8830995E+002, 2.4880100E+002, 2.5274345E+002, 2.5328237E+002
 8.3001889E+002, 3.9050829E+002, 2.5233362E+002, 2.5627294E+002, 2.5681042E+002
 8.4004335E+002, 3.9271189E+002, 2.5582313E+002, 2.5975052E+002, 2.6028512E+002
 8.5004142E+002, 3.9491424E+002, 2.5927024E+002, 2.6318157E+002, 2.6371272E+002
 8.6004143E+002, 3.9675918E+002, 2.6267535E+002, 2.6656883E+002, 2.6709629E+002
 8.7003691E+002, 3.9825915E+002, 2.6605192E+002, 2.6992619E+002, 2.7044975E+002
 8.8002995E+002, 3.9975781E+002, 2.6936870E+002, 2.7321607E+002, 2.7373454E+002
 8.9000755E+002, 4.0125596E+002, 2.7266486E+002, 2.7649395E+002, 2.7700938E+002
 9.0003587E+002, 4.0275673E+002, 2.7599196E+002, 2.7981217E+002, 2.8032609E+002
 9.1000284E+002, 4.0425696E+002, 2.7926721E+002, 2.8306521E+002, 2.8357494E+002
 9.2004397E+002, 4.0575675E+002, 2.8243570E+002, 2.8619422E+002, 2.8669666E+002
 9.3001402E+002, 4.0725733E+002, 2.8554332E+002, 2.8926634E+002, 2.8976257E+002
 9.4000169E+002, 4.0875373E+002, 2.8864995E+002, 2.9234867E+002, 2.9284083E+002
 9.5000344E+002, 4.1025309E+002, 2.9171557E+002, 2.9538344E+002, 2.9587028E+002
 9.6000953E+002, 4.1175378E+002, 2.9477445E+002, 2.9841736E+002, 2.9890003E+002
 9.7004669E+002, 4.1325725E+002, 2.9782268E+002, 3.0144201E+002, 3.0192079E+002
 9.8000924E+002, 4.1475764E+002, 3.0084441E+002, 3.0443669E+002, 3.0491086E+002
 9.9003486E+002, 4.1625668E+002, 3.0376707E+002, 3.0731504E+002, 3.0778155E+002
 1.0000084E+003, 4.1460125E+002, 3.0659387E+002, 3.1008836E+002, 3.1054575E+002
 1.0100141E+003, 4.0985938E+002, 3.0927453E+002, 3.1269935E+002, 3.1314476E+002
 1.0200068E+003, 4.0510895E+002, 3.1175639E+002, 3.1509570E+002, 3.1552656E+002
 1.0300421E+003, 4.0035485E+002, 3.1397173E+002, 3.1720194E+002, 3.1761421E+002
 1.0400286E+003, 3.9559639E+002, 3.1588173E+002, 3.1898794E+002, 3.1937969E+002
 1.0500023E+003, 3.9085891E+002, 3.1755427E+002, 3.2054173E+002, 3.2091436E+002
 1.0600223E+003, 3.8611021E+002, 3.1899665E+002, 3.2186215E+002, 3.2221515E+002
 1.0700326E+003, 3.8135186E+002, 3.2018731E+002, 3.2291996E+002, 3.2325139E+002
 1.0800321E+003, 3.7659928E+002, 3.2110776E+002, 3.2369610E+002, 3.2400408E+002
 1.0900311E+003, 3.7184929E+002, 3.2177087E+002, 3.2420608E+002, 3.2448913E+002
 1.1000466E+003, 3.6709359E+002, 3.2222251E+002, 3.2450679E+002, 3.2476562E+002
 1.1100127E+003, 3.6235142E+002, 3.2247666E+002, 3.2460667E+002, 3.2484093E+002
 1.1200290E+003, 3.5579621E+002, 3.2253407E+002, 3.2450743E+002, 3.2471683E+002
 1.1300036E+003, 3.4746493E+002, 3.2237702E+002, 3.2418196E+002, 3.2436415E+002
 1.1400075E+003, 3.3914352E+002, 3.2195548E+002, 3.2357865E+002, 3.2373149E+002
 1.1500153E+003, 3.3080588E+002, 3.2131827E+002, 3.2276191E+002, 3.2288602E+002
 1.1600446E+003, 3.2245366E+002, 3.2042802E+002, 3.2168093E+002, 3.2177427E+002
 1.1700129E+003, 3.1412303E+002, 3.1928307E+002, 3.2033647E+002, 3.2039753E+002
 1.1800092E+003, 3.0580333E+002, 3.1788670E+002, 3.1873522E+002, 3.1876334E+002
 1.1900341E+003, 2.9746623E+002, 3.1631525E+002, 3.1696987E+002, 3.1696732E+002
 1.2000613E+003, 2.8910281E+002, 3.1457666E+002, 3.1503926E+002, 3.1500635E+002
 1.2100541E+003, 2.8075907E+002, 3.1264367E+002, 3.1290491E+002, 3.1283967E+002
 1.2200076E+003, 2.7245254E+002, 3.1050721E+002, 3.1056205E+002, 3.1046371E+002
 1.2300640E+003, 2.6411296E+002, 3.0827195E+002, 3.0814087E+002, 3.0801349E+002
 1.2400250E+003, 2.5836705E+002, 3.0589396E+002, 3.0556871E+002, 3.0541045E+002
 1.2500543E+003, 2.5514586E+002, 3.0336445E+002, 3.0284019E+002, 3.0265013E+002
 1.2600353E+003, 2.5193067E+002, 3.0074581E+002, 3.0003018E+002, 2.9980977E+002
 1.2700108E+003, 2.4871734E+002, 2.9814580E+002, 2.9726284E+002, 2.9701655E+002
 1.2800514E+003, 2.4549665E+002, 2.9559477E+002, 2.9456165E+002, 2.9429224E+002
 1.2900466E+003, 2.4226972E+002, 2.9304186E+002, 2.9185702E+002, 2.9156379E+002
 1.3000140E+003, 2.3905867E+002, 2.9050954E+002, 2.8917800E+002, 2.8886183E+002
 1.3100026E+003, 2.3584365E+002, 2.8800246E+002, 2.8653082E+002, 2.8619291E+002
 1.3200570E+003, 2.3262266E+002, 2.8547153E+002, 2.8385491E+002, 2.8349419E+002
 1.3300207E+003, 2.2939796E+002, 2.8296024E+002, 2.8120873E+002, 2.8082719E+002
 1.3400459E+003, 2.2618015E+002, 2.8047774E+002, 2.7859832E+002, 2.7819717E+002
 1.3500652E+003, 2.2295931E+002, 2.7804195E+002, 2.7604782E+002, 2.7562945E+002
 1.3600590E+003, 2.1973455E+002, 2.7562110E+002, 2.7350810E+002, 2.7307141E+002
 1.3700636E+003, 2.1651429E+002, 2.7318060E+002, 2.7094723E+002, 2.7049203E+002
 1.3800346E+003, 2.1330150E+002, 2.7075282E+002, 2.6840411E+002, 2.6793130E+002
 1.3900257E+003, 2.1008950E+002, 2.6829988E+002, 2.6583307E+002, 2.6534212E+002
 1.4000367E+003, 2.0687025E+002, 2.6588341E+002, 2.6331511E+002, 2.6280923E+002
 1.4100122E+003, 2.0365354E+002, 2.6349893E+002, 2.6083315E+002, 2.6031284E+002
 1.4200627E+003, 2.0042768E+002, 2.6107311E+002, 2.5829933E+002, 2.5776255E+002
 1.4300083E+003, 1.9721156E+002, 2.5864734E+002, 2.5577433E+002, 2.5522292E+002
 1.4400158E+003, 1.9400191E+002, 2.5626012E+002, 2.5329711E+002, 2.5273261E+002
 1.4500365E+003, 1.9077563E+002, 2.5391609E+002, 2.5087675E+002, 2.5030164E+002
 1.4600137E+003, 1.8755828E+002, 2.5163051E+002, 2.4852080E+002, 2.4793582E+002
 1.4700704E+003, 1.8433347E+002, 2.4934551E+002, 2.4616269E+002, 2.4556724E+002
 1.4800121E+003, 1.8111612E+002, 2.4706146E+002, 2.4380334E+002, 2.4319688E+002
 1.4900713E+003, 1.7789618E+002, 2.4474311E+002, 2.4140420E+002, 2.4078576E+002
 1.5000593E+003, 1.7467006E+002, 2.4242754E+002, 2.3901608E+002, 2.3838730E+002
 1.5100152E+003, 1.7145971E+002, 2.4013370E+002, 2.3665333E+002, 2.3601475E+002
 1.5200694E+003, 1.6823902E+002, 2.3784954E+002, 2.3430519E+002, 2.3365766E+002
 1.5300079E+003, 1.6502207E+002, 2.3558565E+002, 2.3198269E+002, 2.3132710E+002
 1.5400049E+003, 1.6181928E+002, 2.3336996E+002, 2.2971537E+002, 2.2905277E+002
 1.5500484E+003, 1.5858713E+002, 2.3112726E+002, 2.2741344E+002, 2.2674235E+002
 1.5600458E+003, 1.5644491E+002, 2.2887268E+002, 2.2509928E+002, 2.2441972E+002
 1.5700167E+003, 1.5535286E+002, 2.2663158E+002, 2.2280362E+002, 2.2211659E+002
 1.5800055E+003, 1.5426298E+002, 2.2443167E+002, 2.2055798E+002, 2.1986500E+002
 1.5900759E+003, 1.5316629E+002, 2.2223350E+002, 2.1831162E+002, 2.1761201E+002
 1.6000673E+003, 1.5206811E+002, 2.2004983E+002, 2.1608159E+002, 2.1537568E+002
 1.6100571E+003, 1.5097706E+002, 2.1791454E+002, 2.1390764E+002, 2.1319680E+002
 1.6200758E+003, 1.4988410E+002, 2.1583411E+002, 2.1179440E+002, 2.1107942E+002
 1.6300683E+003, 1.4878958E+002, 2.1377845E+002, 2.0970511E+002, 2.0898570E+002
 1.6400724E+003, 1.4769595E+002, 2.1175405E+002, 2.0764875E+002, 2.0692520E+002
 1.6500774E+003, 1.4660347E+002, 2.0976939E+002, 2.0563673E+002, 2.0490981E+002
 1.6600115E+003, 1.4551382E+002, 2.0784283E+002, 2.0368946E+002, 2.0296045E+002
 1.6700033E+003, 1.4442502E+002, 2.0597814E+002, 2.0180840E+002, 2.0107798E+002
 1.6800029E+003, 1.4333223E+002, 2.0413803E+002, 1.9995128E+002, 1.9921921E+002
 1.6900782E+003, 1.4223520E+002, 2.0231471E+002, 1.9810874E+002, 1.9737448E+002
 1.7000137E+003, 1.4114132E+002, 2.0050065E+002, 1.9627373E+002, 1.9553704E+002
 1.7100624E+003, 1.4004956E+002, 1.9871636E+002, 1.9447191E+002, 1.9373342E+002
 1.7200111E+003, 1.3895642E+002, 1.9695571E+002, 1.9269517E+002, 1.9195500E+002
 1.7300329E+003, 1.3786418E+002, 1.9520955E+002, 1.9093280E+002, 1.9019085E+002
 1.7400840E+003, 1.3676801E+002, 1.9349161E+002, 1.8920447E+002, 1.8846186E+002
 1.7500518E+003, 1.3567374E+002, 1.9181309E+002, 1.8751801E+002, 1.8677515E+002
 1.7600522E+003, 1.3458233E+002, 1.9015489E+002, 1.8584987E+002, 1.8510631E+002
 1.7700011E+003, 1.3349270E+002, 1.8851526E+002, 1.8420164E+002, 1.8345767E+002
 1.7800196E+003, 1.3240138E+002, 1.8690942E+002, 1.8259173E+002, 1.8184818E+002
 1.7900019E+003, 1.3130766E+002, 1.8533907E+002, 1.8102204E+002, 1.8027968E+002
 1.8000013E+003, 1.3021616E+002, 1.8382341E+002, 1.7951137E+002, 1.7877083E+002
 1.8100150E+003, 1.2912228E+002, 1.8234244E+002, 1.7803637E+002, 1.7729780E+002
 1.8200105E+003, 1.2802752E+002, 1.8085590E+002, 1.7654646E+002, 1.7580799E+002
 1.8300173E+003, 1.2693574E+002, 1.7935003E+002, 1.7503423E+002, 1.7429545E+002
 1.8400371E+003, 1.2584130E+002, 1.7787035E+002, 1.7355571E+002, 1.7281808E+002
 1.8500329E+003, 1.2474712E+002, 1.7643241E+002, 1.7212468E+002, 1.7138928E+002
 1.8600825E+003, 1.2365123E+002, 1.7502276E+002, 1.7072240E+002, 1.6998919E+002
 1.8700299E+003, 1.2255898E+002, 1.7363155E+002, 1.6933719E+002, 1.6860580E+002
 1.8800278E+003, 1.2146935E+002, 1.7224682E+002, 1.6795590E+002, 1.6722588E+002
 1.8900607E+003, 1.2037429E+002, 1.7086398E+002, 1.6657667E+002, 1.6584805E+002
 1.9000655E+003, 1.1927930E+002, 1.6949333E+002, 1.6521017E+002, 1.6448299E+002
 1.9100451E+003, 1.1818712E+002, 1.6813866E+002, 1.6386063E+002, 1.6313505E+002
 1.9200655E+003, 1.1709382E+002, 1.6681387E+002, 1.6254569E+002, 1.6182252E+002
 1.9300423E+003, 1.1600073E+002, 1.6550370E+002, 1.6124253E+002, 1.6052115E+002
 1.9400715E+003, 1.1490711E+002, 1.6419523E+002, 1.5994064E+002, 1.5922110E+002
 1.9500477E+003, 1.1381504E+002, 1.6291849E+002, 1.5867511E+002, 1.5795820E+002
 1.9600158E+003, 1.1272383E+002, 1.6165246E+002, 1.5741779E+002, 1.5670296E+002
 1.9700729E+003, 1.1163054E+002, 1.6039771E+002, 1.5617335E+002, 1.5546093E+002
 1.9800201E+003, 1.1053691E+002, 1.5915521E+002, 1.5494031E+002, 1.5423007E+002
 1.9900144E+003, 1.1000000E+002, 1.5792809E+002, 1.5372276E+002, 1.5301465E+002
 2.0000000E+003, 1.1000000E+002, 1.5668712E+002, 1.5248650E+002, 1.5177956E+002
