s,C,C,C,C,C,C,C
 5.9003104E+002, 5.1207361E+002, 3.0442847E+002, 2.4553578E+002, 3.1637605E+002, 3.1811992E+002, 2.0933524E+002, 3.0651053E+002
 6.0001187E+002, 5.1725318E+002, 3.1266482E+002, 2.5252870E+002, 3.2465015E+002, 3.2638841E+002, 2.1532103E+002, 3.1458298E+002
 6.1002381E+002, 5.2242921E+002, 3.2086247E+002, 2.5954220E+002, 3.3286835E+002, 3.3459850E+002, 2.2134187E+002, 3.2256018E+002
 6.2002135E+002, 5.2500000E+002, 3.2896813E+002, 2.6655187E+002, 3.4096798E+002, 3.4268669E+002, 2.2738856E+002, 3.3035760E+002
 6.3001617E+002, 5.2500000E+002, 3.3692893E+002, 2.7350136E+002, 3.4889773E+002, 3.5060176E+002, 2.3338781E+002, 3.3791650E+002
 6.4003554E+002, 5.2500000E+002, 3.4468297E+002, 2.8030637E+002, 3.5659330E+002, 3.5827928E+002, 2.3921392E+002, 3.4499428E+002
 6.5000621E+002, 5.2500000E+002, 3.5209175E+002, 2.8685172E+002, 3.6390755E+002, 3.6557141E+002, 2.4477473E+002, 3.5151995E+002
 6.6002684E+002, 5.2500000E+002, 3.5916540E+002, 2.9313459E+002, 3.7086190E+002, 3.7250045E+002, 2.5008510E+002, 3.5772237E+002
 6.7001393E+002, 5.3143594E+002, 3.6591068E+002, 2.9916535E+002, 3.7746554E+002, 3.7907609E+002, 2.5516972E+002, 3.6360130E+002
 6.8003622E+002, 5.4422389E+002, 3.7246351E+002, 3.0507634E+002, 3.8387736E+002, 3.8545941E+002, 2.6023055E+002, 3.6994637E+002
 6.9003423E+002, 5.5701354E+002, 3.7925941E+002, 3.1123993E+002, 3.9058031E+002, 3.9213791E+002, 2.6567364E+002, 3.7751616E+002
 7.0000746E+002, 5.6976512E+002, 3.8651184E+002, 3.1786517E+002, 3.9778743E+002, 3.9932544E+002, 2.7167069E+002, 3.8604604E+002
 7.1002052E+002, 5.8253580E+002, 3.9432282E+002, 3.2506061E+002, 4.0558936E+002, 4.0711171E+002, 2.7828683E+002, 3.9540367E+002
 7.2001478E+002, 5.9532481E+002, 4.0266362E+002, 3.3282145E+002, 4.1393993E+002, 4.1544889E+002, 2.8549679E+002, 4.0539993E+002
 7.3000661E+002, 6.0809209E+002, 4.1149864E+002, 3.4111140E+002, 4.2279736E+002, 4.2429439E+002, 2.9325080E+002, 4.1589118E+002
 7.4002836E+002, 6.2087450E+002, 4.2077286E+002, 3.4989020E+002, 4.3209639E+002, 4.3358195E+002, 3.0151321E+002, 4.2684716E+002
 7.5003110E+002, 6.3367481E+002, 4.3050766E+002, 3.5914969E+002, 4.4186641E+002, 4.4334121E+002, 3.1027137E+002, 4.3841044E+002
 7.6002994E+002, 6.4056075E+002, 4.4073348E+002, 3.6888742E+002, 4.5214108E+002, 4.5360536E+002, 3.1950796E+002, 4.5046375E+002
 7.7002426E+002, 6.4167157E+002, 4.5113902E+002, 3.7884512E+002, 4.6256092E+002, 4.6401143E+002, 3.2889390E+002, 4.6163806E+002
 7.8001420E+002, 6.4278174E+002, 4.6124348E+002, 3.8857867E+002, 4.7261128E+002, 4.7404167E+002, 3.3794111E+002, 4.7151254E+002
 7.9002518E+002, 6.4389302E+002, 4.7085668E+002, 3.9787983E+002, 4.8211339E+002, 4.8351780E+002, 3.4648643E+002, 4.8046122E+002
 8.0000234E+002, 6.4500322E+002, 4.7991106E+002, 4.0667079E+002, 4.9101308E+002, 4.9238690E+002, 3.5450322E+002, 4.8854754E+002
 8.1000007E+002, 6.4611294E+002, 4.8838589E+002, 4.1493401E+002, 4.9930020E+002, 5.0064023E+002, 3.6200977E+002, 4.9594159E+002
 8.2000952E+002, 6.4722468E+002, 4.9641044E+002, 4.2276661E+002, 5.0712516E+002, 5.0842985E+002, 3.6911272E+002, 5.0301718E+002
 8.3001044E+002, 6.4833617E+002, 5.0397420E+002, 4.3017944E+002, 5.1447197E+002, 5.1574001E+002, 3.7582732E+002, 5.0945141E+002
 8.4001746E+002, 6.4944778E+002, 5.1099667E+002, 4.3714018E+002, 5.2125188E+002, 5.2248204E+002, 3.8214297E+002, 5.1519149E+002
 8.5001400E+002, 6.5055927E+002, 5.1762080E+002, 4.4374993E+002, 5.2763543E+002, 5.2882806E+002, 3.8816451E+002, 5.2103223E+002
 8.6000768E+002, 6.5166949E+002, 5.2396262E+002, 4.5010073E+002, 5.3374115E+002, 5.3489697E+002, 3.9394556E+002, 5.2654101E+002
 8.7002943E+002, 6.5278159E+002, 5.3000391E+002, 4.5620213E+002, 5.3954308E+002, 5.4066244E+002, 3.9950139E+002, 5.3188564E+002
 8.8003027E+002, 6.5389438E+002, 5.3582680E+002, 4.6211738E+002, 5.4513194E+002, 5.4621562E+002, 4.0488390E+002, 5.3710539E+002
 8.9001465E+002, 6.5500392E+002, 5.4135586E+002, 4.6780242E+002, 5.5041949E+002, 5.5146774E+002, 4.1004735E+002, 5.4190775E+002
 9.0000299E+002, 6.5611395E+002, 5.4656245E+002, 4.7324492E+002, 5.5537570E+002, 5.5638881E+002, 4.1498920E+002, 5.4635757E+002
 9.1001521E+002, 6.5722499E+002, 5.5150417E+002, 4.7849012E+002, 5.6006763E+002, 5.6104643E+002, 4.1976007E+002, 5.5074961E+002
 9.2002967E+002, 6.5833761E+002, 5.5621113E+002, 4.8356582E+002, 5.6452472E+002, 5.6547003E+002, 4.2437880E+002, 5.5487789E+002
 9.3001621E+002, 6.5944816E+002, 5.6067458E+002, 4.8846010E+002, 5.6874014E+002, 5.6965304E+002, 4.2883107E+002, 5.5885519E+002
 9.4002304E+002, 6.5364036E+002, 5.6493136E+002, 4.9320184E+002, 5.7275262E+002, 5.7363418E+002, 4.3313927E+002, 5.6264804E+002
 9.5001329E+002, 6.4101483E+002, 5.6876788E+002, 4.9759710E+002, 5.7631548E+002, 5.7716399E+002, 4.3701255E+002, 5.6511125E+002
 9.6002227E+002, 6.2837999E+002, 5.7170298E+002, 5.0121452E+002, 5.7890650E+002, 5.7971672E+002, 4.3996528E+002, 5.6565502E+002
 9.7002854E+002, 6.1573695E+002, 5.7356180E+002, 5.0387596E+002, 5.8036337E+002, 5.8113050E+002, 4.4188504E+002, 5.6482289E+002
 9.8001210E+002, 6.0311619E+002, 5.7441586E+002, 5.0562417E+002, 5.8078461E+002, 5.8150562E+002, 4.4288278E+002, 5.6307070E+002
 9.9002190E+002, 5.9048355E+002, 5.7432206E+002, 5.0652459E+002, 5.8023444E+002, 5.8090736E+002, 4.4305717E+002, 5.6040049E+002
 1.0000189E+003, 5.7785148E+002, 5.7337371E+002, 5.0667250E+002, 5.7881733E+002, 5.7944111E+002, 4.4253158E+002, 5.5707922E+002
 1.0100029E+003, 5.6522915E+002, 5.7165167E+002, 5.0615076E+002, 5.7661885E+002, 5.7719298E+002, 4.4139512E+002, 5.5313576E+002
 1.0200246E+003, 5.5259432E+002, 5.6927860E+002, 5.0506915E+002, 5.7377333E+002, 5.7429796E+002, 4.3975991E+002, 5.4905266E+002
 1.0300340E+003, 5.3994500E+002, 5.6641898E+002, 5.0356644E+002, 5.7045215E+002, 5.7092776E+002, 4.3774269E+002, 5.4465227E+002
 1.0400053E+003, 5.2731934E+002, 5.6307828E+002, 5.0166994E+002, 5.6665361E+002, 5.6708070E+002, 4.3537328E+002, 5.3997981E+002
 1.0500116E+003, 5.1470366E+002, 5.5925186E+002, 4.9939233E+002, 5.6236614E+002, 5.6274492E+002, 4.3265819E+002, 5.3474721E+002
 1.0600115E+003, 5.0206776E+002, 5.5491328E+002, 4.9672678E+002, 5.5756204E+002, 5.5789272E+002, 4.2960939E+002, 5.2918663E+002
 1.0700183E+003, 4.8943134E+002, 5.5016431E+002, 4.9375024E+002, 5.5235494E+002, 5.5263827E+002, 4.2630913E+002, 5.2358252E+002
 1.0800118E+003, 4.7679749E+002, 5.4517531E+002, 4.9058079E+002, 5.4692836E+002, 5.4716523E+002, 4.2284635E+002, 5.1812019E+002
 1.0900259E+003, 4.6416221E+002, 5.3994645E+002, 4.8723170E+002, 5.4127034E+002, 5.4146129E+002, 4.1922321E+002, 5.1238923E+002
 1.1000357E+003, 4.5151374E+002, 5.3442002E+002, 4.8367838E+002, 5.3531606E+002, 5.3546178E+002, 4.1543553E+002, 5.0640030E+002
 1.1100027E+003, 4.3889884E+002, 5.2863470E+002, 4.7994667E+002, 5.2910869E+002, 5.2921008E+002, 4.1151766E+002, 5.0025558E+002
 1.1200375E+003, 4.2626347E+002, 5.2258030E+002, 4.7602799E+002, 5.2263693E+002, 5.2269465E+002, 4.0745805E+002, 4.9401972E+002
 1.1300223E+003, 4.1747443E+002, 5.1638308E+002, 4.7200715E+002, 5.1603949E+002, 5.1605451E+002, 4.0333579E+002, 4.8787752E+002
 1.1400141E+003, 4.1248000E+002, 5.1004437E+002, 4.6789842E+002, 5.0931133E+002, 5.0928514E+002, 3.9917818E+002, 4.8171590E+002
 1.1500131E+003, 4.0748230E+002, 5.0376046E+002, 4.6386061E+002, 5.0267534E+002, 5.0261113E+002, 3.9517343E+002, 4.7629760E+002
 1.1600106E+003, 4.0248500E+002, 4.9768050E+002, 4.6001160E+002, 4.9628106E+002, 4.9618228E+002, 3.9139481E+002, 4.7120917E+002
 1.1700121E+003, 3.9748241E+002, 4.9174625E+002, 4.5631411E+002, 4.9005528E+002, 4.8992483E+002, 3.8779172E+002, 4.6628205E+002
 1.1800270E+003, 3.9247909E+002, 4.8593005E+002, 4.5274111E+002, 4.8396527E+002, 4.8380556E+002, 3.8433084E+002, 4.6140883E+002
 1.1900454E+003, 3.8747219E+002, 4.8022048E+002, 4.4927396E+002, 4.7799980E+002, 4.7781298E+002, 3.8099771E+002, 4.5677707E+002
 1.2000301E+003, 3.8247034E+002, 4.7468376E+002, 4.4594744E+002, 4.7222920E+002, 4.7201731E+002, 3.7781398E+002, 4.5238366E+002
 1.2100403E+003, 3.7747066E+002, 4.6925289E+002, 4.4271006E+002, 4.6657524E+002, 4.6633985E+002, 3.7472835E+002, 4.4785945E+002
 1.2200268E+003, 3.7247334E+002, 4.6386378E+002, 4.3950829E+002, 4.6097137E+002, 4.6071382E+002, 3.7170182E+002, 4.4341021E+002
 1.2300269E+003, 3.6747777E+002, 4.5857491E+002, 4.3637280E+002, 4.5548310E+002, 4.5520472E+002, 3.6876002E+002, 4.3912256E+002
 1.2400021E+003, 3.6248362E+002, 4.5337984E+002, 4.3329536E+002, 4.5010092E+002, 4.4980286E+002, 3.6589581E+002, 4.3489966E+002
 1.2500235E+003, 3.5748070E+002, 4.4826018E+002, 4.3025952E+002, 4.4480422E+002, 4.4448748E+002, 3.6309274E+002, 4.3064716E+002
 1.2600267E+003, 3.5247715E+002, 4.4316180E+002, 4.2722342E+002, 4.3953431E+002, 4.3919982E+002, 3.6032042E+002, 4.2635263E+002
 1.2700409E+003, 3.4747257E+002, 4.3810577E+002, 4.2419660E+002, 4.3431582E+002, 4.3396454E+002, 3.5759219E+002, 4.2208905E+002
 1.2800209E+003, 3.4247404E+002, 4.3311904E+002, 4.2119433E+002, 4.2917774E+002, 4.2881060E+002, 3.5491699E+002, 4.1794530E+002
 1.2900009E+003, 3.3748426E+002, 4.2821390E+002, 4.1822270E+002, 4.2413127E+002, 4.2374898E+002, 3.5229281E+002, 4.1389651E+002
 1.3000233E+003, 3.3248305E+002, 4.2337528E+002, 4.1527490E+002, 4.1915975E+002, 4.1876299E+002, 3.4971382E+002, 4.0986133E+002
 1.3100034E+003, 3.2748255E+002, 4.1862038E+002, 4.1236123E+002, 4.1428170E+002, 4.1387119E+002, 3.4719106E+002, 4.0595387E+002
 1.3200258E+003, 3.2248220E+002, 4.1393150E+002, 4.0946718E+002, 4.0947509E+002, 4.0905132E+002, 3.4470315E+002, 4.0196039E+002
 1.3300041E+003, 3.1748114E+002, 4.0925585E+002, 4.0655560E+002, 4.0468385E+002, 4.0424729E+002, 3.4223011E+002, 3.9795133E+002
 1.3400009E+003, 3.1248738E+002, 4.0463538E+002, 4.0365466E+002, 3.9995461E+002, 3.9950581E+002, 3.3979427E+002, 3.9396257E+002
 1.3500204E+003, 3.0748210E+002, 4.0001315E+002, 4.0072456E+002, 3.9522551E+002, 3.9476484E+002, 3.3736152E+002, 3.8995417E+002
 1.3600399E+003, 3.0247424E+002, 3.9544925E+002, 3.9780756E+002, 3.9056337E+002, 3.9009129E+002, 3.3496736E+002, 3.8604523E+002
 1.3700156E+003, 2.9747456E+002, 3.9089798E+002, 3.9487063E+002, 3.8591361E+002, 3.8543044E+002, 3.3257630E+002, 3.8196725E+002
 1.3800351E+003, 2.9247686E+002, 3.8637374E+002, 3.9192474E+002, 3.8129681E+002, 3.8080300E+002, 3.3020939E+002, 3.7805266E+002
 1.3900108E+003, 2.8747807E+002, 3.8190640E+002, 3.8899315E+002, 3.7674335E+002, 3.7623928E+002, 3.2787836E+002, 3.7421501E+002
 1.4000302E+003, 2.8247948E+002, 3.7751798E+002, 3.8609320E+002, 3.7227608E+002, 3.7176209E+002, 3.2559442E+002, 3.7044032E+002
 1.4100060E+003, 2.7748158E+002, 3.7317368E+002, 3.8319995E+002, 3.6785593E+002, 3.6733232E+002, 3.2333443E+002, 3.6669568E+002
 1.4200254E+003, 2.7248035E+002, 3.6889928E+002, 3.8033342E+002, 3.6351109E+002, 3.6297815E+002, 3.2111318E+002, 3.6303181E+002
 1.4300012E+003, 2.6748158E+002, 3.6468578E+002, 3.7748719E+002, 3.5923044E+002, 3.5868833E+002, 3.1892192E+002, 3.5936903E+002
 1.4400206E+003, 2.6248210E+002, 3.6048306E+002, 3.7462484E+002, 3.5495920E+002, 3.5440805E+002, 3.1673255E+002, 3.5559184E+002
 1.4500401E+003, 2.5747424E+002, 3.5624546E+002, 3.7171275E+002, 3.5065031E+002, 3.5009031E+002, 3.1452331E+002, 3.5167504E+002
 1.4600158E+003, 2.5247456E+002, 3.5203752E+002, 3.6879828E+002, 3.4637631E+002, 3.4580775E+002, 3.1233934E+002, 3.4796254E+002
 1.4700353E+003, 2.4747686E+002, 3.4785223E+002, 3.6587861E+002, 3.4212635E+002, 3.4154938E+002, 3.1016642E+002, 3.4415730E+002
 1.4800110E+003, 2.4247807E+002, 3.4368929E+002, 3.6295404E+002, 3.3790166E+002, 3.3731650E+002, 3.0801000E+002, 3.4044113E+002
 1.4900305E+003, 2.3747948E+002, 3.3957166E+002, 3.6004320E+002, 3.3372652E+002, 3.3313338E+002, 3.0588287E+002, 3.3681829E+002
 1.5000062E+003, 2.3248158E+002, 3.3553285E+002, 3.5717335E+002, 3.2963631E+002, 3.2903541E+002, 3.0380423E+002, 3.3332329E+002
 1.5100257E+003, 2.2747948E+002, 3.3153273E+002, 3.5431460E+002, 3.2558444E+002, 3.2497591E+002, 3.0174048E+002, 3.2970283E+002
 1.5200014E+003, 2.2248158E+002, 3.2755354E+002, 3.5145378E+002, 3.2155424E+002, 3.2093819E+002, 2.9968830E+002, 3.2617078E+002
 1.5300209E+003, 2.1748210E+002, 3.2361497E+002, 3.4860677E+002, 3.1756648E+002, 3.1694298E+002, 2.9765797E+002, 3.2262592E+002
 1.5400404E+003, 2.1247424E+002, 3.1967206E+002, 3.4573828E+002, 3.1357322E+002, 3.1294237E+002, 2.9562232E+002, 3.1901338E+002
 1.5500161E+003, 2.0747456E+002, 3.1576523E+002, 3.4287893E+002, 3.0961935E+002, 3.0898137E+002, 2.9361186E+002, 3.1555052E+002
 1.5600355E+003, 2.0410288E+002, 3.1194247E+002, 3.4006943E+002, 3.0575593E+002, 3.0511096E+002, 2.9165455E+002, 3.1222985E+002
 1.5700113E+003, 2.0232554E+002, 3.0817508E+002, 3.3728842E+002, 3.0194965E+002, 3.0129799E+002, 2.8972937E+002, 3.0889542E+002
 1.5800307E+003, 2.0054826E+002, 3.0448286E+002, 3.3455251E+002, 2.9822444E+002, 2.9756661E+002, 2.8785824E+002, 3.0575193E+002
 1.5900065E+003, 1.9877092E+002, 3.0086534E+002, 3.3186079E+002, 2.9457780E+002, 2.9391454E+002, 2.8603501E+002, 3.0250224E+002
 1.6000259E+003, 1.9699270E+002, 2.9727537E+002, 3.2917543E+002, 2.9096069E+002, 2.9029277E+002, 2.8423716E+002, 2.9931811E+002
 1.6100017E+003, 1.9521567E+002, 2.9376765E+002, 3.2654144E+002, 2.8743298E+002, 2.8676111E+002, 2.8250098E+002, 2.9628170E+002
 1.6200211E+003, 1.9343808E+002, 2.9032593E+002, 3.2394608E+002, 2.8397436E+002, 2.8329907E+002, 2.8080533E+002, 2.9322522E+002
 1.6300406E+003, 1.9165751E+002, 2.8694529E+002, 3.2138621E+002, 2.8058129E+002, 2.7990313E+002, 2.7915279E+002, 2.9033096E+002
 1.6400163E+003, 1.8987984E+002, 2.8368480E+002, 3.1890787E+002, 2.7731563E+002, 2.7663519E+002, 2.7757427E+002, 2.8760565E+002
 1.6500358E+003, 1.8810288E+002, 2.8051970E+002, 3.1649012E+002, 2.7414888E+002, 2.7346658E+002, 2.7604558E+002, 2.8487571E+002
 1.6600115E+003, 1.8632554E+002, 2.7740434E+002, 3.1409855E+002, 2.7103171E+002, 2.7034791E+002, 2.7454131E+002, 2.8212734E+002
 1.6700310E+003, 1.8454826E+002, 2.7435710E+002, 3.1174704E+002, 2.6798614E+002, 2.6730123E+002, 2.7307820E+002, 2.7948773E+002
 1.6800067E+003, 1.8277060E+002, 2.7137148E+002, 3.0942940E+002, 2.6500412E+002, 2.6431840E+002, 2.7164503E+002, 2.7686080E+002
 1.6900262E+003, 1.8099270E+002, 2.6845853E+002, 3.0715497E+002, 2.6209870E+002, 2.6141246E+002, 2.7025499E+002, 2.7439204E+002
 1.7000019E+003, 1.7921567E+002, 2.6563656E+002, 3.0494232E+002, 2.5928724E+002, 2.5860061E+002, 2.6891541E+002, 2.7194578E+002
 1.7100214E+003, 1.7743808E+002, 2.6284195E+002, 3.0273600E+002, 2.5650068E+002, 2.5581388E+002, 2.6757627E+002, 2.6938292E+002
 1.7200408E+003, 1.7565751E+002, 2.6006721E+002, 3.0052790E+002, 2.5373498E+002, 2.5304829E+002, 2.6624444E+002, 2.6689080E+002
