s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 5.7000836E+002, 2.4605977E+002,-1.5627367E+002,-1.6321957E+000,-1.0734519E+002,-5.8911042E-001, 3.8359314E-001, 0.0000000E+000, 0.0000000E+000,-1.9561007E+001,-1.9396797E+001, 5.9468196E-003, 5.9468196E-003,-4.9807308E+002
 5.8500403E+002, 2.2967747E+002,-1.4848483E+002,-9.1039658E-001,-1.0464374E+002,-5.8570722E-001,-3.2167632E-001, 0.0000000E+000, 0.0000000E+000,-2.5408614E+001,-2.5268879E+001, 5.7701536E-003, 5.7701536E-003,-5.1901343E+002
 6.0001123E+002, 2.3583689E+002,-1.4398964E+002,-2.0886128E+000,-1.0010763E+002,-5.7303650E-001,-8.4006156E-002, 0.0000000E+000, 0.0000000E+000,-1.1047069E+001,-1.1006033E+001, 5.6829320E-003, 5.6829320E-003,-5.2259641E+002
 6.1501025E+002, 2.2470932E+002,-1.3968306E+002,-1.4047004E+000,-9.7376837E+001,-5.6847659E-001, 1.4477232E-001, 0.0000000E+000, 0.0000000E+000,-1.4321430E+001,-1.4178980E+001, 5.5956969E-003, 5.5956969E-003,-5.1383028E+002
 6.3001068E+002, 2.2159239E+002,-1.3725319E+002,-1.6619551E+000,-9.5874213E+001,-5.8939883E-001, 1.7278748E-001, 0.0000000E+000, 0.0000000E+000,-1.3792050E+001,-1.3613579E+001, 5.5084800E-003, 5.5084800E-003,-5.0386013E+002
 6.4501233E+002, 2.2249994E+002,-1.3442808E+002,-2.4748158E+000,-9.3616922E+001,-5.8673425E-001, 9.7567793E-001, 0.0000000E+000, 0.0000000E+000,-7.6354660E+000,-7.6309271E+000, 5.4212564E-003, 5.4212564E-003,-4.4171943E+002
 6.6000122E+002, 2.0815078E+002,-1.2914520E+002,-1.7328700E+000,-9.0860355E+001,-5.3847746E-001,-7.5549578E-001, 0.0000000E+000, 0.0000000E+000,-1.5031801E+001,-1.4881614E+001, 5.3327909E-003, 5.3327909E-003,-4.8979929E+002
 6.7501196E+002, 2.1057258E+002,-1.2832710E+002,-1.7389751E+000,-9.0895757E+001,-5.6901712E-001,-7.3684939E-001, 0.0000000E+000, 0.0000000E+000,-1.1681608E+001,-1.1695118E+001, 5.2325148E-003, 5.2325148E-003,-5.3552455E+002
 6.9000824E+002, 2.0316982E+002,-1.2552200E+002,-9.6747329E-001,-8.8225916E+001,-5.5954864E-001, 2.5669056E-001, 0.0000000E+000, 0.0000000E+000,-1.1929893E+001,-1.1848428E+001, 5.1293588E-003, 5.1293588E-003,-5.1974415E+002
 7.0500024E+002, 2.0567353E+002,-1.2303217E+002,-1.6789182E+000,-8.6850080E+001,-5.3464331E-001, 3.2314720E-002, 0.0000000E+000, 0.0000000E+000,-6.4957833E+000,-6.3899668E+000, 5.0262670E-003, 5.0262670E-003,-5.1777389E+002
