s,C,C,C,C,C,C,C,C,C
 5.0000758E+002, 3.9912069E+002, 1.6998173E+002, 2.1171343E+002, 2.2486405E+002, 2.1743258E+002, 2.2641228E+002, 2.1500698E+002, 1.4229352E+002, 1.9275166E+002
 5.1000070E+002, 3.9970763E+002, 1.7407630E+002, 2.1697978E+002, 2.3021295E+002, 2.2275091E+002, 2.3176550E+002, 2.2030419E+002, 1.4546516E+002, 1.9722790E+002
 5.2002888E+002, 3.9916033E+002, 1.7809958E+002, 2.2211808E+002, 2.3540757E+002, 2.2792938E+002, 2.3696139E+002, 2.2546681E+002, 1.4858102E+002, 2.0161248E+002
 5.3000833E+002, 3.9749361E+002, 1.8202502E+002, 2.2710524E+002, 2.4042836E+002, 2.3294496E+002, 2.4198108E+002, 2.3047194E+002, 1.5160402E+002, 2.0587202E+002
 5.4002385E+002, 3.9582651E+002, 1.8581806E+002, 2.3189576E+002, 2.4521909E+002, 2.3774515E+002, 2.4676736E+002, 2.3527033E+002, 1.5450495E+002, 2.0995334E+002
 5.5004451E+002, 3.9415650E+002, 1.8947846E+002, 2.3650039E+002, 2.4979918E+002, 2.4234706E+002, 2.5134033E+002, 2.3987588E+002, 1.5727569E+002, 2.1386851E+002
 5.6004372E+002, 3.9248948E+002, 1.9298390E+002, 2.4088768E+002, 2.5413541E+002, 2.4671776E+002, 2.5566676E+002, 2.4425633E+002, 1.5990620E+002, 2.1759625E+002
 5.7000912E+002, 3.9082451E+002, 1.9632681E+002, 2.4504292E+002, 2.5821084E+002, 2.5084013E+002, 2.5972979E+002, 2.4839591E+002, 1.6239674E+002, 2.2112328E+002
 5.8002418E+002, 3.8916146E+002, 1.9951287E+002, 2.4896323E+002, 2.6202253E+002, 2.5471227E+002, 2.6352621E+002, 2.5229201E+002, 1.6475987E+002, 2.2446081E+002
 5.9001106E+002, 3.8749231E+002, 2.0257201E+002, 2.5269872E+002, 2.6563910E+002, 2.5839757E+002, 2.6712600E+002, 2.5600167E+002, 1.6701270E+002, 2.2766738E+002
 6.0001407E+002, 3.8582765E+002, 2.0549957E+002, 2.5623636E+002, 2.6904070E+002, 2.6187651E+002, 2.7050908E+002, 2.5950872E+002, 1.6915558E+002, 2.3072425E+002
 6.1002688E+002, 3.8416008E+002, 2.0832509E+002, 2.5962306E+002, 2.7228696E+002, 2.6520519E+002, 2.7373602E+002, 2.6286476E+002, 1.7120511E+002, 2.3368135E+002
 6.2004373E+002, 3.8249033E+002, 2.1103386E+002, 2.6282771E+002, 2.7532998E+002, 2.6833808E+002, 2.7675797E+002, 2.6603161E+002, 1.7315711E+002, 2.3648972E+002
 6.3003223E+002, 3.8082323E+002, 2.1361752E+002, 2.6583800E+002, 2.7816188E+002, 2.7126651E+002, 2.7956742E+002, 2.6899847E+002, 1.7500649E+002, 2.3914982E+002
 6.4004603E+002, 3.7915576E+002, 2.1609180E+002, 2.6867471E+002, 2.8080711E+002, 2.7401359E+002, 2.8218914E+002, 2.7178747E+002, 1.7676809E+002, 2.4168355E+002
 6.5000755E+002, 3.7749096E+002, 2.1845343E+002, 2.7132514E+002, 2.8324889E+002, 2.7656364E+002, 2.8460605E+002, 2.7438435E+002, 1.7844533E+002, 2.4407907E+002
 6.6000170E+002, 3.7582892E+002, 2.2071621E+002, 2.7382146E+002, 2.8553406E+002, 2.7895944E+002, 2.8686598E+002, 2.7682666E+002, 1.8003716E+002, 2.4637270E+002
 6.7002115E+002, 3.7416084E+002, 2.2290237E+002, 2.7619954E+002, 2.8769959E+002, 2.8123561E+002, 2.8900628E+002, 2.7915006E+002, 1.8155611E+002, 2.4858430E+002
 6.8000828E+002, 3.7249342E+002, 2.2498876E+002, 2.7841203E+002, 2.8968175E+002, 2.8333215E+002, 2.9096216E+002, 2.8130068E+002, 1.8300035E+002, 2.5066348E+002
 6.9000763E+002, 3.7082789E+002, 2.2698357E+002, 2.8047177E+002, 2.9150273E+002, 2.8527073E+002, 2.9275626E+002, 2.8329552E+002, 1.8437531E+002, 2.5263455E+002
 7.0001733E+002, 3.6916066E+002, 2.2889299E+002, 2.8239148E+002, 2.9317750E+002, 2.8706497E+002, 2.9440380E+002, 2.8514787E+002, 1.8568177E+002, 2.5450587E+002
 7.1002658E+002, 3.6749256E+002, 2.3073778E+002, 2.8420476E+002, 2.9474997E+002, 2.8875709E+002, 2.9594929E+002, 2.8689566E+002, 1.8693442E+002, 2.5631806E+002
 7.2000691E+002, 3.6582573E+002, 2.3252673E+002, 2.8592979E+002, 2.9624057E+002, 2.9036607E+002, 2.9741342E+002, 2.8855773E+002, 1.8813570E+002, 2.5807858E+002
 7.3002935E+002, 3.6415971E+002, 2.3425604E+002, 2.8756103E+002, 2.9763528E+002, 2.9187832E+002, 2.9878180E+002, 2.9012465E+002, 1.8928166E+002, 2.5976384E+002
 7.4002558E+002, 3.6249137E+002, 2.3589772E+002, 2.8904665E+002, 2.9886450E+002, 2.9322746E+002, 2.9998387E+002, 2.9153708E+002, 1.9036396E+002, 2.6131299E+002
 7.5001146E+002, 3.6082607E+002, 2.3746136E+002, 2.9040516E+002, 2.9996657E+002, 2.9445095E+002, 3.0105875E+002, 2.9282244E+002, 1.9139181E+002, 2.6278154E+002
 7.6000337E+002, 3.5790462E+002, 2.3897334E+002, 2.9168445E+002, 3.0099604E+002, 2.9560018E+002, 3.0206156E+002, 2.9403115E+002, 1.9237390E+002, 2.6419815E+002
 7.7003563E+002, 3.5373208E+002, 2.4040608E+002, 2.9284477E+002, 3.0189733E+002, 2.9662152E+002, 3.0293591E+002, 2.9511638E+002, 1.9328535E+002, 2.6550271E+002
 7.8000515E+002, 3.4956662E+002, 2.4172920E+002, 2.9385914E+002, 3.0264142E+002, 2.9748725E+002, 3.0365253E+002, 2.9605071E+002, 1.9409390E+002, 2.6665652E+002
 7.9002610E+002, 3.4540153E+002, 2.4291512E+002, 2.9469122E+002, 3.0318732E+002, 2.9815809E+002, 3.0417002E+002, 2.9679602E+002, 1.9478286E+002, 2.6762772E+002
 8.0000598E+002, 3.4123312E+002, 2.4395599E+002, 2.9533162E+002, 3.0352712E+002, 2.9862584E+002, 3.0448052E+002, 2.9734365E+002, 1.9535050E+002, 2.6841350E+002
 8.1004806E+002, 3.3706126E+002, 2.4486531E+002, 2.9580095E+002, 3.0369338E+002, 2.9892305E+002, 3.0461707E+002, 2.9771974E+002, 1.9580983E+002, 2.6905812E+002
 8.2000960E+002, 3.3289349E+002, 2.4564836E+002, 2.9610820E+002, 3.0369160E+002, 2.9905379E+002, 3.0458527E+002, 2.9793135E+002, 1.9616543E+002, 2.6955149E+002
 8.3002813E+002, 3.2873209E+002, 2.4629155E+002, 2.9622754E+002, 3.0349215E+002, 2.9898905E+002, 3.0435532E+002, 2.9795086E+002, 1.9641485E+002, 2.6987849E+002
 8.4002734E+002, 3.2456027E+002, 2.4681455E+002, 2.9619017E+002, 3.0313429E+002, 2.9876668E+002, 3.0396691E+002, 2.9781299E+002, 1.9656802E+002, 2.7007293E+002
 8.5000686E+002, 3.2039693E+002, 2.4722677E+002, 2.9600669E+002, 3.0263116E+002, 2.9839915E+002, 3.0343330E+002, 2.9752930E+002, 1.9663963E+002, 2.7015240E+002
 8.6003343E+002, 3.1623071E+002, 2.4755067E+002, 2.9570839E+002, 3.0202070E+002, 2.9792417E+002, 3.0279265E+002, 2.9713427E+002, 1.9664184E+002, 2.7015337E+002
 8.7001635E+002, 3.1206658E+002, 2.4779964E+002, 2.9531387E+002, 3.0132069E+002, 2.9735857E+002, 3.0206278E+002, 2.9664598E+002, 1.9658504E+002, 2.7008374E+002
 8.8003546E+002, 3.3187223E+002, 2.4798313E+002, 2.9482669E+002, 3.0053281E+002, 2.9670410E+002, 3.0124541E+002, 2.9606694E+002, 1.9648957E+002, 2.6995343E+002
 8.9000705E+002, 3.7520532E+002, 2.4834567E+002, 2.9449774E+002, 2.9998267E+002, 2.9627524E+002, 3.0067039E+002, 2.9567948E+002, 1.9668566E+002, 2.7022948E+002
 9.0001401E+002, 4.1847350E+002, 2.4954170E+002, 2.9503421E+002, 3.0051815E+002, 2.9688726E+002, 3.0119504E+002, 2.9624724E+002, 1.9789388E+002, 2.7190125E+002
 9.1002171E+002, 4.6183785E+002, 2.5213091E+002, 2.9703895E+002, 3.0278560E+002, 2.9915875E+002, 3.0347118E+002, 2.9838439E+002, 2.0062639E+002, 2.7556925E+002
 9.2001301E+002, 5.0516379E+002, 2.5652280E+002, 3.0097581E+002, 3.0726532E+002, 3.0355396E+002, 3.0798193E+002, 3.0255643E+002, 2.0521151E+002, 2.8162446E+002
 9.3002209E+002, 5.4850999E+002, 2.6301212E+002, 3.0716185E+002, 3.1426079E+002, 3.1037395E+002, 3.1503056E+002, 3.0907280E+002, 2.1190602E+002, 2.9029749E+002
 9.4001101E+002, 5.9182078E+002, 2.7186148E+002, 3.1588601E+002, 3.2406327E+002, 3.1991554E+002, 3.2490717E+002, 3.1822569E+002, 2.2095332E+002, 3.0184023E+002
 9.5003033E+002, 6.3514101E+002, 2.8331616E+002, 3.2740946E+002, 3.3692935E+002, 3.3245146E+002, 3.3786528E+002, 3.3028117E+002, 2.3260855E+002, 3.1648094E+002
 9.6001886E+002, 6.7850189E+002, 2.9751854E+002, 3.4185816E+002, 3.5295026E+002, 3.4810200E+002, 3.5399011E+002, 3.4536127E+002, 2.4705554E+002, 3.3428009E+002
 9.7001798E+002, 6.7950396E+002, 3.1447716E+002, 3.5923785E+002, 3.7208296E+002, 3.6685778E+002, 3.7323141E+002, 3.6346272E+002, 2.6429136E+002, 3.5510454E+002
 9.8002667E+002, 6.3877479E+002, 3.3254394E+002, 3.7786962E+002, 3.9212440E+002, 3.8658156E+002, 3.9335967E+002, 3.8267881E+002, 2.8207013E+002, 3.7572652E+002
 9.9002707E+002, 5.9802719E+002, 3.4835108E+002, 3.9430375E+002, 4.0907557E+002, 4.0335129E+002, 4.1034913E+002, 3.9931194E+002, 2.9660089E+002, 3.9149581E+002
 1.0000065E+003, 5.5737596E+002, 3.6032539E+002, 4.0692988E+002, 4.2147300E+002, 4.1571618E+002, 4.2274067E+002, 4.1182040E+002, 3.0673904E+002, 4.0158551E+002
 1.0100086E+003, 5.1668730E+002, 3.6837050E+002, 4.1563050E+002, 4.2947605E+002, 4.2381226E+002, 4.3070605E+002, 4.2021399E+002, 3.1283565E+002, 4.0679356E+002
 1.0200371E+003, 4.7589668E+002, 3.7291145E+002, 4.2079684E+002, 4.3368274E+002, 4.2821020E+002, 4.3485332E+002, 4.2497805E+002, 3.1559152E+002, 4.0814755E+002
 1.0300342E+003, 4.3512827E+002, 3.7455654E+002, 4.2300571E+002, 4.3481791E+002, 4.2961030E+002, 4.3591501E+002, 4.2675602E+002, 3.1574471E+002, 4.0664619E+002
 1.0400093E+003, 4.1052532E+002, 3.7390810E+002, 4.2281823E+002, 4.3352073E+002, 4.2862906E+002, 4.3453591E+002, 4.2614106E+002, 3.1393676E+002, 4.0307697E+002
 1.0500324E+003, 4.0166607E+002, 3.7169921E+002, 4.2093569E+002, 4.3058968E+002, 4.2604231E+002, 4.3152081E+002, 4.2387425E+002, 3.1096542E+002, 3.9842251E+002
 1.0600039E+003, 3.9280717E+002, 3.6880981E+002, 4.1824109E+002, 4.2701108E+002, 4.2280700E+002, 4.2786338E+002, 4.2087889E+002, 3.0770519E+002, 3.9376296E+002
 1.0700339E+003, 3.8394510E+002, 3.6572396E+002, 4.1521710E+002, 4.2323846E+002, 4.1935908E+002, 4.2401891E+002, 4.1761751E+002, 3.0450631E+002, 3.8941077E+002
 1.0800159E+003, 3.7507695E+002, 3.6261089E+002, 4.1201666E+002, 4.1936511E+002, 4.1578648E+002, 4.2007956E+002, 4.1421077E+002, 3.0142677E+002, 3.8532860E+002
 1.0900414E+003, 3.6620155E+002, 3.5956092E+002, 4.0873012E+002, 4.1545762E+002, 4.1215718E+002, 4.1611101E+002, 4.1073618E+002, 2.9848585E+002, 3.8151743E+002
 1.1000187E+003, 3.5734088E+002, 3.5658891E+002, 4.0537408E+002, 4.1150518E+002, 4.0846288E+002, 4.1210126E+002, 4.0719697E+002, 2.9565286E+002, 3.7789514E+002
 1.1100382E+003, 3.4847612E+002, 3.5370425E+002, 4.0196618E+002, 4.0752021E+002, 4.0471952E+002, 4.0806195E+002, 4.0360914E+002, 2.9291540E+002, 3.7444080E+002
 1.1200156E+003, 3.3961140E+002, 3.5086078E+002, 3.9845873E+002, 4.0343365E+002, 4.0086017E+002, 4.0392328E+002, 3.9991495E+002, 2.9021719E+002, 3.7103694E+002
 1.1300430E+003, 3.3075617E+002, 3.4806422E+002, 3.9487413E+002, 3.9928131E+002, 3.9692443E+002, 3.9972096E+002, 3.9614418E+002, 2.8755800E+002, 3.6771436E+002
 1.1400099E+003, 3.2188071E+002, 3.4530971E+002, 3.9121990E+002, 3.9506747E+002, 3.9291760E+002, 3.9545899E+002, 3.9230332E+002, 2.8492908E+002, 3.6444245E+002
 1.1500216E+003, 3.1303373E+002, 3.4259384E+002, 3.8750322E+002, 3.9080258E+002, 3.8885148E+002, 3.9114770E+002, 3.8840151E+002, 2.8232983E+002, 3.6121907E+002
 1.1600291E+003, 3.0416066E+002, 3.3990546E+002, 3.8372293E+002, 3.8648415E+002, 3.8472546E+002, 3.8678422E+002, 3.8443773E+002, 2.7974685E+002, 3.5802194E+002
 1.1700106E+003, 2.9529204E+002, 3.3724343E+002, 3.7989040E+002, 3.8212546E+002, 3.8055313E+002, 3.8238188E+002, 3.8042432E+002, 2.7718220E+002, 3.5484784E+002
 1.1800455E+003, 2.8642695E+002, 3.3460083E+002, 3.7600920E+002, 3.7773170E+002, 3.7634092E+002, 3.7794570E+002, 3.7636639E+002, 2.7462783E+002, 3.5169021E+002
 1.1900133E+003, 2.7756240E+002, 3.3196871E+002, 3.7207705E+002, 3.7329528E+002, 3.7208034E+002, 3.7346799E+002, 3.7225892E+002, 2.7208078E+002, 3.4852015E+002
 1.2000158E+003, 2.6871237E+002, 3.2930299E+002, 3.6804411E+002, 3.6875497E+002, 3.6770987E+002, 3.6888721E+002, 3.6804611E+002, 2.6950907E+002, 3.4526687E+002
 1.2100080E+003, 2.5984730E+002, 3.2661754E+002, 3.6393727E+002, 3.6415373E+002, 3.6327501E+002, 3.6424646E+002, 3.6376372E+002, 2.6693006E+002, 3.4198840E+002
 1.2200211E+003, 2.5098451E+002, 3.2391514E+002, 3.5976871E+002, 3.5950326E+002, 3.5878717E+002, 3.5955740E+002, 3.5942394E+002, 2.6434731E+002, 3.3868302E+002
 1.2300182E+003, 2.4211515E+002, 3.2118738E+002, 3.5553165E+002, 3.5479047E+002, 3.5423235E+002, 3.5480700E+002, 3.5501657E+002, 2.6175792E+002, 3.3532305E+002
 1.2400224E+003, 2.3324761E+002, 3.1843122E+002, 3.5122490E+002, 3.5001742E+002, 3.4961345E+002, 3.4999729E+002, 3.5054207E+002, 2.5916879E+002, 3.3191914E+002
 1.2500617E+003, 2.2436786E+002, 3.1566543E+002, 3.4688064E+002, 3.4522546E+002, 3.4497326E+002, 3.4516962E+002, 3.4603808E+002, 2.5658754E+002, 3.2851404E+002
 1.2600135E+003, 2.1895362E+002, 3.1291767E+002, 3.4254296E+002, 3.4046184E+002, 3.4035797E+002, 3.4037141E+002, 3.4154982E+002, 2.5403978E+002, 3.2514179E+002
 1.2700402E+003, 2.1689237E+002, 3.1020475E+002, 3.3823131E+002, 3.3574767E+002, 3.3578759E+002, 3.3562404E+002, 3.3709719E+002, 2.5154724E+002, 3.2182441E+002
 1.2800621E+003, 2.1482457E+002, 3.0754000E+002, 3.3395378E+002, 3.3108995E+002, 3.3126665E+002, 3.3093489E+002, 3.3268671E+002, 2.4913181E+002, 3.1857180E+002
 1.2900078E+003, 2.1276361E+002, 3.0497037E+002, 3.2977737E+002, 3.2656312E+002, 3.2686785E+002, 3.2637896E+002, 3.2838825E+002, 2.4683434E+002, 3.1544727E+002
 1.3000354E+003, 2.1070198E+002, 3.0250722E+002, 3.2571802E+002, 3.2218331E+002, 3.2260806E+002, 3.2197219E+002, 3.2421824E+002, 2.4465543E+002, 3.1246050E+002
 1.3100095E+003, 2.0863872E+002, 3.0015257E+002, 3.2178503E+002, 3.1795843E+002, 3.1849655E+002, 3.1772225E+002, 3.2018589E+002, 2.4258663E+002, 3.0961296E+002
 1.3200245E+003, 2.0657580E+002, 2.9789460E+002, 3.1797183E+002, 3.1387050E+002, 3.1451404E+002, 3.1361099E+002, 3.1627877E+002, 2.4061191E+002, 3.0685690E+002
 1.3300135E+003, 2.0451271E+002, 2.9567929E+002, 3.1420945E+002, 3.0983635E+002, 3.1057642E+002, 3.0955494E+002, 3.1242015E+002, 2.3869652E+002, 3.0410422E+002
 1.3400700E+003, 2.0244588E+002, 2.9349816E+002, 3.1048893E+002, 3.0585488E+002, 3.0668452E+002, 3.0555302E+002, 3.0860544E+002, 2.3684046E+002, 3.0137620E+002
 1.3500658E+003, 2.0037624E+002, 2.9135682E+002, 3.0682557E+002, 3.0194275E+002, 3.0285558E+002, 3.0162179E+002, 3.0485114E+002, 2.3504141E+002, 2.9868020E+002
 1.3600187E+003, 1.9831710E+002, 2.8928321E+002, 3.0326343E+002, 2.9815534E+002, 2.9914689E+002, 2.9781666E+002, 3.0120746E+002, 2.3332305E+002, 2.9608553E+002
 1.3700501E+003, 1.9625499E+002, 2.8727920E+002, 2.9980450E+002, 2.9449116E+002, 2.9555791E+002, 2.9413591E+002, 2.9767559E+002, 2.3167294E+002, 2.9357950E+002
