s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 4.560E+03, 3.080E+01, 3.189E+01, 3.482E+01, 3.824E+01, 4.297E+01, 4.657E+01, 4.872E+01, 2.009E-01,-2.009E-01
 4.620E+03, 3.101E+01, 3.204E+01, 3.484E+01, 3.814E+01, 4.269E+01, 4.616E+01, 4.824E+01, 2.006E-01,-2.006E-01
 4.680E+03, 3.118E+01, 3.217E+01, 3.486E+01, 3.803E+01, 4.242E+01, 4.577E+01, 4.777E+01, 2.002E-01,-2.002E-01
 4.740E+03, 3.134E+01, 3.229E+01, 3.488E+01, 3.792E+01, 4.215E+01, 4.539E+01, 4.733E+01, 2.003E-01,-2.002E-01
 4.800E+03, 3.151E+01, 3.240E+01, 3.489E+01, 3.782E+01, 4.190E+01, 4.503E+01, 4.690E+01, 2.000E-01,-2.000E-01
 4.860E+03, 3.165E+01, 3.250E+01, 3.489E+01, 3.771E+01, 4.166E+01, 4.468E+01, 4.649E+01, 2.000E-01,-1.999E-01
 4.920E+03, 3.177E+01, 3.259E+01, 3.489E+01, 3.761E+01, 4.142E+01, 4.434E+01, 4.610E+01, 1.997E-01,-1.997E-01
 4.980E+03, 3.187E+01, 3.265E+01, 3.488E+01, 3.751E+01, 4.119E+01, 4.402E+01, 4.572E+01, 1.994E-01,-1.994E-01
 5.040E+03, 3.196E+01, 3.272E+01, 3.488E+01, 3.741E+01, 4.097E+01, 4.370E+01, 4.535E+01, 1.990E-01,-1.990E-01
 5.100E+03, 3.203E+01, 3.277E+01, 3.486E+01, 3.731E+01, 4.076E+01, 4.340E+01, 4.500E+01, 1.988E-01,-1.988E-01
 5.160E+03, 3.210E+01, 3.282E+01, 3.484E+01, 3.722E+01, 4.055E+01, 4.311E+01, 4.466E+01, 1.985E-01,-1.985E-01
 5.220E+03, 3.215E+01, 3.286E+01, 3.482E+01, 3.712E+01, 4.035E+01, 4.283E+01, 4.433E+01, 1.979E-01,-1.979E-01
 5.280E+03, 3.219E+01, 3.289E+01, 3.480E+01, 3.703E+01, 4.015E+01, 4.256E+01, 4.401E+01, 1.976E-01,-1.976E-01
 5.340E+03, 3.222E+01, 3.291E+01, 3.477E+01, 3.693E+01, 3.996E+01, 4.230E+01, 4.370E+01, 1.973E-01,-1.973E-01
 5.400E+03, 3.224E+01, 3.292E+01, 3.474E+01, 3.684E+01, 3.978E+01, 4.204E+01, 4.341E+01, 1.971E-01,-1.971E-01
 5.460E+03, 3.225E+01, 3.293E+01, 3.470E+01, 3.675E+01, 3.960E+01, 4.180E+01, 4.312E+01, 1.968E-01,-1.968E-01
 5.520E+03, 3.226E+01, 3.293E+01, 3.466E+01, 3.665E+01, 3.943E+01, 4.156E+01, 4.285E+01, 1.962E-01,-1.962E-01
 5.580E+03, 3.226E+01, 3.292E+01, 3.462E+01, 3.655E+01, 3.925E+01, 4.133E+01, 4.258E+01, 1.954E-01,-1.954E-01
 5.640E+03, 3.225E+01, 3.291E+01, 3.457E+01, 3.646E+01, 3.909E+01, 4.110E+01, 4.232E+01, 1.955E-01,-1.955E-01
