s,C
 1.5701000E+003, 1.1497205E+002
 1.5801000E+003, 1.1265314E+002
 1.5901000E+003, 1.1037409E+002
 1.6001000E+003, 1.0819185E+002
 1.6101000E+003, 1.0611887E+002
 1.6201000E+003, 1.0409851E+002
 1.6301000E+003, 1.0217185E+002
 1.6401000E+003, 1.0028110E+002
 1.6501000E+003, 9.8433647E+001
 1.6601000E+003, 9.6630458E+001
 1.6701000E+003, 9.4882844E+001
 1.6801000E+003, 9.3208142E+001
 1.6901000E+003, 9.1574150E+001
 1.7001000E+003, 8.9986844E+001
 1.7101000E+003, 8.8420924E+001
 1.7201000E+003, 8.6920465E+001
 1.7301000E+003, 8.5463212E+001
 1.7401000E+003, 8.4031491E+001
 1.7501000E+003, 8.2646360E+001
 1.7601000E+003, 8.1281568E+001
 1.7701000E+003, 7.9954568E+001
 1.7801000E+003, 7.8694286E+001
 1.7901000E+003, 7.7463445E+001
 1.8001000E+003, 7.6226076E+001
 1.8101000E+003, 7.5052343E+001
 1.8201000E+003, 7.3923325E+001
 1.8301000E+003, 7.2793767E+001
 1.8401000E+003, 7.1667044E+001
 1.8501000E+003, 7.0591905E+001
 1.8601000E+003, 6.9556420E+001
 1.8701000E+003, 6.8550187E+001
 1.8801000E+003, 6.7538293E+001
 1.8901000E+003, 6.6559596E+001
 1.9001000E+003, 6.5619316E+001
 1.9101000E+003, 6.4688491E+001
 1.9201000E+003, 6.3772411E+001
 1.9301000E+003, 6.2873673E+001
 1.9401000E+003, 6.1999148E+001
 1.9501000E+003, 6.1152999E+001
 1.9601000E+003, 6.0329145E+001
 1.9701000E+003, 5.9530847E+001
 1.9801000E+003, 5.8754624E+001
 1.9901000E+003, 5.7983228E+001
 2.0001000E+003, 5.7217939E+001
 2.0101000E+003, 5.6463389E+001
 2.0201000E+003, 5.5743461E+001
 2.0301000E+003, 5.5048191E+001
 2.0401000E+003, 5.4373602E+001
 2.0501000E+003, 5.3697034E+001
 2.0601000E+003, 5.3043216E+001
 2.0701000E+003, 5.2399677E+001
 2.0801000E+003, 5.1776070E+001
 2.0901000E+003, 5.1156620E+001
 2.1000000E+003, 5.0557728E+001
