s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 2.700E+02, 7.115E+02, 5.742E+02, 2.565E+02, 1.095E+02, 7.443E+01, 7.094E+02, 5.610E+02, 2.811E+02, 1.549E+02, 1.062E+02, 7.876E+02, 6.401E+02, 3.415E+02, 2.080E+02, 1.454E+02, 3.011E+02, 1.807E+02, 6.627E+01, 3.585E+01, 2.930E+01
 3.000E+02, 7.068E+02, 5.678E+02, 2.742E+02, 1.176E+02, 7.908E+01, 7.160E+02, 5.237E+02, 3.493E+02, 1.893E+02, 1.349E+02, 8.050E+02, 5.881E+02, 3.841E+02, 2.464E+02, 1.936E+02, 3.347E+02, 2.029E+02, 7.243E+01, 3.848E+01, 3.091E+01
 3.300E+02, 7.040E+02, 5.623E+02, 2.894E+02, 1.259E+02, 8.505E+01, 6.892E+02, 5.268E+02, 2.690E+02, 1.567E+02, 1.142E+02, 7.788E+02, 6.051E+02, 3.373E+02, 2.240E+02, 1.634E+02, 3.664E+02, 2.206E+02, 7.933E+01, 4.078E+01, 3.243E+01
 3.600E+02, 7.428E+02, 5.941E+02, 3.192E+02, 1.368E+02, 8.977E+01, 7.932E+02, 6.253E+02, 3.944E+02, 2.028E+02, 1.452E+02, 8.954E+02, 7.144E+02, 4.810E+02, 2.825E+02, 2.056E+02, 4.008E+02, 2.417E+02, 8.826E+01, 4.368E+01, 3.412E+01
 3.901E+02, 7.563E+02, 6.151E+02, 3.424E+02, 1.401E+02, 9.214E+01, 7.711E+02, 5.865E+02, 3.484E+02, 1.636E+02, 1.129E+02, 8.864E+02, 6.784E+02, 4.281E+02, 2.271E+02, 1.598E+02, 4.292E+02, 2.719E+02, 1.011E+02, 4.715E+01, 3.599E+01
 4.201E+02, 7.586E+02, 6.249E+02, 3.467E+02, 1.422E+02, 9.416E+01, 7.621E+02, 6.299E+02, 3.686E+02, 1.929E+02, 1.271E+02, 8.804E+02, 7.032E+02, 4.327E+02, 2.512E+02, 1.763E+02, 4.509E+02, 2.972E+02, 1.144E+02, 5.089E+01, 3.736E+01
 4.500E+02, 7.673E+02, 6.312E+02, 3.714E+02, 1.557E+02, 9.779E+01, 7.724E+02, 5.895E+02, 3.568E+02, 2.126E+02, 1.344E+02, 8.956E+02, 6.916E+02, 4.513E+02, 2.906E+02, 1.845E+02, 4.725E+02, 3.204E+02, 1.258E+02, 5.381E+01, 3.877E+01
 4.800E+02, 7.395E+02, 6.112E+02, 3.798E+02, 1.684E+02, 1.015E+02, 7.086E+02, 5.589E+02, 3.590E+02, 2.004E+02, 1.383E+02, 8.058E+02, 6.437E+02, 4.355E+02, 2.735E+02, 1.983E+02, 4.955E+02, 3.445E+02, 1.378E+02, 5.780E+01, 4.074E+01
 5.100E+02, 7.306E+02, 5.688E+02, 3.665E+02, 1.661E+02, 1.038E+02, 7.556E+02, 5.392E+02, 3.210E+02, 1.770E+02, 1.197E+02, 8.650E+02, 6.130E+02, 4.004E+02, 2.459E+02, 1.727E+02, 5.086E+02, 3.511E+02, 1.445E+02, 6.030E+01, 4.225E+01
 5.400E+02, 7.375E+02, 5.894E+02, 3.695E+02, 1.691E+02, 1.041E+02, 6.989E+02, 5.711E+02, 3.524E+02, 1.988E+02, 1.359E+02, 8.179E+02, 6.675E+02, 4.168E+02, 2.800E+02, 1.934E+02, 5.179E+02, 3.584E+02, 1.504E+02, 6.328E+01, 4.351E+01
 5.700E+02, 7.216E+02, 5.584E+02, 3.376E+02, 1.636E+02, 1.049E+02, 7.186E+02, 4.146E+02, 2.068E+02, 1.347E+02, 1.055E+02, 8.324E+02, 4.709E+02, 2.608E+02, 1.961E+02, 1.516E+02, 5.327E+02, 3.794E+02, 1.585E+02, 6.552E+01, 4.488E+01
 6.000E+02, 7.465E+02, 5.089E+02, 3.018E+02, 1.563E+02, 1.025E+02, 7.568E+02, 4.227E+02, 2.372E+02, 1.544E+02, 1.134E+02, 8.827E+02, 5.196E+02, 3.315E+02, 2.287E+02, 1.633E+02, 5.402E+02, 3.865E+02, 1.636E+02, 6.702E+01, 4.579E+01
 6.301E+02, 7.357E+02, 4.920E+02, 2.869E+02, 1.511E+02, 1.018E+02, 7.117E+02, 4.583E+02, 2.514E+02, 1.518E+02, 1.146E+02, 8.222E+02, 5.003E+02, 3.122E+02, 2.127E+02, 1.627E+02, 5.460E+02, 3.902E+02, 1.675E+02, 6.915E+01, 4.719E+01
 6.600E+02, 7.264E+02, 5.073E+02, 2.919E+02, 1.505E+02, 1.014E+02, 7.131E+02, 4.993E+02, 2.724E+02, 1.593E+02, 1.113E+02, 8.315E+02, 5.828E+02, 3.627E+02, 2.231E+02, 1.572E+02, 5.479E+02, 3.911E+02, 1.701E+02, 7.090E+01, 4.854E+01
 6.901E+02, 7.245E+02, 5.004E+02, 2.810E+02, 1.494E+02, 1.023E+02, 6.979E+02, 4.447E+02, 2.573E+02, 1.572E+02, 1.248E+02, 8.123E+02, 5.029E+02, 3.357E+02, 2.338E+02, 1.772E+02, 5.500E+02, 3.923E+02, 1.748E+02, 7.302E+01, 4.983E+01
 7.200E+02, 7.001E+02, 4.919E+02, 2.802E+02, 1.483E+02, 1.044E+02, 6.783E+02, 4.364E+02, 2.498E+02, 1.468E+02, 1.188E+02, 7.804E+02, 5.112E+02, 3.281E+02, 2.104E+02, 1.747E+02, 5.624E+02, 3.978E+02, 1.774E+02, 7.451E+01, 5.092E+01
 7.500E+02, 7.161E+02, 5.429E+02, 2.991E+02, 1.475E+02, 1.044E+02, 7.088E+02, 5.554E+02, 3.172E+02, 1.652E+02, 1.141E+02, 8.265E+02, 6.572E+02, 3.854E+02, 2.387E+02, 1.636E+02, 5.676E+02, 4.092E+02, 1.840E+02, 7.658E+01, 5.213E+01
 7.800E+02, 7.497E+02, 5.582E+02, 2.978E+02, 1.473E+02, 1.033E+02, 7.553E+02, 5.343E+02, 2.741E+02, 1.509E+02, 1.072E+02, 8.802E+02, 6.127E+02, 3.351E+02, 2.203E+02, 1.508E+02, 5.742E+02, 4.200E+02, 1.915E+02, 7.940E+01, 5.364E+01
 8.100E+02, 7.440E+02, 5.506E+02, 2.933E+02, 1.467E+02, 1.022E+02, 7.459E+02, 4.990E+02, 2.807E+02, 1.564E+02, 1.104E+02, 8.366E+02, 5.602E+02, 3.374E+02, 2.158E+02, 1.557E+02, 5.789E+02, 4.293E+02, 1.966E+02, 8.142E+01, 5.484E+01
 8.400E+02, 7.496E+02, 5.550E+02, 3.069E+02, 1.475E+02, 1.014E+02, 7.581E+02, 4.943E+02, 2.535E+02, 1.484E+02, 1.019E+02, 8.611E+02, 5.644E+02, 3.169E+02, 2.040E+02, 1.417E+02, 5.839E+02, 4.459E+02, 2.034E+02, 8.336E+01, 5.587E+01
 8.700E+02, 7.496E+02, 5.777E+02, 3.296E+02, 1.592E+02, 1.026E+02, 7.293E+02, 5.821E+02, 3.367E+02, 2.004E+02, 1.234E+02, 8.146E+02, 6.195E+02, 3.783E+02, 2.540E+02, 1.682E+02, 5.883E+02, 4.569E+02, 2.092E+02, 8.619E+01, 5.707E+01
 9.001E+02, 7.302E+02, 5.875E+02, 3.334E+02, 1.629E+02, 1.048E+02, 7.130E+02, 5.304E+02, 3.084E+02, 1.739E+02, 1.276E+02, 8.169E+02, 5.677E+02, 3.443E+02, 2.219E+02, 1.781E+02, 5.890E+02, 4.542E+02, 2.125E+02, 8.778E+01, 5.797E+01
 9.300E+02, 7.230E+02, 6.075E+02, 3.705E+02, 1.662E+02, 1.075E+02, 7.182E+02, 5.991E+02, 3.857E+02, 1.848E+02, 1.304E+02, 8.144E+02, 6.683E+02, 4.476E+02, 2.517E+02, 1.873E+02, 5.819E+02, 4.482E+02, 2.147E+02, 8.886E+01, 5.883E+01
 9.601E+02, 7.508E+02, 6.022E+02, 3.604E+02, 1.735E+02, 1.115E+02, 7.781E+02, 5.629E+02, 3.009E+02, 1.876E+02, 1.277E+02, 8.829E+02, 6.375E+02, 3.725E+02, 2.573E+02, 1.824E+02, 5.768E+02, 4.477E+02, 2.179E+02, 9.004E+01, 5.981E+01
 9.900E+02, 7.658E+02, 6.115E+02, 3.547E+02, 1.730E+02, 1.120E+02, 7.877E+02, 6.154E+02, 3.795E+02, 2.166E+02, 1.509E+02, 9.074E+02, 6.871E+02, 4.403E+02, 2.883E+02, 2.056E+02, 5.667E+02, 4.453E+02, 2.196E+02, 9.094E+01, 6.052E+01
 1.020E+03, 7.765E+02, 6.333E+02, 3.820E+02, 1.830E+02, 1.192E+02, 7.599E+02, 5.636E+02, 3.402E+02, 1.860E+02, 1.419E+02, 8.741E+02, 6.528E+02, 4.250E+02, 2.711E+02, 2.139E+02, 5.679E+02, 4.460E+02, 2.235E+02, 9.363E+01, 6.179E+01
 1.050E+03, 7.425E+02, 5.997E+02, 3.550E+02, 1.730E+02, 1.158E+02, 7.411E+02, 5.653E+02, 3.310E+02, 1.677E+02, 1.161E+02, 8.459E+02, 6.401E+02, 3.815E+02, 2.221E+02, 1.591E+02, 5.697E+02, 4.458E+02, 2.260E+02, 9.519E+01, 6.268E+01
 1.080E+03, 7.404E+02, 5.779E+02, 3.440E+02, 1.688E+02, 1.155E+02, 7.356E+02, 4.919E+02, 2.450E+02, 1.337E+02, 1.107E+02, 8.244E+02, 5.414E+02, 3.100E+02, 1.950E+02, 1.639E+02, 5.670E+02, 4.442E+02, 2.288E+02, 9.661E+01, 6.349E+01
 1.110E+03, 7.207E+02, 5.637E+02, 3.329E+02, 1.666E+02, 1.142E+02, 6.778E+02, 4.884E+02, 3.084E+02, 1.927E+02, 1.354E+02, 7.956E+02, 5.702E+02, 3.897E+02, 2.698E+02, 1.946E+02, 5.714E+02, 4.518E+02, 2.329E+02, 9.798E+01, 6.431E+01
 1.140E+03, 7.379E+02, 5.674E+02, 3.414E+02, 1.735E+02, 1.145E+02, 7.857E+02, 5.819E+02, 3.282E+02, 1.775E+02, 1.144E+02, 9.011E+02, 6.705E+02, 3.805E+02, 2.222E+02, 1.548E+02, 5.700E+02, 4.458E+02, 2.319E+02, 9.855E+01, 6.488E+01
 1.170E+03, 7.760E+02, 6.044E+02, 3.520E+02, 1.803E+02, 1.173E+02, 7.833E+02, 6.070E+02, 3.346E+02, 1.980E+02, 1.447E+02, 8.877E+02, 7.159E+02, 4.276E+02, 2.849E+02, 2.078E+02, 5.640E+02, 4.403E+02, 2.307E+02, 9.902E+01, 6.558E+01
 1.200E+03, 7.773E+02, 5.895E+02, 3.391E+02, 1.747E+02, 1.173E+02, 7.827E+02, 5.390E+02, 3.167E+02, 1.823E+02, 1.327E+02, 8.952E+02, 6.224E+02, 4.148E+02, 2.637E+02, 1.850E+02, 5.572E+02, 4.285E+02, 2.278E+02, 9.914E+01, 6.616E+01
 1.230E+03, 7.707E+02, 6.036E+02, 3.398E+02, 1.732E+02, 1.187E+02, 7.685E+02, 6.425E+02, 3.740E+02, 1.964E+02, 1.386E+02, 8.503E+02, 7.222E+02, 4.509E+02, 2.695E+02, 2.005E+02, 5.615E+02, 4.192E+02, 2.246E+02, 9.920E+01, 6.658E+01
 1.260E+03, 7.666E+02, 6.485E+02, 4.105E+02, 1.860E+02, 1.213E+02, 7.778E+02, 6.075E+02, 3.676E+02, 2.044E+02, 1.355E+02, 8.896E+02, 6.808E+02, 4.205E+02, 2.724E+02, 1.880E+02, 5.614E+02, 4.167E+02, 2.230E+02, 9.961E+01, 6.723E+01
 1.290E+03, 7.741E+02, 6.467E+02, 3.978E+02, 1.846E+02, 1.192E+02, 7.821E+02, 6.526E+02, 3.780E+02, 2.028E+02, 1.269E+02, 8.606E+02, 7.262E+02, 4.347E+02, 2.777E+02, 1.759E+02, 5.618E+02, 4.193E+02, 2.241E+02, 1.003E+02, 6.789E+01
 1.320E+03, 7.904E+02, 6.725E+02, 4.072E+02, 1.969E+02, 1.249E+02, 8.091E+02, 6.536E+02, 3.768E+02, 2.412E+02, 1.767E+02, 9.143E+02, 7.335E+02, 4.547E+02, 3.230E+02, 2.564E+02, 5.664E+02, 4.273E+02, 2.280E+02, 1.026E+02, 6.907E+01
 1.350E+03, 7.797E+02, 6.655E+02, 4.153E+02, 2.060E+02, 1.293E+02, 7.662E+02, 6.225E+02, 4.069E+02, 2.182E+02, 1.332E+02, 8.496E+02, 6.879E+02, 4.510E+02, 2.778E+02, 1.893E+02, 5.732E+02, 4.394E+02, 2.356E+02, 1.054E+02, 7.028E+01
 1.380E+03, 7.730E+02, 6.601E+02, 4.420E+02, 2.312E+02, 1.367E+02, 7.457E+02, 6.448E+02, 4.640E+02, 2.760E+02, 1.755E+02, 8.491E+02, 7.234E+02, 5.175E+02, 3.186E+02, 2.269E+02, 5.813E+02, 4.480E+02, 2.405E+02, 1.076E+02, 7.124E+01
 1.410E+03, 7.508E+02, 6.571E+02, 4.399E+02, 2.297E+02, 1.401E+02, 7.545E+02, 5.749E+02, 3.621E+02, 2.352E+02, 1.597E+02, 8.434E+02, 6.484E+02, 4.069E+02, 2.947E+02, 2.138E+02, 5.819E+02, 4.528E+02, 2.476E+02, 1.107E+02, 7.245E+01
 1.440E+03, 7.872E+02, 7.023E+02, 4.524E+02, 2.261E+02, 1.382E+02, 8.029E+02, 7.661E+02, 4.686E+02, 2.464E+02, 1.475E+02, 8.789E+02, 8.232E+02, 4.572E+02, 2.931E+02, 1.916E+02, 5.806E+02, 4.609E+02, 2.577E+02, 1.151E+02, 7.398E+01
 1.470E+03, 7.963E+02, 7.342E+02, 4.874E+02, 2.415E+02, 1.438E+02, 8.118E+02, 7.119E+02, 4.579E+02, 2.479E+02, 1.722E+02, 9.194E+02, 8.117E+02, 5.321E+02, 3.181E+02, 2.447E+02, 5.832E+02, 4.648E+02, 2.658E+02, 1.198E+02, 7.549E+01
 1.500E+03, 7.836E+02, 7.037E+02, 4.712E+02, 2.340E+02, 1.407E+02, 7.634E+02, 5.856E+02, 3.529E+02, 2.079E+02, 1.395E+02, 8.635E+02, 6.737E+02, 4.454E+02, 2.890E+02, 2.018E+02, 5.723E+02, 4.536E+02, 2.657E+02, 1.214E+02, 7.640E+01
 1.530E+03, 7.688E+02, 6.106E+02, 3.970E+02, 2.137E+02, 1.347E+02, 7.664E+02, 4.965E+02, 2.460E+02, 1.408E+02, 1.153E+02, 8.851E+02, 5.784E+02, 3.189E+02, 2.064E+02, 1.635E+02, 5.642E+02, 4.438E+02, 2.628E+02, 1.212E+02, 7.679E+01
 1.560E+03, 7.064E+02, 5.269E+02, 3.395E+02, 1.923E+02, 1.266E+02, 6.337E+02, 3.650E+02, 1.802E+02, 1.162E+02, 8.985E+01, 7.495E+02, 4.580E+02, 2.683E+02, 1.664E+02, 1.277E+02, 5.443E+02, 4.251E+02, 2.556E+02, 1.199E+02, 7.649E+01
 1.590E+03, 6.110E+02, 4.519E+02, 2.972E+02, 1.751E+02, 1.178E+02, 3.877E+02, 2.074E+02, 1.415E+02, 1.013E+02, 7.797E+01, 4.906E+02, 3.322E+02, 2.176E+02, 1.475E+02, 1.106E+02, 5.157E+02, 4.039E+02, 2.478E+02, 1.182E+02, 7.597E+01
 1.620E+03, 4.716E+02, 3.658E+02, 2.574E+02, 1.581E+02, 1.089E+02, 1.478E+02, 9.669E+01, 8.132E+01, 6.885E+01, 6.031E+01, 2.177E+02, 1.585E+02, 1.289E+02, 1.008E+02, 8.247E+01, 4.842E+02, 3.838E+02, 2.401E+02, 1.163E+02, 7.522E+01
 1.650E+03, 3.764E+02, 3.091E+02, 2.265E+02, 1.431E+02, 1.005E+02, 5.210E+01, 4.872E+01, 4.582E+01, 4.378E+01, 4.233E+01, 9.015E+01, 7.832E+01, 6.892E+01, 6.281E+01, 5.859E+01, 4.534E+02, 3.650E+02, 2.327E+02, 1.143E+02, 7.433E+01
 1.680E+03, 3.181E+02, 2.696E+02, 2.028E+02, 1.307E+02, 9.293E+01, 4.530E+01, 4.476E+01, 4.015E+01, 3.448E+01, 3.009E+01, 7.164E+01, 6.779E+01, 5.728E+01, 4.599E+01, 3.867E+01, 4.259E+02, 3.477E+02, 2.255E+02, 1.123E+02, 7.336E+01
 1.710E+03, 2.795E+02, 2.414E+02, 1.847E+02, 1.208E+02, 8.667E+01, 4.412E+01, 4.511E+01, 4.015E+01, 3.542E+01, 3.265E+01, 6.920E+01, 6.830E+01, 5.842E+01, 4.922E+01, 4.286E+01, 4.021E+02, 3.321E+02, 2.188E+02, 1.103E+02, 7.241E+01
 1.740E+03, 2.502E+02, 2.195E+02, 1.701E+02, 1.126E+02, 8.143E+01, 3.106E+01, 3.729E+01, 4.019E+01, 3.638E+01, 3.203E+01, 4.860E+01, 5.752E+01, 5.836E+01, 4.940E+01, 4.123E+01, 3.810E+02, 3.179E+02, 2.124E+02, 1.084E+02, 7.149E+01
 1.770E+03, 2.268E+02, 2.006E+02, 1.573E+02, 1.055E+02, 7.691E+01, 3.185E+01, 3.446E+01, 3.325E+01, 3.147E+01, 3.078E+01, 4.804E+01, 4.885E+01, 4.567E+01, 4.368E+01, 4.050E+01, 3.621E+02, 3.049E+02, 2.064E+02, 1.065E+02, 7.057E+01
 1.800E+03, 2.081E+02, 1.853E+02, 1.465E+02, 9.940E+01, 7.303E+01, 3.612E+01, 3.392E+01, 3.531E+01, 3.257E+01, 2.810E+01, 5.123E+01, 4.837E+01, 5.000E+01, 4.378E+01, 3.577E+01, 3.451E+02, 2.929E+02, 2.006E+02, 1.047E+02, 6.968E+01
