s,kg/kg,mol/mol,kW
Time,"Y_CO2","X_CO2","Flame detector"
 4.6201057E+000, 1.5539868E-001, 1.0733986E-001, 1.4690553E-005
 4.6530430E+000, 1.5565203E-001, 1.0752618E-001, 1.5246318E-005
 4.6861211E+000, 1.5591321E-001, 1.0771493E-001, 1.5226502E-005
 4.7190584E+000, 1.5616330E-001, 1.0789748E-001, 1.5091687E-005
 4.7521364E+000, 1.5638594E-001, 1.0806469E-001, 1.5366186E-005
 4.7850737E+000, 1.5661304E-001, 1.0823171E-001, 1.5683125E-005
 4.8180110E+000, 1.5685523E-001, 1.0840524E-001, 1.5585906E-005
 4.8510891E+000, 1.5708761E-001, 1.0857478E-001, 1.5461352E-005
 4.8840264E+000, 1.5730368E-001, 1.0873568E-001, 1.5565713E-005
 4.9171044E+000, 1.5752510E-001, 1.0889804E-001, 1.5787349E-005
 4.9500417E+000, 1.5775876E-001, 1.0906641E-001, 1.5596598E-005
 4.9831198E+000, 1.5798125E-001, 1.0922974E-001, 1.5796792E-005
 5.0160650E+000, 1.5819863E-001, 1.0939006E-001, 1.5884964E-005
 5.0491155E+000, 1.5842462E-001, 1.0955442E-001, 1.5547902E-005
 5.0820358E+000, 1.5864887E-001, 1.0971820E-001, 1.5664671E-005
 5.1151248E+000, 1.5886284E-001, 1.0987660E-001, 1.5743696E-005
 5.1480868E+000, 1.5909093E-001, 1.1004184E-001, 1.5644842E-005
 5.1811323E+000, 1.5931294E-001, 1.1020448E-001, 1.5506301E-005
 5.2140793E+000, 1.5952770E-001, 1.1036320E-001, 1.5696671E-005
 5.2470814E+000, 1.5975068E-001, 1.1052567E-001, 1.5833548E-005
 5.2800268E+000, 1.5997436E-001, 1.1068882E-001, 1.5722382E-005
 5.3131238E+000, 1.6019326E-001, 1.1084974E-001, 1.5657823E-005
 5.3460783E+000, 1.6041420E-001, 1.1101162E-001, 1.5636333E-005
 5.3790574E+000, 1.6063345E-001, 1.1117250E-001, 1.5678882E-005
 5.4120725E+000, 1.6085452E-001, 1.1133433E-001, 1.5726584E-005
 5.4451259E+000, 1.6107580E-001, 1.1149637E-001, 1.5719425E-005
 5.4780386E+000, 1.6129655E-001, 1.1165817E-001, 1.5627580E-005
 5.5110299E+000, 1.6151517E-001, 1.1181882E-001, 1.5637076E-005
 5.5440670E+000, 1.6173523E-001, 1.1198021E-001, 1.5683545E-005
 5.5770544E+000, 1.6195614E-001, 1.1214205E-001, 1.5707843E-005
 5.6100665E+000, 1.6217692E-001, 1.1230390E-001, 1.5662898E-005
 5.6431200E+000, 1.6239641E-001, 1.1246519E-001, 1.5653318E-005
 5.6760997E+000, 1.6261689E-001, 1.1262691E-001, 1.5646509E-005
 5.7091365E+000, 1.6283640E-001, 1.1278816E-001, 1.5663471E-005
 5.7420599E+000, 1.6305714E-001, 1.1294999E-001, 1.5659394E-005
 5.7750173E+000, 1.6327646E-001, 1.1311112E-001, 1.5639361E-005
 5.8080968E+000, 1.6349665E-001, 1.1327281E-001, 1.5627860E-005
 5.8411334E+000, 1.6371670E-001, 1.1343452E-001, 1.5625915E-005
 5.8741397E+000, 1.6393697E-001, 1.1359626E-001, 1.5636040E-005
 5.9070495E+000, 1.6415679E-001, 1.1375775E-001, 1.5622577E-005
 5.9400107E+000, 1.6437620E-001, 1.1391900E-001, 1.5614838E-005
 5.9731028E+000, 1.6459637E-001, 1.1408079E-001, 1.5610876E-005
 6.0060126E+000, 1.6481602E-001, 1.1424231E-001, 1.5609252E-005
 6.0390780E+000, 1.6503611E-001, 1.1440404E-001, 1.5608532E-005
 6.0720829E+000, 1.6525602E-001, 1.1456581E-001, 1.5600751E-005
 6.1050247E+000, 1.6547588E-001, 1.1472746E-001, 1.5597675E-005
 6.1380062E+000, 1.6569542E-001, 1.1488897E-001, 1.5594351E-005
 6.1711329E+000, 1.6591576E-001, 1.1505105E-001, 1.5588776E-005
 6.2041143E+000, 1.6613600E-001, 1.1521310E-001, 1.5583536E-005
 6.2370958E+000, 1.6635571E-001, 1.1537479E-001, 1.5576497E-005
 6.2700918E+000, 1.6657537E-001, 1.1553649E-001, 1.5579259E-005
