m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
-1.797E-01, 1.193E+00, 1.699E+00, 1.918E+00, 5.526E-01, 1.962E-01, 1.026E-01, 2.622E-01, 1.492E-01, 1.197E-01, 7.666E-01, 8.254E-01, 8.457E-01, 3.726E-01, 4.385E-01, 5.065E-01, 1.921E-01, 1.500E-01, 1.392E-01
-1.641E-01, 1.267E+00, 1.854E+00, 2.107E+00, 5.599E-01, 1.986E-01, 9.370E-02, 2.979E-01, 1.711E-01, 1.359E-01, 8.063E-01, 9.138E-01, 9.368E-01, 3.636E-01, 4.386E-01, 5.013E-01, 2.108E-01, 1.680E-01, 1.543E-01
-1.484E-01, 1.329E+00, 2.030E+00, 2.313E+00, 5.676E-01, 2.002E-01, 7.733E-02, 3.368E-01, 1.956E-01, 1.518E-01, 8.238E-01, 9.879E-01, 9.962E-01, 3.498E-01, 4.392E-01, 5.061E-01, 2.264E-01, 1.797E-01, 1.645E-01
-1.328E-01, 1.362E+00, 2.192E+00, 2.502E+00, 5.610E-01, 1.954E-01, 6.745E-02, 3.737E-01, 2.200E-01, 1.681E-01, 8.174E-01, 1.058E+00, 1.113E+00, 3.420E-01, 4.414E-01, 5.134E-01, 2.353E-01, 1.937E-01, 1.713E-01
-1.172E-01, 1.400E+00, 2.309E+00, 2.723E+00, 5.505E-01, 1.906E-01, 7.702E-02, 4.109E-01, 2.459E-01, 1.865E-01, 8.032E-01, 1.119E+00, 1.160E+00, 3.430E-01, 4.360E-01, 5.192E-01, 2.367E-01, 2.097E-01, 1.744E-01
-1.016E-01, 1.488E+00, 2.433E+00, 2.878E+00, 5.389E-01, 1.957E-01, 9.031E-02, 4.629E-01, 2.756E-01, 2.049E-01, 7.815E-01, 1.201E+00, 1.189E+00, 3.635E-01, 4.224E-01, 5.233E-01, 2.311E-01, 2.184E-01, 1.737E-01
-8.594E-02, 1.529E+00, 2.622E+00, 3.014E+00, 5.040E-01, 2.050E-01, 9.315E-02, 5.094E-01, 3.153E-01, 2.253E-01, 7.678E-01, 1.232E+00, 1.277E+00, 3.809E-01, 4.052E-01, 5.209E-01, 2.228E-01, 2.142E-01, 1.745E-01
-7.031E-02, 1.534E+00, 2.745E+00, 3.181E+00, 4.335E-01, 1.943E-01, 8.837E-02, 5.431E-01, 3.562E-01, 2.511E-01, 7.203E-01, 1.228E+00, 1.328E+00, 3.791E-01, 4.048E-01, 5.152E-01, 2.108E-01, 2.007E-01, 1.707E-01
-5.469E-02, 1.513E+00, 2.851E+00, 3.333E+00, 3.362E-01, 1.671E-01, 8.561E-02, 5.604E-01, 3.931E-01, 2.802E-01, 6.457E-01, 1.201E+00, 1.369E+00, 3.710E-01, 4.164E-01, 5.105E-01, 1.941E-01, 1.872E-01, 1.679E-01
-3.906E-02, 1.489E+00, 2.907E+00, 3.479E+00, 2.344E-01, 1.234E-01, 7.079E-02, 5.722E-01, 4.200E-01, 3.104E-01, 5.919E-01, 1.195E+00, 1.411E+00, 3.489E-01, 4.247E-01, 4.976E-01, 1.765E-01, 1.782E-01, 1.651E-01
-2.344E-02, 1.515E+00, 2.973E+00, 3.572E+00, 1.355E-01, 6.794E-02, 3.014E-02, 5.826E-01, 4.406E-01, 3.317E-01, 5.563E-01, 1.176E+00, 1.467E+00, 3.191E-01, 4.102E-01, 4.744E-01, 1.660E-01, 1.689E-01, 1.646E-01
-7.812E-03, 1.504E+00, 3.009E+00, 3.633E+00, 3.939E-02, 9.702E-03,-5.541E-03, 5.793E-01, 4.534E-01, 3.417E-01, 5.698E-01, 1.182E+00, 1.475E+00, 3.117E-01, 3.797E-01, 4.598E-01, 1.589E-01, 1.643E-01, 1.609E-01
 7.812E-03, 1.510E+00, 2.992E+00, 3.653E+00,-7.601E-02,-7.322E-02,-4.184E-02, 5.837E-01, 4.485E-01, 3.423E-01, 5.986E-01, 1.165E+00, 1.467E+00, 3.334E-01, 3.783E-01, 4.686E-01, 1.622E-01, 1.557E-01, 1.599E-01
 2.344E-02, 1.560E+00, 2.985E+00, 3.601E+00,-1.085E-01,-1.043E-01,-4.855E-02, 5.902E-01, 4.377E-01, 3.334E-01, 6.015E-01, 1.161E+00, 1.437E+00, 3.178E-01, 3.682E-01, 4.381E-01, 1.601E-01, 1.598E-01, 1.631E-01
 3.906E-02, 1.514E+00, 2.928E+00, 3.548E+00,-1.999E-01,-1.607E-01,-5.344E-02, 5.794E-01, 4.177E-01, 3.172E-01, 6.364E-01, 1.221E+00, 1.427E+00, 3.246E-01, 3.801E-01, 4.287E-01, 1.631E-01, 1.782E-01, 1.658E-01
 5.469E-02, 1.451E+00, 2.804E+00, 3.428E+00,-3.275E-01,-2.010E-01,-5.926E-02, 5.480E-01, 3.796E-01, 2.921E-01, 6.694E-01, 1.241E+00, 1.407E+00, 3.283E-01, 3.763E-01, 4.291E-01, 1.842E-01, 1.892E-01, 1.742E-01
 7.031E-02, 1.395E+00, 2.689E+00, 3.250E+00,-4.452E-01,-2.147E-01,-6.751E-02, 5.023E-01, 3.437E-01, 2.619E-01, 7.282E-01, 1.225E+00, 1.370E+00, 3.259E-01, 3.799E-01, 4.347E-01, 2.076E-01, 1.934E-01, 1.782E-01
 8.594E-02, 1.404E+00, 2.581E+00, 3.051E+00,-5.192E-01,-2.091E-01,-7.292E-02, 4.583E-01, 3.088E-01, 2.326E-01, 7.463E-01, 1.197E+00, 1.360E+00, 3.255E-01, 3.788E-01, 4.385E-01, 2.163E-01, 1.941E-01, 1.750E-01
 1.016E-01, 1.363E+00, 2.411E+00, 2.861E+00,-5.685E-01,-2.123E-01,-8.605E-02, 4.166E-01, 2.668E-01, 2.016E-01, 7.673E-01, 1.184E+00, 1.277E+00, 3.196E-01, 3.856E-01, 4.469E-01, 2.119E-01, 1.839E-01, 1.666E-01
 1.172E-01, 1.339E+00, 2.226E+00, 2.681E+00,-5.929E-01,-2.231E-01,-9.920E-02, 3.810E-01, 2.261E-01, 1.753E-01, 7.700E-01, 1.135E+00, 1.178E+00, 3.190E-01, 3.877E-01, 4.591E-01, 2.028E-01, 1.715E-01, 1.562E-01
 1.328E-01, 1.299E+00, 2.107E+00, 2.502E+00,-6.008E-01,-2.284E-01,-1.099E-01, 3.458E-01, 1.996E-01, 1.546E-01, 7.812E-01, 1.048E+00, 1.064E+00, 3.200E-01, 3.999E-01, 4.724E-01, 2.013E-01, 1.627E-01, 1.503E-01
 1.484E-01, 1.270E+00, 1.967E+00, 2.271E+00,-6.179E-01,-2.258E-01,-1.215E-01, 3.097E-01, 1.772E-01, 1.365E-01, 7.805E-01, 9.402E-01, 9.611E-01, 3.183E-01, 4.166E-01, 4.695E-01, 1.967E-01, 1.544E-01, 1.400E-01
 1.641E-01, 1.222E+00, 1.811E+00, 2.031E+00,-6.217E-01,-2.188E-01,-1.231E-01, 2.708E-01, 1.583E-01, 1.175E-01, 7.439E-01, 8.734E-01, 9.140E-01, 3.275E-01, 4.208E-01, 4.568E-01, 1.830E-01, 1.467E-01, 1.239E-01
 1.797E-01, 1.158E+00, 1.646E+00, 1.796E+00,-6.065E-01,-2.205E-01,-1.147E-01, 2.356E-01, 1.361E-01, 1.015E-01, 7.135E-01, 8.114E-01, 8.674E-01, 3.496E-01, 4.349E-01, 4.493E-01, 1.692E-01, 1.359E-01, 1.121E-01
 1.953E-01, 1.126E+00, 1.467E+00, 1.609E+00,-5.866E-01,-2.166E-01,-1.086E-01, 2.163E-01, 1.213E-01, 9.029E-02, 7.060E-01, 7.618E-01, 7.981E-01, 3.656E-01, 4.453E-01, 4.467E-01, 1.665E-01, 1.266E-01, 1.021E-01
 2.109E-01, 1.130E+00, 1.327E+00, 1.471E+00,-5.809E-01,-1.976E-01,-9.874E-02, 2.085E-01, 1.115E-01, 8.390E-02, 7.146E-01, 6.693E-01, 7.084E-01, 3.680E-01, 4.450E-01, 4.391E-01, 1.699E-01, 1.190E-01, 9.432E-02
 2.266E-01, 1.133E+00, 1.179E+00, 1.336E+00,-5.933E-01,-1.783E-01,-9.881E-02, 2.007E-01, 1.010E-01, 7.844E-02, 7.074E-01, 6.182E-01, 6.517E-01, 3.632E-01, 4.408E-01, 4.464E-01, 1.709E-01, 1.135E-01, 8.657E-02
 2.422E-01, 1.067E+00, 1.043E+00, 1.186E+00,-5.912E-01,-1.680E-01,-1.089E-01, 1.814E-01, 9.029E-02, 7.331E-02, 6.717E-01, 5.657E-01, 6.024E-01, 3.600E-01, 4.300E-01, 4.429E-01, 1.668E-01, 1.068E-01, 8.676E-02
 2.578E-01, 9.420E-01, 9.030E-01, 1.038E+00,-5.581E-01,-1.747E-01,-1.132E-01, 1.567E-01, 8.321E-02, 6.764E-02, 6.079E-01, 5.195E-01, 5.276E-01, 3.642E-01, 4.148E-01, 4.284E-01, 1.532E-01, 9.592E-02, 8.523E-02
 2.734E-01, 8.603E-01, 7.880E-01, 8.612E-01,-5.185E-01,-1.777E-01,-1.128E-01, 1.394E-01, 7.647E-02, 5.895E-02, 4.970E-01, 4.767E-01, 4.961E-01, 3.685E-01, 4.064E-01, 4.146E-01, 1.342E-01, 8.732E-02, 7.885E-02
 2.891E-01, 7.704E-01, 6.626E-01, 7.477E-01,-4.856E-01,-1.612E-01,-1.191E-01, 1.205E-01, 6.824E-02, 5.248E-02, 4.544E-01, 4.749E-01, 4.920E-01, 3.660E-01, 4.054E-01, 4.036E-01, 1.167E-01, 8.003E-02, 7.261E-02
 3.047E-01, 6.595E-01, 5.717E-01, 6.246E-01,-4.435E-01,-1.562E-01,-1.334E-01, 1.022E-01, 6.214E-02, 4.573E-02, 4.545E-01, 4.603E-01, 4.481E-01, 3.639E-01, 4.030E-01, 3.924E-01, 1.067E-01, 7.576E-02, 6.773E-02
 3.203E-01, 5.548E-01, 4.994E-01, 4.931E-01,-4.041E-01,-1.696E-01,-1.287E-01, 8.707E-02, 5.475E-02, 3.766E-02, 4.369E-01, 4.175E-01, 4.099E-01, 3.546E-01, 3.906E-01, 3.651E-01, 9.724E-02, 7.082E-02, 6.470E-02
 3.359E-01, 4.479E-01, 3.919E-01, 4.011E-01,-3.731E-01,-1.731E-01,-1.208E-01, 7.371E-02, 4.508E-02, 3.192E-02, 4.073E-01, 3.636E-01, 3.435E-01, 3.451E-01, 3.660E-01, 3.404E-01, 8.699E-02, 6.042E-02, 6.289E-02
 3.516E-01, 3.319E-01, 2.772E-01, 2.968E-01,-3.424E-01,-1.622E-01,-1.274E-01, 6.014E-02, 3.490E-02, 2.646E-02, 3.777E-01, 3.140E-01, 3.105E-01, 3.288E-01, 3.411E-01, 3.165E-01, 7.599E-02, 4.839E-02, 5.856E-02
 3.672E-01, 2.888E-01, 2.329E-01, 2.680E-01,-3.114E-01,-1.531E-01,-1.356E-01, 5.177E-02, 2.737E-02, 2.373E-02, 3.548E-01, 3.028E-01, 3.291E-01, 3.114E-01, 3.112E-01, 2.862E-01, 7.248E-02, 4.051E-02, 5.475E-02
 3.828E-01, 2.234E-01, 1.874E-01, 2.158E-01,-2.800E-01,-1.612E-01,-1.432E-01, 4.302E-02, 2.185E-02, 1.901E-02, 3.744E-01, 3.601E-01, 3.558E-01, 2.967E-01, 2.840E-01, 2.683E-01, 6.864E-02, 3.609E-02, 4.439E-02
 3.984E-01, 1.268E-01, 1.522E-01, 1.924E-01,-2.625E-01,-1.633E-01,-1.387E-01, 3.220E-02, 1.735E-02, 1.345E-02, 3.317E-01, 3.491E-01, 3.702E-01, 2.770E-01, 2.553E-01, 2.622E-01, 5.903E-02, 3.428E-02, 3.381E-02
 4.141E-01, 6.438E-02, 1.003E-01, 1.435E-01,-2.587E-01,-1.560E-01,-1.362E-01, 1.943E-02, 1.408E-02, 1.025E-02, 2.514E-01, 3.068E-01, 3.393E-01, 2.434E-01, 2.357E-01, 2.540E-01, 4.142E-02, 3.167E-02, 3.006E-02
 4.297E-01,-2.120E-02, 7.531E-02, 1.457E-01,-2.500E-01,-1.548E-01,-1.433E-01, 1.023E-02, 1.071E-02, 9.122E-03, 2.028E-01, 2.678E-01, 3.168E-01, 2.149E-01, 2.199E-01, 2.485E-01, 2.656E-02, 2.876E-02, 2.800E-02
 4.453E-01,-4.514E-02, 4.701E-02, 1.038E-01,-2.375E-01,-1.492E-01,-1.456E-01, 4.038E-03, 7.873E-03, 7.599E-03, 1.550E-01, 2.524E-01, 2.803E-01, 1.866E-01, 2.023E-01, 2.380E-01, 1.465E-02, 2.580E-02, 2.487E-02
 4.609E-01,-4.757E-02, 3.003E-02, 7.322E-02,-2.264E-01,-1.503E-01,-1.420E-01, 1.310E-03, 5.428E-03, 5.546E-03, 1.393E-01, 2.248E-01, 2.011E-01, 1.622E-01, 1.825E-01, 2.204E-01, 5.895E-03, 2.189E-02, 2.002E-02
 4.766E-01,-4.741E-02, 4.310E-04, 4.384E-02,-2.168E-01,-1.533E-01,-1.368E-01, 1.262E-04, 3.135E-03, 3.198E-03, 1.268E-01, 1.806E-01, 1.632E-01, 1.394E-01, 1.641E-01, 1.976E-01, 6.718E-04, 1.653E-02, 1.334E-02
 4.922E-01,-4.707E-02, 1.310E-03, 2.773E-02,-2.093E-01,-1.503E-01,-1.355E-01, 2.948E-06, 2.145E-03, 1.564E-03, 1.021E-01, 1.471E-01, 1.462E-01, 1.185E-01, 1.496E-01, 1.760E-01, 1.528E-05, 1.432E-02, 9.097E-03
