m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 1.3900000E+000, 1.0236377E+000, 2.4305834E+000, 7.6128511E+000, 7.6623373E+000, 2.6697056E+000, 9.9214731E-001
 1.4100000E+000, 1.0040467E+000, 2.3625335E+000, 7.2566217E+000, 7.3165984E+000, 2.6063595E+000, 9.7849364E-001
 1.4300000E+000, 9.8269184E-001, 2.2991549E+000, 6.9187329E+000, 6.9883223E+000, 2.5430196E+000, 9.6344533E-001
 1.4500000E+000, 9.6192523E-001, 2.2390847E+000, 6.6011146E+000, 6.6773120E+000, 2.4790572E+000, 9.4868771E-001
 1.4700000E+000, 9.4283321E-001, 2.1821572E+000, 6.3009484E+000, 6.3807499E+000, 2.4159125E+000, 9.3293681E-001
 1.4900000E+000, 9.2456518E-001, 2.1277597E+000, 6.0207834E+000, 6.0982502E+000, 2.3523497E+000, 9.1869099E-001
 1.5100000E+000, 9.0564277E-001, 2.0748366E+000, 5.7576701E+000, 5.8301979E+000, 2.2894210E+000, 9.0420467E-001
 1.5300000E+000, 8.8868934E-001, 2.0252637E+000, 5.5110395E+000, 5.5762563E+000, 2.2283134E+000, 8.9349200E-001
 1.5500000E+000, 8.7207845E-001, 1.9797491E+000, 5.2809738E+000, 5.3382415E+000, 2.1686425E+000, 8.8484934E-001
 1.5700000E+000, 8.5693165E-001, 1.9364286E+000, 5.0653990E+000, 5.1153459E+000, 2.1126048E+000, 8.7961532E-001
 1.5900000E+000, 8.4145185E-001, 1.8950135E+000, 4.8625015E+000, 4.9069319E+000, 2.0597693E+000, 8.7288698E-001
 1.6100000E+000, 8.2708395E-001, 1.8562157E+000, 4.6733730E+000, 4.7111977E+000, 2.0104990E+000, 8.6748921E-001
 1.6300000E+000, 8.1055343E-001, 1.8199961E+000, 4.4947492E+000, 4.5299234E+000, 1.9641178E+000, 8.6116374E-001
 1.6500000E+000, 7.9434397E-001, 1.7867011E+000, 4.3276729E+000, 4.3581290E+000, 1.9186220E+000, 8.5843222E-001
 1.6700000E+000, 7.7730067E-001, 1.7545990E+000, 4.1720194E+000, 4.1956483E+000, 1.8768541E+000, 8.5127071E-001
 1.6900000E+000, 7.6316998E-001, 1.7239811E+000, 4.0261351E+000, 4.0408140E+000, 1.8384701E+000, 8.4373890E-001
 1.7100000E+000, 7.5021456E-001, 1.6950191E+000, 3.8887606E+000, 3.8956405E+000, 1.8010305E+000, 8.3432493E-001
 1.7300000E+000, 7.4157868E-001, 1.6648977E+000, 3.7596206E+000, 3.7587524E+000, 1.7637715E+000, 8.2819643E-001
 1.7500000E+000, 7.3254624E-001, 1.6360779E+000, 3.6378805E+000, 3.6322792E+000, 1.7282128E+000, 8.2080274E-001
 1.7700000E+000, 7.2607771E-001, 1.6073165E+000, 3.5218030E+000, 3.5146630E+000, 1.6948675E+000, 8.1648922E-001
 1.7900000E+000, 7.1703761E-001, 1.5797473E+000, 3.4114301E+000, 3.4041685E+000, 1.6616550E+000, 8.0984333E-001
 1.8100000E+000, 7.1012284E-001, 1.5535127E+000, 3.3082178E+000, 3.3006940E+000, 1.6297948E+000, 8.0526929E-001
 1.8300000E+000, 7.0254019E-001, 1.5289960E+000, 3.2102757E+000, 3.2031547E+000, 1.5976661E+000, 7.9900923E-001
 1.8500000E+000, 6.9626645E-001, 1.5054905E+000, 3.1179265E+000, 3.1118745E+000, 1.5669158E+000, 7.9382266E-001
 1.8700000E+000, 6.8952908E-001, 1.4828559E+000, 3.0311399E+000, 3.0252195E+000, 1.5374468E+000, 7.8864828E-001
 1.8900000E+000, 6.8344443E-001, 1.4620021E+000, 2.9462921E+000, 2.9418293E+000, 1.5087216E+000, 7.8511505E-001
 1.9100000E+000, 6.7575290E-001, 1.4424830E+000, 2.8654014E+000, 2.8610457E+000, 1.4824303E+000, 7.7702716E-001
 1.9300000E+000, 6.7327496E-001, 1.4236260E+000, 2.7864742E+000, 2.7824599E+000, 1.4567128E+000, 7.7253478E-001
 1.9500000E+000, 6.6660860E-001, 1.4018859E+000, 2.7082520E+000, 2.7052820E+000, 1.4287614E+000, 7.6351529E-001
 1.9700000E+000, 6.6596432E-001, 1.3821372E+000, 2.6279315E+000, 2.6261368E+000, 1.4033735E+000, 7.6172793E-001
 1.9900000E+000, 6.6645978E-001, 1.3635193E+000, 2.5287176E+000, 2.5275394E+000, 1.3780735E+000, 7.6016322E-001
