m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg
-2.266E-01, 9.805E-01, 1.192E+00, 1.273E+00, 6.192E-01, 2.641E-01, 1.804E-01, 9.904E-02, 5.380E-02, 4.466E-02, 1.397E-01, 7.591E-02, 6.309E-02, 6.311E-01, 6.916E-01, 7.105E-01, 3.519E-01, 5.040E-01, 5.134E-01, 1.256E-01, 8.210E-02, 7.859E-02, 1.780E-01, 1.161E-01, 1.111E-01
-2.109E-01, 1.008E+00, 1.295E+00, 1.461E+00, 6.254E-01, 2.646E-01, 1.781E-01, 1.087E-01, 5.765E-02, 4.926E-02, 1.532E-01, 8.130E-02, 6.957E-02, 6.695E-01, 7.237E-01, 7.438E-01, 3.598E-01, 4.779E-01, 5.112E-01, 1.235E-01, 8.478E-02, 8.233E-02, 1.749E-01, 1.199E-01, 1.164E-01
-1.953E-01, 1.037E+00, 1.452E+00, 1.636E+00, 6.386E-01, 2.675E-01, 1.646E-01, 1.207E-01, 6.187E-02, 5.385E-02, 1.702E-01, 8.721E-02, 7.597E-02, 7.112E-01, 7.668E-01, 8.016E-01, 3.556E-01, 4.548E-01, 5.136E-01, 1.216E-01, 9.394E-02, 8.724E-02, 1.720E-01, 1.328E-01, 1.234E-01
-1.797E-01, 1.071E+00, 1.544E+00, 1.816E+00, 6.394E-01, 2.793E-01, 1.499E-01, 1.366E-01, 6.674E-02, 5.833E-02, 1.925E-01, 9.405E-02, 8.224E-02, 7.581E-01, 8.513E-01, 8.461E-01, 3.376E-01, 4.384E-01, 5.175E-01, 1.211E-01, 1.053E-01, 9.321E-02, 1.715E-01, 1.490E-01, 1.318E-01
-1.641E-01, 1.107E+00, 1.643E+00, 2.026E+00, 6.259E-01, 2.862E-01, 1.497E-01, 1.545E-01, 7.555E-02, 6.407E-02, 2.177E-01, 1.064E-01, 9.032E-02, 7.765E-01, 9.117E-01, 8.846E-01, 3.209E-01, 4.333E-01, 5.189E-01, 1.236E-01, 1.136E-01, 9.973E-02, 1.751E-01, 1.608E-01, 1.411E-01
-1.484E-01, 1.121E+00, 1.828E+00, 2.206E+00, 6.161E-01, 2.856E-01, 1.446E-01, 1.727E-01, 9.103E-02, 7.128E-02, 2.432E-01, 1.284E-01, 1.005E-01, 7.863E-01, 9.565E-01, 9.754E-01, 3.194E-01, 4.335E-01, 5.097E-01, 1.275E-01, 1.176E-01, 1.042E-01, 1.807E-01, 1.664E-01, 1.474E-01
-1.328E-01, 1.159E+00, 1.996E+00, 2.405E+00, 6.002E-01, 2.785E-01, 1.251E-01, 1.971E-01, 1.088E-01, 8.209E-02, 2.776E-01, 1.535E-01, 1.158E-01, 8.055E-01, 1.007E+00, 9.934E-01, 3.283E-01, 4.353E-01, 4.999E-01, 1.335E-01, 1.214E-01, 1.071E-01, 1.894E-01, 1.718E-01, 1.514E-01
-1.172E-01, 1.207E+00, 2.082E+00, 2.594E+00, 5.880E-01, 2.643E-01, 1.106E-01, 2.267E-01, 1.259E-01, 9.521E-02, 3.193E-01, 1.775E-01, 1.342E-01, 7.966E-01, 1.094E+00, 1.041E+00, 3.357E-01, 4.293E-01, 5.010E-01, 1.412E-01, 1.271E-01, 1.120E-01, 2.003E-01, 1.798E-01, 1.583E-01
-1.016E-01, 1.276E+00, 2.231E+00, 2.750E+00, 5.599E-01, 2.513E-01, 1.050E-01, 2.632E-01, 1.488E-01, 1.105E-01, 3.708E-01, 2.096E-01, 1.557E-01, 7.709E-01, 1.160E+00, 1.145E+00, 3.452E-01, 4.173E-01, 5.059E-01, 1.472E-01, 1.322E-01, 1.162E-01, 2.088E-01, 1.871E-01, 1.643E-01
-8.594E-02, 1.350E+00, 2.408E+00, 2.915E+00, 4.962E-01, 2.243E-01, 8.683E-02, 3.081E-01, 1.825E-01, 1.306E-01, 4.342E-01, 2.572E-01, 1.841E-01, 7.694E-01, 1.227E+00, 1.254E+00, 3.700E-01, 4.064E-01, 5.045E-01, 1.512E-01, 1.335E-01, 1.160E-01, 2.145E-01, 1.890E-01, 1.641E-01
-7.031E-02, 1.442E+00, 2.607E+00, 3.148E+00, 4.144E-01, 1.827E-01, 4.970E-02, 3.587E-01, 2.235E-01, 1.586E-01, 5.057E-01, 3.151E-01, 2.236E-01, 7.316E-01, 1.246E+00, 1.313E+00, 4.045E-01, 4.050E-01, 4.933E-01, 1.446E-01, 1.338E-01, 1.134E-01, 2.052E-01, 1.896E-01, 1.605E-01
-5.469E-02, 1.516E+00, 2.780E+00, 3.324E+00, 3.026E-01, 1.271E-01,-3.445E-03, 4.035E-01, 2.656E-01, 1.859E-01, 5.689E-01, 3.744E-01, 2.621E-01, 6.788E-01, 1.275E+00, 1.408E+00, 4.335E-01, 4.201E-01, 4.870E-01, 1.278E-01, 1.309E-01, 1.115E-01, 1.813E-01, 1.856E-01, 1.578E-01
-3.906E-02, 1.482E+00, 2.884E+00, 3.356E+00, 1.832E-01, 6.323E-02,-4.344E-02, 4.210E-01, 2.941E-01, 2.006E-01, 5.932E-01, 4.145E-01, 2.827E-01, 6.916E-01, 1.309E+00, 1.540E+00, 4.341E-01, 4.346E-01, 4.711E-01, 1.228E-01, 1.262E-01, 1.130E-01, 1.743E-01, 1.789E-01, 1.600E-01
-2.344E-02, 1.459E+00, 2.831E+00, 3.303E+00, 9.094E-02,-5.361E-03,-6.196E-02, 4.247E-01, 2.955E-01, 2.049E-01, 5.983E-01, 4.163E-01, 2.887E-01, 6.780E-01, 1.342E+00, 1.650E+00, 3.830E-01, 4.221E-01, 4.616E-01, 1.174E-01, 1.276E-01, 1.166E-01, 1.668E-01, 1.808E-01, 1.650E-01
-7.812E-03, 1.422E+00, 2.730E+00, 3.274E+00,-3.317E-03,-6.302E-02,-7.838E-02, 4.166E-01, 2.866E-01, 2.033E-01, 5.866E-01, 4.033E-01, 2.864E-01, 6.682E-01, 1.363E+00, 1.695E+00, 3.335E-01, 4.142E-01, 4.699E-01, 1.116E-01, 1.272E-01, 1.205E-01, 1.587E-01, 1.801E-01, 1.704E-01
 7.812E-03, 1.438E+00, 2.667E+00, 3.241E+00,-1.700E-01,-1.504E-01,-9.150E-02, 4.120E-01, 2.790E-01, 1.994E-01, 5.804E-01, 3.927E-01, 2.809E-01, 6.483E-01, 1.409E+00, 1.725E+00, 3.523E-01, 4.374E-01, 4.973E-01, 1.097E-01, 1.293E-01, 1.246E-01, 1.559E-01, 1.831E-01, 1.760E-01
 2.344E-02, 1.406E+00, 2.618E+00, 3.160E+00,-2.365E-01,-1.800E-01,-1.053E-01, 3.944E-01, 2.660E-01, 1.888E-01, 5.555E-01, 3.744E-01, 2.660E-01, 6.724E-01, 1.445E+00, 1.735E+00, 3.451E-01, 4.230E-01, 4.752E-01, 1.175E-01, 1.366E-01, 1.300E-01, 1.667E-01, 1.934E-01, 1.837E-01
 3.906E-02, 1.347E+00, 2.512E+00, 3.101E+00,-3.426E-01,-2.340E-01,-1.233E-01, 3.694E-01, 2.413E-01, 1.725E-01, 5.204E-01, 3.398E-01, 2.433E-01, 7.040E-01, 1.492E+00, 1.705E+00, 3.497E-01, 4.267E-01, 4.853E-01, 1.283E-01, 1.454E-01, 1.340E-01, 1.820E-01, 2.058E-01, 1.894E-01
 5.469E-02, 1.287E+00, 2.421E+00, 2.991E+00,-4.289E-01,-2.890E-01,-1.400E-01, 3.337E-01, 2.117E-01, 1.530E-01, 4.698E-01, 2.982E-01, 2.157E-01, 7.498E-01, 1.483E+00, 1.643E+00, 3.478E-01, 4.235E-01, 4.911E-01, 1.411E-01, 1.526E-01, 1.349E-01, 2.000E-01, 2.160E-01, 1.908E-01
 7.031E-02, 1.280E+00, 2.315E+00, 2.820E+00,-5.073E-01,-3.069E-01,-1.409E-01, 3.073E-01, 1.837E-01, 1.304E-01, 4.328E-01, 2.588E-01, 1.838E-01, 7.819E-01, 1.433E+00, 1.555E+00, 3.542E-01, 4.216E-01, 4.894E-01, 1.507E-01, 1.538E-01, 1.316E-01, 2.137E-01, 2.175E-01, 1.861E-01
 8.594E-02, 1.254E+00, 2.204E+00, 2.728E+00,-5.665E-01,-2.857E-01,-1.303E-01, 2.777E-01, 1.579E-01, 1.136E-01, 3.911E-01, 2.224E-01, 1.601E-01, 8.326E-01, 1.364E+00, 1.384E+00, 3.526E-01, 4.241E-01, 4.930E-01, 1.591E-01, 1.522E-01, 1.266E-01, 2.255E-01, 2.152E-01, 1.789E-01
 1.016E-01, 1.166E+00, 2.130E+00, 2.648E+00,-6.034E-01,-2.620E-01,-1.258E-01, 2.420E-01, 1.376E-01, 1.017E-01, 3.407E-01, 1.939E-01, 1.435E-01, 9.138E-01, 1.312E+00, 1.225E+00, 3.475E-01, 4.220E-01, 4.986E-01, 1.667E-01, 1.566E-01, 1.236E-01, 2.362E-01, 2.215E-01, 1.746E-01
 1.172E-01, 1.147E+00, 2.071E+00, 2.509E+00,-6.209E-01,-2.581E-01,-1.264E-01, 2.162E-01, 1.216E-01, 8.868E-02, 3.046E-01, 1.714E-01, 1.251E-01, 9.318E-01, 1.239E+00, 1.160E+00, 3.399E-01, 4.277E-01, 5.024E-01, 1.700E-01, 1.569E-01, 1.203E-01, 2.408E-01, 2.219E-01, 1.700E-01
 1.328E-01, 1.132E+00, 1.940E+00, 2.338E+00,-6.175E-01,-2.640E-01,-1.345E-01, 1.956E-01, 1.045E-01, 7.671E-02, 2.756E-01, 1.473E-01, 1.082E-01, 9.385E-01, 1.136E+00, 1.095E+00, 3.267E-01, 4.371E-01, 5.162E-01, 1.676E-01, 1.458E-01, 1.171E-01, 2.375E-01, 2.063E-01, 1.654E-01
 1.484E-01, 1.106E+00, 1.819E+00, 2.172E+00,-6.096E-01,-2.679E-01,-1.556E-01, 1.731E-01, 9.063E-02, 6.891E-02, 2.439E-01, 1.277E-01, 9.721E-02, 9.207E-01, 1.044E+00, 1.057E+00, 3.223E-01, 4.490E-01, 5.421E-01, 1.612E-01, 1.339E-01, 1.139E-01, 2.283E-01, 1.894E-01, 1.609E-01
 1.641E-01, 1.097E+00, 1.764E+00, 1.993E+00,-6.157E-01,-2.713E-01,-1.778E-01, 1.521E-01, 8.262E-02, 6.419E-02, 2.143E-01, 1.165E-01, 9.061E-02, 8.917E-01, 9.551E-01, 1.027E+00, 3.411E-01, 4.653E-01, 5.681E-01, 1.573E-01, 1.240E-01, 1.100E-01, 2.227E-01, 1.753E-01, 1.554E-01
 1.797E-01, 1.057E+00, 1.645E+00, 1.843E+00,-6.324E-01,-2.776E-01,-1.927E-01, 1.318E-01, 7.583E-02, 5.975E-02, 1.855E-01, 1.070E-01, 8.436E-02, 8.745E-01, 8.681E-01, 9.773E-01, 3.562E-01, 4.866E-01, 5.787E-01, 1.538E-01, 1.169E-01, 1.046E-01, 2.177E-01, 1.654E-01, 1.478E-01
 1.953E-01, 1.036E+00, 1.502E+00, 1.679E+00,-6.425E-01,-2.874E-01,-2.033E-01, 1.170E-01, 7.110E-02, 5.609E-02, 1.648E-01, 1.004E-01, 7.922E-02, 8.383E-01, 7.940E-01, 8.666E-01, 3.516E-01, 5.003E-01, 5.782E-01, 1.524E-01, 1.092E-01, 9.703E-02, 2.159E-01, 1.546E-01, 1.371E-01
 2.109E-01, 1.011E+00, 1.384E+00, 1.478E+00,-6.360E-01,-2.919E-01,-2.159E-01, 1.043E-01, 6.796E-02, 5.241E-02, 1.469E-01, 9.603E-02, 7.400E-02, 7.918E-01, 6.979E-01, 7.560E-01, 3.482E-01, 5.110E-01, 5.740E-01, 1.476E-01, 9.750E-02, 9.065E-02, 2.091E-01, 1.379E-01, 1.281E-01
 2.266E-01, 9.573E-01, 1.230E+00, 1.317E+00,-6.238E-01,-2.898E-01,-2.243E-01, 9.280E-02, 6.287E-02, 4.905E-02, 1.307E-01, 8.880E-02, 6.927E-02, 7.564E-01, 6.463E-01, 6.933E-01, 3.512E-01, 5.327E-01, 5.750E-01, 1.431E-01, 8.876E-02, 8.798E-02, 2.028E-01, 1.255E-01, 1.244E-01
 2.422E-01, 9.117E-01, 1.092E+00, 1.165E+00,-6.137E-01,-2.766E-01,-2.266E-01, 8.532E-02, 5.770E-02, 4.676E-02, 1.202E-01, 8.149E-02, 6.608E-02, 7.042E-01, 6.022E-01, 6.452E-01, 3.522E-01, 5.426E-01, 5.796E-01, 1.397E-01, 8.716E-02, 8.498E-02, 1.981E-01, 1.233E-01, 1.202E-01
 2.578E-01, 8.616E-01, 9.437E-01, 1.006E+00,-5.997E-01,-2.639E-01,-2.235E-01, 8.033E-02, 5.328E-02, 4.390E-02, 1.132E-01, 7.529E-02, 6.208E-02, 6.142E-01, 5.802E-01, 6.257E-01, 3.635E-01, 5.385E-01, 5.778E-01, 1.295E-01, 8.493E-02, 8.163E-02, 1.836E-01, 1.202E-01, 1.155E-01
 2.734E-01, 7.499E-01, 8.054E-01, 8.611E-01,-5.705E-01,-2.572E-01,-2.135E-01, 7.306E-02, 4.892E-02, 4.046E-02, 1.030E-01, 6.920E-02, 5.720E-02, 5.461E-01, 5.684E-01, 5.821E-01, 3.761E-01, 5.393E-01, 5.598E-01, 1.156E-01, 8.147E-02, 7.565E-02, 1.639E-01, 1.154E-01, 1.070E-01
 2.891E-01, 6.363E-01, 7.206E-01, 7.571E-01,-5.324E-01,-2.497E-01,-2.012E-01, 6.461E-02, 4.383E-02, 3.675E-02, 9.110E-02, 6.207E-02, 5.194E-02, 4.914E-01, 5.406E-01, 5.313E-01, 3.694E-01, 5.256E-01, 5.370E-01, 1.008E-01, 7.773E-02, 7.043E-02, 1.430E-01, 1.102E-01, 9.966E-02
 3.047E-01, 5.379E-01, 6.356E-01, 6.407E-01,-4.980E-01,-2.412E-01,-1.892E-01, 5.584E-02, 3.886E-02, 3.222E-02, 7.875E-02, 5.505E-02, 4.551E-02, 4.471E-01, 4.697E-01, 4.999E-01, 3.618E-01, 4.886E-01, 5.221E-01, 8.572E-02, 7.152E-02, 6.445E-02, 1.216E-01, 1.014E-01, 9.117E-02
 3.203E-01, 4.176E-01, 5.362E-01, 5.331E-01,-4.563E-01,-2.306E-01,-1.761E-01, 4.650E-02, 3.309E-02, 2.818E-02, 6.562E-02, 4.688E-02, 3.983E-02, 4.095E-01, 4.098E-01, 4.387E-01, 3.531E-01, 4.514E-01, 5.074E-01, 7.603E-02, 6.322E-02, 5.964E-02, 1.080E-01, 8.968E-02, 8.436E-02
 3.359E-01, 3.017E-01, 4.308E-01, 4.193E-01,-4.101E-01,-2.204E-01,-1.669E-01, 3.758E-02, 2.688E-02, 2.413E-02, 5.303E-02, 3.809E-02, 3.412E-02, 3.690E-01, 3.878E-01, 4.078E-01, 3.369E-01, 4.273E-01, 4.909E-01, 6.582E-02, 5.337E-02, 5.575E-02, 9.358E-02, 7.568E-02, 7.888E-02
 3.516E-01, 2.314E-01, 3.076E-01, 3.391E-01,-3.732E-01,-2.136E-01,-1.625E-01, 3.029E-02, 2.017E-02, 2.054E-02, 4.278E-02, 2.857E-02, 2.908E-02, 3.222E-01, 3.517E-01, 3.776E-01, 3.198E-01, 4.098E-01, 4.641E-01, 5.504E-02, 4.570E-02, 5.324E-02, 7.828E-02, 6.483E-02, 7.544E-02
 3.672E-01, 1.538E-01, 2.335E-01, 2.795E-01,-3.386E-01,-2.011E-01,-1.662E-01, 2.226E-02, 1.521E-02, 1.722E-02, 3.143E-02, 2.157E-02, 2.441E-02, 3.126E-01, 3.047E-01, 3.495E-01, 3.010E-01, 3.859E-01, 4.300E-01, 4.476E-02, 3.993E-02, 4.870E-02, 6.374E-02, 5.668E-02, 6.904E-02
 3.828E-01, 8.838E-02, 1.786E-01, 2.230E-01,-3.079E-01,-1.934E-01,-1.715E-01, 1.572E-02, 1.141E-02, 1.394E-02, 2.226E-02, 1.622E-02, 1.979E-02, 2.782E-01, 2.600E-01, 3.097E-01, 2.818E-01, 3.576E-01, 3.871E-01, 3.418E-02, 3.560E-02, 4.294E-02, 4.878E-02, 5.059E-02, 6.098E-02
 3.984E-01, 2.893E-02, 1.077E-01, 1.633E-01,-2.888E-01,-1.872E-01,-1.691E-01, 9.544E-03, 7.711E-03, 1.058E-02, 1.350E-02, 1.093E-02, 1.504E-02, 2.407E-01, 2.320E-01, 2.635E-01, 2.638E-01, 3.226E-01, 3.413E-01, 2.510E-02, 3.013E-02, 3.581E-02, 3.574E-02, 4.281E-02, 5.096E-02
 4.141E-01, 1.656E-02, 6.154E-02, 1.408E-01,-2.708E-01,-1.851E-01,-1.755E-01, 5.992E-03, 4.559E-03, 7.741E-03, 8.529E-03, 6.426E-03, 1.104E-02, 2.090E-01, 2.284E-01, 2.425E-01, 2.404E-01, 2.786E-01, 3.002E-01, 2.018E-02, 2.124E-02, 2.954E-02, 2.894E-02, 3.015E-02, 4.219E-02
 4.297E-01,-7.355E-03, 4.976E-02, 1.160E-01,-2.538E-01,-1.955E-01,-1.806E-01, 3.225E-03, 2.551E-03, 5.043E-03, 4.619E-03, 3.594E-03, 7.189E-03, 1.850E-01, 2.059E-01, 2.438E-01, 2.147E-01, 2.404E-01, 2.644E-01, 1.316E-02, 1.215E-02, 2.136E-02, 1.908E-02, 1.728E-02, 3.061E-02
 4.453E-01,-2.857E-02, 1.905E-02, 8.021E-02,-2.437E-01,-1.925E-01,-1.777E-01, 1.016E-03, 1.008E-03, 2.928E-03, 1.428E-03, 1.393E-03, 4.175E-03, 1.624E-01, 1.837E-01, 2.359E-01, 1.882E-01, 2.142E-01, 2.375E-01, 4.704E-03, 4.714E-03, 1.359E-02, 6.736E-03, 6.586E-03, 1.962E-02
 4.609E-01,-2.914E-02, 2.001E-02, 7.996E-02,-2.358E-01,-1.869E-01,-1.756E-01, 1.141E-04, 2.059E-04, 1.506E-03, 1.466E-04, 2.692E-04, 2.135E-03, 1.401E-01, 1.744E-01, 2.118E-01, 1.612E-01, 1.913E-01, 2.135E-01, 5.971E-04, 9.759E-04, 9.083E-03, 7.907E-04, 1.300E-03, 1.311E-02
 4.766E-01,-2.207E-02, 1.719E-02, 5.118E-02,-2.280E-01,-1.836E-01,-1.730E-01, 4.127E-06, 1.926E-05, 7.114E-04, 4.192E-06, 2.262E-05, 9.972E-04, 1.233E-01, 1.561E-01, 1.681E-01, 1.414E-01, 1.722E-01, 1.940E-01, 2.206E-05, 1.173E-04, 4.222E-03, 2.355E-05, 1.434E-04, 6.004E-03
 4.922E-01,-1.992E-02, 2.381E-02, 5.106E-02,-2.223E-01,-1.824E-01,-1.705E-01, 6.829E-08, 1.794E-06, 1.985E-04, 3.899E-08, 1.946E-06, 2.655E-04, 1.058E-01, 1.413E-01, 1.561E-01, 1.215E-01, 1.513E-01, 1.777E-01, 3.557E-07, 1.246E-05, 1.019E-03, 2.111E-07, 1.391E-05, 1.373E-03
