s,[K],[W/g]
 4.0800000E+002, 7.0585407E+002, 2.4973982E+002
 4.0900000E+002, 7.0695884E+002, 2.3623445E+002
 4.1000000E+002, 7.0806841E+002, 2.2235209E+002
 4.1100000E+002, 7.0917966E+002, 2.0835276E+002
 4.1200000E+002, 7.1028370E+002, 1.9412919E+002
 4.1300000E+002, 7.1139951E+002, 1.7999574E+002
 4.1400000E+002, 7.1250067E+002, 1.6587320E+002
 4.1500000E+002, 7.1361262E+002, 1.5200342E+002
 4.1600000E+002, 7.1470661E+002, 1.3844288E+002
 4.1700000E+002, 7.1580640E+002, 1.2526709E+002
 4.1800000E+002, 7.1689849E+002, 1.1266572E+002
 4.1900000E+002, 7.1797997E+002, 1.0059316E+002
 4.2000000E+002, 7.1906936E+002, 8.9236799E+001
 4.2100000E+002, 7.2014008E+002, 7.8540961E+001
 4.2200000E+002, 7.2121983E+002, 6.8639804E+001
 4.2300000E+002, 7.2227668E+002, 5.9516372E+001
 4.2400000E+002, 7.2333882E+002, 5.1187305E+001
 4.2500000E+002, 7.2438981E+002, 4.3687231E+001
 4.2600000E+002, 7.2543007E+002, 3.6955581E+001
 4.2700000E+002, 7.2647823E+002, 3.1008176E+001
 4.2800000E+002, 7.2750909E+002, 2.5769584E+001
 4.2900000E+002, 7.2854962E+002, 2.1230371E+001
 4.3000000E+002, 7.2956823E+002, 1.7321608E+001
 4.3100000E+002, 7.3059555E+002, 1.3993715E+001
 4.3200000E+002, 7.3161222E+002, 1.1198110E+001
 4.3300000E+002, 7.3262134E+002, 8.8648494E+000
 4.3400000E+002, 7.3364126E+002, 6.9470566E+000
 4.3500000E+002, 7.3464665E+002, 5.3811369E+000
 4.3600000E+002, 7.3566445E+002, 4.1233147E+000
 4.3700000E+002, 7.3666315E+002, 3.1218938E+000
 4.3800000E+002, 7.3767338E+002, 2.3350801E+000
 4.3900000E+002, 7.3867497E+002, 1.7258078E+000
 4.4000000E+002, 7.3967148E+002, 1.2586146E+000
 4.4100000E+002, 7.4068088E+002, 9.0622390E-001
 4.4200000E+002, 7.4167761E+002, 6.4315801E-001
 4.4300000E+002, 7.4268832E+002, 4.5023613E-001
 4.4400000E+002, 7.4368130E+002, 3.1049112E-001
 4.4500000E+002, 7.4468703E+002, 2.1086884E-001
 4.4600000E+002, 7.4568505E+002, 1.4104604E-001
 4.4700000E+002, 7.4667884E+002, 9.2777606E-002
 4.4800000E+002, 7.4768618E+002, 6.0038622E-002
 4.4900000E+002, 7.4868134E+002, 3.8156503E-002
 4.5000000E+002, 7.4969090E+002, 2.3828667E-002
 4.5100000E+002, 7.5068306E+002, 1.4601868E-002
 4.5200000E+002, 7.5168816E+002, 8.7762975E-003
 4.5300000E+002, 7.5268578E+002, 5.1733011E-003
 4.5400000E+002, 7.5367929E+002, 2.9858080E-003
 4.5500000E+002, 7.5468644E+002, 1.6877046E-003
 4.5600000E+002, 7.5568145E+002, 9.3250584E-004
 4.5700000E+002, 7.5669093E+002, 5.0385408E-004
 4.5800000E+002, 7.5768304E+002, 2.6580517E-004
 4.5900000E+002, 7.5868808E+002, 1.3683003E-004
 4.6000000E+002, 7.5968568E+002, 6.8711915E-005
 4.6100000E+002, 7.6067920E+002, 3.3598184E-005
 4.6200000E+002, 7.6168635E+002, 1.5997520E-005
 4.6300000E+002, 7.6268134E+002, 7.4017749E-006
 4.6400000E+002, 7.6369080E+002, 3.3286223E-006
