s,[K],[W/g]
 4.0800000E+002, 7.0723029E+002, 6.8230610E+001
 4.0900000E+002, 7.0796169E+002, 1.2160953E+001
 4.1000000E+002, 7.0797830E+002, 0.0000000E+000
 4.1100000E+002, 7.0797830E+002, 0.0000000E+000
 4.1200000E+002, 7.0797830E+002, 0.0000000E+000
 4.1300000E+002, 7.0797830E+002, 0.0000000E+000
 4.1400000E+002, 7.0797830E+002, 0.0000000E+000
 4.1500000E+002, 7.0797830E+002, 0.0000000E+000
 4.1600000E+002, 7.0797830E+002, 0.0000000E+000
 4.1700000E+002, 7.0797830E+002, 0.0000000E+000
 4.1800000E+002, 7.0797830E+002, 0.0000000E+000
 4.1900000E+002, 7.0797830E+002, 0.0000000E+000
 4.2000000E+002, 7.0797830E+002, 0.0000000E+000
 4.2100000E+002, 7.0797830E+002, 0.0000000E+000
 4.2200000E+002, 7.0797830E+002, 0.0000000E+000
 4.2300000E+002, 7.0797830E+002, 0.0000000E+000
 4.2400000E+002, 7.0797830E+002, 0.0000000E+000
 4.2500000E+002, 7.0797830E+002, 0.0000000E+000
 4.2600000E+002, 7.0797830E+002, 0.0000000E+000
 4.2700000E+002, 7.0797830E+002, 0.0000000E+000
 4.2800000E+002, 7.0797830E+002, 0.0000000E+000
 4.2900000E+002, 7.0797830E+002, 0.0000000E+000
 4.3000000E+002, 7.0797830E+002, 0.0000000E+000
 4.3100000E+002, 7.0797830E+002, 0.0000000E+000
 4.3200000E+002, 7.0797830E+002, 0.0000000E+000
 4.3300000E+002, 7.0797830E+002, 0.0000000E+000
 4.3400000E+002, 7.0797830E+002, 0.0000000E+000
 4.3500000E+002, 7.0797830E+002, 0.0000000E+000
 4.3600000E+002, 7.0797830E+002, 0.0000000E+000
 4.3700000E+002, 7.0797830E+002, 0.0000000E+000
 4.3800000E+002, 7.0797830E+002, 0.0000000E+000
 4.3900000E+002, 7.0797830E+002, 0.0000000E+000
 4.4000000E+002, 7.0797830E+002, 0.0000000E+000
 4.4100000E+002, 7.0797830E+002, 0.0000000E+000
 4.4200000E+002, 7.0797830E+002, 0.0000000E+000
 4.4300000E+002, 7.0797830E+002, 0.0000000E+000
 4.4400000E+002, 7.0797830E+002, 0.0000000E+000
 4.4500000E+002, 7.0797830E+002, 0.0000000E+000
 4.4600000E+002, 7.0797830E+002, 0.0000000E+000
 4.4700000E+002, 7.0797830E+002, 0.0000000E+000
 4.4800000E+002, 7.0797830E+002, 0.0000000E+000
 4.4900000E+002, 7.0797830E+002, 0.0000000E+000
 4.5000000E+002, 7.0797830E+002, 0.0000000E+000
 4.5100000E+002, 7.0797830E+002, 0.0000000E+000
 4.5200000E+002, 7.0797830E+002, 0.0000000E+000
 4.5300000E+002, 7.0797830E+002, 0.0000000E+000
 4.5400000E+002, 7.0797830E+002, 0.0000000E+000
 4.5500000E+002, 7.0797830E+002, 0.0000000E+000
 4.5600000E+002, 7.0797830E+002, 0.0000000E+000
 4.5700000E+002, 7.0797830E+002, 0.0000000E+000
 4.5800000E+002, 7.0797830E+002, 0.0000000E+000
 4.5900000E+002, 7.0797830E+002, 0.0000000E+000
 4.6000000E+002, 7.0797830E+002, 0.0000000E+000
 4.6100000E+002, 7.0797830E+002, 0.0000000E+000
 4.6200000E+002, 7.0797830E+002, 0.0000000E+000
 4.6300000E+002, 7.0797830E+002, 0.0000000E+000
 4.6400000E+002, 7.0797830E+002, 0.0000000E+000
