s,[K],[mg],[W/g]
 6.0000000E+001, 3.0998184E+002, 5.0000000E+000, 3.6226665E-001
 6.1000000E+001, 3.1015565E+002, 5.0000000E+000, 4.6320006E-001
 6.2000000E+001, 3.1032403E+002, 5.0000000E+000, 3.9750462E-001
 6.3000000E+001, 3.1049011E+002, 5.0000000E+000, 4.0614883E-001
 6.4000000E+001, 3.1065161E+002, 5.0000000E+000, 3.7234012E-001
 6.5000000E+001, 3.1081822E+002, 5.0000000E+000, 3.7859071E-001
 6.6000000E+001, 3.1099069E+002, 5.0000000E+000, 4.2245782E-001
 6.7000000E+001, 3.1115601E+002, 5.0000000E+000, 4.3366619E-001
 6.8000000E+001, 3.1132049E+002, 5.0000000E+000, 3.8641797E-001
 6.9000000E+001, 3.1148655E+002, 5.0000000E+000, 3.9515326E-001
 7.0000000E+001, 3.1165727E+002, 5.0000000E+000, 3.8287028E-001
 7.1000000E+001, 3.1181906E+002, 5.0000000E+000, 4.1177669E-001
 7.2000000E+001, 3.1198812E+002, 5.0000000E+000, 4.0609199E-001
 7.3000000E+001, 3.1215342E+002, 5.0000000E+000, 4.1829970E-001
 7.4000000E+001, 3.1232522E+002, 5.0000000E+000, 4.0113404E-001
 7.5000000E+001, 3.1248658E+002, 5.0000000E+000, 3.6794323E-001
 7.6100000E+001, 3.1266155E+002, 5.0000000E+000, 4.0038395E-001
 7.7100000E+001, 3.1283613E+002, 5.0000000E+000, 4.3312329E-001
 7.8100000E+001, 3.1300051E+002, 5.0000000E+000, 3.8631612E-001
 7.9100000E+001, 3.1316655E+002, 5.0000000E+000, 3.9513416E-001
 8.0100000E+001, 3.1333727E+002, 5.0000000E+000, 3.8286670E-001
 8.1100000E+001, 3.1349906E+002, 5.0000000E+000, 4.1177602E-001
 8.2100000E+001, 3.1366812E+002, 5.0000000E+000, 4.0609186E-001
 8.3100000E+001, 3.1383342E+002, 5.0000000E+000, 4.1829968E-001
 8.4100000E+001, 3.1400522E+002, 5.0000000E+000, 4.0113403E-001
 8.5100000E+001, 3.1416658E+002, 5.0000000E+000, 3.6794323E-001
 8.6100000E+001, 3.1433360E+002, 5.0000000E+000, 3.7236923E-001
 8.7100000E+001, 3.1449824E+002, 5.0000000E+000, 4.5151929E-001
 8.8100000E+001, 3.1467156E+002, 5.0000000E+000, 4.2665793E-001
 8.9100000E+001, 3.1483585E+002, 5.0000000E+000, 3.8027323E-001
 9.0100000E+001, 3.1500248E+002, 5.0000000E+000, 3.8645864E-001
 9.1100000E+001, 3.1516184E+002, 5.0000000E+000, 3.6226665E-001
 9.2100000E+001, 3.1533565E+002, 5.0000000E+000, 4.6320006E-001
 9.3100000E+001, 3.1550403E+002, 5.0000000E+000, 3.9750462E-001
 9.4100000E+001, 3.1567011E+002, 5.0000000E+000, 4.0614883E-001
 9.5100000E+001, 3.1583161E+002, 5.0000000E+000, 3.7234012E-001
 9.6100000E+001, 3.1599822E+002, 5.0000000E+000, 3.7859071E-001
 9.7100000E+001, 3.1617069E+002, 5.0000000E+000, 4.2245782E-001
 9.8100000E+001, 3.1633601E+002, 5.0000000E+000, 4.3366619E-001
 9.9100000E+001, 3.1650049E+002, 5.0000000E+000, 3.8641797E-001
 1.0010000E+002, 3.1666655E+002, 5.0000000E+000, 3.9515326E-001
 1.0110000E+002, 3.1683727E+002, 5.0000000E+000, 3.8287028E-001
 1.0210000E+002, 3.1699906E+002, 5.0000000E+000, 4.1177669E-001
 1.0310000E+002, 3.1716812E+002, 5.0000000E+000, 4.0609199E-001
 1.0410000E+002, 3.1733342E+002, 5.0000000E+000, 4.1829970E-001
 1.0510000E+002, 3.1750522E+002, 5.0000000E+000, 4.0113404E-001
 1.0610000E+002, 3.1766658E+002, 5.0000000E+000, 3.6794323E-001
 1.0710000E+002, 3.1783360E+002, 5.0000000E+000, 3.7236923E-001
 1.0810000E+002, 3.1799824E+002, 5.0000000E+000, 4.5151929E-001
 1.0910000E+002, 3.1817156E+002, 5.0000000E+000, 4.2665793E-001
 1.1010000E+002, 3.1833585E+002, 5.0000000E+000, 3.8027323E-001
 1.1110000E+002, 3.1850248E+002, 5.0000000E+000, 3.8645864E-001
 1.1210000E+002, 3.1866184E+002, 5.0000000E+000, 3.6226665E-001
 1.1310000E+002, 3.1883565E+002, 5.0000000E+000, 4.6320006E-001
 1.1410000E+002, 3.1900403E+002, 5.0000000E+000, 3.9750462E-001
 1.1510000E+002, 3.1917011E+002, 5.0000000E+000, 4.0614883E-001
 1.1610000E+002, 3.1933161E+002, 5.0000000E+000, 3.7234012E-001
 1.1710000E+002, 3.1949822E+002, 5.0000000E+000, 3.7859071E-001
 1.1810000E+002, 3.1967069E+002, 5.0000000E+000, 4.2245782E-001
 1.1910000E+002, 3.1983601E+002, 5.0000000E+000, 4.3366619E-001
 1.2010000E+002, 3.2000049E+002, 5.0000000E+000, 3.8641797E-001
 1.2110000E+002, 3.2016655E+002, 5.0000000E+000, 3.9515326E-001
 1.2210000E+002, 3.2033727E+002, 5.0000000E+000, 3.8287028E-001
 1.2310000E+002, 3.2049906E+002, 5.0000000E+000, 4.1177669E-001
 1.2410000E+002, 3.2066812E+002, 5.0000000E+000, 4.0609199E-001
 1.2510000E+002, 3.2083342E+002, 5.0000000E+000, 4.1829970E-001
 1.2610000E+002, 3.2100522E+002, 5.0000000E+000, 4.0113404E-001
 1.2710000E+002, 3.2116658E+002, 5.0000000E+000, 3.6794323E-001
 1.2810000E+002, 3.2133360E+002, 5.0000000E+000, 3.7236923E-001
 1.2910000E+002, 3.2149824E+002, 5.0000000E+000, 4.5151929E-001
 1.3010000E+002, 3.2167156E+002, 5.0000000E+000, 4.2665793E-001
 1.3110000E+002, 3.2183585E+002, 5.0000000E+000, 3.8027323E-001
 1.3210000E+002, 3.2200248E+002, 5.0000000E+000, 3.8645864E-001
 1.3310000E+002, 3.2216184E+002, 5.0000000E+000, 3.6226665E-001
 1.3410000E+002, 3.2233565E+002, 5.0000000E+000, 4.6320006E-001
 1.3510000E+002, 3.2250403E+002, 5.0000000E+000, 3.9750462E-001
 1.3610000E+002, 3.2267011E+002, 5.0000000E+000, 4.0614883E-001
 1.3710000E+002, 3.2283161E+002, 5.0000000E+000, 3.7234012E-001
 1.3810000E+002, 3.2299822E+002, 5.0000000E+000, 3.7859071E-001
 1.3910000E+002, 3.2317069E+002, 5.0000000E+000, 4.2245782E-001
 1.4010000E+002, 3.2333601E+002, 5.0000000E+000, 4.3366619E-001
 1.4110000E+002, 3.2350049E+002, 5.0000000E+000, 3.8641797E-001
 1.4210000E+002, 3.2366655E+002, 5.0000000E+000, 3.9515326E-001
 1.4310000E+002, 3.2383727E+002, 5.0000000E+000, 3.8287028E-001
 1.4410000E+002, 3.2399906E+002, 5.0000000E+000, 4.1177669E-001
 1.4510000E+002, 3.2416812E+002, 5.0000000E+000, 4.0609199E-001
 1.4610000E+002, 3.2433342E+002, 5.0000000E+000, 4.1829970E-001
 1.4710000E+002, 3.2450522E+002, 5.0000000E+000, 4.0113404E-001
 1.4810000E+002, 3.2466658E+002, 5.0000000E+000, 3.6794323E-001
 1.4910000E+002, 3.2483360E+002, 5.0000000E+000, 3.7236923E-001
 1.5010000E+002, 3.2499824E+002, 5.0000000E+000, 4.5151929E-001
 1.5110000E+002, 3.2517156E+002, 5.0000000E+000, 4.2665793E-001
 1.5210000E+002, 3.2533585E+002, 5.0000000E+000, 3.8027323E-001
 1.5310000E+002, 3.2550248E+002, 5.0000000E+000, 3.8645864E-001
 1.5410000E+002, 3.2566184E+002, 5.0000000E+000, 3.6226665E-001
 1.5510000E+002, 3.2583565E+002, 5.0000000E+000, 4.6320006E-001
 1.5610000E+002, 3.2600403E+002, 5.0000000E+000, 3.9750462E-001
 1.5710000E+002, 3.2617011E+002, 5.0000000E+000, 4.0614883E-001
 1.5810000E+002, 3.2633161E+002, 5.0000000E+000, 3.7234012E-001
 1.5910000E+002, 3.2649822E+002, 5.0000000E+000, 3.7859071E-001
 1.6010000E+002, 3.2667069E+002, 5.0000000E+000, 4.2245782E-001
 1.6110000E+002, 3.2683601E+002, 5.0000000E+000, 4.3366619E-001
 1.6210000E+002, 3.2700049E+002, 5.0000000E+000, 3.8641797E-001
 1.6310000E+002, 3.2716655E+002, 5.0000000E+000, 3.9515326E-001
 1.6410000E+002, 3.2733727E+002, 5.0000000E+000, 3.8287028E-001
 1.6510000E+002, 3.2749906E+002, 5.0000000E+000, 4.1177669E-001
 1.6610000E+002, 3.2766812E+002, 5.0000000E+000, 4.0609199E-001
 1.6710000E+002, 3.2783342E+002, 5.0000000E+000, 4.1829970E-001
 1.6810000E+002, 3.2800522E+002, 5.0000000E+000, 4.0113404E-001
 1.6910000E+002, 3.2816658E+002, 5.0000000E+000, 3.6794323E-001
 1.7010000E+002, 3.2833360E+002, 5.0000000E+000, 3.7236923E-001
 1.7110000E+002, 3.2849824E+002, 5.0000000E+000, 4.5151929E-001
 1.7210000E+002, 3.2867156E+002, 5.0000000E+000, 4.2665793E-001
 1.7310000E+002, 3.2883585E+002, 5.0000000E+000, 3.8027323E-001
 1.7410000E+002, 3.2900248E+002, 5.0000000E+000, 3.8645864E-001
 1.7510000E+002, 3.2916184E+002, 5.0000000E+000, 3.6226665E-001
 1.7610000E+002, 3.2933565E+002, 5.0000000E+000, 4.6320006E-001
 1.7710000E+002, 3.2950403E+002, 5.0000000E+000, 3.9750462E-001
 1.7810000E+002, 3.2967011E+002, 5.0000000E+000, 4.0614883E-001
 1.7910000E+002, 3.2983161E+002, 5.0000000E+000, 3.7234012E-001
 1.8010000E+002, 3.2999822E+002, 5.0000000E+000, 3.7859071E-001
 1.8110000E+002, 3.3017069E+002, 5.0000000E+000, 4.2245782E-001
 1.8210000E+002, 3.3033601E+002, 5.0000000E+000, 4.3366619E-001
 1.8310000E+002, 3.3050049E+002, 5.0000000E+000, 3.8641797E-001
 1.8410000E+002, 3.3066655E+002, 5.0000000E+000, 3.9515326E-001
 1.8510000E+002, 3.3083727E+002, 5.0000000E+000, 3.8287028E-001
 1.8610000E+002, 3.3099906E+002, 5.0000000E+000, 4.1177669E-001
 1.8710000E+002, 3.3116812E+002, 5.0000000E+000, 4.0609199E-001
 1.8810000E+002, 3.3133342E+002, 5.0000000E+000, 4.1829970E-001
 1.8910000E+002, 3.3150522E+002, 5.0000000E+000, 4.0113404E-001
 1.9010000E+002, 3.3166658E+002, 5.0000000E+000, 3.6794323E-001
 1.9110000E+002, 3.3183360E+002, 5.0000000E+000, 3.7236923E-001
 1.9210000E+002, 3.3199824E+002, 5.0000000E+000, 4.5151929E-001
 1.9310000E+002, 3.3217156E+002, 5.0000000E+000, 4.2665793E-001
 1.9410000E+002, 3.3233585E+002, 5.0000000E+000, 3.8027323E-001
 1.9510000E+002, 3.3250248E+002, 5.0000000E+000, 3.8645864E-001
 1.9610000E+002, 3.3266184E+002, 5.0000000E+000, 3.6226665E-001
 1.9710000E+002, 3.3283565E+002, 5.0000000E+000, 4.6320006E-001
 1.9810000E+002, 3.3300403E+002, 5.0000000E+000, 3.9750462E-001
 1.9910000E+002, 3.3317011E+002, 5.0000000E+000, 4.0614883E-001
 2.0010000E+002, 3.3333161E+002, 5.0000000E+000, 3.7234012E-001
 2.0110000E+002, 3.3349822E+002, 5.0000000E+000, 3.7859071E-001
 2.0210000E+002, 3.3367069E+002, 5.0000000E+000, 4.2245782E-001
 2.0310000E+002, 3.3383601E+002, 5.0000000E+000, 4.3366619E-001
 2.0410000E+002, 3.3400049E+002, 5.0000000E+000, 3.8641797E-001
 2.0510000E+002, 3.3416655E+002, 5.0000000E+000, 3.9515326E-001
 2.0610000E+002, 3.3433727E+002, 5.0000000E+000, 3.8287028E-001
 2.0710000E+002, 3.3449906E+002, 5.0000000E+000, 4.1177669E-001
 2.0810000E+002, 3.3466812E+002, 5.0000000E+000, 4.0609199E-001
 2.0910000E+002, 3.3483342E+002, 5.0000000E+000, 4.1829970E-001
 2.1010000E+002, 3.3500522E+002, 5.0000000E+000, 4.0113404E-001
 2.1110000E+002, 3.3516658E+002, 5.0000000E+000, 3.6794323E-001
 2.1210000E+002, 3.3533360E+002, 5.0000000E+000, 3.7236923E-001
 2.1310000E+002, 3.3549824E+002, 5.0000000E+000, 4.5151929E-001
 2.1410000E+002, 3.3567156E+002, 5.0000000E+000, 4.2665793E-001
 2.1510000E+002, 3.3583585E+002, 5.0000000E+000, 3.8027323E-001
 2.1610000E+002, 3.3600248E+002, 5.0000000E+000, 3.8645864E-001
 2.1710000E+002, 3.3616184E+002, 5.0000000E+000, 3.6226665E-001
 2.1810000E+002, 3.3633565E+002, 5.0000000E+000, 4.6320006E-001
 2.1910000E+002, 3.3650403E+002, 5.0000000E+000, 3.9750462E-001
 2.2010000E+002, 3.3667011E+002, 5.0000000E+000, 4.0614883E-001
 2.2110000E+002, 3.3683161E+002, 5.0000000E+000, 3.7234012E-001
 2.2210000E+002, 3.3699822E+002, 5.0000000E+000, 3.7859071E-001
 2.2310000E+002, 3.3717069E+002, 5.0000000E+000, 4.2245782E-001
 2.2410000E+002, 3.3733601E+002, 5.0000000E+000, 4.3366619E-001
 2.2510000E+002, 3.3750049E+002, 5.0000000E+000, 3.8641797E-001
 2.2610000E+002, 3.3766655E+002, 5.0000000E+000, 3.9515326E-001
 2.2710000E+002, 3.3783727E+002, 5.0000000E+000, 3.8287028E-001
 2.2810000E+002, 3.3799906E+002, 5.0000000E+000, 4.1177669E-001
 2.2910000E+002, 3.3816812E+002, 5.0000000E+000, 4.0609199E-001
 2.3010000E+002, 3.3833342E+002, 5.0000000E+000, 4.1829970E-001
 2.3110000E+002, 3.3850522E+002, 5.0000000E+000, 4.0113404E-001
 2.3210000E+002, 3.3866658E+002, 5.0000000E+000, 3.6794323E-001
 2.3310000E+002, 3.3883360E+002, 5.0000000E+000, 3.7236923E-001
 2.3410000E+002, 3.3899824E+002, 5.0000000E+000, 4.5151929E-001
 2.3510000E+002, 3.3917156E+002, 5.0000000E+000, 4.2665793E-001
 2.3610000E+002, 3.3933585E+002, 5.0000000E+000, 3.8027323E-001
 2.3710000E+002, 3.3950248E+002, 5.0000000E+000, 3.8645864E-001
 2.3810000E+002, 3.3966184E+002, 5.0000000E+000, 3.6226665E-001
 2.3910000E+002, 3.3983565E+002, 5.0000000E+000, 4.6320006E-001
 2.4010000E+002, 3.4000403E+002, 5.0000000E+000, 3.9750462E-001
 2.4110000E+002, 3.4017011E+002, 5.0000000E+000, 4.0614883E-001
 2.4210000E+002, 3.4033161E+002, 5.0000000E+000, 3.7234012E-001
 2.4310000E+002, 3.4049822E+002, 5.0000000E+000, 3.7859071E-001
 2.4410000E+002, 3.4067069E+002, 5.0000000E+000, 4.2245782E-001
 2.4510000E+002, 3.4083601E+002, 5.0000000E+000, 4.3366619E-001
 2.4610000E+002, 3.4100049E+002, 5.0000000E+000, 3.8641797E-001
 2.4710000E+002, 3.4116655E+002, 5.0000000E+000, 3.9515326E-001
 2.4810000E+002, 3.4133727E+002, 5.0000000E+000, 3.8287028E-001
 2.4910000E+002, 3.4149906E+002, 5.0000000E+000, 4.1177669E-001
 2.5010000E+002, 3.4166812E+002, 5.0000000E+000, 4.0609199E-001
 2.5110000E+002, 3.4183342E+002, 5.0000000E+000, 4.1829970E-001
 2.5210000E+002, 3.4200522E+002, 5.0000000E+000, 4.0113404E-001
 2.5310000E+002, 3.4216658E+002, 5.0000000E+000, 3.6794323E-001
 2.5410000E+002, 3.4233360E+002, 5.0000000E+000, 3.7236923E-001
 2.5510000E+002, 3.4249824E+002, 5.0000000E+000, 4.5151929E-001
 2.5610000E+002, 3.4267156E+002, 5.0000000E+000, 4.2665793E-001
 2.5710000E+002, 3.4283585E+002, 5.0000000E+000, 3.8027323E-001
 2.5810000E+002, 3.4300248E+002, 5.0000000E+000, 3.8645864E-001
 2.5910000E+002, 3.4316184E+002, 5.0000000E+000, 3.6226665E-001
 2.6010000E+002, 3.4333565E+002, 5.0000000E+000, 4.6320006E-001
 2.6110000E+002, 3.4350403E+002, 5.0000000E+000, 3.9750462E-001
 2.6210000E+002, 3.4367011E+002, 5.0000000E+000, 4.0614883E-001
 2.6310000E+002, 3.4383161E+002, 5.0000000E+000, 3.7234012E-001
 2.6410000E+002, 3.4399822E+002, 5.0000000E+000, 3.7859071E-001
 2.6510000E+002, 3.4417069E+002, 5.0000000E+000, 4.2245782E-001
 2.6610000E+002, 3.4433601E+002, 5.0000000E+000, 4.3366619E-001
 2.6710000E+002, 3.4450049E+002, 5.0000000E+000, 3.8641797E-001
 2.6810000E+002, 3.4466655E+002, 5.0000000E+000, 3.9515326E-001
 2.6910000E+002, 3.4483727E+002, 5.0000000E+000, 3.8287028E-001
 2.7010000E+002, 3.4499906E+002, 5.0000000E+000, 4.1177669E-001
 2.7110000E+002, 3.4516812E+002, 5.0000000E+000, 4.0609199E-001
 2.7210000E+002, 3.4533342E+002, 5.0000000E+000, 4.1829970E-001
 2.7310000E+002, 3.4550522E+002, 5.0000000E+000, 4.0113404E-001
 2.7410000E+002, 3.4566658E+002, 5.0000000E+000, 3.6794323E-001
 2.7510000E+002, 3.4583360E+002, 5.0000000E+000, 3.7236923E-001
 2.7610000E+002, 3.4599824E+002, 5.0000000E+000, 4.5151929E-001
 2.7710000E+002, 3.4617156E+002, 5.0000000E+000, 4.2665793E-001
 2.7810000E+002, 3.4633585E+002, 5.0000000E+000, 3.8027323E-001
 2.7910000E+002, 3.4650248E+002, 5.0000000E+000, 3.8645864E-001
 2.8010000E+002, 3.4666184E+002, 5.0000000E+000, 3.6226665E-001
 2.8110000E+002, 3.4683565E+002, 5.0000000E+000, 4.6320006E-001
 2.8210000E+002, 3.4700403E+002, 5.0000000E+000, 3.9750462E-001
 2.8310000E+002, 3.4717011E+002, 5.0000000E+000, 4.0614883E-001
 2.8410000E+002, 3.4733161E+002, 5.0000000E+000, 3.7234012E-001
 2.8510000E+002, 3.4749822E+002, 5.0000000E+000, 3.7859071E-001
 2.8610000E+002, 3.4767069E+002, 5.0000000E+000, 4.2245782E-001
 2.8710000E+002, 3.4783601E+002, 5.0000000E+000, 4.3366619E-001
 2.8810000E+002, 3.4800049E+002, 5.0000000E+000, 3.8641797E-001
 2.8910000E+002, 3.4816655E+002, 5.0000000E+000, 3.9515326E-001
 2.9010000E+002, 3.4833727E+002, 5.0000000E+000, 3.8287028E-001
 2.9110000E+002, 3.4849906E+002, 5.0000000E+000, 4.1177669E-001
 2.9210000E+002, 3.4866812E+002, 5.0000000E+000, 4.0609199E-001
 2.9310000E+002, 3.4883342E+002, 5.0000000E+000, 4.1829970E-001
 2.9410000E+002, 3.4900522E+002, 5.0000000E+000, 4.0113404E-001
 2.9510000E+002, 3.4916658E+002, 5.0000000E+000, 3.6794323E-001
 2.9610000E+002, 3.4933360E+002, 5.0000000E+000, 3.7236923E-001
 2.9710000E+002, 3.4949824E+002, 5.0000000E+000, 4.5151929E-001
 2.9810000E+002, 3.4967156E+002, 5.0000000E+000, 4.2665793E-001
 2.9910000E+002, 3.4983585E+002, 5.0000000E+000, 3.8027323E-001
 3.0010000E+002, 3.5000248E+002, 5.0000000E+000, 3.8645864E-001
 3.0110000E+002, 3.5016184E+002, 5.0000000E+000, 3.6226665E-001
 3.0200000E+002, 3.5032642E+002, 5.0000000E+000, 4.4889530E-001
 3.0300000E+002, 3.5048758E+002, 5.0000000E+000, 4.0854005E-001
 3.0400000E+002, 3.5065331E+002, 5.0000000E+000, 4.1875894E-001
 3.0500000E+002, 3.5082520E+002, 5.0000000E+000, 4.0122019E-001
 3.0600000E+002, 3.5098658E+002, 5.0000000E+000, 3.6795939E-001
 3.0700000E+002, 3.5115360E+002, 5.0000000E+000, 3.7237226E-001
 3.0800000E+002, 3.5131824E+002, 5.0000000E+000, 4.5151986E-001
 3.0900000E+002, 3.5149156E+002, 5.0000000E+000, 4.2665804E-001
 3.1000000E+002, 3.5165585E+002, 5.0000000E+000, 3.8027325E-001
 3.1100000E+002, 3.5182248E+002, 5.0000000E+000, 3.8645865E-001
 3.1200000E+002, 3.5198184E+002, 5.0000000E+000, 3.6226665E-001
 3.1300000E+002, 3.5215565E+002, 5.0000000E+000, 4.6320006E-001
 3.1400000E+002, 3.5232403E+002, 5.0000000E+000, 3.9750462E-001
 3.1500000E+002, 3.5249011E+002, 5.0000000E+000, 4.0614883E-001
 3.1600000E+002, 3.5265161E+002, 5.0000000E+000, 3.7234012E-001
 3.1700000E+002, 3.5281822E+002, 5.0000000E+000, 3.7859071E-001
 3.1800000E+002, 3.5299069E+002, 5.0000000E+000, 4.2245782E-001
 3.1900000E+002, 3.5315601E+002, 5.0000000E+000, 4.3366619E-001
 3.2000000E+002, 3.5332049E+002, 5.0000000E+000, 3.8641797E-001
 3.2100000E+002, 3.5348655E+002, 5.0000000E+000, 3.9515326E-001
 3.2200000E+002, 3.5365727E+002, 5.0000000E+000, 3.8287028E-001
 3.2300000E+002, 3.5381906E+002, 5.0000000E+000, 4.1177669E-001
 3.2400000E+002, 3.5398812E+002, 5.0000000E+000, 4.0609199E-001
 3.2500000E+002, 3.5415342E+002, 5.0000000E+000, 4.1829970E-001
 3.2600000E+002, 3.5432522E+002, 5.0000000E+000, 4.0113404E-001
 3.2700000E+002, 3.5448658E+002, 5.0000000E+000, 3.6794323E-001
 3.2800000E+002, 3.5465360E+002, 5.0000000E+000, 3.7236923E-001
 3.2900000E+002, 3.5481824E+002, 5.0000000E+000, 4.5151929E-001
 3.3000000E+002, 3.5499156E+002, 5.0000000E+000, 4.2665793E-001
 3.3100000E+002, 3.5515585E+002, 5.0000000E+000, 3.8027323E-001
 3.3200000E+002, 3.5532248E+002, 5.0000000E+000, 3.8645864E-001
 3.3300000E+002, 3.5548184E+002, 5.0000000E+000, 3.6226665E-001
 3.3400000E+002, 3.5565565E+002, 5.0000000E+000, 4.6320006E-001
 3.3500000E+002, 3.5582403E+002, 5.0000000E+000, 3.9750462E-001
 3.3600000E+002, 3.5599011E+002, 5.0000000E+000, 4.0614883E-001
 3.3700000E+002, 3.5615161E+002, 5.0000000E+000, 3.7234012E-001
 3.3800000E+002, 3.5631822E+002, 5.0000000E+000, 3.7859071E-001
 3.3900000E+002, 3.5649069E+002, 5.0000000E+000, 4.2245782E-001
 3.4000000E+002, 3.5665601E+002, 5.0000000E+000, 4.3366619E-001
 3.4100000E+002, 3.5682049E+002, 5.0000000E+000, 3.8641797E-001
 3.4200000E+002, 3.5698655E+002, 5.0000000E+000, 3.9515326E-001
 3.4300000E+002, 3.5715727E+002, 5.0000000E+000, 3.8287028E-001
 3.4400000E+002, 3.5731906E+002, 5.0000000E+000, 4.1177669E-001
 3.4500000E+002, 3.5748812E+002, 5.0000000E+000, 4.0609199E-001
 3.4600000E+002, 3.5765342E+002, 5.0000000E+000, 4.1829970E-001
 3.4700000E+002, 3.5782522E+002, 5.0000000E+000, 4.0113404E-001
