s,[K],[mg]
 7.9100000E+001, 4.2849661E+002, 5.0027262E+000
 8.0100000E+001, 4.3016245E+002, 5.0027262E+000
 8.1100000E+001, 4.3182922E+002, 5.0027262E+000
 8.2100000E+001, 4.3349506E+002, 5.0027262E+000
 8.3100000E+001, 4.3516967E+002, 5.0027262E+000
 8.4100000E+001, 4.3682768E+002, 5.0027262E+000
 8.5100000E+001, 4.3850214E+002, 5.0027262E+000
 8.6100000E+001, 4.4016032E+002, 5.0027262E+000
 8.7100000E+001, 4.4183463E+002, 5.0027262E+000
 8.8100000E+001, 4.4349298E+002, 5.0027262E+000
 8.9100000E+001, 4.4516714E+002, 5.0027262E+000
 9.0100000E+001, 4.4682565E+002, 5.0027262E+000
 9.1100000E+001, 4.4849965E+002, 5.0027262E+000
 9.2100000E+001, 4.5015834E+002, 5.0027262E+000
 9.3100000E+001, 4.5183218E+002, 5.0027262E+000
 9.4100000E+001, 4.5349887E+002, 5.0027262E+000
 9.5100000E+001, 4.5516473E+002, 5.0027262E+000
 9.6100000E+001, 4.5683144E+002, 5.0027262E+000
 9.7100000E+001, 4.5849729E+002, 5.0027261E+000
 9.8100000E+001, 4.6016401E+002, 5.0027261E+000
 9.9100000E+001, 4.6182986E+002, 5.0027261E+000
 1.0010000E+002, 4.6349661E+002, 5.0027261E+000
 1.0110000E+002, 4.6516245E+002, 5.0027260E+000
 1.0210000E+002, 4.6682922E+002, 5.0027260E+000
 1.0310000E+002, 4.6849505E+002, 5.0027260E+000
 1.0410000E+002, 4.7016966E+002, 5.0027259E+000
 1.0510000E+002, 4.7182767E+002, 5.0027258E+000
 1.0610000E+002, 4.7350213E+002, 5.0027257E+000
 1.0710000E+002, 4.7516031E+002, 5.0027256E+000
 1.0810000E+002, 4.7683462E+002, 5.0027255E+000
 1.0910000E+002, 4.7849296E+002, 5.0027254E+000
 1.1010000E+002, 4.8016712E+002, 5.0027252E+000
 1.1110000E+002, 4.8182563E+002, 5.0027250E+000
 1.1210000E+002, 4.8349963E+002, 5.0027248E+000
 1.1310000E+002, 4.8515831E+002, 5.0027245E+000
 1.1410000E+002, 4.8683215E+002, 5.0027242E+000
 1.1510000E+002, 4.8849883E+002, 5.0027239E+000
 1.1610000E+002, 4.9016468E+002, 5.0027234E+000
 1.1710000E+002, 4.9183138E+002, 5.0027229E+000
 1.1810000E+002, 4.9349722E+002, 5.0027223E+000
 1.1910000E+002, 4.9516393E+002, 5.0027216E+000
 1.2010000E+002, 4.9682976E+002, 5.0027207E+000
 1.2110000E+002, 4.9849649E+002, 5.0027198E+000
 1.2210000E+002, 5.0016232E+002, 5.0027186E+000
 1.2310000E+002, 5.0182906E+002, 5.0027173E+000
 1.2410000E+002, 5.0349488E+002, 5.0027157E+000
 1.2510000E+002, 5.0516945E+002, 5.0027139E+000
 1.2610000E+002, 5.0682743E+002, 5.0027118E+000
 1.2710000E+002, 5.0850185E+002, 5.0027094E+000
 1.2810000E+002, 5.1015998E+002, 5.0027065E+000
 1.2910000E+002, 5.1183424E+002, 5.0027032E+000
 1.3010000E+002, 5.1349252E+002, 5.0026994E+000
 1.3110000E+002, 5.1516661E+002, 5.0026950E+000
 1.3210000E+002, 5.1682504E+002, 5.0026898E+000
 1.3310000E+002, 5.1849895E+002, 5.0026839E+000
 1.3410000E+002, 5.2015754E+002, 5.0026770E+000
 1.3510000E+002, 5.2183125E+002, 5.0026691E+000
 1.3610000E+002, 5.2349780E+002, 5.0026600E+000
 1.3710000E+002, 5.2516349E+002, 5.0026495E+000
 1.3810000E+002, 5.2683002E+002, 5.0026374E+000
 1.3910000E+002, 5.2849566E+002, 5.0026235E+000
 1.4010000E+002, 5.3016214E+002, 5.0026075E+000
 1.4110000E+002, 5.3182772E+002, 5.0025891E+000
 1.4210000E+002, 5.3349415E+002, 5.0025681E+000
 1.4310000E+002, 5.3515964E+002, 5.0025440E+000
 1.4410000E+002, 5.3682600E+002, 5.0025164E+000
 1.4510000E+002, 5.3849139E+002, 5.0024848E+000
 1.4610000E+002, 5.4016547E+002, 5.0024488E+000
 1.4710000E+002, 5.4182290E+002, 5.0024076E+000
 1.4810000E+002, 5.4349669E+002, 5.0023606E+000
 1.4910000E+002, 5.4515412E+002, 5.0023070E+000
 1.5010000E+002, 5.4682758E+002, 5.0022459E+000
 1.5110000E+002, 5.4848496E+002, 5.0021765E+000
 1.5210000E+002, 5.5015803E+002, 5.0020975E+000
 1.5310000E+002, 5.5181532E+002, 5.0020077E+000
 1.5410000E+002, 5.5348794E+002, 5.0019058E+000
 1.5510000E+002, 5.5514507E+002, 5.0017902E+000
 1.5610000E+002, 5.5681716E+002, 5.0016591E+000
 1.5710000E+002, 5.5848188E+002, 5.0015106E+000
 1.5810000E+002, 5.6014553E+002, 5.0013426E+000
 1.5910000E+002, 5.6180976E+002, 5.0011526E+000
 1.6010000E+002, 5.6347283E+002, 5.0009379E+000
 1.6110000E+002, 5.6513644E+002, 5.0006954E+000
 1.6210000E+002, 5.6679880E+002, 5.0004218E+000
 1.6310000E+002, 5.6846164E+002, 5.0001134E+000
 1.6410000E+002, 5.7012312E+002, 4.9997659E+000
 1.6510000E+002, 5.7178502E+002, 4.9993749E+000
 1.6610000E+002, 5.7344542E+002, 4.9989350E+000
 1.6710000E+002, 5.7511396E+002, 4.9984406E+000
 1.6810000E+002, 5.7676522E+002, 4.9978855E+000
 1.6910000E+002, 5.7843216E+002, 4.9972626E+000
 1.7010000E+002, 5.8008198E+002, 4.9965641E+000
 1.7110000E+002, 5.8174700E+002, 4.9957817E+000
 1.7210000E+002, 5.8339503E+002, 4.9949059E+000
 1.7310000E+002, 5.8505774E+002, 4.9939264E+000
 1.7410000E+002, 5.8670357E+002, 4.9928316E+000
 1.7510000E+002, 5.8836353E+002, 4.9916094E+000
 1.7610000E+002, 5.9000669E+002, 4.9902457E+000
 1.7710000E+002, 5.9166336E+002, 4.9887258E+000
 1.7810000E+002, 5.9331110E+002, 4.9870331E+000
 1.7910000E+002, 5.9495605E+002, 4.9851497E+000
 1.8010000E+002, 5.9659973E+002, 4.9830561E+000
 1.8110000E+002, 5.9824023E+002, 4.9807309E+000
 1.8210000E+002, 5.9987909E+002, 4.9781512E+000
 1.8310000E+002, 6.0151434E+002, 4.9752918E+000
 1.8410000E+002, 6.0314753E+002, 4.9721257E+000
 1.8510000E+002, 6.0477660E+002, 4.9686236E+000
 1.8610000E+002, 6.0640314E+002, 4.9647541E+000
 1.8710000E+002, 6.0802502E+002, 4.9604832E+000
 1.8810000E+002, 6.0965165E+002, 4.9557750E+000
 1.8910000E+002, 6.1125739E+002, 4.9505903E+000
 1.9010000E+002, 6.1287496E+002, 4.9448883E+000
 1.9110000E+002, 6.1447132E+002, 4.9386248E+000
 1.9210000E+002, 6.1607857E+002, 4.9317538E+000
 1.9310000E+002, 6.1766427E+002, 4.9242258E+000
 1.9410000E+002, 6.1925986E+002, 4.9159899E+000
 1.9510000E+002, 6.2083357E+002, 4.9069915E+000
 1.9610000E+002, 6.2241613E+002, 4.8971751E+000
 1.9710000E+002, 6.2397647E+002, 4.8864814E+000
 1.9810000E+002, 6.2554467E+002, 4.8748505E+000
 1.9910000E+002, 6.2709810E+002, 4.8622195E+000
 2.0010000E+002, 6.2864280E+002, 4.8485249E+000
 2.0110000E+002, 6.3018012E+002, 4.8337011E+000
 2.0210000E+002, 6.3170805E+002, 4.8176821E+000
 2.0310000E+002, 6.3322812E+002, 4.8004009E+000
 2.0410000E+002, 6.3473825E+002, 4.7817903E+000
 2.0510000E+002, 6.3624003E+002, 4.7617833E+000
 2.0610000E+002, 6.3773145E+002, 4.7403130E+000
 2.0710000E+002, 6.3921421E+002, 4.7173145E+000
 2.0810000E+002, 6.4068617E+002, 4.6927224E+000
 2.0910000E+002, 6.4215697E+002, 4.6664757E+000
 2.1010000E+002, 6.4360133E+002, 4.6385123E+000
 2.1110000E+002, 6.4505201E+002, 4.6087764E+000
 2.1210000E+002, 6.4647642E+002, 4.5772109E+000
 2.1310000E+002, 6.4790673E+002, 4.5437671E+000
 2.1410000E+002, 6.4931120E+002, 4.5083942E+000
 2.1510000E+002, 6.5072131E+002, 4.4710516E+000
 2.1610000E+002, 6.5210599E+002, 4.4316964E+000
 2.1710000E+002, 6.5349608E+002, 4.3902970E+000
 2.1810000E+002, 6.5486134E+002, 4.3468200E+000
 2.1910000E+002, 6.5623179E+002, 4.3012432E+000
 2.2010000E+002, 6.5758567E+002, 4.2535436E+000
 2.2110000E+002, 6.5892923E+002, 4.2037092E+000
 2.2210000E+002, 6.6026440E+002, 4.1517287E+000
 2.2310000E+002, 6.6158947E+002, 4.0975999E+000
 2.2410000E+002, 6.6290648E+002, 4.0413237E+000
 2.2510000E+002, 6.6421360E+002, 3.9829083E+000
 2.2610000E+002, 6.6551287E+002, 3.9223677E+000
 2.2710000E+002, 6.6680242E+002, 3.8597206E+000
 2.2810000E+002, 6.6808449E+002, 3.7949942E+000
 2.2910000E+002, 6.6935697E+002, 3.7282174E+000
 2.3010000E+002, 6.7062971E+002, 3.6594310E+000
 2.3110000E+002, 6.7187802E+002, 3.5886743E+000
 2.3210000E+002, 6.7313413E+002, 3.5160021E+000
 2.3310000E+002, 6.7436631E+002, 3.4414642E+000
 2.3410000E+002, 6.7560608E+002, 3.3651292E+000
 2.3510000E+002, 6.7682245E+002, 3.2870570E+000
 2.3610000E+002, 6.7804571E+002, 3.2073290E+000
 2.3710000E+002, 6.7924616E+002, 3.1260177E+000
 2.3810000E+002, 6.8045329E+002, 3.0432167E+000
 2.3910000E+002, 6.8163815E+002, 2.9590101E+000
 2.4010000E+002, 6.8282906E+002, 2.8735038E+000
 2.4110000E+002, 6.8400559E+002, 2.7867943E+000
 2.4210000E+002, 6.8517292E+002, 2.6989960E+000
 2.4310000E+002, 6.8633315E+002, 2.6102186E+000
 2.4410000E+002, 6.8748420E+002, 2.5205875E+000
 2.4510000E+002, 6.8862825E+002, 2.4302260E+000
 2.4610000E+002, 6.8976289E+002, 2.3392687E+000
 2.4710000E+002, 6.9089070E+002, 2.2478511E+000
 2.4810000E+002, 6.9200853E+002, 2.1561168E+000
 2.4910000E+002, 6.9311950E+002, 2.0642139E+000
 2.5010000E+002, 6.9422020E+002, 1.9722909E+000
 2.5110000E+002, 6.9532068E+002, 1.8805103E+000
 2.5210000E+002, 6.9639718E+002, 1.7890284E+000
 2.5310000E+002, 6.9747994E+002, 1.6980186E+000
 2.5410000E+002, 6.9853907E+002, 1.6076434E+000
 2.5510000E+002, 6.9960396E+002, 1.5180856E+000
 2.5610000E+002, 7.0064585E+002, 1.4295114E+000
 2.5710000E+002, 7.0169268E+002, 1.3421107E+000
 2.5810000E+002, 7.0271711E+002, 1.2560565E+000
 2.5910000E+002, 7.0374582E+002, 1.1715445E+000
 2.6010000E+002, 7.0475362E+002, 1.0887490E+000
 2.6110000E+002, 7.0576502E+002, 1.0078666E+000
 2.6210000E+002, 7.0676294E+002, 9.2907324E-001
 2.6310000E+002, 7.0775178E+002, 8.5256397E-001
 2.6410000E+002, 7.0873447E+002, 7.7851636E-001
 2.6510000E+002, 7.0970974E+002, 7.0711900E-001
 2.6610000E+002, 7.1068256E+002, 6.3853938E-001
 2.6710000E+002, 7.1164825E+002, 5.7295408E-001
 2.6810000E+002, 7.1261314E+002, 5.1052550E-001
 2.6910000E+002, 7.1357724E+002, 4.5141026E-001
 2.7010000E+002, 7.1454466E+002, 3.9574950E-001
 2.7110000E+002, 7.1551572E+002, 3.4367698E-001
 2.7210000E+002, 7.1650487E+002, 2.9530469E-001
 2.7310000E+002, 7.1749677E+002, 2.5072848E-001
 2.7410000E+002, 7.1852387E+002, 2.1002374E-001
 2.7510000E+002, 7.1957006E+002, 1.7323417E-001
 2.7610000E+002, 7.2067294E+002, 1.4038157E-001
 2.7710000E+002, 7.2182198E+002, 1.1144486E-001
 2.7810000E+002, 7.2306143E+002, 8.6371669E-002
 2.7910000E+002, 7.2439442E+002, 6.5058802E-002
 2.8010000E+002, 7.2587722E+002, 4.7361191E-002
 2.8110000E+002, 7.2753616E+002, 3.3072332E-002
 2.8210000E+002, 7.2945109E+002, 2.1935903E-002
 2.8310000E+002, 7.3169670E+002, 1.3631567E-002
 2.8410000E+002, 7.3430222E+002, 7.7903653E-003
 2.8510000E+002, 7.3722750E+002, 4.0261317E-003
 2.8610000E+002, 7.4097264E+002, 1.8374081E-003
 2.8710000E+002, 7.4594345E+002, 7.0542836E-004
 2.8810000E+002, 7.5236431E+002, 2.0975848E-004
 2.8910000E+002, 7.5619068E+002, 4.4829389E-005
 2.9010000E+002, 7.6524766E+002, 7.1513123E-006
 2.9110000E+002, 7.8400777E+002, 4.1887902E-008
 2.9210000E+002, 7.8589547E+002, 4.1887902E-008
 2.9310000E+002, 7.8757401E+002, 4.1887902E-008
 2.9410000E+002, 7.8922756E+002, 4.1887902E-008
 2.9510000E+002, 7.9090601E+002, 4.1887902E-008
 2.9610000E+002, 7.9256061E+002, 4.1887902E-008
 2.9710000E+002, 7.9423802E+002, 4.1887902E-008
 2.9810000E+002, 7.9589435E+002, 4.1887902E-008
 2.9910000E+002, 7.9757003E+002, 4.1887902E-008
 3.0010000E+002, 7.9922924E+002, 4.1887902E-008
 3.0110000E+002, 8.0090204E+002, 4.1887902E-008
 3.0200000E+002, 8.0248511E+002, 4.1887902E-008
 3.0300000E+002, 8.0406612E+002, 4.1887902E-008
 3.0400000E+002, 8.0573442E+002, 4.1887902E-008
 3.0500000E+002, 8.0739820E+002, 4.1887902E-008
 3.0600000E+002, 8.0906803E+002, 4.1887902E-008
 3.0700000E+002, 8.1073034E+002, 4.1887902E-008
 3.0800000E+002, 8.1240272E+002, 4.1887902E-008
 3.0900000E+002, 8.1406256E+002, 4.1887902E-008
 3.1000000E+002, 8.1573920E+002, 4.1887902E-008
 3.1100000E+002, 8.1739494E+002, 4.1887902E-008
 3.1200000E+002, 8.1907401E+002, 4.1887902E-008
 3.1300000E+002, 8.2072756E+002, 4.1887902E-008
 3.1400000E+002, 8.2240601E+002, 4.1887902E-008
 3.1500000E+002, 8.2406061E+002, 4.1887902E-008
 3.1600000E+002, 8.2573802E+002, 4.1887902E-008
 3.1700000E+002, 8.2739435E+002, 4.1887902E-008
 3.1800000E+002, 8.2907003E+002, 4.1887902E-008
 3.1900000E+002, 8.3072924E+002, 4.1887902E-008
 3.2000000E+002, 8.3240204E+002, 4.1887902E-008
 3.2100000E+002, 8.3406607E+002, 4.1887902E-008
 3.2200000E+002, 8.3573407E+002, 4.1887902E-008
 3.2300000E+002, 8.3740145E+002, 4.1887902E-008
 3.2400000E+002, 8.3906612E+002, 4.1887902E-008
 3.2500000E+002, 8.4073442E+002, 4.1887902E-008
 3.2600000E+002, 8.4239820E+002, 4.1887902E-008
 3.2700000E+002, 8.4406803E+002, 4.1887902E-008
 3.2800000E+002, 8.4573034E+002, 4.1887902E-008
 3.2900000E+002, 8.4740272E+002, 4.1887902E-008
 3.3000000E+002, 8.4906256E+002, 4.1887902E-008
 3.3100000E+002, 8.5073920E+002, 4.1887902E-008
 3.3200000E+002, 8.5239494E+002, 4.1887902E-008
 3.3300000E+002, 8.5407401E+002, 4.1887902E-008
 3.3400000E+002, 8.5572756E+002, 4.1887902E-008
 3.3500000E+002, 8.5740601E+002, 4.1887902E-008
 3.3600000E+002, 8.5906061E+002, 4.1887902E-008
 3.3700000E+002, 8.6073802E+002, 4.1887902E-008
 3.3800000E+002, 8.6239435E+002, 4.1887902E-008
 3.3900000E+002, 8.6407003E+002, 4.1887902E-008
 3.4000000E+002, 8.6572924E+002, 4.1887902E-008
 3.4100000E+002, 8.6740204E+002, 4.1887902E-008
 3.4200000E+002, 8.6906607E+002, 4.1887902E-008
 3.4300000E+002, 8.7073407E+002, 4.1887902E-008
 3.4400000E+002, 8.7240145E+002, 4.1887902E-008
 3.4500000E+002, 8.7406612E+002, 4.1887902E-008
 3.4600000E+002, 8.7573442E+002, 4.1887902E-008
 3.4700000E+002, 8.7739820E+002, 4.1887902E-008
 3.4800000E+002, 8.7906803E+002, 4.1887902E-008
 3.4900000E+002, 8.8073034E+002, 4.1887902E-008
 3.5000000E+002, 8.8240272E+002, 4.1887902E-008
 3.5100000E+002, 8.8406256E+002, 4.1887902E-008
 3.5200000E+002, 8.8573920E+002, 4.1887902E-008
 3.5300000E+002, 8.8739494E+002, 4.1887902E-008
 3.5400000E+002, 8.8907401E+002, 4.1887902E-008
 3.5500000E+002, 8.9072756E+002, 4.1887902E-008
 3.5600000E+002, 8.9240601E+002, 4.1887902E-008
 3.5700000E+002, 8.9406061E+002, 4.1887902E-008
 3.5800000E+002, 8.9573802E+002, 4.1887902E-008
 3.5900000E+002, 8.9739435E+002, 4.1887902E-008
 3.6000000E+002, 8.9907003E+002, 4.1887902E-008
 3.6100000E+002, 9.0072924E+002, 4.1887902E-008
 3.6200000E+002, 9.0240204E+002, 4.1887902E-008
 3.6300000E+002, 9.0406607E+002, 4.1887902E-008
 3.6400000E+002, 9.0573407E+002, 4.1887902E-008
 3.6500000E+002, 9.0740145E+002, 4.1887902E-008
 3.6600000E+002, 9.0906612E+002, 4.1887902E-008
 3.6700000E+002, 9.1073442E+002, 4.1887902E-008
 3.6800000E+002, 9.1239820E+002, 4.1887902E-008
 3.6900000E+002, 9.1406803E+002, 4.1887902E-008
 3.7000000E+002, 9.1573034E+002, 4.1887902E-008
 3.7100000E+002, 9.1740272E+002, 4.1887902E-008
 3.7200000E+002, 9.1906256E+002, 4.1887902E-008
 3.7300000E+002, 9.2073920E+002, 4.1887902E-008
 3.7400000E+002, 9.2239494E+002, 4.1887902E-008
 3.7500000E+002, 9.2407401E+002, 4.1887902E-008
 3.7600000E+002, 9.2572756E+002, 4.1887902E-008
 3.7700000E+002, 9.2740601E+002, 4.1887902E-008
 3.7800000E+002, 9.2906061E+002, 4.1887902E-008
 3.7900000E+002, 9.3073802E+002, 4.1887902E-008
 3.8000000E+002, 9.3239435E+002, 4.1887902E-008
 3.8100000E+002, 9.3407003E+002, 4.1887902E-008
 3.8200000E+002, 9.3572924E+002, 4.1887902E-008
 3.8300000E+002, 9.3740204E+002, 4.1887902E-008
 3.8400000E+002, 9.3906607E+002, 4.1887902E-008
 3.8500000E+002, 9.4073407E+002, 4.1887902E-008
 3.8600000E+002, 9.4240145E+002, 4.1887902E-008
 3.8700000E+002, 9.4406612E+002, 4.1887902E-008
 3.8800000E+002, 9.4573442E+002, 4.1887902E-008
 3.8900000E+002, 9.4739820E+002, 4.1887902E-008
 3.9000000E+002, 9.4906803E+002, 4.1887902E-008
 3.9100000E+002, 9.5073034E+002, 4.1887902E-008
 3.9200000E+002, 9.5240272E+002, 4.1887902E-008
 3.9300000E+002, 9.5406256E+002, 4.1887902E-008
 3.9400000E+002, 9.5573920E+002, 4.1887902E-008
 3.9500000E+002, 9.5739494E+002, 4.1887902E-008
 3.9600000E+002, 9.5907401E+002, 4.1887902E-008
 3.9700000E+002, 9.6072756E+002, 4.1887902E-008
 3.9800000E+002, 9.6240601E+002, 4.1887902E-008
 3.9900000E+002, 9.6406061E+002, 4.1887902E-008
 4.0000000E+002, 9.6573802E+002, 4.1887902E-008
 4.0100000E+002, 9.6739435E+002, 4.1887902E-008
 4.0200000E+002, 9.6907003E+002, 4.1887902E-008
 4.0300000E+002, 9.7072924E+002, 4.1887902E-008
 4.0400000E+002, 9.7240204E+002, 4.1887902E-008
 4.0500000E+002, 9.7406607E+002, 4.1887902E-008
 4.0600000E+002, 9.7573407E+002, 4.1887902E-008
 4.0700000E+002, 9.7740145E+002, 4.1887902E-008
 4.0800000E+002, 9.7906612E+002, 4.1887902E-008
 4.0900000E+002, 9.8073442E+002, 4.1887902E-008
 4.1000000E+002, 9.8239820E+002, 4.1887902E-008
 4.1100000E+002, 9.8406803E+002, 4.1887902E-008
 4.1200000E+002, 9.8573034E+002, 4.1887902E-008
 4.1300000E+002, 9.8740272E+002, 4.1887902E-008
 4.1400000E+002, 9.8906256E+002, 4.1887902E-008
 4.1500000E+002, 9.9073920E+002, 4.1887902E-008
 4.1600000E+002, 9.9239494E+002, 4.1887902E-008
 4.1700000E+002, 9.9407401E+002, 4.1887902E-008
 4.1800000E+002, 9.9572756E+002, 4.1887902E-008
 4.1900000E+002, 9.9740601E+002, 4.1887902E-008
 4.2000000E+002, 9.9906061E+002, 4.1887902E-008
