Time, Height, T_lower, T_upper
6060.010200, 1.338225, 52.543739, 148.921277
6080.016300, 1.296889, 52.326114, 147.471964
6100.005800, 1.300137, 52.444908, 147.444117
6120.002300, 1.360360, 54.143273, 149.689776
6140.003200, 1.322115, 52.961469, 148.266727
6160.017000, 1.334492, 53.278866, 148.681333
6180.002300, 1.336381, 53.947564, 149.023831
6200.016400, 1.332316, 53.789689, 148.968571
6220.001000, 1.315448, 52.914369, 148.039162
6240.005400, 1.305847, 52.427750, 148.569981
6260.010000, 1.258274, 50.987896, 147.299516
6280.011600, 1.290510, 51.894129, 148.422728
6300.020600, 1.350779, 54.132979, 148.884420
6320.017200, 1.352655, 54.578872, 148.824525
6340.011700, 1.368217, 55.432017, 150.765756
6360.020900, 1.384756, 56.337590, 152.228384
6380.006200, 1.344718, 54.268169, 149.405592
6400.007600, 1.317898, 52.911017, 148.783691
6420.016000, 1.349124, 54.441105, 150.568608
6440.000500, 1.337452, 54.186297, 149.965243
6460.013200, 1.346663, 54.887930, 151.207621
6480.007400, 1.310208, 52.169601, 149.377485
6500.016300, 1.337633, 54.358288, 149.074313
6520.003900, 1.338094, 53.929394, 151.418626
6540.002200, 1.311699, 52.947570, 150.531561
6560.009300, 1.332032, 54.016532, 150.349194
6580.006800, 1.314350, 51.798532, 149.777753
6600.002900, 1.309037, 52.375080, 149.184703
6620.009800, 1.299444, 52.008975, 149.266079
6640.009500, 1.313198, 53.620236, 149.755963
6660.003000, 1.301623, 52.494297, 149.208485
6680.001600, 1.361156, 54.159106, 152.053083
6700.010300, 1.330083, 54.070205, 149.912708
6720.003600, 1.284792, 52.348877, 149.418267
6740.005400, 1.276684, 50.927976, 148.599342
6760.004000, 1.285939, 51.666691, 149.058093
6780.021000, 1.259263, 50.550053, 149.659859
6800.018800, 1.299470, 51.749679, 149.927059
6820.005200, 1.343842, 54.373171, 150.984526
6840.004800, 1.379445, 55.866942, 151.777704
6860.008800, 1.386438, 55.964628, 152.845454
6880.000800, 1.356281, 55.564257, 151.516453
6900.007600, 1.392128, 55.392171, 151.904012
6920.020600, 1.323020, 53.766828, 150.523506
6940.013200, 1.321337, 53.010020, 151.685890
6960.015800, 1.361782, 55.157158, 152.091477
6980.015800, 1.354724, 55.560811, 151.401612
7000.019000, 1.319402, 52.695610, 150.509565
7020.017800, 1.338819, 53.211332, 150.920375
7040.016000, 1.334576, 54.413108, 150.404958
7060.007400, 1.312437, 53.692696, 150.260904
7080.003600, 1.304818, 52.890681, 150.164730
7100.012200, 1.326426, 53.669689, 151.505876
7120.019300, 1.284435, 52.077924, 150.599803
7140.016900, 1.346246, 54.890405, 151.420194
7160.017900, 1.341673, 54.801527, 151.084467
7180.009400, 1.354166, 54.791266, 150.798161
7200.012300, 1.313676, 53.597074, 150.375847
7220.081600, 1.360898, 53.498358, 150.028632
7240.017500, 1.382101, 52.381962, 144.891811
7260.117800, 1.448253, 53.104906, 142.846729
7280.093700, 1.505683, 53.224165, 140.309963
7300.105200, 1.471824, 51.357291, 136.389608
7320.116300, 1.450758, 48.955584, 130.846300
7340.093700, 1.427113, 48.454702, 126.790518
7360.088100, 1.427275, 46.895049, 123.078223
7380.102100, 1.478694, 48.068951, 121.644172
7400.036600, 1.488807, 47.905515, 119.571046
7420.095600, 1.517862, 47.771550, 117.361365
7440.084400, 1.483749, 46.989153, 115.181025
7460.100100, 1.529549, 47.789729, 113.485570
7480.129900, 1.555069, 48.104201, 112.107634
7500.000000, 1.503326, 46.447075, 109.035464
