s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,
 3.601E+01, 2.015E+01, 2.020E+01, 2.035E+01, 2.054E+01, 2.167E+01, 2.167E+01, 2.167E+01, 2.167E+01, 2.177E+01, 2.177E+01, 2.160E+01, 2.121E+01, 2.059E+01, 2.027E+01, 2.012E+01, 2.079E+01, 2.215E+01, 2.215E+01, 2.215E+01, 2.215E+01, 2.298E+01, 2.298E+01, 2.256E+01, 2.167E+01, 2.096E+01, 2.052E+01, 2.012E+01, 2.347E+01, 2.377E+01, 2.377E+01, 2.377E+01, 2.377E+01, 2.365E+01, 2.365E+01, 2.366E+01, 2.343E+01, 2.286E+01, 2.244E+01, 2.142E+01, 2.431E+01, 2.487E+01, 2.487E+01, 2.487E+01, 2.487E+01, 2.477E+01, 2.477E+01, 2.412E+01, 2.333E+01, 2.264E+01, 2.233E+01, 2.033E+01, 2.818E-01, 2.818E-01, 2.052E-01, 1.735E-01, 1.991E-01, 1.991E-01, 1.967E-01, 1.529E-01, 0.000E+00
 4.000E+01, 2.028E+01, 2.033E+01, 2.061E+01, 2.089E+01, 2.265E+01, 2.265E+01, 2.265E+01, 2.265E+01, 2.318E+01, 2.318E+01, 2.295E+01, 2.223E+01, 2.108E+01, 2.045E+01, 2.014E+01, 2.159E+01, 2.312E+01, 2.312E+01, 2.312E+01, 2.312E+01, 2.400E+01, 2.400E+01, 2.376E+01, 2.287E+01, 2.177E+01, 2.085E+01, 2.014E+01, 2.518E+01, 2.557E+01, 2.557E+01, 2.557E+01, 2.557E+01, 2.587E+01, 2.587E+01, 2.599E+01, 2.437E+01, 2.266E+01, 2.190E+01, 2.097E+01, 2.598E+01, 2.652E+01, 2.652E+01, 2.652E+01, 2.652E+01, 2.641E+01, 2.641E+01, 2.528E+01, 2.385E+01, 2.246E+01, 2.161E+01, 2.025E+01, 2.676E-01, 2.676E-01, 2.772E-01, 2.193E-01, 2.402E-01, 2.402E-01, 3.008E-01, 2.935E-01, 0.000E+00
 4.401E+01, 2.048E+01, 2.050E+01, 2.101E+01, 2.132E+01, 2.420E+01, 2.420E+01, 2.420E+01, 2.420E+01, 2.506E+01, 2.506E+01, 2.444E+01, 2.328E+01, 2.151E+01, 2.063E+01, 2.016E+01, 2.326E+01, 2.415E+01, 2.415E+01, 2.415E+01, 2.415E+01, 2.549E+01, 2.549E+01, 2.590E+01, 2.491E+01, 2.358E+01, 2.209E+01, 2.016E+01, 2.741E+01, 2.785E+01, 2.785E+01, 2.785E+01, 2.785E+01, 2.771E+01, 2.771E+01, 2.715E+01, 2.486E+01, 2.236E+01, 2.133E+01, 2.066E+01, 2.770E+01, 2.842E+01, 2.842E+01, 2.842E+01, 2.842E+01, 2.839E+01, 2.839E+01, 2.655E+01, 2.431E+01, 2.222E+01, 2.119E+01, 2.023E+01, 3.357E-01, 3.357E-01, 2.612E-01, 2.151E-01, 2.479E-01, 2.479E-01, 2.414E-01, 2.181E-01, 0.000E+00
 4.800E+01, 2.081E+01, 2.080E+01, 2.139E+01, 2.185E+01, 2.638E+01, 2.638E+01, 2.638E+01, 2.638E+01, 2.639E+01, 2.639E+01, 2.514E+01, 2.371E+01, 2.183E+01, 2.076E+01, 2.019E+01, 2.591E+01, 2.659E+01, 2.659E+01, 2.659E+01, 2.659E+01, 2.769E+01, 2.769E+01, 2.772E+01, 2.584E+01, 2.362E+01, 2.191E+01, 2.018E+01, 2.894E+01, 2.942E+01, 2.942E+01, 2.942E+01, 2.942E+01, 2.959E+01, 2.959E+01, 2.930E+01, 2.763E+01, 2.427E+01, 2.129E+01, 2.050E+01, 2.953E+01, 3.024E+01, 3.024E+01, 3.024E+01, 3.024E+01, 3.034E+01, 3.034E+01, 2.824E+01, 2.507E+01, 2.215E+01, 2.093E+01, 2.022E+01, 2.924E-01, 2.924E-01, 2.081E-01, 1.527E-01, 2.779E-01, 2.779E-01, 2.518E-01, 2.193E-01, 0.000E+00
 5.202E+01, 2.109E+01, 2.123E+01, 2.184E+01, 2.241E+01, 2.777E+01, 2.777E+01, 2.777E+01, 2.777E+01, 2.806E+01, 2.806E+01, 2.696E+01, 2.554E+01, 2.374E+01, 2.223E+01, 2.026E+01, 2.832E+01, 2.940E+01, 2.940E+01, 2.940E+01, 2.940E+01, 3.018E+01, 3.018E+01, 2.935E+01, 2.699E+01, 2.406E+01, 2.205E+01, 2.021E+01, 3.048E+01, 3.110E+01, 3.110E+01, 3.110E+01, 3.110E+01, 3.119E+01, 3.119E+01, 3.086E+01, 2.923E+01, 2.538E+01, 2.130E+01, 2.041E+01, 3.117E+01, 3.204E+01, 3.204E+01, 3.204E+01, 3.204E+01, 3.262E+01, 3.262E+01, 3.058E+01, 2.630E+01, 2.313E+01, 2.126E+01, 2.023E+01, 2.250E-01, 2.250E-01, 2.589E-01, 2.060E-01, 2.088E-01, 2.088E-01, 2.185E-01, 1.637E-01, 0.000E+00
 5.601E+01, 2.140E+01, 2.157E+01, 2.228E+01, 2.297E+01, 2.902E+01, 2.902E+01, 2.902E+01, 2.902E+01, 2.901E+01, 2.901E+01, 2.773E+01, 2.632E+01, 2.473E+01, 2.327E+01, 2.037E+01, 2.946E+01, 3.048E+01, 3.048E+01, 3.048E+01, 3.048E+01, 3.128E+01, 3.128E+01, 3.076E+01, 2.802E+01, 2.408E+01, 2.213E+01, 2.024E+01, 3.157E+01, 3.221E+01, 3.221E+01, 3.221E+01, 3.221E+01, 3.280E+01, 3.280E+01, 3.249E+01, 2.983E+01, 2.526E+01, 2.144E+01, 2.036E+01, 3.252E+01, 3.336E+01, 3.336E+01, 3.336E+01, 3.336E+01, 3.403E+01, 3.403E+01, 3.211E+01, 2.785E+01, 2.426E+01, 2.222E+01, 2.028E+01, 2.000E-01, 2.000E-01, 1.474E-01, 7.899E-02, 1.871E-01, 1.871E-01, 2.372E-01, 2.436E-01, 0.000E+00
 6.001E+01, 2.167E+01, 2.191E+01, 2.278E+01, 2.363E+01, 2.937E+01, 2.937E+01, 2.937E+01, 2.937E+01, 2.911E+01, 2.911E+01, 2.789E+01, 2.671E+01, 2.522E+01, 2.377E+01, 2.055E+01, 3.060E+01, 3.147E+01, 3.147E+01, 3.147E+01, 3.147E+01, 3.209E+01, 3.209E+01, 3.186E+01, 2.954E+01, 2.553E+01, 2.355E+01, 2.057E+01, 3.289E+01, 3.373E+01, 3.373E+01, 3.373E+01, 3.373E+01, 3.472E+01, 3.472E+01, 3.429E+01, 3.096E+01, 2.585E+01, 2.225E+01, 2.039E+01, 3.417E+01, 3.512E+01, 3.512E+01, 3.512E+01, 3.512E+01, 3.580E+01, 3.580E+01, 3.430E+01, 3.054E+01, 2.675E+01, 2.412E+01, 2.052E+01, 1.785E-01, 1.785E-01, 1.273E-01, 9.405E-02, 1.984E-01, 1.984E-01, 1.871E-01, 1.616E-01, 0.000E+00
 6.401E+01, 2.195E+01, 2.227E+01, 2.338E+01, 2.423E+01, 2.986E+01, 2.986E+01, 2.986E+01, 2.986E+01, 2.992E+01, 2.992E+01, 2.924E+01, 2.828E+01, 2.685E+01, 2.523E+01, 2.145E+01, 3.140E+01, 3.197E+01, 3.197E+01, 3.197E+01, 3.197E+01, 3.234E+01, 3.234E+01, 3.176E+01, 2.971E+01, 2.663E+01, 2.491E+01, 2.144E+01, 3.430E+01, 3.513E+01, 3.513E+01, 3.513E+01, 3.513E+01, 3.590E+01, 3.590E+01, 3.554E+01, 3.315E+01, 2.854E+01, 2.423E+01, 2.103E+01, 3.508E+01, 3.594E+01, 3.594E+01, 3.594E+01, 3.594E+01, 3.689E+01, 3.689E+01, 3.534E+01, 3.128E+01, 2.739E+01, 2.475E+01, 2.093E+01, 2.503E-01, 2.503E-01, 2.102E-01, 1.955E-01, 1.972E-01, 1.972E-01, 2.009E-01, 1.683E-01, 0.000E+00
 6.801E+01, 2.240E+01, 2.261E+01, 2.402E+01, 2.484E+01, 3.188E+01, 3.188E+01, 3.188E+01, 3.188E+01, 3.192E+01, 3.192E+01, 3.087E+01, 2.982E+01, 2.847E+01, 2.696E+01, 2.222E+01, 3.144E+01, 3.220E+01, 3.220E+01, 3.220E+01, 3.220E+01, 3.282E+01, 3.282E+01, 3.265E+01, 3.116E+01, 2.821E+01, 2.615E+01, 2.201E+01, 3.544E+01, 3.637E+01, 3.637E+01, 3.637E+01, 3.637E+01, 3.660E+01, 3.660E+01, 3.569E+01, 3.353E+01, 2.975E+01, 2.559E+01, 2.163E+01, 3.594E+01, 3.677E+01, 3.677E+01, 3.677E+01, 3.677E+01, 3.775E+01, 3.775E+01, 3.666E+01, 3.335E+01, 2.959E+01, 2.677E+01, 2.189E+01, 2.899E-01, 2.899E-01, 1.822E-01, 9.256E-02, 2.761E-01, 2.761E-01, 2.628E-01, 2.077E-01, 0.000E+00
 7.201E+01, 2.280E+01, 2.314E+01, 2.471E+01, 2.552E+01, 3.282E+01, 3.282E+01, 3.282E+01, 3.282E+01, 3.277E+01, 3.277E+01, 3.187E+01, 3.055E+01, 2.939E+01, 2.788E+01, 2.271E+01, 3.321E+01, 3.440E+01, 3.440E+01, 3.440E+01, 3.440E+01, 3.514E+01, 3.514E+01, 3.434E+01, 3.211E+01, 2.901E+01, 2.709E+01, 2.220E+01, 3.674E+01, 3.789E+01, 3.789E+01, 3.789E+01, 3.789E+01, 3.860E+01, 3.860E+01, 3.764E+01, 3.527E+01, 3.094E+01, 2.657E+01, 2.267E+01, 3.703E+01, 3.777E+01, 3.777E+01, 3.777E+01, 3.777E+01, 3.842E+01, 3.842E+01, 3.726E+01, 3.434E+01, 3.063E+01, 2.781E+01, 2.265E+01, 1.988E-01, 1.988E-01, 1.640E-01, 1.731E-01, 2.762E-01, 2.762E-01, 2.143E-01, 1.761E-01, 0.000E+00
 7.601E+01, 2.319E+01, 2.368E+01, 2.548E+01, 2.637E+01, 3.391E+01, 3.391E+01, 3.391E+01, 3.391E+01, 3.436E+01, 3.436E+01, 3.407E+01, 3.284E+01, 3.139E+01, 2.956E+01, 2.302E+01, 3.460E+01, 3.589E+01, 3.589E+01, 3.589E+01, 3.589E+01, 3.717E+01, 3.717E+01, 3.565E+01, 3.285E+01, 2.955E+01, 2.752E+01, 2.251E+01, 3.863E+01, 3.998E+01, 3.998E+01, 3.998E+01, 3.998E+01, 4.071E+01, 4.071E+01, 3.986E+01, 3.663E+01, 3.183E+01, 2.786E+01, 2.342E+01, 3.850E+01, 3.966E+01, 3.966E+01, 3.966E+01, 3.966E+01, 4.056E+01, 4.056E+01, 3.909E+01, 3.570E+01, 3.115E+01, 2.848E+01, 2.327E+01, 2.210E-01, 2.210E-01, 1.817E-01, 2.023E-01, 2.535E-01, 2.535E-01, 2.687E-01, 2.328E-01, 0.000E+00
 8.000E+01, 2.364E+01, 2.428E+01, 2.632E+01, 2.719E+01, 3.542E+01, 3.542E+01, 3.542E+01, 3.542E+01, 3.586E+01, 3.586E+01, 3.555E+01, 3.404E+01, 3.222E+01, 3.060E+01, 2.397E+01, 3.689E+01, 3.799E+01, 3.799E+01, 3.799E+01, 3.799E+01, 3.888E+01, 3.888E+01, 3.741E+01, 3.426E+01, 3.115E+01, 2.883E+01, 2.285E+01, 4.044E+01, 4.188E+01, 4.188E+01, 4.188E+01, 4.188E+01, 4.283E+01, 4.283E+01, 4.162E+01, 3.803E+01, 3.299E+01, 2.931E+01, 2.398E+01, 3.997E+01, 4.126E+01, 4.126E+01, 4.126E+01, 4.126E+01, 4.256E+01, 4.256E+01, 4.045E+01, 3.589E+01, 3.160E+01, 2.896E+01, 2.392E+01, 1.245E-01, 1.245E-01, 1.739E-01, 1.236E-01, 2.553E-01, 2.553E-01, 2.042E-01, 1.906E-01, 0.000E+00
 8.401E+01, 2.394E+01, 2.479E+01, 2.714E+01, 2.797E+01, 3.575E+01, 3.575E+01, 3.575E+01, 3.575E+01, 3.684E+01, 3.684E+01, 3.655E+01, 3.477E+01, 3.272E+01, 3.129E+01, 2.470E+01, 3.753E+01, 3.881E+01, 3.881E+01, 3.881E+01, 3.881E+01, 4.031E+01, 4.031E+01, 3.945E+01, 3.614E+01, 3.298E+01, 3.060E+01, 2.433E+01, 4.139E+01, 4.308E+01, 4.308E+01, 4.308E+01, 4.308E+01, 4.430E+01, 4.430E+01, 4.258E+01, 3.913E+01, 3.452E+01, 3.082E+01, 2.482E+01, 4.172E+01, 4.289E+01, 4.289E+01, 4.289E+01, 4.289E+01, 4.437E+01, 4.437E+01, 4.356E+01, 3.875E+01, 3.344E+01, 3.032E+01, 2.448E+01, 1.409E-01, 1.409E-01, 1.609E-01, 1.704E-01, 1.680E-01, 1.680E-01, 2.146E-01, 1.716E-01, 0.000E+00
 8.801E+01, 2.436E+01, 2.537E+01, 2.784E+01, 2.885E+01, 3.713E+01, 3.713E+01, 3.713E+01, 3.713E+01, 3.812E+01, 3.812E+01, 3.777E+01, 3.616E+01, 3.403E+01, 3.265E+01, 2.654E+01, 3.959E+01, 4.040E+01, 4.040E+01, 4.040E+01, 4.040E+01, 4.162E+01, 4.162E+01, 4.023E+01, 3.637E+01, 3.346E+01, 3.148E+01, 2.606E+01, 4.196E+01, 4.355E+01, 4.355E+01, 4.355E+01, 4.355E+01, 4.541E+01, 4.541E+01, 4.387E+01, 3.975E+01, 3.625E+01, 3.312E+01, 2.585E+01, 4.355E+01, 4.463E+01, 4.463E+01, 4.463E+01, 4.463E+01, 4.583E+01, 4.583E+01, 4.460E+01, 3.980E+01, 3.476E+01, 3.199E+01, 2.546E+01, 2.034E-01, 2.034E-01, 2.430E-01, 1.587E-01, 2.702E-01, 2.702E-01, 2.398E-01, 2.099E-01, 0.000E+00
 9.201E+01, 2.494E+01, 2.608E+01, 2.865E+01, 2.968E+01, 3.929E+01, 3.929E+01, 3.929E+01, 3.929E+01, 4.041E+01, 4.041E+01, 3.979E+01, 3.791E+01, 3.538E+01, 3.427E+01, 2.789E+01, 4.058E+01, 4.201E+01, 4.201E+01, 4.201E+01, 4.201E+01, 4.348E+01, 4.348E+01, 4.294E+01, 3.983E+01, 3.625E+01, 3.289E+01, 2.799E+01, 4.349E+01, 4.507E+01, 4.507E+01, 4.507E+01, 4.507E+01, 4.656E+01, 4.656E+01, 4.481E+01, 4.051E+01, 3.679E+01, 3.396E+01, 2.659E+01, 4.523E+01, 4.623E+01, 4.623E+01, 4.623E+01, 4.623E+01, 4.727E+01, 4.727E+01, 4.602E+01, 4.214E+01, 3.739E+01, 3.400E+01, 2.641E+01, 1.812E-01, 1.812E-01, 2.379E-01, 2.220E-01, 2.990E-01, 2.990E-01, 3.437E-01, 3.053E-01, 0.000E+00
 9.600E+01, 2.536E+01, 2.675E+01, 2.965E+01, 3.086E+01, 4.053E+01, 4.053E+01, 4.053E+01, 4.053E+01, 4.168E+01, 4.168E+01, 4.137E+01, 3.983E+01, 3.711E+01, 3.535E+01, 2.925E+01, 4.149E+01, 4.301E+01, 4.301E+01, 4.301E+01, 4.301E+01, 4.471E+01, 4.471E+01, 4.452E+01, 4.127E+01, 3.732E+01, 3.368E+01, 2.918E+01, 4.564E+01, 4.760E+01, 4.760E+01, 4.760E+01, 4.760E+01, 4.854E+01, 4.854E+01, 4.640E+01, 4.231E+01, 3.862E+01, 3.444E+01, 2.719E+01, 4.796E+01, 4.902E+01, 4.902E+01, 4.902E+01, 4.902E+01, 4.975E+01, 4.975E+01, 4.722E+01, 4.250E+01, 3.775E+01, 3.406E+01, 2.691E+01, 2.070E-01, 2.070E-01, 2.258E-01, 2.215E-01, 2.537E-01, 2.537E-01, 1.938E-01, 1.399E-01, 0.000E+00
 1.000E+02, 2.608E+01, 2.753E+01, 3.055E+01, 3.176E+01, 4.279E+01, 4.279E+01, 4.279E+01, 4.279E+01, 4.348E+01, 4.348E+01, 4.255E+01, 4.092E+01, 3.856E+01, 3.663E+01, 3.044E+01, 4.391E+01, 4.508E+01, 4.508E+01, 4.508E+01, 4.508E+01, 4.584E+01, 4.584E+01, 4.475E+01, 4.143E+01, 3.736E+01, 3.438E+01, 2.987E+01, 4.693E+01, 4.855E+01, 4.855E+01, 4.855E+01, 4.855E+01, 4.912E+01, 4.912E+01, 4.697E+01, 4.318E+01, 3.945E+01, 3.574E+01, 2.861E+01, 4.872E+01, 4.968E+01, 4.968E+01, 4.968E+01, 4.968E+01, 5.100E+01, 5.100E+01, 4.989E+01, 4.612E+01, 4.127E+01, 3.596E+01, 2.760E+01, 2.459E-01, 2.459E-01, 2.972E-01, 1.855E-01, 3.039E-01, 3.039E-01, 2.216E-01, 1.518E-01, 0.000E+00
 1.040E+02, 2.684E+01, 2.836E+01, 3.156E+01, 3.278E+01, 4.481E+01, 4.481E+01, 4.481E+01, 4.481E+01, 4.535E+01, 4.535E+01, 4.336E+01, 4.147E+01, 3.902E+01, 3.720E+01, 3.169E+01, 4.593E+01, 4.691E+01, 4.691E+01, 4.691E+01, 4.691E+01, 4.778E+01, 4.778E+01, 4.617E+01, 4.241E+01, 3.822E+01, 3.561E+01, 3.114E+01, 4.860E+01, 5.029E+01, 5.029E+01, 5.029E+01, 5.029E+01, 5.149E+01, 5.149E+01, 4.959E+01, 4.585E+01, 4.119E+01, 3.601E+01, 2.883E+01, 4.961E+01, 5.088E+01, 5.088E+01, 5.088E+01, 5.088E+01, 5.221E+01, 5.221E+01, 5.013E+01, 4.612E+01, 4.232E+01, 3.738E+01, 2.822E+01, 3.313E-01, 3.313E-01, 2.372E-01, 1.740E-01, 2.882E-01, 2.882E-01, 2.893E-01, 2.660E-01, 0.000E+00
