m,m/s,m/s,m,m/s,m/s
 1.0606061E+000, 1.3041025E-002,-4.8270092E-002, 2.2181119E+000, 8.2189816E-003, 3.8096056E-001
 1.0909091E+000, 1.0954955E-002,-4.0155513E-002, 2.2806294E+000, 8.3505921E-003, 3.8056323E-001
 1.1212121E+000, 1.0954955E-002,-4.0155513E-002, 2.3431469E+000, 8.4745920E-003, 3.8008751E-001
 1.1515152E+000, 1.0954955E-002,-4.0155513E-002, 2.4056643E+000, 8.5740423E-003, 3.7956067E-001
 1.1818182E+000, 1.0954955E-002,-4.0155513E-002, 2.4681818E+000, 8.6734349E-003, 3.7895736E-001
 1.2121212E+000, 1.1130010E-002,-3.2329680E-002, 2.5306993E+000, 8.7681260E-003, 3.7829646E-001
 1.2424242E+000, 1.1130010E-002,-3.2329680E-002, 2.5932168E+000, 8.8694269E-003, 3.7756500E-001
 1.2727273E+000, 1.1130010E-002,-3.2329680E-002, 2.6557343E+000, 8.9781564E-003, 3.7676779E-001
 1.3030303E+000, 1.0882223E-002,-2.3122008E-002, 2.7182517E+000, 9.1059714E-003, 3.7587717E-001
 1.3333333E+000, 1.0882223E-002,-2.3122008E-002, 2.7807692E+000, 9.2839213E-003, 3.7491132E-001
 1.3636364E+000, 1.0882223E-002,-2.3122008E-002, 2.8432867E+000, 9.4538138E-003, 3.7383331E-001
 1.3939394E+000, 1.0882223E-002,-2.3122008E-002, 2.9058042E+000, 9.6596488E-003, 3.7263716E-001
 1.4242424E+000, 5.5919866E-003,-1.5967418E-002, 2.9683217E+000, 9.8632829E-003, 3.7130782E-001
 1.4545455E+000, 5.5919866E-003,-1.5967418E-002, 3.0308392E+000, 1.0111942E-002, 3.6986736E-001
 1.4848485E+000, 5.5919866E-003,-1.5967418E-002, 3.0933566E+000, 1.0275565E-002, 3.6825132E-001
 1.5151515E+000, 5.5919866E-003,-1.5967418E-002, 3.1558741E+000, 1.0462296E-002, 3.6649485E-001
 1.5454545E+000, 3.2308860E-003,-1.0417432E-002, 3.2183916E+000, 1.0597216E-002, 3.6455112E-001
 1.5757576E+000, 3.2308860E-003,-1.0417432E-002, 3.2809091E+000, 1.0781177E-002, 3.6240642E-001
 1.6060606E+000, 3.2308860E-003,-1.0417432E-002, 3.3434266E+000, 1.0896672E-002, 3.6014585E-001
 1.6363636E+000, 3.2308860E-003,-1.0417432E-002, 3.4059441E+000, 1.1060589E-002, 3.5760220E-001
 1.6666667E+000,-2.9624218E-003,-2.5037861E-003, 3.4684615E+000, 1.1173331E-002, 3.5467423E-001
 1.6969697E+000,-2.9624218E-003,-2.5037861E-003, 3.5309790E+000, 1.1391093E-002, 3.5141681E-001
 1.7272727E+000,-2.9624218E-003,-2.5037861E-003, 3.5934965E+000, 1.1568074E-002, 3.4761696E-001
 1.7575758E+000,-6.9561007E-003, 3.3916844E-003, 3.6560140E+000, 1.1819383E-002, 3.4318768E-001
 1.7878788E+000,-6.9561007E-003, 3.3916844E-003, 3.7185315E+000, 1.2081660E-002, 3.3836413E-001
 1.8181818E+000,-6.9561007E-003, 3.3916844E-003, 3.7810490E+000, 1.2417873E-002, 3.3357706E-001
 1.8484848E+000,-6.9561007E-003, 3.3916844E-003, 3.8435664E+000, 1.2757983E-002, 3.2881290E-001
 1.8787879E+000,-1.0865596E-002, 1.3100627E-002, 3.9060839E+000, 1.3186362E-002, 3.2401898E-001
 1.9090909E+000,-1.0865596E-002, 1.3100627E-002, 3.9686014E+000, 1.3613584E-002, 3.1919317E-001
 1.9393939E+000,-1.0865596E-002, 1.3100627E-002, 4.0311189E+000, 1.4054587E-002, 3.1448360E-001
 1.9696970E+000,-1.2202230E-002, 1.8277047E-002, 4.0936364E+000, 1.4548880E-002, 3.0982424E-001
 2.0000000E+000,-1.2202230E-002, 1.8277047E-002, 4.1561538E+000, 1.4831694E-002, 3.0543516E-001
 2.0303030E+000,-1.2202230E-002, 1.8277047E-002, 4.2186713E+000, 1.5227997E-002, 3.0117973E-001
 2.0606061E+000,-1.4407286E-002, 2.4940037E-002, 4.2811888E+000, 1.5149829E-002, 2.9695641E-001
 2.0909091E+000,-1.4407286E-002, 2.4940037E-002, 4.3437063E+000, 1.5032116E-002, 2.9284880E-001
 2.1212121E+000,-1.4407286E-002, 2.4940037E-002, 4.4062238E+000, 1.4049174E-002, 2.8884287E-001
 2.1515152E+000,-1.4407286E-002, 2.4940037E-002, 4.4687413E+000, 1.3407129E-002, 2.8498542E-001
 2.1818182E+000,-1.7025262E-002, 3.6215551E-002, 4.5312587E+000, 1.1385533E-002, 2.7738735E-001
 2.2121212E+000,-1.7025262E-002, 3.6215551E-002, 4.5937762E+000, 1.0839110E-002, 2.7387769E-001
 2.2424242E+000,-1.7025262E-002, 3.6215551E-002, 4.6562937E+000, 9.4677113E-003, 2.7060099E-001
 2.2727273E+000,-2.1115486E-002, 4.8773484E-002, 4.7188112E+000, 7.7999930E-003, 2.6744220E-001
 2.3030303E+000,-2.1115486E-002, 4.8773484E-002, 4.7813287E+000, 6.8555484E-003, 2.6460147E-001
 2.3333333E+000,-2.4555002E-002, 6.7956448E-002, 4.8438462E+000, 6.9799960E-003, 2.6221464E-001
 2.3636364E+000,-2.4555002E-002, 6.7956448E-002, 4.9063636E+000, 4.7873747E-003, 2.6047222E-001
 2.3939394E+000,-2.4555002E-002, 6.7956448E-002, 4.9688811E+000,-3.4698223E-004, 2.5935048E-001
 2.4242424E+000,-1.9864044E-002, 9.3839714E-002, 5.0313986E+000,-4.8901457E-003, 2.5841398E-001
 2.4545455E+000,-1.9864044E-002, 9.3839714E-002, 5.0939161E+000,-7.8782916E-003, 2.5763290E-001
 2.4848485E+000,-1.2969693E-002, 1.2348623E-001, 5.1564336E+000,-1.0808479E-002, 2.5674779E-001
 2.5151515E+000,-1.2969693E-002, 1.2348623E-001, 5.2189510E+000,-1.4751300E-002, 2.5584374E-001
 2.5454545E+000,-6.1837555E-003, 1.4807487E-001, 5.2814685E+000,-2.0014497E-002, 2.5470080E-001
 2.5757576E+000,-6.1837555E-003, 1.4807487E-001, 5.3439860E+000,-2.5717880E-002, 2.5357726E-001
 2.6060606E+000, 1.0535502E-002, 1.6671527E-001, 5.4065035E+000,-2.9569183E-002, 2.5240664E-001
 2.6363636E+000, 3.3157869E-002, 1.8496937E-001, 5.4690210E+000,-3.3532118E-002, 2.5102042E-001
 2.6666667E+000, 3.3157869E-002, 1.8496937E-001, 5.5315385E+000,-3.8744053E-002, 2.4909331E-001
 2.6969697E+000, 7.6256199E-002, 1.9803228E-001, 5.5940559E+000,-4.5537628E-002, 2.4740492E-001
 2.7272727E+000, 1.2797669E-001, 2.1276192E-001, 5.6565734E+000,-5.1729131E-002, 2.4593694E-001
 2.7575758E+000, 1.7879439E-001, 2.2437425E-001, 5.7190909E+000,-5.6890649E-002, 2.4479867E-001
 2.7878788E+000, 2.2828400E-001, 2.3155819E-001, 5.7816084E+000,-6.2115576E-002, 2.4369603E-001
 2.8181818E+000, 2.7363392E-001, 2.3763617E-001, 5.8441259E+000,-6.6081895E-002, 2.4269636E-001
 2.8484848E+000, 3.1386590E-001, 2.4222624E-001, 5.9066434E+000,-7.0434100E-002, 2.4131414E-001
 2.8787879E+000, 3.4591086E-001, 2.4457251E-001, 5.9691608E+000,-7.3944431E-002, 2.3984355E-001
 2.9090909E+000, 3.6870628E-001, 2.4500125E-001, 6.0316783E+000,-7.6090367E-002, 2.3839063E-001
 2.9393939E+000, 3.4075399E-001, 2.3085633E-001, 6.0941958E+000,-7.9059662E-002, 2.3697661E-001
 2.9696970E+000, 2.2798296E-001, 2.0404379E-001, 6.1567133E+000,-8.1605499E-002, 2.3539562E-001
 2.9993750E+000, 2.2798296E-001, 2.0404379E-001, 6.2192308E+000,-8.3839621E-002, 2.3382968E-001
NaN,NaN,NaN, 6.2817483E+000,-8.6008631E-002, 2.3226639E-001
NaN,NaN,NaN, 6.3442657E+000,-8.8064294E-002, 2.3076308E-001
NaN,NaN,NaN, 6.4067832E+000,-8.9755235E-002, 2.2939726E-001
NaN,NaN,NaN, 6.4693007E+000,-9.1023302E-002, 2.2792830E-001
NaN,NaN,NaN, 6.5318182E+000,-9.2445004E-002, 2.2657194E-001
NaN,NaN,NaN, 6.5943357E+000,-9.3801220E-002, 2.2510203E-001
NaN,NaN,NaN, 6.6568531E+000,-9.5498985E-002, 2.2382657E-001
NaN,NaN,NaN, 6.7193706E+000,-9.7182859E-002, 2.2251586E-001
NaN,NaN,NaN, 6.7818881E+000,-9.8005058E-002, 2.2117908E-001
NaN,NaN,NaN, 6.8444056E+000,-9.8953569E-002, 2.1977360E-001
NaN,NaN,NaN, 6.9069231E+000,-9.9337860E-002, 2.1807652E-001
NaN,NaN,NaN, 6.9694406E+000,-9.9874192E-002, 2.1636710E-001
NaN,NaN,NaN, 7.0319580E+000,-9.9985768E-002, 2.1424377E-001
NaN,NaN,NaN, 7.0944755E+000,-1.0002190E-001, 2.1175420E-001
NaN,NaN,NaN, 7.1569930E+000,-9.9619371E-002, 2.0923809E-001
NaN,NaN,NaN, 7.2195105E+000,-9.9137916E-002, 2.0669894E-001
NaN,NaN,NaN, 7.2820280E+000,-9.8894941E-002, 2.0374993E-001
NaN,NaN,NaN, 7.3445455E+000,-9.8260840E-002, 2.0028888E-001
NaN,NaN,NaN, 7.4070629E+000,-9.7432157E-002, 1.9648746E-001
NaN,NaN,NaN, 7.4695804E+000,-9.6191146E-002, 1.9221604E-001
NaN,NaN,NaN, 7.5320979E+000,-9.4844265E-002, 1.8736848E-001
NaN,NaN,NaN, 7.5946154E+000,-9.3216535E-002, 1.8262508E-001
NaN,NaN,NaN, 7.6571329E+000,-9.1119594E-002, 1.7673712E-001
NaN,NaN,NaN, 7.7196503E+000,-8.8479747E-002, 1.7024914E-001
NaN,NaN,NaN, 7.7821678E+000,-8.5223265E-002, 1.6234305E-001
NaN,NaN,NaN, 7.8446853E+000,-8.1188964E-002, 1.5478602E-001
NaN,NaN,NaN, 7.9072028E+000,-7.6685855E-002, 1.4609029E-001
NaN,NaN,NaN, 7.9697203E+000,-7.2187324E-002, 1.3632272E-001
NaN,NaN,NaN, 8.0322378E+000,-6.7100752E-002, 1.2553768E-001
NaN,NaN,NaN, 8.0947552E+000,-6.0741804E-002, 1.1461270E-001
NaN,NaN,NaN, 8.1572727E+000,-5.3874917E-002, 1.0223724E-001
NaN,NaN,NaN, 8.2197902E+000,-4.6131939E-002, 8.5877277E-002
NaN,NaN,NaN, 8.2823077E+000,-3.7603750E-002, 7.0389053E-002
NaN,NaN,NaN, 8.3448252E+000,-2.5107540E-002, 5.7431921E-002
NaN,NaN,NaN, 8.4073427E+000,-1.1773254E-002, 4.4569922E-002
NaN,NaN,NaN, 8.4698601E+000, 9.7972109E-004, 3.1011529E-002
NaN,NaN,NaN, 8.5323776E+000, 2.2145883E-002, 8.4078932E-003
NaN,NaN,NaN, 8.5948951E+000, 2.7035985E-002,-1.7194176E-002
NaN,NaN,NaN, 8.6574126E+000, 6.2864248E-002,-3.7105568E-002
NaN,NaN,NaN, 8.7199301E+000, 7.3795023E-002,-4.6436581E-002
NaN,NaN,NaN, 8.7824476E+000, 1.0392394E-001,-4.6878709E-002
NaN,NaN,NaN, 8.8449650E+000, 1.4993098E-001,-3.4814001E-002
NaN,NaN,NaN, 8.9074825E+000, 1.6548292E-001,-2.0462550E-002
NaN,NaN,NaN, 8.9700000E+000, 2.4589302E-001, 7.8182673E-007
