m,C,m,C,m/s,m/s,m/s,m/s
 1.575E+00, 5.314E+02, 1.575E+00, 4.513E+02,-3.312E+00,-2.908E+00, 3.132E-02, 1.414E+00
 1.625E+00, 5.317E+02, 1.625E+00, 4.560E+02,-3.463E+00,-3.161E+00, 3.132E-02, 1.300E+00
 1.675E+00, 5.323E+02, 1.675E+00, 4.622E+02,-3.666E+00,-3.453E+00,-4.896E-02, 1.164E+00
 1.725E+00, 5.326E+02, 1.725E+00, 4.729E+02,-3.990E+00,-3.859E+00,-7.277E-02, 9.889E-01
 1.775E+00, 5.339E+02, 1.775E+00, 4.933E+02,-4.531E+00,-4.454E+00,-7.277E-02, 7.789E-01
 1.825E+00, 5.354E+02, 1.825E+00, 5.229E+02,-5.172E+00,-5.106E+00,-6.766E-02, 5.714E-01
 1.875E+00, 5.381E+02, 1.875E+00, 5.418E+02,-4.409E+00,-4.366E+00,-2.155E-02, 3.234E-01
 1.925E+00, 5.404E+02, 1.925E+00, 5.300E+02,-1.236E-01,-2.915E-01,-2.155E-02, 3.234E-01
 1.975E+00, 5.433E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 5.470E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 5.509E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 5.570E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 5.643E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 5.740E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 5.869E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 6.023E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 6.136E+02,NaN,NaN,NaN,NaN,NaN,NaN
