s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 2.7000116E+002, 5.1338344E+001, 6.3834162E+001, 7.5549273E+001, 9.2066888E+001, 1.1221722E+002, 1.1729811E+002, 1.1902275E+002, 1.2114969E+002, 1.2223142E+002, 1.2266393E+002, 5.0782401E+001, 6.5241757E+001, 7.4785769E+001, 9.1453422E+001, 9.6626151E+001, 1.0382103E+002, 1.1182789E+002, 1.1571415E+002, 1.2251760E+002, 1.2707747E+002, 5.8794533E+001, 6.8105563E+001, 7.9371895E+001, 8.9217418E+001, 9.8176441E+001, 1.0536924E+002, 1.1362431E+002, 1.2007005E+002, 2.5000000E+001, 1.3350807E+002, 3.3000997E+002, 1.6473955E+002
 3.0000352E+002, 5.2382028E+001, 6.7725222E+001, 8.2644081E+001, 9.5174426E+001, 1.1559907E+002, 1.2547561E+002, 1.2722501E+002, 1.2899034E+002, 1.2960173E+002, 1.2921614E+002, 5.2689011E+001, 6.9144440E+001, 8.1448209E+001, 9.5730769E+001, 1.0081503E+002, 1.1190177E+002, 1.1774692E+002, 1.2144884E+002, 1.2911824E+002, 1.3288781E+002, 6.0660967E+001, 7.5420441E+001, 8.4156584E+001, 9.6027441E+001, 1.0361944E+002, 1.1069510E+002, 1.1752940E+002, 1.2725288E+002, 2.5000000E+001, 1.3796033E+002, 2.8806783E+002, 1.6304354E+002
 3.3000195E+002, 5.1226067E+001, 7.3039510E+001, 8.7360686E+001, 1.0036052E+002, 1.2169199E+002, 1.2598737E+002, 1.2774623E+002, 1.2967241E+002, 1.3029074E+002, 1.3009615E+002, 5.3026210E+001, 7.3476571E+001, 8.6912391E+001, 9.9114088E+001, 1.0541733E+002, 1.1468008E+002, 1.2043180E+002, 1.2425156E+002, 1.2972402E+002, 1.3382304E+002, 5.9412786E+001, 7.8341770E+001, 8.7695646E+001, 1.0029839E+002, 1.0741135E+002, 1.1317613E+002, 1.1946288E+002, 1.2901514E+002, 2.5000000E+001, 1.3953871E+002, 2.9961125E+002, 1.6175575E+002
 3.6001004E+002, 4.9795464E+001, 7.1937948E+001, 8.6387324E+001, 9.9689569E+001, 1.1786633E+002, 1.2352435E+002, 1.2466936E+002, 1.2506828E+002, 1.2518403E+002, 1.2515822E+002, 4.8937117E+001, 7.2244258E+001, 8.5481309E+001, 1.0108831E+002, 1.0679996E+002, 1.1235695E+002, 1.1901563E+002, 1.2137114E+002, 1.2401814E+002, 1.2635851E+002, 5.1823893E+001, 7.4462972E+001, 8.7464178E+001, 1.0019047E+002, 1.0619200E+002, 1.1317990E+002, 1.1825799E+002, 1.2139691E+002, 2.5000000E+001, 1.2740923E+002, 1.4733861E+002, 1.2743926E+002
 3.9000512E+002, 3.9770057E+001, 5.3767501E+001, 7.6365627E+001, 9.1907348E+001, 9.9902143E+001, 1.0847428E+002, 1.1036595E+002, 1.1197366E+002, 1.1165715E+002, 1.1173027E+002, 4.0847920E+001, 5.5885272E+001, 7.6681369E+001, 9.1408505E+001, 1.0035929E+002, 1.0566016E+002, 1.1017878E+002, 1.1177942E+002, 1.1200644E+002, 1.1232476E+002, 4.1007518E+001, 5.4272014E+001, 7.7176992E+001, 9.0566355E+001, 9.9710919E+001, 1.0673851E+002, 1.1008289E+002, 1.0978414E+002, 2.5000000E+001, 1.1069691E+002, 8.4581733E+001, 1.0917937E+002
 4.2001987E+002, 3.4688413E+001, 4.2555652E+001, 6.3636882E+001, 8.0860903E+001, 9.0542118E+001, 9.7962548E+001, 1.0063238E+002, 1.0183592E+002, 1.0301057E+002, 1.0311237E+002, 3.6364003E+001, 4.2439700E+001, 6.2007897E+001, 8.1444019E+001, 9.0641572E+001, 9.6930136E+001, 1.0131921E+002, 1.0275131E+002, 1.0346734E+002, 1.0380164E+002, 3.7439095E+001, 4.1763935E+001, 6.3350444E+001, 8.0553099E+001, 9.1417322E+001, 9.7150335E+001, 1.0160131E+002, 1.0150844E+002, 2.5000000E+001, 1.0157445E+002, 7.4801608E+001, 9.9715122E+001
 4.5001464E+002, 3.2939958E+001, 3.7583270E+001, 4.7907060E+001, 7.1990059E+001, 8.3069816E+001, 8.9671659E+001, 9.3011020E+001, 9.4682933E+001, 9.6112369E+001, 9.5936372E+001, 3.3763052E+001, 3.7231967E+001, 4.9061003E+001, 7.1611310E+001, 8.2716889E+001, 8.9656253E+001, 9.3832923E+001, 9.5723176E+001, 9.6186497E+001, 9.6605896E+001, 3.3961942E+001, 3.7270481E+001, 4.9140461E+001, 7.1448552E+001, 8.3398122E+001, 9.0087044E+001, 9.3984920E+001, 9.4396926E+001, 2.5000000E+001, 9.4951673E+001, 6.1834972E+001, 9.2078942E+001
 4.8000941E+002, 3.1642123E+001, 3.4752125E+001, 4.0101654E+001, 5.9836871E+001, 7.4908831E+001, 8.3579216E+001, 8.7666205E+001, 8.9334039E+001, 8.9977797E+001, 9.0338276E+001, 3.0310749E+001, 3.4517148E+001, 4.2098838E+001, 5.9558945E+001, 7.4548314E+001, 8.3806906E+001, 8.7920923E+001, 8.9482707E+001, 9.0030074E+001, 9.0499322E+001, 3.2359422E+001, 3.4793845E+001, 4.1157069E+001, 6.0316628E+001, 7.5423469E+001, 8.4040613E+001, 8.7859427E+001, 8.8166207E+001, 2.5000000E+001, 8.9426575E+001, 4.7990672E+001, 8.6575752E+001
 5.1000418E+002, 3.0301348E+001, 3.2462201E+001, 3.7786334E+001, 4.6751796E+001, 6.7191913E+001, 7.8868797E+001, 8.2193803E+001, 8.3849102E+001, 8.5129860E+001, 8.5208508E+001, 2.9744351E+001, 3.3779018E+001, 3.7438072E+001, 4.6958797E+001, 6.7131410E+001, 7.8294972E+001, 8.2850770E+001, 8.4460948E+001, 8.5124484E+001, 8.5620708E+001, 3.1108420E+001, 3.2249327E+001, 3.7270066E+001, 4.9624056E+001, 6.6381199E+001, 7.8068001E+001, 8.2857664E+001, 8.3232330E+001, 2.5000000E+001, 8.4413174E+001, 4.1282236E+001, 8.1367387E+001
 5.4001893E+002, 2.9283964E+001, 3.1682804E+001, 3.5137118E+001, 4.0960362E+001, 5.7128401E+001, 7.3567649E+001, 7.7657494E+001, 7.9717668E+001, 8.0430603E+001, 8.0736697E+001, 2.9941101E+001, 3.1499995E+001, 3.4629647E+001, 4.2630316E+001, 5.6040760E+001, 7.3056710E+001, 7.8402049E+001, 7.9961304E+001, 8.0453050E+001, 8.0847271E+001, 2.9722503E+001, 3.1605517E+001, 3.4784561E+001, 4.2112770E+001, 5.6021073E+001, 7.3592621E+001, 7.8422841E+001, 7.8916507E+001, 2.5000000E+001, 8.0269410E+001, 3.8979630E+001, 7.6312140E+001
 5.7001370E+002, 2.9456174E+001, 3.0681845E+001, 3.2551528E+001, 3.8126116E+001, 4.8991572E+001, 6.7384331E+001, 7.4265845E+001, 7.6021258E+001, 7.6489321E+001, 7.6910463E+001, 2.9586375E+001, 3.0785562E+001, 3.2363038E+001, 3.8844134E+001, 4.8560941E+001, 6.8321218E+001, 7.4354533E+001, 7.5841931E+001, 7.6377752E+001, 7.6935533E+001, 2.8909838E+001, 3.0056913E+001, 3.3695195E+001, 3.8776767E+001, 4.7643073E+001, 6.8346428E+001, 7.4290988E+001, 7.4810490E+001, 2.5000000E+001, 7.6276522E+001, 3.5856575E+001, 7.2414736E+001
 6.0000000E+002, 2.8772163E+001, 3.0340578E+001, 3.1832610E+001, 3.5887104E+001, 4.3175720E+001, 6.2227000E+001, 7.0276504E+001, 7.1842418E+001, 7.2718237E+001, 7.3373662E+001, 2.8956599E+001, 2.9839172E+001, 3.2129834E+001, 3.5843233E+001, 4.2953077E+001, 6.2252610E+001, 7.0808801E+001, 7.2494720E+001, 7.3103690E+001, 7.3549072E+001, 2.8520773E+001, 2.9908741E+001, 3.1921094E+001, 3.6035978E+001, 4.3090030E+001, 6.3617388E+001, 7.0619851E+001, 7.1569984E+001, 2.5000000E+001, 7.2741639E+001, 3.4144807E+001, 6.8431232E+001
