m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 5.4623116E+000, 2.0003615E+001, 2.0010367E+001, 2.0021210E+001, 4.5488912E+001, 2.0082462E+001, 2.0088586E+001, 2.0114589E+001, 2.0132142E+001
 5.4723618E+000, 2.0003707E+001, 2.0010647E+001, 2.0021965E+001, 4.9161728E+001, 2.0093121E+001, 2.0097110E+001, 2.0124031E+001, 2.0141957E+001
 5.4824121E+000, 2.0003798E+001, 2.0010927E+001, 2.0022744E+001, 5.2743083E+001, 2.0105653E+001, 2.0106801E+001, 2.0134545E+001, 2.0152703E+001
 5.4924623E+000, 2.0003889E+001, 2.0011208E+001, 2.0023546E+001, 5.6986440E+001, 2.0120007E+001, 2.0117403E+001, 2.0146028E+001, 2.0164478E+001
 5.5025126E+000, 2.0003981E+001, 2.0011489E+001, 2.0024378E+001, 6.2485343E+001, 2.0140916E+001, 2.0129702E+001, 2.0159248E+001, 2.0177709E+001
 5.5125628E+000, 2.0004073E+001, 2.0011772E+001, 2.0025243E+001, 6.7592547E+001, 2.0248350E+001, 2.0144074E+001, 2.0174279E+001, 2.0192883E+001
 5.5226131E+000, 2.0004164E+001, 2.0012057E+001, 2.0026146E+001, 7.2521228E+001, 2.0476087E+001, 2.0160353E+001, 2.0191327E+001, 2.0209787E+001
 5.5326633E+000, 2.0004257E+001, 2.0012343E+001, 2.0027092E+001, 7.7382261E+001, 2.0830015E+001, 2.0178434E+001, 2.0210029E+001, 2.0228386E+001
 5.5427136E+000, 2.0004350E+001, 2.0012632E+001, 2.0028090E+001, 8.1520978E+001, 2.1362294E+001, 2.0198145E+001, 2.0230331E+001, 2.0248552E+001
 5.5527638E+000, 2.0004444E+001, 2.0012926E+001, 2.0029373E+001, 8.5370116E+001, 2.1910570E+001, 2.0219472E+001, 2.0252003E+001, 2.0270042E+001
 5.5628141E+000, 2.0004539E+001, 2.0013224E+001, 2.0037799E+001, 8.9420581E+001, 2.3213090E+001, 2.0242416E+001, 2.0275763E+001, 2.0293314E+001
 5.5728643E+000, 2.0004637E+001, 2.0013531E+001, 2.0067769E+001, 9.2978962E+001, 2.6747165E+001, 2.0267851E+001, 2.0301290E+001, 2.0318695E+001
 5.5829146E+000, 2.0004737E+001, 2.0013846E+001, 2.0323450E+001, 9.6871901E+001, 3.1199580E+001, 2.0297162E+001, 2.0329450E+001, 2.0346293E+001
 5.5929648E+000, 2.0004841E+001, 2.0014176E+001, 2.0639427E+001, 1.0094748E+002, 3.7427549E+001, 2.0374511E+001, 2.0360216E+001, 2.0376481E+001
 5.6030151E+000, 2.0004950E+001, 2.0014520E+001, 2.1371601E+001, 1.0456073E+002, 4.4507796E+001, 2.0695085E+001, 2.0394330E+001, 2.0409469E+001
 5.6130653E+000, 2.0005066E+001, 2.0014886E+001, 2.2599591E+001, 1.0762405E+002, 5.2189697E+001, 2.1218927E+001, 2.0431880E+001, 2.0445996E+001
 5.6231156E+000, 2.0005190E+001, 2.0015276E+001, 2.4016463E+001, 1.1032062E+002, 5.9502541E+001, 2.1887878E+001, 2.0473753E+001, 2.0485946E+001
 5.6331658E+000, 2.0005324E+001, 2.0015700E+001, 2.5428897E+001, 1.1297928E+002, 6.6090094E+001, 2.2289498E+001, 2.0518502E+001, 2.0529353E+001
 5.6432161E+000, 2.0005470E+001, 2.0016162E+001, 2.7603181E+001, 1.1552063E+002, 7.2074375E+001, 2.3453754E+001, 2.0567774E+001, 2.0576833E+001
 5.6532663E+000, 2.0005632E+001, 2.0016675E+001, 3.0832436E+001, 1.1791656E+002, 7.9032500E+001, 2.4910136E+001, 2.0621788E+001, 2.0629083E+001
 5.6633166E+000, 2.0005813E+001, 2.0017247E+001, 3.4870019E+001, 1.2028527E+002, 8.5812901E+001, 2.6012221E+001, 2.0680803E+001, 2.0686009E+001
 5.6733668E+000, 2.0006018E+001, 2.0017893E+001, 3.8706852E+001, 1.2279376E+002, 9.2228325E+001, 2.6890920E+001, 2.0744345E+001, 2.0747611E+001
 5.6834171E+000, 2.0006249E+001, 2.0018627E+001, 4.2356227E+001, 1.2509217E+002, 9.7663439E+001, 2.7953804E+001, 2.0813444E+001, 2.0814092E+001
 5.6934673E+000, 2.0006516E+001, 2.0019467E+001, 4.6879119E+001, 1.2715798E+002, 1.0239075E+002, 2.8827915E+001, 2.0886129E+001, 2.0884216E+001
 5.7035176E+000, 2.0006821E+001, 2.0020434E+001, 5.2148378E+001, 1.2923912E+002, 1.0676763E+002, 3.0038804E+001, 2.0963417E+001, 2.0957896E+001
 5.7135678E+000, 2.0007177E+001, 2.0021551E+001, 5.7194206E+001, 1.3153800E+002, 1.1096936E+002, 3.1653148E+001, 2.1044029E+001, 2.1035420E+001
 5.7236181E+000, 2.0007587E+001, 2.0022848E+001, 6.2277111E+001, 1.3376924E+002, 1.1486683E+002, 3.4400528E+001, 2.1129312E+001, 2.1117603E+001
 5.7336683E+000, 2.0008066E+001, 2.0024352E+001, 6.6902507E+001, 1.3584889E+002, 1.1805753E+002, 3.7160240E+001, 2.1220098E+001, 2.1205339E+001
 5.7437186E+000, 2.0008622E+001, 2.0026104E+001, 7.2030806E+001, 1.3744238E+002, 1.2087063E+002, 3.9434610E+001, 2.1315079E+001, 2.1299718E+001
 5.7537688E+000, 2.0009271E+001, 2.0028133E+001, 7.7260435E+001, 1.3864032E+002, 1.2348524E+002, 4.1552283E+001, 2.1415137E+001, 2.1398986E+001
 5.7638191E+000, 2.0010024E+001, 2.0030495E+001, 8.2278016E+001, 1.4007487E+002, 1.2568926E+002, 4.4346994E+001, 2.1523487E+001, 2.1504552E+001
 5.7738693E+000, 2.0010898E+001, 2.0033220E+001, 8.6585575E+001, 1.4198322E+002, 1.2776279E+002, 4.6983226E+001, 2.1636589E+001, 2.1616766E+001
 5.7839196E+000, 2.0011910E+001, 2.0036380E+001, 9.0278032E+001, 1.4410152E+002, 1.2965930E+002, 4.9892168E+001, 2.1758697E+001, 2.1738023E+001
 5.7939698E+000, 2.0013078E+001, 2.0040000E+001, 9.3926213E+001, 1.4596431E+002, 1.3143006E+002, 5.4259597E+001, 2.1898150E+001, 2.1870308E+001
 5.8040201E+000, 2.0014420E+001, 2.0044171E+001, 9.7472199E+001, 1.4763600E+002, 1.3325558E+002, 6.0668491E+001, 2.2169348E+001, 2.2006399E+001
 5.8140704E+000, 2.0015957E+001, 2.0048906E+001, 1.0045357E+002, 1.4934933E+002, 1.3531633E+002, 6.7739118E+001, 2.2607196E+001, 2.2172700E+001
 5.8241206E+000, 2.0017709E+001, 2.0054321E+001, 1.0321030E+002, 1.5107446E+002, 1.3733103E+002, 7.4084208E+001, 2.3257977E+001, 2.2710249E+001
 5.8341709E+000, 2.0019697E+001, 2.0060402E+001, 1.0589579E+002, 1.5302627E+002, 1.3912415E+002, 8.0577954E+001, 2.3872822E+001, 2.3795764E+001
 5.8442211E+000, 2.0021943E+001, 2.0067301E+001, 1.0857924E+002, 1.5500616E+002, 1.4128211E+002, 8.8440224E+001, 2.4621765E+001, 2.6432939E+001
 5.8542714E+000, 2.0024468E+001, 2.0074954E+001, 1.1129172E+002, 1.5681967E+002, 1.4332335E+002, 9.5899449E+001, 2.6256574E+001, 3.0328730E+001
 5.8643216E+000, 2.0027295E+001, 2.0083585E+001, 1.1381898E+002, 1.5862372E+002, 1.4537708E+002, 1.0252159E+002, 2.8558552E+001, 3.4339354E+001
 5.8743719E+000, 2.0030448E+001, 2.0093039E+001, 1.1625800E+002, 1.6026312E+002, 1.4755233E+002, 1.0850532E+002, 3.3339836E+001, 4.1942014E+001
 5.8844221E+000, 2.0033951E+001, 2.0103642E+001, 1.1857120E+002, 1.6197348E+002, 1.4983388E+002, 1.1368408E+002, 3.8247254E+001, 5.2150730E+001
 5.8944724E+000, 2.0037840E+001, 2.0115119E+001, 1.2088629E+002, 1.6383035E+002, 1.5224113E+002, 1.1830243E+002, 4.4583696E+001, 6.3761239E+001
 5.9045226E+000, 2.0042151E+001, 2.0127960E+001, 1.2317012E+002, 1.6577818E+002, 1.5464595E+002, 1.2194177E+002, 5.3081365E+001, 7.7552485E+001
 5.9145729E+000, 2.0046943E+001, 2.0141736E+001, 1.2538197E+002, 1.6776325E+002, 1.5697574E+002, 1.2493588E+002, 6.5790648E+001, 9.2823799E+001
 5.9246231E+000, 2.0052334E+001, 2.0157309E+001, 1.2734825E+002, 1.6992590E+002, 1.5931534E+002, 1.2771114E+002, 7.8847418E+001, 1.0828151E+002
 5.9346734E+000, 2.0058784E+001, 2.0173923E+001, 1.2927003E+002, 1.7224774E+002, 1.6178677E+002, 1.3040994E+002, 8.9554501E+001, 1.1850137E+002
 5.9447236E+000, 2.0084555E+001, 2.0193799E+001, 1.3110163E+002, 1.7459638E+002, 1.6439247E+002, 1.3296521E+002, 9.8776098E+001, 1.2725453E+002
 5.9547739E+000, 2.0235636E+001, 2.0215430E+001, 1.3272301E+002, 1.7697752E+002, 1.6706834E+002, 1.3532839E+002, 1.0779005E+002, 1.3384136E+002
 5.9648241E+000, 2.0575028E+001, 2.0245170E+001, 1.3397343E+002, 1.7917716E+002, 1.6974719E+002, 1.3772828E+002, 1.1668143E+002, 1.3832731E+002
 5.9748744E+000, 2.1237712E+001, 2.0366793E+001, 1.3519713E+002, 1.8135345E+002, 1.7239891E+002, 1.4039936E+002, 1.2405727E+002, 1.4197724E+002
 5.9849246E+000, 2.2037373E+001, 2.0771463E+001, 1.3650841E+002, 1.8374031E+002, 1.7507547E+002, 1.4321379E+002, 1.2952754E+002, 1.4500812E+002
 5.9949749E+000, 2.3060354E+001, 2.1493931E+001, 1.3726578E+002, 1.8618605E+002, 1.7767770E+002, 1.4613415E+002, 1.3342063E+002, 1.4793145E+002
 6.0050251E+000, 2.4571503E+001, 2.2327089E+001, 1.3737181E+002, 1.8855642E+002, 1.7998726E+002, 1.4962922E+002, 1.3609241E+002, 1.5017814E+002
 6.0150754E+000, 2.6447000E+001, 2.3161232E+001, 1.3815269E+002, 1.9095231E+002, 1.8226398E+002, 1.5277806E+002, 1.3866228E+002, 1.5290463E+002
 6.0251256E+000, 2.8693559E+001, 2.4081969E+001, 1.4000619E+002, 1.9340942E+002, 1.8468508E+002, 1.5491639E+002, 1.4185709E+002, 1.5554691E+002
 6.0351759E+000, 3.0635445E+001, 2.5363663E+001, 1.4215407E+002, 1.9594492E+002, 1.8716160E+002, 1.5682793E+002, 1.4471019E+002, 1.5810240E+002
 6.0452261E+000, 3.2634593E+001, 2.6942159E+001, 1.4384396E+002, 1.9844603E+002, 1.8962986E+002, 1.5883778E+002, 1.4721376E+002, 1.6038312E+002
 6.0552764E+000, 3.5340606E+001, 2.8872432E+001, 1.4525984E+002, 2.0076083E+002, 1.9218562E+002, 1.6097289E+002, 1.4973501E+002, 1.6234872E+002
 6.0653266E+000, 3.7688018E+001, 3.1288298E+001, 1.4679663E+002, 2.0299558E+002, 1.9472518E+002, 1.6341752E+002, 1.5210228E+002, 1.6427762E+002
 6.0753769E+000, 3.9855744E+001, 3.4020404E+001, 1.4806940E+002, 2.0534894E+002, 1.9731568E+002, 1.6598642E+002, 1.5456690E+002, 1.6623431E+002
 6.0854271E+000, 4.1759592E+001, 3.7133332E+001, 1.4957003E+002, 2.0781617E+002, 1.9991247E+002, 1.6864381E+002, 1.5705515E+002, 1.6844889E+002
 6.0954774E+000, 4.3591279E+001, 3.9970006E+001, 1.5100143E+002, 2.1032225E+002, 2.0251888E+002, 1.7118149E+002, 1.5958360E+002, 1.7086400E+002
 6.1055276E+000, 4.5419231E+001, 4.2412402E+001, 1.5217105E+002, 2.1285611E+002, 2.0515221E+002, 1.7344159E+002, 1.6174533E+002, 1.7350857E+002
 6.1155779E+000, 4.6937508E+001, 4.4873224E+001, 1.5326542E+002, 2.1541450E+002, 2.0783510E+002, 1.7545586E+002, 1.6388734E+002, 1.7635141E+002
 6.1256281E+000, 4.8407500E+001, 4.7099077E+001, 1.5442645E+002, 2.1802276E+002, 2.1056166E+002, 1.7738378E+002, 1.6634403E+002, 1.7914810E+002
 6.1356784E+000, 4.9691912E+001, 4.9115486E+001, 1.5546830E+002, 2.2074349E+002, 2.1327538E+002, 1.7929379E+002, 1.6902487E+002, 1.8188668E+002
 6.1457286E+000, 5.0849572E+001, 5.0767802E+001, 1.5640634E+002, 2.2359845E+002, 2.1586175E+002, 1.8127004E+002, 1.7167197E+002, 1.8464118E+002
 6.1557789E+000, 5.1864098E+001, 5.2233341E+001, 1.5751167E+002, 2.2665541E+002, 2.1833751E+002, 1.8327764E+002, 1.7427400E+002, 1.8752600E+002
 6.1658291E+000, 5.2828954E+001, 5.3594162E+001, 1.5889743E+002, 2.2979670E+002, 2.2079760E+002, 1.8538828E+002, 1.7698416E+002, 1.9084265E+002
 6.1758794E+000, 5.3717846E+001, 5.4915177E+001, 1.6024094E+002, 2.3280934E+002, 2.2323847E+002, 1.8755194E+002, 1.7979510E+002, 1.9487591E+002
 6.1859296E+000, 5.4386580E+001, 5.6177003E+001, 1.6169835E+002, 2.3571639E+002, 2.2561326E+002, 1.8963867E+002, 1.8268006E+002, 1.9930182E+002
 6.1959799E+000, 5.5096321E+001, 5.7501322E+001, 1.6315994E+002, 2.3869228E+002, 2.2795774E+002, 1.9179056E+002, 1.8552659E+002, 2.0358229E+002
 6.2060302E+000, 5.6060376E+001, 5.8589503E+001, 1.6463844E+002, 2.4177476E+002, 2.3033425E+002, 1.9398016E+002, 1.8825577E+002, 2.0727990E+002
 6.2160804E+000, 5.6978986E+001, 5.9477791E+001, 1.6622682E+002, 2.4499678E+002, 2.3286049E+002, 1.9616600E+002, 1.9083411E+002, 2.1053085E+002
 6.2261307E+000, 5.7697693E+001, 6.0066785E+001, 1.6793876E+002, 2.4843274E+002, 2.3553896E+002, 1.9834413E+002, 1.9353078E+002, 2.1378230E+002
 6.2361809E+000, 5.8452672E+001, 6.0590998E+001, 1.6975088E+002, 2.5198426E+002, 2.3839258E+002, 2.0049191E+002, 1.9652573E+002, 2.1722504E+002
 6.2462312E+000, 5.9327710E+001, 6.0954864E+001, 1.7178954E+002, 2.5557969E+002, 2.4138044E+002, 2.0254274E+002, 1.9974893E+002, 2.2092215E+002
 6.2562814E+000, 6.0230880E+001, 6.1341481E+001, 1.7393661E+002, 2.5927274E+002, 2.4441428E+002, 2.0447169E+002, 2.0318440E+002, 2.2476540E+002
 6.2663317E+000, 6.1094141E+001, 6.1740288E+001, 1.7621763E+002, 2.6303705E+002, 2.4740752E+002, 2.0651934E+002, 2.0659380E+002, 2.2889287E+002
 6.2763819E+000, 6.2002288E+001, 6.2075069E+001, 1.7857988E+002, 2.6690044E+002, 2.5045307E+002, 2.0891323E+002, 2.0990457E+002, 2.3315082E+002
 6.2864322E+000, 6.2858711E+001, 6.2364433E+001, 1.8097667E+002, 2.7091240E+002, 2.5363901E+002, 2.1152968E+002, 2.1314341E+002, 2.3764852E+002
 6.2964824E+000, 6.3845388E+001, 6.2536231E+001, 1.8323189E+002, 2.7491792E+002, 2.5688373E+002, 2.1432313E+002, 2.1663221E+002, 2.4276697E+002
 6.3065327E+000, 6.5194258E+001, 6.2872993E+001, 1.8536891E+002, 2.7915031E+002, 2.6019810E+002, 2.1727982E+002, 2.2031347E+002, 2.4840637E+002
 6.3165829E+000, 6.6861336E+001, 6.3329340E+001, 1.8750260E+002, 2.8369842E+002, 2.6336764E+002, 2.2026287E+002, 2.2450936E+002, 2.5461344E+002
 6.3266332E+000, 6.8680047E+001, 6.3820878E+001, 1.8960762E+002, 2.8862854E+002, 2.6638499E+002, 2.2321887E+002, 2.2900271E+002, 2.6100289E+002
 6.3366834E+000, 7.0480194E+001, 6.4295638E+001, 1.9168087E+002, 2.9373000E+002, 2.6972702E+002, 2.2625230E+002, 2.3373826E+002, 2.6797099E+002
 6.3467337E+000, 7.2569725E+001, 6.4716050E+001, 1.9378822E+002, 2.9876524E+002, 2.7368738E+002, 2.2937903E+002, 2.3859971E+002, 2.7542717E+002
 6.3567839E+000, 7.4655852E+001, 6.5078586E+001, 1.9631224E+002, 3.0383750E+002, 2.7822689E+002, 2.3253498E+002, 2.4335561E+002, 2.8264747E+002
 6.3668342E+000, 7.7003409E+001, 6.5474058E+001, 1.9920757E+002, 3.0894775E+002, 2.8356621E+002, 2.3602224E+002, 2.4831902E+002, 2.8937986E+002
 6.3768844E+000, 7.9535609E+001, 6.5999792E+001, 2.0234354E+002, 3.1443692E+002, 2.8955978E+002, 2.4028591E+002, 2.5338486E+002, 2.9587887E+002
 6.3869347E+000, 8.1918500E+001, 6.6547633E+001, 2.0538830E+002, 3.2007697E+002, 2.9603219E+002, 2.4451819E+002, 2.5634532E+002, 3.0270268E+002
 6.3969849E+000, 8.4391951E+001, 6.7173050E+001, 2.0865984E+002, 3.2567845E+002, 3.0305857E+002, 2.5006837E+002, 2.5850832E+002, 3.0854157E+002
 6.4070352E+000, 8.6234222E+001, 6.7938842E+001, 2.1227619E+002, 3.3121283E+002, 3.0925039E+002, 2.5483411E+002, 2.6060088E+002, 3.1461791E+002
 6.4170854E+000, 8.7738436E+001, 6.8510629E+001, 2.1602687E+002, 3.3592404E+002, 3.1529796E+002, 2.5786894E+002, 2.6404622E+002, 3.1968871E+002
 6.4271357E+000, 8.8623890E+001, 6.8948081E+001, 2.2014074E+002, 3.4005546E+002, 3.2150917E+002, 2.5919792E+002, 2.6907875E+002, 3.2421076E+002
 6.4371859E+000, 8.9800638E+001, 6.9631024E+001, 2.2463234E+002, 3.4464052E+002, 3.2721105E+002, 2.5992367E+002, 2.7730153E+002, 3.2723831E+002
 6.4472362E+000, 9.0311074E+001, 7.0538656E+001, 2.2979295E+002, 3.5068310E+002, 3.3327293E+002, 2.6299569E+002, 2.8523021E+002, 3.3304308E+002
 6.4572864E+000, 9.0824769E+001, 7.1976102E+001, 2.3509801E+002, 3.5536993E+002, 3.4055455E+002, 2.6717044E+002, 2.9315204E+002, 3.4336492E+002
 6.4673367E+000, 9.1518882E+001, 7.3443293E+001, 2.4012341E+002, 3.5869187E+002, 3.4694067E+002, 2.6935801E+002, 3.0665914E+002, 3.5741615E+002
 6.4773869E+000, 9.2863799E+001, 7.4758113E+001, 2.4511574E+002, 3.6251775E+002, 3.5319844E+002, 2.7216650E+002, 3.2195285E+002, 3.6967618E+002
 6.4874372E+000, 9.3955230E+001, 7.6004064E+001, 2.4881973E+002, 3.6651083E+002, 3.6145821E+002, 2.7668945E+002, 3.3168390E+002, 3.8415015E+002
