s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 2.7000663E+002, 3.3568139E+001, 3.8433133E+001, 4.8679710E+001, 5.5436039E+001, 6.2589449E+001, 7.3341344E+001, 7.5588720E+001, 7.6659952E+001, 7.7589997E+001, 7.7786019E+001, 3.3352894E+001, 4.0657632E+001, 4.7592479E+001, 5.6611162E+001, 6.0911422E+001, 6.4716339E+001, 7.0365352E+001, 7.2146624E+001, 7.5960603E+001, 7.9430457E+001, 3.9889855E+001, 4.4868431E+001, 4.9683651E+001, 5.6841577E+001, 6.0688512E+001, 6.6472983E+001, 7.2406270E+001, 7.6031514E+001, 2.2000000E+001, 8.2034144E+001, 1.8833839E+002, 9.9116774E+001
 3.0000637E+002, 3.6726056E+001, 4.2884908E+001, 5.1356111E+001, 5.9287056E+001, 6.7478892E+001, 7.7235159E+001, 7.8840815E+001, 8.0475475E+001, 8.1068957E+001, 8.1152719E+001, 3.6641898E+001, 4.4193926E+001, 5.1400641E+001, 6.0854130E+001, 6.5013454E+001, 6.7765403E+001, 7.4269058E+001, 7.5946136E+001, 7.9571908E+001, 8.3223164E+001, 4.2517722E+001, 4.7784679E+001, 5.3351156E+001, 6.0708763E+001, 6.5410980E+001, 7.0098698E+001, 7.4471441E+001, 8.0195571E+001, 2.2000000E+001, 8.7362104E+001, 1.9878524E+002, 1.0401044E+002
 3.3000228E+002, 3.8766576E+001, 4.6752262E+001, 5.4168179E+001, 6.2859069E+001, 6.9023410E+001, 8.1754675E+001, 8.4005533E+001, 8.5071413E+001, 8.5430908E+001, 8.5657771E+001, 3.8681873E+001, 4.7038468E+001, 5.4762220E+001, 6.3798272E+001, 6.8297110E+001, 7.2900894E+001, 7.8135620E+001, 8.0336807E+001, 8.3456497E+001, 8.7499752E+001, 4.5143851E+001, 5.1461866E+001, 5.6663426E+001, 6.4566414E+001, 6.8435922E+001, 7.3454903E+001, 7.9644255E+001, 8.3907564E+001, 2.2000000E+001, 9.0384363E+001, 1.9369319E+002, 1.0266589E+002
 3.6000655E+002, 4.0353646E+001, 4.8980035E+001, 5.7750129E+001, 6.6316041E+001, 7.5227610E+001, 8.3169900E+001, 8.4799006E+001, 8.6401511E+001, 8.7306504E+001, 8.7529140E+001, 4.0992315E+001, 4.9641098E+001, 5.8070438E+001, 6.6993957E+001, 7.1598181E+001, 7.5719657E+001, 8.0425261E+001, 8.2659576E+001, 8.5640846E+001, 8.9862099E+001, 4.6645770E+001, 5.4014700E+001, 5.9511483E+001, 6.7811504E+001, 7.2306359E+001, 7.7746007E+001, 8.1881154E+001, 8.5612373E+001, 2.2000000E+001, 9.1666366E+001, 1.8963974E+002, 1.0768908E+002
 3.9000681E+002, 4.2587963E+001, 5.1343161E+001, 6.0387741E+001, 6.8294644E+001, 7.6293528E+001, 8.4152707E+001, 8.6805308E+001, 8.7721241E+001, 8.8493215E+001, 8.8227887E+001, 4.2010461E+001, 5.2358010E+001, 6.0894126E+001, 6.9822411E+001, 7.3882162E+001, 7.7265918E+001, 8.2170324E+001, 8.4317473E+001, 8.7180530E+001, 8.9901375E+001, 4.7040087E+001, 5.5280482E+001, 6.1861149E+001, 6.9438730E+001, 7.4181731E+001, 7.8857160E+001, 8.3479967E+001, 8.7880938E+001, 2.2000000E+001, 9.3242074E+001, 1.8523644E+002, 1.0588434E+002
 4.2000780E+002, 4.2964739E+001, 5.3583186E+001, 6.2302977E+001, 7.0914946E+001, 7.9456468E+001, 8.5808276E+001, 8.7240865E+001, 8.8243309E+001, 8.9101865E+001, 8.9052894E+001, 4.2914030E+001, 5.4581083E+001, 6.2681183E+001, 7.2006194E+001, 7.5836888E+001, 7.9685466E+001, 8.3631006E+001, 8.5770703E+001, 8.8347516E+001, 9.0668899E+001, 4.7979360E+001, 5.7052510E+001, 6.3957420E+001, 6.9893147E+001, 7.7447726E+001, 8.0666075E+001, 8.4582473E+001, 8.7558780E+001, 2.2000000E+001, 9.2145883E+001, 1.7062285E+002, 1.0319785E+002
 4.5001143E+002, 4.2791999E+001, 5.4012556E+001, 6.3835393E+001, 7.1627653E+001, 7.6740670E+001, 8.4044532E+001, 8.5802363E+001, 8.6305966E+001, 8.6539535E+001, 8.6421485E+001, 4.1876659E+001, 5.4682449E+001, 6.3796689E+001, 7.2058877E+001, 7.6276879E+001, 7.9476446E+001, 8.3179194E+001, 8.4867008E+001, 8.5598235E+001, 8.6765503E+001, 4.4570197E+001, 5.5795232E+001, 6.4340630E+001, 7.1125728E+001, 7.6689720E+001, 8.0503467E+001, 8.3197295E+001, 8.3871367E+001, 2.2000000E+001, 8.6853353E+001, 9.5432961E+001, 8.6079608E+001
 4.8001265E+002, 3.9006527E+001, 5.0573898E+001, 6.0891880E+001, 6.9158875E+001, 7.2653398E+001, 7.6754435E+001, 7.9923837E+001, 8.0604676E+001, 8.1180039E+001, 8.1175849E+001, 3.8192398E+001, 5.1762203E+001, 6.1216415E+001, 6.9523719E+001, 7.3614160E+001, 7.6736022E+001, 7.8947785E+001, 8.0291292E+001, 8.0771537E+001, 8.0982959E+001, 3.9290845E+001, 5.2665704E+001, 6.1626622E+001, 6.9007886E+001, 7.4202085E+001, 7.6941844E+001, 7.8694307E+001, 7.8342236E+001, 2.2000000E+001, 7.9402815E+001, 6.5890046E+001, 7.8144766E+001
 5.1002531E+002, 3.6250422E+001, 4.5542677E+001, 5.6960881E+001, 6.5953871E+001, 6.9689688E+001, 7.2597344E+001, 7.4740070E+001, 7.5466510E+001, 7.5946883E+001, 7.6434874E+001, 3.8007885E+001, 4.7990322E+001, 5.8843514E+001, 6.5251692E+001, 7.0705681E+001, 7.2992473E+001, 7.4258093E+001, 7.5449961E+001, 7.5968441E+001, 7.6570568E+001, 3.6859925E+001, 4.8140923E+001, 5.8836110E+001, 6.5521836E+001, 7.0300850E+001, 7.3508937E+001, 7.4899563E+001, 7.4621755E+001, 2.2000000E+001, 7.5418280E+001, 6.3238371E+001, 7.4962345E+001
 5.4001379E+002, 3.5766164E+001, 4.2371965E+001, 5.5487402E+001, 6.3288656E+001, 6.6712708E+001, 6.9759562E+001, 7.1264539E+001, 7.1982342E+001, 7.2431044E+001, 7.2724988E+001, 3.6089863E+001, 4.3590322E+001, 5.5878600E+001, 6.2990035E+001, 6.7484741E+001, 6.9320389E+001, 7.1273122E+001, 7.2199172E+001, 7.2665207E+001, 7.2905992E+001, 3.4784482E+001, 4.5447512E+001, 5.5412915E+001, 6.2594567E+001, 6.6576031E+001, 7.0517166E+001, 7.1704230E+001, 7.1567954E+001, 2.2000000E+001, 7.1892631E+001, 6.0320404E+001, 7.0738084E+001
 5.7001180E+002, 3.4198129E+001, 4.1522891E+001, 5.3291878E+001, 6.0612720E+001, 6.4092042E+001, 6.6708137E+001, 6.8200460E+001, 6.8836117E+001, 6.9138375E+001, 6.9425374E+001, 3.3656479E+001, 4.1295263E+001, 5.3457487E+001, 6.0864018E+001, 6.4322627E+001, 6.7063250E+001, 6.8446652E+001, 6.9091094E+001, 6.9410966E+001, 6.9878837E+001, 3.3763542E+001, 4.1099834E+001, 5.3336133E+001, 6.0917234E+001, 6.4514702E+001, 6.7188698E+001, 6.8403908E+001, 6.7975655E+001, 2.2000000E+001, 6.8808905E+001, 5.8064632E+001, 6.7668022E+001
 6.0000000E+002, 3.3880831E+001, 3.8211260E+001, 5.0822948E+001, 5.8456368E+001, 6.1893778E+001, 6.4356658E+001, 6.5707041E+001, 6.6417411E+001, 6.6622385E+001, 6.6560149E+001, 3.2117762E+001, 3.8687356E+001, 5.1212087E+001, 5.8362738E+001, 6.1967938E+001, 6.4443384E+001, 6.5663910E+001, 6.6580235E+001, 6.6691840E+001, 6.6799637E+001, 3.2658394E+001, 3.9235563E+001, 5.0220269E+001, 5.9250761E+001, 6.2164788E+001, 6.4418703E+001, 6.5669373E+001, 6.5594031E+001, 2.2000000E+001, 6.6183746E+001, 5.5971441E+001, 6.5481337E+001
