m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
-1.8508475E-001, 4.4462301E+006,-1.8508475E-001, 9.0416258E-005,-1.8508475E-001, 9.2335342E-005,-1.8508475E-001, 9.3805124E-005,-1.8508475E-001,-1.1269184E+000,-1.8508475E-001,-1.8554979E+000,-1.8508475E-001,-2.7659088E-003,-1.8508475E-001, 1.3059571E+007,-1.8508475E-001, 1.0075259E-004,-1.8508475E-001, 1.0339126E-004,-1.8508475E-001, 1.0493518E-004,-1.8508475E-001,-4.9493510E-001,-1.8508475E-001,-6.4509658E-001,-1.8508475E-001,-4.8166479E-003
-1.7559322E-001, 5.5768651E+006,-1.7559322E-001, 8.9815262E-005,-1.7559322E-001, 9.2375462E-005,-1.7559322E-001, 9.4241546E-005,-1.7559322E-001,-9.1922687E-001,-1.7559322E-001,-1.7154202E+000,-1.7559322E-001,-4.2668317E-003,-1.7559322E-001, 1.2918880E+007,-1.7559322E-001, 1.0354898E-004,-1.7559322E-001, 1.0590641E-004,-1.7559322E-001, 1.0724514E-004,-1.7559322E-001,-5.5164105E-001,-1.7559322E-001,-7.2035983E-001,-1.7559322E-001,-5.5488536E-003
-1.6610169E-001, 8.9055208E+006,-1.6610169E-001, 8.7319407E-005,-1.6610169E-001, 8.9771415E-005,-1.6610169E-001, 9.1576487E-005,-1.6610169E-001,-8.5780666E-001,-1.6610169E-001,-1.6205460E+000,-1.6610169E-001,-6.0604737E-003,-1.6610169E-001, 1.3938198E+007,-1.6610169E-001, 1.0359902E-004,-1.6610169E-001, 1.0586298E-004,-1.6610169E-001, 1.0715596E-004,-1.6610169E-001,-5.8787776E-001,-1.6610169E-001,-7.6706454E-001,-1.6610169E-001,-6.6462417E-003
-1.5661017E-001, 1.5819559E+007,-1.5661017E-001, 8.4160002E-005,-1.5661017E-001, 8.6194391E-005,-1.5661017E-001, 8.7702609E-005,-1.5661017E-001,-7.7461837E-001,-1.5661017E-001,-1.3701349E+000,-1.5661017E-001,-8.5038947E-003,-1.5661017E-001, 2.3470790E+007,-1.5661017E-001, 1.0089716E-004,-1.5661017E-001, 1.0318498E-004,-1.5661017E-001, 1.0446721E-004,-1.5661017E-001,-5.9933214E-001,-1.5661017E-001,-7.5252533E-001,-1.5661017E-001,-1.0502602E-002
-1.4711864E-001, 3.3582208E+007,-1.4711864E-001, 8.2160656E-005,-1.4711864E-001, 8.3619058E-005,-1.4711864E-001, 8.4703207E-005,-1.4711864E-001,-7.4977458E-001,-1.4711864E-001,-1.2322398E+000,-1.4711864E-001,-1.2536980E-002,-1.4711864E-001, 3.2889225E+007,-1.4711864E-001, 9.7358091E-005,-1.4711864E-001, 9.9490721E-005,-1.4711864E-001, 1.0075143E-004,-1.4711864E-001,-6.0767503E-001,-1.4711864E-001,-7.5303095E-001,-1.4711864E-001,-1.2740595E-002
-1.3762712E-001, 3.5554917E+007,-1.3762712E-001, 8.1650720E-005,-1.3762712E-001, 8.3262219E-005,-1.3762712E-001, 8.4442132E-005,-1.3762712E-001,-8.6085639E-001,-1.3762712E-001,-1.4138558E+000,-1.3762712E-001,-1.4006338E-002,-1.3762712E-001, 3.5118275E+007,-1.3762712E-001, 9.4302520E-005,-1.3762712E-001, 9.6620872E-005,-1.3762712E-001, 9.7982888E-005,-1.3762712E-001,-6.4962053E-001,-1.3762712E-001,-7.9736361E-001,-1.3762712E-001,-1.2645399E-002
-1.2813559E-001, 3.6055277E+007,-1.2813559E-001, 8.0313671E-005,-1.2813559E-001, 8.2537146E-005,-1.2813559E-001, 8.4111699E-005,-1.2813559E-001,-1.0715574E+000,-1.2813559E-001,-1.7622610E+000,-1.2813559E-001,-1.8183871E-002,-1.2813559E-001, 4.7422578E+007,-1.2813559E-001, 9.0624654E-005,-1.2813559E-001, 9.3779080E-005,-1.2813559E-001, 9.5523247E-005,-1.2813559E-001,-6.8898066E-001,-1.2813559E-001,-8.5453137E-001,-1.2813559E-001,-1.7710928E-002
-1.1864407E-001, 5.8308453E+007,-1.1864407E-001, 7.4536215E-005,-1.1864407E-001, 7.8861489E-005,-1.1864407E-001, 8.0861151E-005,-1.1864407E-001,-1.0205064E+000,-1.1864407E-001,-1.7421126E+000,-1.1864407E-001,-2.4459322E-002,-1.1864407E-001, 6.6513502E+007,-1.1864407E-001, 8.2368772E-005,-1.1864407E-001, 9.0035395E-005,-1.1864407E-001, 9.2457854E-005,-1.1864407E-001,-7.9230831E-001,-1.1864407E-001,-9.7333397E-001,-1.1864407E-001,-2.1477472E-002
-1.0915254E-001, 9.6700203E+007,-1.0915254E-001, 6.8319324E-005,-1.0915254E-001, 7.4474428E-005,-1.0915254E-001, 7.6800756E-005,-1.0915254E-001,-1.0079742E+000,-1.0915254E-001,-1.6784753E+000,-1.0915254E-001,-3.1441353E-002,-1.0915254E-001, 1.0249923E+008,-1.0915254E-001, 7.4191894E-005,-1.0915254E-001, 8.4090904E-005,-1.0915254E-001, 8.7629151E-005,-1.0915254E-001,-9.7932394E-001,-1.0915254E-001,-1.0996470E+000,-1.0915254E-001,-3.1113650E-002
-9.9661017E-002, 1.4883695E+008,-9.9661017E-002, 6.4867738E-005,-9.9661017E-002, 7.0343351E-005,-9.9661017E-002, 7.2803796E-005,-9.9661017E-002,-1.1011450E+000,-9.9661017E-002,-1.7348628E+000,-9.9661017E-002,-3.9948539E-002,-9.9661017E-002, 1.8731075E+008,-9.9661017E-002, 6.3518756E-005,-9.9661017E-002, 7.7249737E-005,-9.9661017E-002, 8.1787817E-005,-9.9661017E-002,-1.1371966E+000,-9.9661017E-002,-1.2057158E+000,-9.9661017E-002,-4.2725012E-002
-9.0169492E-002, 2.4397371E+008,-9.0169492E-002, 6.0700386E-005,-9.0169492E-002, 6.6180955E-005,-9.0169492E-002, 6.9013986E-005,-9.0169492E-002,-1.2615750E+000,-9.0169492E-002,-1.9070622E+000,-9.0169492E-002,-6.1364352E-002,-9.0169492E-002, 3.2657419E+008,-9.0169492E-002, 5.4680880E-005,-9.0169492E-002, 6.9635627E-005,-9.0169492E-002, 7.5228067E-005,-9.0169492E-002,-1.4175570E+000,-9.0169492E-002,-1.4284842E+000,-9.0169492E-002,-6.0180446E-002
-8.0677966E-002, 3.2638243E+008,-8.0677966E-002, 5.6652153E-005,-8.0677966E-002, 6.3404577E-005,-8.0677966E-002, 6.6739002E-005,-8.0677966E-002,-1.5259283E+000,-8.0677966E-002,-2.2105882E+000,-8.0677966E-002,-8.0310804E-002,-8.0677966E-002, 5.0766142E+008,-8.0677966E-002, 4.8671881E-005,-8.0677966E-002, 6.3981109E-005,-8.0677966E-002, 6.9949504E-005,-8.0677966E-002,-1.8338074E+000,-8.0677966E-002,-1.7794353E+000,-8.0677966E-002,-8.7195938E-002
-7.1186441E-002, 4.7421675E+008,-7.1186441E-002, 5.0724959E-005,-7.1186441E-002, 5.8655332E-005,-7.1186441E-002, 6.2654037E-005,-7.1186441E-002,-1.9126851E+000,-7.1186441E-002,-2.5606991E+000,-7.1186441E-002,-1.0233911E-001,-7.1186441E-002, 7.0853014E+008,-7.1186441E-002, 4.3184901E-005,-7.1186441E-002, 5.9087693E-005,-7.1186441E-002, 6.5687892E-005,-7.1186441E-002,-2.3559496E+000,-7.1186441E-002,-2.2803178E+000,-7.1186441E-002,-1.0594704E-001
-6.1694915E-002, 6.7670998E+008,-6.1694915E-002, 4.5453673E-005,-6.1694915E-002, 5.4266257E-005,-6.1694915E-002, 5.8775255E-005,-6.1694915E-002,-2.4152290E+000,-6.1694915E-002,-3.0618254E+000,-6.1694915E-002,-1.3187510E-001,-6.1694915E-002, 9.6111209E+008,-6.1694915E-002, 3.8039636E-005,-6.1694915E-002, 5.4732702E-005,-6.1694915E-002, 6.1997140E-005,-6.1694915E-002,-2.9380214E+000,-6.1694915E-002,-2.8336854E+000,-6.1694915E-002,-1.3307981E-001
-5.2203390E-002, 9.6103317E+008,-5.2203390E-002, 4.0100617E-005,-5.2203390E-002, 5.0583176E-005,-5.2203390E-002, 5.5937740E-005,-5.2203390E-002,-3.1824704E+000,-5.2203390E-002,-3.8348037E+000,-5.2203390E-002,-1.7643245E-001,-5.2203390E-002, 1.1843220E+009,-5.2203390E-002, 3.4790255E-005,-5.2203390E-002, 5.1542680E-005,-5.2203390E-002, 5.9210757E-005,-5.2203390E-002,-3.5005954E+000,-5.2203390E-002,-3.3565658E+000,-5.2203390E-002,-1.6193503E-001
-4.2711864E-002, 1.3189144E+009,-4.2711864E-002, 3.5247836E-005,-4.2711864E-002, 4.6871541E-005,-4.2711864E-002, 5.3184840E-005,-4.2711864E-002,-4.0551507E+000,-4.2711864E-002,-4.7491115E+000,-4.2711864E-002,-2.2348663E-001,-4.2711864E-002, 1.4641669E+009,-4.2711864E-002, 3.2198652E-005,-4.2711864E-002, 4.8265262E-005,-4.2711864E-002, 5.6132237E-005,-4.2711864E-002,-4.1720947E+000,-4.2711864E-002,-4.0710114E+000,-4.2711864E-002,-1.9377443E-001
-3.3220339E-002, 1.8867785E+009,-3.3220339E-002, 3.0576412E-005,-3.3220339E-002, 4.3067466E-005,-3.3220339E-002, 5.0132025E-005,-3.3220339E-002,-5.0727746E+000,-3.3220339E-002,-5.7635494E+000,-3.3220339E-002,-2.7669724E-001,-3.3220339E-002, 1.8807817E+009,-3.3220339E-002, 2.9095339E-005,-3.3220339E-002, 4.4827856E-005,-3.3220339E-002, 5.3187890E-005,-3.3220339E-002,-4.9020202E+000,-3.3220339E-002,-4.8203125E+000,-3.3220339E-002,-2.2872851E-001
-2.3728814E-002, 2.7227651E+009,-2.3728814E-002, 2.6419285E-005,-2.3728814E-002, 3.9229288E-005,-2.3728814E-002, 4.7184565E-005,-2.3728814E-002,-6.0261178E+000,-2.3728814E-002,-6.8497559E+000,-2.3728814E-002,-3.3027898E-001,-2.3728814E-002, 2.3842347E+009,-2.3728814E-002, 2.7193696E-005,-2.3728814E-002, 4.2046052E-005,-2.3728814E-002, 5.0466461E-005,-2.3728814E-002,-5.4973291E+000,-2.3728814E-002,-5.4949365E+000,-2.3728814E-002,-2.6655870E-001
-1.4237288E-002, 3.7276642E+009,-1.4237288E-002, 2.3998547E-005,-1.4237288E-002, 3.6268653E-005,-1.4237288E-002, 4.4560231E-005,-1.4237288E-002,-6.6965690E+000,-1.4237288E-002,-7.6690093E+000,-1.4237288E-002,-3.9300224E-001,-1.4237288E-002, 3.0003923E+009,-1.4237288E-002, 2.6000370E-005,-1.4237288E-002, 4.0052878E-005,-1.4237288E-002, 4.8303817E-005,-1.4237288E-002,-5.9344439E+000,-1.4237288E-002,-6.0210041E+000,-1.4237288E-002,-3.2656842E-001
-4.7457627E-003, 4.6004015E+009,-4.7457627E-003, 2.2635683E-005,-4.7457627E-003, 3.4454120E-005,-4.7457627E-003, 4.2696251E-005,-4.7457627E-003,-7.0474285E+000,-4.7457627E-003,-8.0610863E+000,-4.7457627E-003,-4.3568849E-001,-4.7457627E-003, 3.5011709E+009,-4.7457627E-003, 2.4944995E-005,-4.7457627E-003, 3.8566621E-005,-4.7457627E-003, 4.6827223E-005,-4.7457627E-003,-6.1713423E+000,-4.7457627E-003,-6.3304471E+000,-4.7457627E-003,-3.5445601E-001
 4.7457627E-003, 4.5616902E+009, 4.7457627E-003, 2.2606716E-005, 4.7457627E-003, 3.4653326E-005, 4.7457627E-003, 4.2934979E-005, 4.7457627E-003,-7.0869502E+000, 4.7457627E-003,-8.1003934E+000, 4.7457627E-003,-4.3692523E-001, 4.7457627E-003, 3.4730385E+009, 4.7457627E-003, 2.5074581E-005, 4.7457627E-003, 3.8433188E-005, 4.7457627E-003, 4.6303071E-005, 4.7457627E-003,-6.1683371E+000, 4.7457627E-003,-6.3270823E+000, 4.7457627E-003,-3.5359173E-001
 1.4237288E-002, 3.7412922E+009, 1.4237288E-002, 2.3846925E-005, 1.4237288E-002, 3.6215258E-005, 1.4237288E-002, 4.4393604E-005, 1.4237288E-002,-6.7645695E+000, 1.4237288E-002,-7.7197249E+000, 1.4237288E-002,-3.9046944E-001, 1.4237288E-002, 2.9861728E+009, 1.4237288E-002, 2.6017927E-005, 1.4237288E-002, 4.0074381E-005, 1.4237288E-002, 4.8016632E-005, 1.4237288E-002,-5.9243750E+000, 1.4237288E-002,-6.0541347E+000, 1.4237288E-002,-3.2240233E-001
 2.3728814E-002, 2.8064659E+009, 2.3728814E-002, 2.6217711E-005, 2.3728814E-002, 3.8709371E-005, 2.3728814E-002, 4.6485331E-005, 2.3728814E-002,-6.0718528E+000, 2.3728814E-002,-6.9013178E+000, 2.3728814E-002,-3.2820044E-001, 2.3728814E-002, 2.4250539E+009, 2.3728814E-002, 2.7323430E-005, 2.3728814E-002, 4.2086555E-005, 2.3728814E-002, 5.0289536E-005, 2.3728814E-002,-5.4623749E+000, 2.3728814E-002,-5.5384332E+000, 2.3728814E-002,-2.7873143E-001
 3.3220339E-002, 1.9808698E+009, 3.3220339E-002, 2.9580239E-005, 3.3220339E-002, 4.1918919E-005, 3.3220339E-002, 4.9307933E-005, 3.3220339E-002,-5.1419252E+000, 3.3220339E-002,-5.9037433E+000, 3.3220339E-002,-2.6280255E-001, 3.3220339E-002, 1.9531698E+009, 3.3220339E-002, 2.9116447E-005, 3.3220339E-002, 4.4456044E-005, 3.3220339E-002, 5.2681616E-005, 3.3220339E-002,-4.8704230E+000, 3.3220339E-002,-4.8482979E+000, 3.3220339E-002,-2.3656957E-001
 4.2711864E-002, 1.3972154E+009, 4.2711864E-002, 3.3977254E-005, 4.2711864E-002, 4.5774430E-005, 4.2711864E-002, 5.2352473E-005, 4.2711864E-002,-4.1409949E+000, 4.2711864E-002,-4.8380325E+000, 4.2711864E-002,-2.1483464E-001, 4.2711864E-002, 1.5559084E+009, 4.2711864E-002, 3.1675839E-005, 4.2711864E-002, 4.7810608E-005, 4.2711864E-002, 5.5799834E-005, 4.2711864E-002,-4.2023486E+000, 4.2711864E-002,-4.1048126E+000, 4.2711864E-002,-2.0250949E-001
 5.2203390E-002, 1.0291441E+009, 5.2203390E-002, 3.8434787E-005, 5.2203390E-002, 4.9661147E-005, 5.2203390E-002, 5.5354306E-005, 5.2203390E-002,-3.2691943E+000, 5.2203390E-002,-3.8998409E+000, 5.2203390E-002,-1.7733793E-001, 5.2203390E-002, 1.2587494E+009, 5.2203390E-002, 3.4754723E-005, 5.2203390E-002, 5.1626279E-005, 5.2203390E-002, 5.9283974E-005, 5.2203390E-002,-3.5012893E+000, 5.2203390E-002,-3.3530754E+000, 5.2203390E-002,-1.7088863E-001
 6.1694915E-002, 7.3967706E+008, 6.1694915E-002, 4.2886596E-005, 6.1694915E-002, 5.3527804E-005, 6.1694915E-002, 5.8538196E-005, 6.1694915E-002,-2.5440019E+000, 6.1694915E-002,-3.1579593E+000, 6.1694915E-002,-1.3899350E-001, 6.1694915E-002, 9.9568484E+008, 6.1694915E-002, 3.7693941E-005, 6.1694915E-002, 5.5235118E-005, 6.1694915E-002, 6.2509816E-005, 6.1694915E-002,-2.9664338E+000, 6.1694915E-002,-2.7236054E+000, 6.1694915E-002,-1.4253433E-001
 7.1186441E-002, 4.9818738E+008, 7.1186441E-002, 4.9183208E-005, 7.1186441E-002, 5.8352688E-005, 7.1186441E-002, 6.2418361E-005, 7.1186441E-002,-1.9581472E+000, 7.1186441E-002,-2.5450807E+000, 7.1186441E-002,-1.0194007E-001, 7.1186441E-002, 7.0584087E+008, 7.1186441E-002, 4.1267966E-005, 7.1186441E-002, 5.9379324E-005, 7.1186441E-002, 6.6503159E-005, 7.1186441E-002,-2.4618557E+000, 7.1186441E-002,-2.2880907E+000, 7.1186441E-002,-1.0700220E-001
 8.0677966E-002, 3.4392910E+008, 8.0677966E-002, 5.6903787E-005, 8.0677966E-002, 6.2869672E-005, 8.0677966E-002, 6.5791354E-005, 8.0677966E-002,-1.5064785E+000, 8.0677966E-002,-2.0438463E+000, 8.0677966E-002,-8.0026380E-002, 8.0677966E-002, 4.8737428E+008, 8.0677966E-002, 4.6365442E-005, 8.0677966E-002, 6.4206587E-005, 8.0677966E-002, 7.0754432E-005, 8.0677966E-002,-1.9652350E+000, 8.0677966E-002,-1.8606921E+000, 8.0677966E-002,-8.2033581E-002
 9.0169492E-002, 2.3620046E+008, 9.0169492E-002, 6.1969659E-005, 9.0169492E-002, 6.6656687E-005, 9.0169492E-002, 6.9073074E-005, 9.0169492E-002,-1.2622414E+000, 9.0169492E-002,-1.7590106E+000, 9.0169492E-002,-5.8203909E-002, 9.0169492E-002, 3.4651751E+008, 9.0169492E-002, 5.1788887E-005, 9.0169492E-002, 6.8376043E-005, 9.0169492E-002, 7.4102522E-005, 9.0169492E-002,-1.5850639E+000, 9.0169492E-002,-1.5419688E+000, 9.0169492E-002,-6.0735527E-002
 9.9661017E-002, 1.4832913E+008, 9.9661017E-002, 6.7079420E-005, 9.9661017E-002, 7.0649896E-005, 9.9661017E-002, 7.2858914E-005, 9.9661017E-002,-1.1072296E+000, 9.9661017E-002,-1.6856630E+000, 9.9661017E-002,-4.5234937E-002, 9.9661017E-002, 2.5102267E+008, 9.9661017E-002, 5.5007540E-005, 9.9661017E-002, 7.3267724E-005, 9.9661017E-002, 7.8692089E-005, 9.9661017E-002,-1.2776903E+000, 9.9661017E-002,-1.2835752E+000, 9.9661017E-002,-4.6405092E-002
 1.0915254E-001, 8.0149958E+007, 1.0915254E-001, 7.2339498E-005, 1.0915254E-001, 7.5732186E-005, 1.0915254E-001, 7.7887869E-005, 1.0915254E-001,-1.0933138E+000, 1.0915254E-001,-1.7987287E+000, 1.0915254E-001,-3.2027949E-002, 1.0915254E-001, 1.4964890E+008, 1.0915254E-001, 6.1651655E-005, 1.0915254E-001, 8.0111852E-005, 1.0915254E-001, 8.4799761E-005, 1.0915254E-001,-1.0344974E+000, 1.0915254E-001,-1.0799952E+000, 1.0915254E-001,-3.2948067E-002
 1.1864407E-001, 5.9081237E+007, 1.1864407E-001, 7.3869251E-005, 1.1864407E-001, 7.7686227E-005, 1.1864407E-001, 7.9946041E-005, 1.1864407E-001,-1.0443062E+000, 1.1864407E-001,-1.7567340E+000, 1.1864407E-001,-2.3416541E-002, 1.1864407E-001, 9.4289144E+007, 1.1864407E-001, 7.4139064E-005, 1.1864407E-001, 8.4705626E-005, 1.1864407E-001, 8.8209238E-005, 1.1864407E-001,-8.4920155E-001, 1.1864407E-001,-9.3699011E-001, 1.1864407E-001,-2.4553250E-002
 1.2813559E-001, 4.7935971E+007, 1.2813559E-001, 7.5433606E-005, 1.2813559E-001, 7.9186524E-005, 1.2813559E-001, 8.1359374E-005, 1.2813559E-001,-9.1180042E-001, 1.2813559E-001,-1.5870678E+000, 1.2813559E-001,-1.8158865E-002, 1.2813559E-001, 7.1682789E+007, 1.2813559E-001, 8.1828059E-005, 1.2813559E-001, 8.8292753E-005, 1.2813559E-001, 9.0834784E-005, 1.2813559E-001,-7.3993684E-001, 1.2813559E-001,-8.2186105E-001, 1.2813559E-001,-2.0450892E-002
 1.3762712E-001, 3.5000548E+007, 1.3762712E-001, 8.0361715E-005, 1.3762712E-001, 8.2009068E-005, 1.3762712E-001, 8.3306773E-005, 1.3762712E-001,-8.1119125E-001, 1.3762712E-001,-1.4152174E+000, 1.3762712E-001,-1.3877114E-002, 1.3762712E-001, 5.0769466E+007, 1.3762712E-001, 8.7588719E-005, 1.3762712E-001, 9.2417017E-005, 1.3762712E-001, 9.4474425E-005, 1.3762712E-001,-6.2640041E-001, 1.3762712E-001,-7.6124507E-001, 1.3762712E-001,-1.4640537E-002
 1.4711864E-001, 3.5733820E+007, 1.4711864E-001, 8.2419162E-005, 1.4711864E-001, 8.3647250E-005, 1.4711864E-001, 8.4560965E-005, 1.4711864E-001,-7.4188825E-001, 1.4711864E-001,-1.1815498E+000, 1.4711864E-001,-1.1565668E-002, 1.4711864E-001, 3.7012416E+007, 1.4711864E-001, 9.3362609E-005, 1.4711864E-001, 9.6038487E-005, 1.4711864E-001, 9.7619272E-005, 1.4711864E-001,-5.9639821E-001, 1.4711864E-001,-7.4371220E-001, 1.4711864E-001,-1.2839614E-002
 1.5661017E-001, 2.8710868E+007, 1.5661017E-001, 8.3537706E-005, 1.5661017E-001, 8.4813974E-005, 1.5661017E-001, 8.5781954E-005, 1.5661017E-001,-7.0688421E-001, 1.5661017E-001,-1.1123377E+000, 1.5661017E-001,-1.0081406E-002, 1.5661017E-001, 2.6466103E+007, 1.5661017E-001, 9.6984138E-005, 1.5661017E-001, 9.9634570E-005, 1.5661017E-001, 1.0117319E-004, 1.5661017E-001,-5.6633154E-001, 1.5661017E-001,-7.3160725E-001, 1.5661017E-001,-9.8179293E-003
 1.6610169E-001, 1.0111471E+007, 1.6610169E-001, 8.7132051E-005, 1.6610169E-001, 8.9599588E-005, 1.6610169E-001, 9.1365552E-005, 1.6610169E-001,-9.9535835E-001, 1.6610169E-001,-1.6892783E+000, 1.6610169E-001,-6.7252506E-003, 1.6610169E-001, 1.9952941E+007, 1.6610169E-001, 9.9336535E-005, 1.6610169E-001, 1.0181706E-004, 1.6610169E-001, 1.0326701E-004, 1.6610169E-001,-5.4242335E-001, 1.6610169E-001,-7.1437480E-001, 1.6610169E-001,-7.9405110E-003
 1.7559322E-001, 8.7541676E+006, 1.7559322E-001, 8.9224353E-005, 1.7559322E-001, 9.1233813E-005, 1.7559322E-001, 9.2674388E-005, 1.7559322E-001,-9.7959463E-001, 1.7559322E-001,-1.6335059E+000, 1.7559322E-001,-5.6340149E-003, 1.7559322E-001, 1.4115374E+007, 1.7559322E-001, 1.0143830E-004, 1.7559322E-001, 1.0392394E-004, 1.7559322E-001, 1.0537167E-004, 1.7559322E-001,-5.2981683E-001, 1.7559322E-001,-6.8819368E-001, 1.7559322E-001,-5.8076636E-003
