m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
-3.3220339E-002, 1.8289150E+009,-3.3220339E-002, 3.1708842E-005,-3.3220339E-002, 4.2769158E-005,-3.3220339E-002, 4.9365270E-005,-3.3220339E-002,-5.0102059E+000,-3.3220339E-002,-5.7970623E+000,-3.3220339E-002,-2.7795185E-001,-3.3220339E-002, 1.8704154E+009,-3.3220339E-002, 3.0428999E-005,-3.3220339E-002, 4.4915708E-005,-3.3220339E-002, 5.2678170E-005,-3.3220339E-002,-4.7767637E+000,-3.3220339E-002,-4.7467896E+000,-3.3220339E-002,-2.3565186E-001
-2.3728814E-002, 3.0708497E+009,-2.3728814E-002, 2.6721173E-005,-2.3728814E-002, 3.8361522E-005,-2.3728814E-002, 4.5620800E-005,-2.3728814E-002,-5.6394840E+000,-2.3728814E-002,-6.4443597E+000,-2.3728814E-002,-3.3890781E-001,-2.3728814E-002, 3.0342062E+009,-2.3728814E-002, 2.6598810E-005,-2.3728814E-002, 4.0471534E-005,-2.3728814E-002, 4.8509999E-005,-2.3728814E-002,-5.2789905E+000,-2.3728814E-002,-5.3193028E+000,-2.3728814E-002,-2.9421254E-001
-1.4237288E-002, 5.0346706E+009,-1.4237288E-002, 2.3023633E-005,-1.4237288E-002, 3.4427939E-005,-1.4237288E-002, 4.2190785E-005,-1.4237288E-002,-6.1525275E+000,-1.4237288E-002,-7.0245394E+000,-1.4237288E-002,-4.1179827E-001,-1.4237288E-002, 4.5779738E+009,-1.4237288E-002, 2.4029996E-005,-1.4237288E-002, 3.6832324E-005,-1.4237288E-002, 4.4696292E-005,-1.4237288E-002,-5.6902348E+000,-1.4237288E-002,-5.8345865E+000,-1.4237288E-002,-3.6891888E-001
-4.7457627E-003, 6.6459101E+009,-4.7457627E-003, 2.1453228E-005,-4.7457627E-003, 3.2365885E-005,-4.7457627E-003, 4.0207311E-005,-4.7457627E-003,-6.3208628E+000,-4.7457627E-003,-7.2266625E+000,-4.7457627E-003,-4.6037773E-001,-4.7457627E-003, 5.6538709E+009,-4.7457627E-003, 2.2974529E-005,-4.7457627E-003, 3.4927992E-005,-4.7457627E-003, 4.2389412E-005,-4.7457627E-003,-5.8141798E+000,-4.7457627E-003,-6.0055733E+000,-4.7457627E-003,-4.1005621E-001
 4.7457627E-003, 6.6472416E+009, 4.7457627E-003, 2.1449880E-005, 4.7457627E-003, 3.2390047E-005, 4.7457627E-003, 4.0280883E-005, 4.7457627E-003,-6.2990198E+000, 4.7457627E-003,-7.2153871E+000, 4.7457627E-003,-4.5706244E-001, 4.7457627E-003, 5.6810476E+009, 4.7457627E-003, 2.3007379E-005, 4.7457627E-003, 3.4699441E-005, 4.7457627E-003, 4.2194625E-005, 4.7457627E-003,-5.7878130E+000, 4.7457627E-003,-5.9739121E+000, 4.7457627E-003,-4.0402146E-001
 1.4237288E-002, 5.0764409E+009, 1.4237288E-002, 2.3057622E-005, 1.4237288E-002, 3.4414513E-005, 1.4237288E-002, 4.1940460E-005, 1.4237288E-002,-6.1020638E+000, 1.4237288E-002,-6.9107539E+000, 1.4237288E-002,-4.1321579E-001, 1.4237288E-002, 4.3621195E+009, 1.4237288E-002, 2.4175004E-005, 1.4237288E-002, 3.6924392E-005, 1.4237288E-002, 4.4706378E-005, 1.4237288E-002,-5.6334329E+000, 1.4237288E-002,-5.7442942E+000, 1.4237288E-002,-3.5400058E-001
 2.3728814E-002, 3.1201877E+009, 2.3728814E-002, 2.6554496E-005, 2.3728814E-002, 3.8145495E-005, 2.3728814E-002, 4.5377528E-005, 2.3728814E-002,-5.6108040E+000, 2.3728814E-002,-6.3964919E+000, 2.3728814E-002,-3.3383372E-001, 2.3728814E-002, 2.8346395E+009, 2.3728814E-002, 2.6862796E-005, 2.3728814E-002, 4.0934138E-005, 2.3728814E-002, 4.8883751E-005, 2.3728814E-002,-5.2210991E+000, 2.3728814E-002,-5.2256793E+000, 2.3728814E-002,-2.8393904E-001
 3.3220339E-002, 1.7945916E+009, 3.3220339E-002, 3.1522928E-005, 3.3220339E-002, 4.2505814E-005, 3.3220339E-002, 4.9011460E-005, 3.3220339E-002,-4.9979340E+000, 3.3220339E-002,-5.7036363E+000, 3.3220339E-002,-2.6638610E-001, 3.3220339E-002, 1.7700712E+009, 3.3220339E-002, 3.0817076E-005, 3.3220339E-002, 4.5091932E-005, 3.3220339E-002, 5.2903082E-005, 3.3220339E-002,-4.7241202E+000, 3.3220339E-002,-4.6664043E+000, 3.3220339E-002,-2.2822344E-001
 4.2711864E-002, 1.0082551E+009, 4.2711864E-002, 3.8622665E-005, 4.2711864E-002, 4.7825637E-005, 4.2711864E-002, 5.3420595E-005, 4.2711864E-002,-4.0520405E+000, 4.2711864E-002,-4.8877676E+000, 4.2711864E-002,-1.9896880E-001, 4.2711864E-002, 1.0612532E+009, 4.2711864E-002, 3.6114958E-005, 4.2711864E-002, 5.0647399E-005, 4.2711864E-002, 5.8174022E-005, 4.2711864E-002,-4.0235865E+000, 4.2711864E-002,-3.9384463E+000, 4.2711864E-002,-1.7031929E-001
 5.2203390E-002, 6.8384984E+008, 5.2203390E-002, 4.4579352E-005, 5.2203390E-002, 5.2419206E-005, 5.2203390E-002, 5.7286349E-005, 5.2203390E-002,-3.1868720E+000, 5.2203390E-002,-4.0300705E+000, 5.2203390E-002,-1.6257234E-001, 5.2203390E-002, 6.9953107E+008, 5.2203390E-002, 4.2076505E-005, 5.2203390E-002, 5.5565855E-005, 5.2203390E-002, 6.2222038E-005, 5.2203390E-002,-3.3452793E+000, 5.2203390E-002,-3.2925551E+000, 5.2203390E-002,-1.4036051E-001
 6.1694915E-002, 4.5006422E+008, 6.1694915E-002, 5.0079594E-005, 6.1694915E-002, 5.7153340E-005, 6.1694915E-002, 6.1295150E-005, 6.1694915E-002,-2.5121163E+000, 6.1694915E-002,-3.3147497E+000, 6.1694915E-002,-1.1933676E-001, 6.1694915E-002, 4.9051455E+008, 6.1694915E-002, 4.7744938E-005, 6.1694915E-002, 6.0350084E-005, 6.1694915E-002, 6.6207194E-005, 6.1694915E-002,-2.7088102E+000, 6.1694915E-002,-2.6827057E+000, 6.1694915E-002,-1.0771266E-001
 7.1186441E-002, 3.4248510E+008, 7.1186441E-002, 5.5622677E-005, 7.1186441E-002, 6.1268561E-005, 7.1186441E-002, 6.4303202E-005, 7.1186441E-002,-1.9239365E+000, 7.1186441E-002,-2.6047479E+000, 7.1186441E-002,-9.2459853E-002, 7.1186441E-002, 3.9158808E+008, 7.1186441E-002, 5.2414631E-005, 7.1186441E-002, 6.4596961E-005, 7.1186441E-002, 6.9835152E-005, 7.1186441E-002,-2.1391774E+000, 7.1186441E-002,-2.1284319E+000, 7.1186441E-002,-8.7236823E-002
 8.0677966E-002, 2.5206255E+008, 8.0677966E-002, 6.0675247E-005, 8.0677966E-002, 6.5282287E-005, 8.0677966E-002, 6.7840755E-005, 8.0677966E-002,-1.5993553E+000, 8.0677966E-002,-2.2658539E+000, 8.0677966E-002,-7.1818928E-002, 8.0677966E-002, 2.7499320E+008, 8.0677966E-002, 5.8054990E-005, 8.0677966E-002, 7.0348351E-005, 8.0677966E-002, 7.5271547E-005, 8.0677966E-002,-1.6736592E+000, 8.0677966E-002,-1.7108425E+000, 8.0677966E-002,-6.8150716E-002
 9.0169492E-002, 1.6167757E+008, 9.0169492E-002, 6.6302787E-005, 9.0169492E-002, 6.9739654E-005, 9.0169492E-002, 7.1926232E-005, 9.0169492E-002,-1.3371667E+000, 9.0169492E-002,-2.0289558E+000, 9.0169492E-002,-5.6477399E-002, 9.0169492E-002, 1.9045363E+008, 9.0169492E-002, 6.2581293E-005, 9.0169492E-002, 7.4959003E-005, 9.0169492E-002, 7.9300504E-005, 9.0169492E-002,-1.4089749E+000, 9.0169492E-002,-1.4347889E+000, 9.0169492E-002,-4.8718522E-002
 9.9661017E-002, 1.0811057E+008, 9.9661017E-002, 7.1926595E-005, 9.9661017E-002, 7.4321708E-005, 9.9661017E-002, 7.6073499E-005, 9.9661017E-002,-1.1576347E+000, 9.9661017E-002,-1.8284053E+000, 9.9661017E-002,-4.1247758E-002, 9.9661017E-002, 1.3676294E+008, 9.9661017E-002, 6.8467977E-005, 9.9661017E-002, 7.9778240E-005, 9.9661017E-002, 8.3302979E-005, 9.9661017E-002,-1.1843476E+000, 9.9661017E-002,-1.2239777E+000, 9.9661017E-002,-3.6243535E-002
 1.0915254E-001, 7.3384457E+007, 1.0915254E-001, 7.5535646E-005, 1.0915254E-001, 7.7433201E-005, 1.0915254E-001, 7.8904603E-005, 1.0915254E-001,-9.8588471E-001, 1.0915254E-001,-1.6041149E+000, 1.0915254E-001,-2.6702788E-002, 1.0915254E-001, 8.8843118E+007, 1.0915254E-001, 7.9470041E-005, 1.0915254E-001, 8.5959765E-005, 1.0915254E-001, 8.8204157E-005, 1.0915254E-001,-9.2801264E-001, 1.0915254E-001,-1.0530944E+000, 1.0915254E-001,-2.8694656E-002
 1.1864407E-001, 5.8314216E+007, 1.1864407E-001, 7.8252281E-005, 1.1864407E-001, 7.9931821E-005, 1.1864407E-001, 8.1189482E-005, 1.1864407E-001,-9.2060558E-001, 1.1864407E-001,-1.4797883E+000, 1.1864407E-001,-2.2156948E-002, 1.1864407E-001, 6.1938842E+007, 1.1864407E-001, 8.7560025E-005, 1.1864407E-001, 9.0553411E-005, 1.1864407E-001, 9.2208622E-005, 1.1864407E-001,-8.0534183E-001, 1.1864407E-001,-9.7569110E-001, 1.1864407E-001,-2.1964820E-002
 1.2813559E-001, 3.9291454E+007, 1.2813559E-001, 8.1363711E-005, 1.2813559E-001, 8.2983644E-005, 1.2813559E-001, 8.4179253E-005, 1.2813559E-001,-9.4092035E-001, 1.2813559E-001,-1.5048345E+000, 1.2813559E-001,-1.6405719E-002, 1.2813559E-001, 4.3262766E+007, 1.2813559E-001, 9.1978816E-005, 1.2813559E-001, 9.4606879E-005, 1.2813559E-001, 9.6080441E-005, 1.2813559E-001,-7.3612359E-001, 1.2813559E-001,-9.0822391E-001, 1.2813559E-001,-1.7141097E-002
 1.3762712E-001, 2.5586407E+007, 1.3762712E-001, 8.4375897E-005, 1.3762712E-001, 8.6061131E-005, 1.3762712E-001, 8.7311746E-005, 1.3762712E-001,-9.5506424E-001, 1.3762712E-001,-1.5286329E+000, 1.3762712E-001,-1.3552527E-002, 1.3762712E-001, 3.1224899E+007, 1.3762712E-001, 9.5209945E-005, 1.3762712E-001, 9.7522325E-005, 1.3762712E-001, 9.8835686E-005, 1.3762712E-001,-6.7029709E-001, 1.3762712E-001,-8.2921324E-001, 1.3762712E-001,-1.2854847E-002
 1.4711864E-001, 2.7782465E+007, 1.4711864E-001, 8.5183375E-005, 1.4711864E-001, 8.6451821E-005, 1.4711864E-001, 8.7424385E-005, 1.4711864E-001,-7.7783791E-001, 1.4711864E-001,-1.2401596E+000, 1.4711864E-001,-1.2705372E-002, 1.4711864E-001, 2.1448261E+007, 1.4711864E-001, 9.8294404E-005, 1.4711864E-001, 1.0092775E-004, 1.4711864E-001, 1.0241730E-004, 1.4711864E-001,-6.4696252E-001, 1.4711864E-001,-8.3585705E-001, 1.4711864E-001,-9.6116610E-003
 1.5661017E-001, 2.0365052E+007, 1.5661017E-001, 8.5761927E-005, 1.5661017E-001, 8.7211717E-005, 1.5661017E-001, 8.8332974E-005, 1.5661017E-001,-7.3336103E-001, 1.5661017E-001,-1.2451837E+000, 1.5661017E-001,-8.3830206E-003, 1.5661017E-001, 1.6256289E+007, 1.5661017E-001, 1.0269474E-004, 1.5661017E-001, 1.0495029E-004, 1.5661017E-001, 1.0621055E-004, 1.5661017E-001,-6.1552376E-001, 1.5661017E-001,-8.0427734E-001, 1.5661017E-001,-7.9486473E-003
 1.6610169E-001, 1.6851562E+007, 1.6610169E-001, 8.6556143E-005, 1.6610169E-001, 8.7818790E-005, 1.6610169E-001, 8.8773172E-005, 1.6610169E-001,-6.5000112E-001, 1.6610169E-001,-1.0710735E+000, 1.6610169E-001,-5.7187436E-003, 1.6610169E-001, 1.3538514E+007, 1.6610169E-001, 1.0431811E-004, 1.6610169E-001, 1.0634524E-004, 1.6610169E-001, 1.0748957E-004, 1.6610169E-001,-5.9015345E-001, 1.6610169E-001,-7.5606280E-001, 1.6610169E-001,-6.1828681E-003
 1.7559322E-001, 9.4837032E+006, 1.7559322E-001, 8.8797789E-005, 1.7559322E-001, 9.0208736E-005, 1.7559322E-001, 9.1344961E-005, 1.7559322E-001,-7.3879359E-001, 1.7559322E-001,-1.2325055E+000, 1.7559322E-001,-4.4279585E-003, 1.7559322E-001, 1.1504849E+007, 1.7559322E-001, 1.0594896E-004, 1.7559322E-001, 1.0813936E-004, 1.7559322E-001, 1.0934987E-004, 1.7559322E-001,-5.7898676E-001, 1.7559322E-001,-7.5280302E-001, 1.7559322E-001,-5.2985319E-003
