s,m,,
Time,xT,x,flag val
 1.2800072E+002, 4.1255801E+000, 4.1255801E+000, 1.0000000E+000
 1.2900126E+002, 4.1630512E+000, 4.1630512E+000, 1.0000000E+000
 1.3000295E+002, 4.2203357E+000, 4.2203357E+000, 1.0000000E+000
 1.3100289E+002, 4.2709563E+000, 4.2709563E+000, 1.0000000E+000
 1.3200432E+002, 4.3149126E+000, 4.3149126E+000, 1.0000000E+000
 1.3300078E+002, 4.3675885E+000, 4.3675885E+000, 1.0000000E+000
 1.3400106E+002, 4.4236018E+000, 4.4236018E+000, 1.0000000E+000
 1.3500007E+002, 4.4737316E+000, 4.4737316E+000, 1.0000000E+000
 1.3600173E+002, 4.5354667E+000, 4.5354667E+000, 1.0000000E+000
 1.3700124E+002, 4.5839530E+000, 4.5839530E+000, 1.0000000E+000
 1.3800209E+002, 4.6291799E+000, 4.6291799E+000, 1.0000000E+000
 1.3900021E+002, 4.6820445E+000, 4.6820445E+000, 1.0000000E+000
 1.4000403E+002, 4.7309866E+000, 4.7309866E+000, 1.0000000E+000
 1.4100194E+002, 4.7827826E+000, 4.7827826E+000, 1.0000000E+000
 1.4200515E+002, 4.8324732E+000, 4.8324732E+000, 1.0000000E+000
 1.4300544E+002, 4.8815313E+000, 4.8815313E+000, 1.0000000E+000
 1.4400034E+002, 4.9386138E+000, 4.9386138E+000, 1.0000000E+000
 1.4500258E+002, 4.9846125E+000, 4.9846125E+000, 1.0000000E+000
 1.4600245E+002, 5.0414180E+000, 5.0414180E+000, 1.0000000E+000
 1.4700492E+002, 5.0954296E+000, 5.0954296E+000, 1.0000000E+000
 1.4800351E+002, 5.1566509E+000, 5.1566509E+000, 1.0000000E+000
 1.4900047E+002, 5.2364066E+000, 5.2364066E+000, 1.0000000E+000
 1.5000007E+002, 5.3046378E+000, 5.3046378E+000, 1.0000000E+000
 1.5100506E+002, 5.3750123E+000, 5.3750123E+000, 1.0000000E+000
 1.5200268E+002, 5.4328261E+000, 5.4328261E+000, 1.0000000E+000
 1.5300062E+002, 5.5144311E+000, 5.5144311E+000, 1.0000000E+000
 1.5400278E+002, 5.5814288E+000, 5.5814288E+000, 1.0000000E+000
 1.5500514E+002, 5.6438083E+000, 5.6438083E+000, 1.0000000E+000
 1.5600290E+002, 5.7153437E+000, 5.7153437E+000, 1.0000000E+000
 1.5700468E+002, 5.7742517E+000, 5.7742517E+000, 1.0000000E+000
 1.5800479E+002, 5.8234428E+000, 5.8234428E+000, 1.0000000E+000
 1.5900272E+002, 5.8642413E+000, 5.8642413E+000, 1.0000000E+000
 1.6000093E+002, 5.9063654E+000, 5.9063654E+000, 1.0000000E+000
 1.6100215E+002, 5.9504355E+000, 5.9504355E+000, 1.0000000E+000
 1.6200400E+002, 5.9965803E+000, 5.9965803E+000, 1.0000000E+000
 1.6300538E+002, 6.0400614E+000, 6.0400614E+000, 1.0000000E+000
 1.6400596E+002, 6.0895236E+000, 6.0895236E+000, 1.0000000E+000
 1.6500091E+002, 6.1413146E+000, 6.1413146E+000, 1.0000000E+000
 1.6600157E+002, 6.1926243E+000, 6.1926243E+000, 1.0000000E+000
 1.6700566E+002, 6.2313890E+000, 6.2313890E+000, 1.0000000E+000
 1.6800289E+002, 6.2885705E+000, 6.2885705E+000, 1.0000000E+000
 1.6900293E+002, 6.3400730E+000, 6.3400730E+000, 1.0000000E+000
 1.7000567E+002, 6.3900541E+000, 6.3900541E+000, 1.0000000E+000
 1.7100070E+002, 6.4439098E+000, 6.4439098E+000, 1.0000000E+000
 1.7200047E+002, 6.4914137E+000, 6.4914137E+000, 1.0000000E+000
 1.7300631E+002, 6.5394793E+000, 6.5394793E+000, 1.0000000E+000
 1.7400625E+002, 6.5948211E+000, 6.5948211E+000, 1.0000000E+000
 1.7500168E+002, 6.6429620E+000, 6.6429620E+000, 1.0000000E+000
 1.7600507E+002, 6.6964380E+000, 6.6964380E+000, 1.0000000E+000
 1.7700299E+002, 6.7481001E+000, 6.7481001E+000, 1.0000000E+000
 1.7800207E+002, 6.7886984E+000, 6.7886984E+000, 1.0000000E+000
 1.7900268E+002, 6.8296263E+000, 6.8296263E+000, 1.0000000E+000
 1.8000165E+002, 6.8789747E+000, 6.8789747E+000, 1.0000000E+000
 1.8100366E+002, 6.9266948E+000, 6.9266948E+000, 1.0000000E+000
 1.8200349E+002, 6.9727736E+000, 6.9727736E+000, 1.0000000E+000
