m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
 9.7068966E-003, 5.7103377E+001, 2.0730191E-001, 2.4196618E-009, 4.8319220E-005, 4.3007871E-004, 6.4708513E+001, 2.0662170E-001, 1.7692769E-009, 7.1677916E-005, 5.1882762E-004, 7.3697563E+001, 2.0583473E-001, 1.4128788E-009, 7.8392863E-005, 6.4420381E-004
 9.9590517E-003, 5.4154354E+001, 2.0757842E-001, 8.8287115E-010, 2.4757977E-005, 4.0313491E-004, 5.8296309E+001, 2.0720827E-001, 6.2758288E-010, 4.1260367E-005, 4.4232521E-004, 6.3637527E+001, 2.0674200E-001, 4.8280055E-010, 4.8951767E-005, 5.0390828E-004
 1.0211207E-002, 5.2734711E+001, 2.0771056E-001, 3.2091877E-010, 1.2254272E-005, 3.9286443E-004, 5.4911437E+001, 2.0751554E-001, 2.2349145E-010, 2.2876642E-005, 4.0954476E-004, 5.7968885E+001, 2.0724897E-001, 1.6518462E-010, 2.9432036E-005, 4.3857144E-004
 1.0463362E-002, 5.2066929E+001, 2.0777218E-001, 1.1600830E-010, 5.8820040E-006, 3.8905884E-004, 5.3170387E+001, 2.0767220E-001, 7.9909109E-011, 1.2271521E-005, 3.9594061E-004, 5.4862681E+001, 2.0752417E-001, 5.6723114E-011, 1.7115017E-005, 4.0916811E-004
 1.0715517E-002, 5.1759005E+001, 2.0780030E-001, 4.1624359E-011, 2.7458316E-006, 3.8768350E-004, 5.2294008E+001, 2.0775027E-001, 2.8662301E-011, 6.3893672E-006, 3.9044511E-004, 5.3198398E+001, 2.0767010E-001, 1.9575502E-011, 9.6581676E-006, 3.9629979E-004
 1.0967672E-002, 5.1619435E+001, 2.0781288E-001, 1.4799402E-011, 1.2493863E-006, 3.8719774E-004, 5.1861100E+001, 2.0778840E-001, 1.0301033E-011, 3.2367847E-006, 3.8827800E-004, 5.2323570E+001, 2.0774596E-001, 6.7929041E-012, 5.3019530E-006, 3.9080188E-004
 1.1219828E-002, 5.1557026E+001, 2.0781840E-001, 5.2071166E-012, 5.5510450E-007, 3.8702987E-004, 5.1650837E+001, 2.0780667E-001, 3.7027215E-012, 1.5983442E-006, 3.8744237E-004, 5.1871439E+001, 2.0778467E-001, 2.3704739E-012, 2.8365661E-006, 3.8850380E-004
 1.1471983E-002, 5.1529313E+001, 2.0782078E-001, 1.8122244E-012, 2.4119306E-007, 3.8697305E-004, 5.1550205E+001, 2.0781527E-001, 1.3294410E-012, 7.7050253E-007, 3.8712698E-004, 5.1641353E+001, 2.0780410E-001, 8.3147546E-013, 1.4810752E-006, 3.8756293E-004
 1.1724138E-002, 5.1516950E+001, 2.0782179E-001, 6.2523307E-013, 1.0262070E-007, 3.8695412E-004, 5.1502586E+001, 2.0781925E-001, 4.7698377E-013, 3.6304912E-007, 3.8701041E-004, 5.1525866E+001, 2.0781369E-001, 2.9327820E-013, 7.5557860E-007, 3.8718539E-004
 1.1976293E-002, 5.1511290E+001, 2.0782221E-001, 2.1726808E-013, 4.2804183E-008, 3.8694791E-004, 5.1480160E+001, 2.0782106E-001, 1.7288833E-013, 1.6738239E-007, 3.8696815E-004, 5.1468513E+001, 2.0781834E-001, 1.0458500E-013, 3.7697331E-007, 3.8703689E-004
 1.2228448E-002, 5.1508535E+001, 2.0782238E-001, 8.3830472E-014, 1.7521344E-008, 3.8694598E-004, 5.1469532E+001, 2.0782187E-001, 6.7563295E-014, 7.5582053E-008, 3.8695303E-004, 5.1440130E+001, 2.0782057E-001, 3.8950536E-014, 1.8408736E-007, 3.8697962E-004
 1.2480603E-002, 5.1507038E+001, 2.0782245E-001, 4.9043895E-014, 7.0449141E-009, 3.8694538E-004, 5.1464344E+001, 2.0782223E-001, 3.5595808E-014, 3.3454210E-008, 3.8694774E-004, 5.1425874E+001, 2.0782162E-001, 1.7475437E-014, 8.8048147E-008, 3.8695783E-004
 1.2732759E-002, 5.1506095E+001, 2.0782248E-001, 2.9444117E-014, 2.7846717E-009, 3.8694520E-004, 5.1461609E+001, 2.0782239E-001, 2.7392887E-014, 1.4525577E-008, 3.8694598E-004, 5.1418240E+001, 2.0782210E-001, 1.1909902E-014, 4.1273527E-008, 3.8694958E-004
 1.2984914E-002, 5.1505407E+001, 2.0782249E-001, 1.6740356E-014, 1.0829079E-009, 3.8694515E-004, 5.1459917E+001, 2.0782245E-001, 1.8801332E-014, 6.1910224E-009, 3.8694540E-004, 5.1413388E+001, 2.0782232E-001, 1.0937000E-014, 1.8972369E-008, 3.8694665E-004
 1.3237069E-002, 5.1504835E+001, 2.0782250E-001, 9.0969870E-015, 4.1459807E-010, 3.8694514E-004, 5.1458562E+001, 2.0782248E-001, 1.1990825E-014, 2.5918309E-009, 3.8694521E-004, 5.1409197E+001, 2.0782242E-001, 9.0969986E-015, 8.5563413E-009, 3.8694563E-004
 1.3489224E-002, 5.1504297E+001, 2.0782250E-001, 4.7700356E-015, 1.5636979E-010, 3.8694513E-004, 5.1457098E+001, 2.0782249E-001, 7.2239794E-015, 1.0663770E-009, 3.8694516E-004, 5.1404230E+001, 2.0782247E-001, 6.5484372E-015, 3.7876236E-009, 3.8694529E-004
 1.3741379E-002, 5.1503715E+001, 2.0782250E-001, 2.4324810E-015, 5.8131935E-011, 3.8694513E-004, 5.1455113E+001, 2.0782250E-001, 4.1538171E-015, 4.3141648E-010, 3.8694514E-004, 5.1397161E+001, 2.0782248E-001, 4.3267366E-015, 1.6463914E-009, 3.8694518E-004
 1.3993534E-002, 5.1502968E+001, 2.0782250E-001, 1.2619911E-015, 2.1312574E-011, 3.8694513E-004, 5.1452075E+001, 2.0782250E-001, 2.3094451E-015, 1.7169811E-010, 3.8694513E-004, 5.1386411E+001, 2.0782249E-001, 2.6902546E-015, 7.0298084E-010, 3.8694515E-004
 1.4245690E-002, 5.1501858E+001, 2.0782250E-001, 6.4708547E-016, 7.7093313E-012, 3.8694513E-004, 5.1447183E+001, 2.0782250E-001, 1.3050474E-015, 6.7250918E-011, 3.8694513E-004, 5.1369852E+001, 2.0782250E-001, 1.6706450E-015, 2.9494281E-010, 3.8694514E-004
 1.4497845E-002, 5.1500035E+001, 2.0782250E-001, 3.2527924E-016, 2.7525534E-012, 3.8694513E-004, 5.1439207E+001, 2.0782250E-001, 7.2429226E-016, 2.5933238E-011, 3.8694513E-004, 5.1344530E+001, 2.0782250E-001, 1.0172465E-015, 1.2163030E-010, 3.8694513E-004
 1.4750000E-002, 5.1496906E+001, 2.0782250E-001, 1.6062793E-016, 9.7039802E-013, 3.8694513E-004, 5.1426276E+001, 2.0782250E-001, 3.9204213E-016, 9.8488381E-012, 3.8694513E-004, 5.1306374E+001, 2.0782250E-001, 6.0010931E-016, 4.9314119E-011, 3.8694513E-004
