m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
 9.2025862E-003, 7.7550451E+001, 2.0572586E-001, 2.2339249E-014, 7.8898299E-005, 6.6544346E-004, 1.0029919E+002, 2.0388212E-001, 1.8365214E-014, 8.5882168E-005, 1.0275519E-003, 1.2135527E+002, 2.0207966E-001, 1.5132682E-014, 7.5847050E-005, 1.4264242E-003
 9.4547414E-003, 6.4433349E+001, 2.0680168E-001, 4.8256183E-015, 4.4600540E-005, 4.9545644E-004, 7.8209145E+001, 2.0570210E-001, 4.5968031E-015, 5.5197530E-005, 6.7246740E-004, 9.2272286E+001, 2.0451635E-001, 4.0661478E-015, 5.3031679E-005, 8.9365381E-004
 9.7068966E-003, 5.7700076E+001, 2.0734371E-001, 3.3246479E-015, 2.3826018E-005, 4.2719191E-004, 6.5571065E+001, 2.0672594E-001, 3.2518079E-015, 3.3484812E-005, 5.0769701E-004, 7.4402500E+001, 2.0599305E-001, 3.0484465E-015, 3.5098320E-005, 6.2139707E-004
 9.9590517E-003, 5.4390427E+001, 2.0760469E-001, 2.5357179E-015, 1.2133345E-005, 4.0128368E-004, 5.8682517E+001, 2.0727341E-001, 2.4685791E-015, 1.9324770E-005, 4.3588650E-004, 6.3960070E+001, 2.0684238E-001, 2.3265190E-015, 2.2127338E-005, 4.9090259E-004
 1.0211207E-002, 5.2817709E+001, 2.0772599E-001, 1.8910012E-015, 5.9279938E-006, 3.9187928E-004, 5.5065465E+001, 2.0755487E-001, 1.8512306E-015, 1.0679783E-005, 4.0608778E-004, 5.8092419E+001, 2.0731120E-001, 1.7510225E-015, 1.3367958E-005, 4.3145178E-004
 1.0463362E-002, 5.2090951E+001, 2.0778074E-001, 1.3740297E-015, 2.7915631E-006, 3.8859060E-004, 5.3221656E+001, 2.0769511E-001, 1.3661801E-015, 5.6800818E-006, 3.9420194E-004, 5.4894766E+001, 2.0756177E-001, 1.3000202E-015, 7.7768358E-006, 4.0543548E-004
 1.0715517E-002, 5.1763111E+001, 2.0780483E-001, 9.7052627E-016, 1.2714645E-006, 3.8747799E-004, 5.2304952E+001, 2.0776317E-001, 9.8933264E-016, 2.9181136E-006, 3.8961818E-004, 5.3194820E+001, 2.0769222E-001, 9.5168971E-016, 4.3729646E-006, 3.9442208E-004
 1.0967672E-002, 5.1618271E+001, 2.0781517E-001, 6.6556831E-016, 5.6166742E-007, 3.8711293E-004, 5.1858973E+001, 2.0779542E-001, 7.0172424E-016, 1.4523621E-006, 3.8790327E-004, 5.2310153E+001, 2.0775862E-001, 6.8626726E-016, 2.3839347E-006, 3.8989300E-004
 1.1219828E-002, 5.1555317E+001, 2.0781952E-001, 4.4318896E-016, 2.4127062E-007, 3.8699659E-004, 5.1646246E+001, 2.0781037E-001, 4.8712983E-016, 7.0226639E-007, 3.8727968E-004, 5.1858381E+001, 2.0779171E-001, 4.8697504E-016, 1.2636787E-006, 3.8807969E-004
 1.1471983E-002, 5.1528192E+001, 2.0782131E-001, 2.8712027E-016, 1.0118551E-007, 3.8696049E-004, 5.1546477E+001, 2.0781715E-001, 3.3107701E-016, 3.3134441E-007, 3.8705916E-004, 5.1631681E+001, 2.0780787E-001, 3.3980483E-016, 6.5407110E-007, 3.8737242E-004
 1.1724138E-002, 5.1516426E+001, 2.0782202E-001, 1.8188728E-016, 4.1946859E-008, 3.8694963E-004, 5.1500283E+001, 2.0782016E-001, 2.2064172E-016, 1.5423979E-007, 3.8698352E-004, 5.1519652E+001, 2.0781559E-001, 2.3307374E-016, 3.3339118E-007, 3.8710413E-004
 1.1976293E-002, 5.1511136E+001, 2.0782230E-001, 1.1376397E-016, 1.7995798E-008, 3.8694652E-004, 5.1479004E+001, 2.0782144E-001, 1.4455816E-016, 7.2832136E-008, 3.8695847E-004, 5.1464936E+001, 2.0781919E-001, 1.5708962E-016, 1.6978098E-007, 3.8700550E-004
 1.2228448E-002, 5.1508549E+001, 2.0782245E-001, 5.3861534E-017, 5.0231468E-009, 3.8694538E-004, 5.1469099E+001, 2.0782218E-001, 7.4714261E-017, 2.3231306E-008, 3.8694787E-004, 5.1438301E+001, 2.0782141E-001, 8.5994860E-017, 6.0572345E-008, 3.8695980E-004
 1.2480603E-002, 5.1507095E+001, 2.0782248E-001, 3.0547293E-017, 1.9112955E-009, 3.8694520E-004, 5.1464301E+001, 2.0782237E-001, 4.5453573E-017, 9.8533856E-009, 3.8694596E-004, 5.1425107E+001, 2.0782202E-001, 5.4830316E-017, 2.8128792E-008, 3.8695007E-004
 1.2732759E-002, 5.1506131E+001, 2.0782249E-001, 1.6853596E-017, 7.1276800E-010, 3.8694515E-004, 5.1461740E+001, 2.0782245E-001, 2.6969923E-017, 4.0864134E-009, 3.8694538E-004, 5.1418058E+001, 2.0782229E-001, 3.4201673E-017, 1.2762417E-008, 3.8694675E-004
 1.2984914E-002, 5.1505392E+001, 2.0782250E-001, 9.0584591E-018, 2.6075758E-010, 3.8694514E-004, 5.1460101E+001, 2.0782248E-001, 1.5617171E-017, 1.6584369E-009, 3.8694520E-004, 5.1413476E+001, 2.0782241E-001, 2.0873410E-017, 5.6609457E-009, 3.8694565E-004
 1.3237069E-002, 5.1504760E+001, 2.0782250E-001, 4.7497215E-018, 9.3660214E-011, 3.8694513E-004, 5.1458731E+001, 2.0782249E-001, 8.8314174E-018, 6.5913599E-010, 3.8694515E-004, 5.1409338E+001, 2.0782246E-001, 1.2466367E-017, 2.4561734E-009, 3.8694529E-004
 1.3489224E-002, 5.1504166E+001, 2.0782250E-001, 2.4329005E-018, 3.3054370E-011, 3.8694513E-004, 5.1457217E+001, 2.0782250E-001, 4.8806412E-018, 2.5672031E-010, 3.8694514E-004, 5.1404253E+001, 2.0782248E-001, 7.2878119E-018, 1.0429332E-009, 3.8694518E-004
 1.3741379E-002, 5.1503531E+001, 2.0782250E-001, 1.2189444E-018, 1.1469708E-011, 3.8694513E-004, 5.1455152E+001, 2.0782250E-001, 2.6379303E-018, 9.8043136E-011, 3.8694513E-004, 5.1396884E+001, 2.0782249E-001, 4.1715390E-018, 4.3358149E-010, 3.8694515E-004
 1.3993534E-002, 5.1502737E+001, 2.0782250E-001, 5.9809825E-019, 3.9155263E-012, 3.8694513E-004, 5.1451983E+001, 2.0782250E-001, 1.3954411E-018, 3.6735254E-011, 3.8694513E-004, 5.1385585E+001, 2.0782250E-001, 2.3387424E-018, 1.7655022E-010, 3.8694514E-004
 1.4245690E-002, 5.1501575E+001, 2.0782250E-001, 2.8772478E-019, 1.3157665E-012, 3.8694513E-004, 5.1446862E+001, 2.0782250E-001, 7.2299760E-019, 1.3510471E-011, 3.8694513E-004, 5.1368097E+001, 2.0782250E-001, 1.2847223E-018, 7.0435987E-011, 3.8694513E-004
 1.4497845E-002, 5.1499675E+001, 2.0782250E-001, 1.3584528E-019, 4.3543958E-013, 3.8694513E-004, 5.1438471E+001, 2.0782250E-001, 3.6714976E-019, 4.8794235E-012, 3.8694513E-004, 5.1341263E+001, 2.0782250E-001, 6.9172947E-019, 2.7540823E-011, 3.8694513E-004
 1.4750000E-002, 5.1496399E+001, 2.0782250E-001, 6.3005648E-020, 1.4197762E-013, 3.8694513E-004, 5.1424791E+001, 2.0782250E-001, 1.8286035E-019, 1.7311840E-012, 3.8694513E-004, 5.1300733E+001, 2.0782250E-001, 3.6519741E-019, 1.0556708E-011, 3.8694513E-004
