s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,M1,M2,P1,P2,B,G1,G2,G3,G4,G5,G6,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4
 9.5000539E+001, 8.9252294E-003,-8.8093284E-003, 1.1507585E+000,-6.0954526E-001, 1.4176437E-004, 1.5220723E-001, 2.0559775E-001, 3.3130927E-002, 1.5465294E-003, 2.3596527E-008, 2.2431883E-012, 3.1333921E+002, 3.2438680E+002, 3.1003031E+002, 3.0445848E+002, 2.9801317E+002, 2.8974102E+002, 2.7805542E+002, 2.5653330E+002, 1.8353206E+002, 1.2206465E+002, 4.9848239E+001, 8.9749814E+000, 4.4213094E+002, 4.5384794E+002, 3.8945249E+002, 1.8326305E+002, 3.8274622E+002, 2.9345548E+002, 2.3668673E+002, 2.8636975E+001, 2.4247892E+001, 1.7926172E+001, 9.8538539E+000
 1.0000047E+002, 8.8718759E-003,-8.6721292E-003, 1.1664901E+000,-5.8911783E-001, 1.4176437E-004, 1.5118419E-001, 2.0574015E-001, 3.3736146E-002, 1.4622891E-003, 8.2803588E-009, 1.6693629E-012, 3.1934893E+002, 3.3367323E+002, 3.1259775E+002, 3.0673986E+002, 3.0110015E+002, 2.9313559E+002, 2.7849784E+002, 2.5404913E+002, 1.8048951E+002, 1.2544337E+002, 4.9390191E+001, 9.0484896E+000, 4.5805939E+002, 4.9318322E+002, 4.5114415E+002, 1.8935387E+002, 3.8814843E+002, 2.9403188E+002, 2.3877703E+002, 2.9472869E+001, 2.4618022E+001, 1.8314017E+001, 1.0136138E+001
 1.0500208E+002, 8.9046279E-003,-8.7812776E-003, 1.1670379E+000,-6.0721154E-001, 1.4176437E-004, 1.4893455E-001, 2.0582193E-001, 3.5066934E-002, 1.4139122E-003, 4.5985050E-008, 1.8318555E-012, 3.2027916E+002, 3.3554187E+002, 3.1532794E+002, 3.0929968E+002, 3.0390745E+002, 2.9642759E+002, 2.8293681E+002, 2.6067170E+002, 1.8006142E+002, 1.2663820E+002, 5.0760253E+001, 9.5256871E+000, 4.5055536E+002, 4.8479365E+002, 4.0837157E+002, 1.9488711E+002, 3.9293963E+002, 3.0024670E+002, 2.4440285E+002, 2.9891611E+001, 2.5447804E+001, 1.8088392E+001, 1.0401383E+001
 1.1000056E+002, 8.9166553E-003,-8.7285262E-003, 1.1907927E+000,-5.9942212E-001, 1.4176437E-004, 1.5142717E-001, 2.0566538E-001, 3.3592028E-002, 1.5065194E-003, 3.7049093E-007, 2.1913767E-012, 3.1314643E+002, 3.3101317E+002, 3.1262375E+002, 3.0831689E+002, 3.0300084E+002, 2.9654182E+002, 2.8559099E+002, 2.6610692E+002, 1.8823997E+002, 1.3264047E+002, 5.4826007E+001, 1.0929555E+001, 4.3292767E+002, 4.5892379E+002, 3.9466039E+002, 1.9490862E+002, 4.0313334E+002, 3.0450164E+002, 2.5349103E+002, 3.0107334E+001, 2.5661384E+001, 1.7859028E+001, 1.0827680E+001
 1.1500125E+002, 8.8995629E-003,-8.8191916E-003, 1.1779500E+000,-6.1193470E-001, 1.4176437E-004, 1.5206536E-001, 2.0550895E-001, 3.3214868E-002, 1.5990618E-003, 1.0452808E-008, 2.1744828E-012, 3.1497883E+002, 3.3282960E+002, 3.1568247E+002, 3.1222233E+002, 3.0713759E+002, 2.9888992E+002, 2.8770882E+002, 2.6727079E+002, 1.8211989E+002, 1.3396578E+002, 5.7387488E+001, 1.1567850E+001, 4.5261895E+002, 4.8699185E+002, 4.0925814E+002, 1.9491262E+002, 4.0138152E+002, 3.0600811E+002, 2.4999190E+002, 2.9474639E+001, 2.5029632E+001, 1.9133719E+001, 1.0722931E+001
 1.2000068E+002, 8.8542939E-003,-8.6141419E-003, 1.1974140E+000,-5.7950509E-001, 1.4176437E-004, 1.5267656E-001, 2.0602106E-001, 3.2853258E-002, 1.2961085E-003, 4.5137399E-008, 1.5859944E-012, 3.2670033E+002, 3.3838790E+002, 3.2493153E+002, 3.2041148E+002, 3.1411344E+002, 3.0483861E+002, 2.9298436E+002, 2.6299768E+002, 1.7565805E+002, 1.3273240E+002, 5.6714266E+001, 1.0797826E+001, 4.6672998E+002, 5.0869827E+002, 4.5950059E+002, 1.9914620E+002, 4.0007723E+002, 3.0646821E+002, 2.4391629E+002, 3.0432195E+001, 2.4255029E+001, 1.8761452E+001, 1.0993625E+001
 1.2500239E+002, 8.9192860E-003,-8.6732289E-003, 1.2220385E+000,-5.9764719E-001, 1.4176437E-004, 1.5235322E-001, 2.0563141E-001, 3.3044558E-002, 1.5266205E-003, 2.5743828E-008, 2.4152695E-012, 3.2221422E+002, 3.3502927E+002, 3.2327986E+002, 3.2085422E+002, 3.1637043E+002, 3.0902320E+002, 3.0037165E+002, 2.7324435E+002, 1.9189511E+002, 1.3562968E+002, 5.6381829E+001, 1.0820683E+001, 4.5520833E+002, 4.7420996E+002, 3.8345119E+002, 2.0017333E+002, 3.9925310E+002, 3.1080676E+002, 2.6201770E+002, 3.0675442E+001, 2.6069670E+001, 1.8743357E+001, 1.1114576E+001
 1.3000072E+002, 8.7674486E-003,-8.8139037E-003, 1.1948009E+000,-6.0967549E-001, 1.4176437E-004, 1.4912776E-001, 2.0575882E-001, 3.4952637E-002, 1.4512456E-003, 4.4439986E-008, 2.0298914E-012, 3.3293126E+002, 3.4298586E+002, 3.3086467E+002, 3.2482833E+002, 3.2220530E+002, 3.1482547E+002, 3.0166157E+002, 2.7064453E+002, 1.9054238E+002, 1.3919841E+002, 5.8448897E+001, 1.1003162E+001, 4.6716766E+002, 5.1173845E+002, 3.6544896E+002, 1.9874912E+002, 4.0369207E+002, 3.1485361E+002, 2.6071950E+002, 2.8906934E+001, 2.4450423E+001, 1.9964596E+001, 1.1631218E+001
 1.3500204E+002, 8.9025095E-003,-8.5588025E-003, 1.2430248E+000,-5.7868407E-001, 1.4176437E-004, 1.5287226E-001, 2.0621084E-001, 3.2737429E-002, 1.1838454E-003, 1.0239955E-007, 1.6179198E-012, 3.3572217E+002, 3.4615528E+002, 3.3526475E+002, 3.3126817E+002, 3.2674828E+002, 3.1657615E+002, 3.0216951E+002, 2.7114271E+002, 1.8717355E+002, 1.3945465E+002, 5.8245466E+001, 1.1265973E+001, 4.7089785E+002, 5.0882439E+002, 4.0206266E+002, 2.0058278E+002, 4.0802706E+002, 3.2033591E+002, 2.5910806E+002, 3.1139199E+001, 2.5858497E+001, 1.8911347E+001, 1.1559972E+001
 1.4000024E+002, 8.9511757E-003,-8.7340129E-003, 1.2484510E+000,-5.9601969E-001, 1.4176437E-004, 1.5519162E-001, 2.0577196E-001, 3.1365450E-002, 1.4434719E-003, 1.6037420E-008, 2.2806048E-012, 3.2805408E+002, 3.4317756E+002, 3.3434539E+002, 3.3032066E+002, 3.2855448E+002, 3.2152747E+002, 3.1015031E+002, 2.8381399E+002, 1.9512536E+002, 1.4639126E+002, 5.9572140E+001, 1.1979443E+001, 4.5377820E+002, 4.9059908E+002, 3.9846525E+002, 2.0336337E+002, 3.9987939E+002, 3.2305284E+002, 2.6957454E+002, 3.0880083E+001, 2.6428077E+001, 1.9532080E+001, 1.1462930E+001
