s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 6.1001000E+002, 6.5653415E+002, 0.0000000E+000, 1.0000000E-002
 6.1501000E+002, 6.5653750E+002, 0.0000000E+000, 1.0000000E-002
 6.2001000E+002, 6.5653936E+002, 0.0000000E+000, 1.0000000E-002
 6.2501000E+002, 6.5654035E+002, 0.0000000E+000, 1.0000000E-002
 6.3001000E+002, 6.5654085E+002, 0.0000000E+000, 1.0000000E-002
 6.3501000E+002, 6.5654111E+002, 0.0000000E+000, 1.0000000E-002
 6.4001000E+002, 6.5654130E+002, 0.0000000E+000, 1.0000000E-002
 6.4501000E+002, 6.5654136E+002, 0.0000000E+000, 1.0000000E-002
 6.5001000E+002, 6.5654150E+002, 0.0000000E+000, 1.0000000E-002
 6.5501000E+002, 6.5654151E+002, 0.0000000E+000, 1.0000000E-002
 6.6001000E+002, 6.5654156E+002, 0.0000000E+000, 1.0000000E-002
 6.6501000E+002, 6.5654154E+002, 0.0000000E+000, 1.0000000E-002
 6.7001000E+002, 6.5654148E+002, 0.0000000E+000, 1.0000000E-002
 6.7501000E+002, 6.5654142E+002, 0.0000000E+000, 1.0000000E-002
 6.8001000E+002, 6.5654150E+002, 0.0000000E+000, 1.0000000E-002
 6.8501000E+002, 6.5654149E+002, 0.0000000E+000, 1.0000000E-002
 6.9001000E+002, 6.5654144E+002, 0.0000000E+000, 1.0000000E-002
 6.9501000E+002, 6.5654146E+002, 0.0000000E+000, 1.0000000E-002
 7.0001000E+002, 6.5654145E+002, 0.0000000E+000, 1.0000000E-002
 7.0501000E+002, 6.5654151E+002, 0.0000000E+000, 1.0000000E-002
 7.1001000E+002, 6.5654150E+002, 0.0000000E+000, 1.0000000E-002
 7.1501000E+002, 6.5654158E+002, 0.0000000E+000, 1.0000000E-002
 7.2001000E+002, 6.5654164E+002, 0.0000000E+000, 1.0000000E-002
 7.2501000E+002, 6.5654161E+002, 0.0000000E+000, 1.0000000E-002
 7.3001000E+002, 6.5654158E+002, 0.0000000E+000, 1.0000000E-002
 7.3501000E+002, 6.5654154E+002, 0.0000000E+000, 1.0000000E-002
 7.4001000E+002, 6.5654152E+002, 0.0000000E+000, 1.0000000E-002
 7.4501000E+002, 6.5654154E+002, 0.0000000E+000, 1.0000000E-002
 7.5001000E+002, 6.5654153E+002, 0.0000000E+000, 1.0000000E-002
 7.5501000E+002, 6.5654145E+002, 0.0000000E+000, 1.0000000E-002
 7.6001000E+002, 6.5654142E+002, 0.0000000E+000, 1.0000000E-002
 7.6501000E+002, 6.5654140E+002, 0.0000000E+000, 1.0000000E-002
 7.7001000E+002, 6.5654140E+002, 0.0000000E+000, 1.0000000E-002
 7.7501000E+002, 6.5654157E+002, 0.0000000E+000, 1.0000000E-002
 7.8001000E+002, 6.5654155E+002, 0.0000000E+000, 1.0000000E-002
 7.8501000E+002, 6.5654148E+002, 0.0000000E+000, 1.0000000E-002
 7.9001000E+002, 6.5654157E+002, 0.0000000E+000, 1.0000000E-002
 7.9501000E+002, 6.5654162E+002, 0.0000000E+000, 1.0000000E-002
 8.0000000E+002, 6.5654150E+002, 0.0000000E+000, 1.0000000E-002
