s,mol/mol,kW/m2,kW/m2,m
 5.6000699E+001, 1.2612434E-001, 1.3225703E-001, 1.3348253E-001, 7.6252458E-001
 5.7000024E+001, 1.2476559E-001, 9.5537979E-002, 1.0011363E-001, 5.9349211E-001
 5.8000254E+001, 1.2343413E-001, 6.5389526E-002, 6.6102667E-002, 8.7924443E-001
 5.9000329E+001, 1.2213211E-001, 2.5401463E-002, 2.5411461E-002, 4.0655763E-001
 6.0000582E+001, 1.2085541E-001, 1.3719948E-002, 1.4306111E-002, 3.0097077E-001
 6.1002058E+001, 1.1960495E-001, 8.9714113E-003, 9.1470788E-003, 1.4706031E-001
 6.2000093E+001, 1.1838205E-001, 6.1325036E-003, 6.2806860E-003, 1.4586577E-001
 6.3000366E+001, 1.1718442E-001, 4.1821650E-003, 4.2115165E-003, 1.4809257E-001
 6.4001558E+001, 1.1600834E-001, 2.5124979E-003, 2.5471093E-003, 1.4770513E-001
 6.5003901E+001, 1.1485608E-001, 1.7371255E-003, 1.7404940E-003, 1.4885216E-001
 6.6004436E+001, 1.1372435E-001, 1.2917164E-003, 1.3011952E-003, 0.0000000E+000
 6.7004220E+001, 1.1261901E-001, 1.1528407E-003, 1.1649861E-003, 0.0000000E+000
 6.8001026E+001, 1.1153833E-001, 1.0826977E-003, 1.0989010E-003, 0.0000000E+000
 6.9002324E+001, 1.1047088E-001, 1.0301953E-003, 1.0488228E-003, 0.0000000E+000
 7.0004452E+001, 1.0942293E-001, 9.8354975E-004, 1.0046563E-003, 0.0000000E+000
 7.1002168E+001, 1.0840157E-001, 9.4239986E-004, 9.6436819E-004, 0.0000000E+000
 7.2007669E+001, 1.0739093E-001, 9.0940983E-004, 9.3141500E-004, 0.0000000E+000
 7.3004742E+001, 1.0640418E-001, 8.7861919E-004, 9.0089110E-004, 0.0000000E+000
 7.4003482E+001, 1.0543633E-001, 8.5018512E-004, 8.7265988E-004, 0.0000000E+000
 7.5002222E+001, 1.0448506E-001, 8.2405561E-004, 8.4641935E-004, 0.0000000E+000
 7.6007664E+001, 1.0354803E-001, 7.9940649E-004, 8.2004880E-004, 0.0000000E+000
 7.7006453E+001, 1.0262976E-001, 7.7524835E-004, 7.9503057E-004, 0.0000000E+000
 7.8005242E+001, 1.0172788E-001, 7.5333215E-004, 7.7249172E-004, 0.0000000E+000
 7.9004031E+001, 1.0084164E-001, 7.3246114E-004, 7.5167013E-004, 0.0000000E+000
 8.0000000E+001, 9.9973553E-002, 7.1355669E-004, 7.3145800E-004, 0.0000000E+000
