s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,m
 9.0000527E+000, 2.0755882E-001, 1.0674994E+000, 1.1210917E+000, 1.4478928E+001, 2.0637350E+001, 1.5439185E+001, 1.4925480E+001, 1.5164369E+001, 1.5153406E+001, 1.4771674E+001, 1.4734988E+001, 1.4876507E+001, 1.4369694E+001, 1.4264468E+001, 1.3710094E+001, 1.2388340E+001, 1.1137009E+001, 9.1623995E+000, 8.0277353E+000, 7.0155274E+000, 6.1460903E+000, 5.2511247E+000, 4.7831644E+000, 4.5386760E+000, 4.2104273E+000, 3.8038631E+000, 3.5789429E+000, 3.1183430E+000, 2.6230029E+000, 2.2720266E+000, 2.0166037E+000, 1.4950698E+000, 1.0621737E+000, 5.8661149E-001, 4.0892391E-001, 2.2951797E-001, 1.8372319E-001, 9.6451744E-002, 2.6201551E-002, 9.4562224E-003, 9.8006400E-003, 1.1349119E-002, 9.9330109E-003, 4.4660808E-003, 1.0416619E-003, 4.4592687E-004, 2.6009932E-004, 1.7687243E-004, 1.0732300E-004, 7.5472913E-005, 5.7235552E-005, 3.7503159E-005, 2.0367912E-005, 3.4623161E-001
 1.0000167E+001, 2.0755882E-001, 1.1072297E+000, 1.1461945E+000, 1.4928846E+001, 2.1929794E+001, 1.4429201E+001, 1.3387795E+001, 1.4034084E+001, 1.5106734E+001, 1.5444780E+001, 1.5736070E+001, 1.5190466E+001, 1.5165639E+001, 1.4784252E+001, 1.4228300E+001, 1.3370039E+001, 1.2945597E+001, 1.1839221E+001, 1.0683301E+001, 1.0574439E+001, 1.0136885E+001, 8.9656133E+000, 7.3365084E+000, 6.0251170E+000, 4.9381517E+000, 4.0499841E+000, 3.1842961E+000, 2.6188950E+000, 1.9816253E+000, 1.2639010E+000, 8.6398055E-001, 6.4305061E-001, 4.7183481E-001, 2.9716575E-001, 1.4902213E-001, 8.6723186E-002, 7.4858680E-002, 6.7312593E-002, 5.1204564E-002, 3.3541398E-002, 2.2408688E-002, 1.0589509E-002, 2.6709847E-003, 1.1639977E-003, 6.8522866E-004, 4.7345630E-004, 3.1774064E-004, 2.2790034E-004, 1.6116191E-004, 1.2191066E-004, 7.8416134E-005, 5.0691727E-005, 3.5029764E-005, 5.1460488E-001
 1.1000141E+001, 2.0401850E-001, 1.0830144E+000, 1.1266772E+000, 1.6713469E+001, 2.1557907E+001, 1.5987109E+001, 1.4814048E+001, 1.5162314E+001, 1.5813630E+001, 1.5707034E+001, 1.5541468E+001, 1.5308346E+001, 1.4854645E+001, 1.3953857E+001, 1.3555710E+001, 1.3311840E+001, 1.3064987E+001, 1.2663998E+001, 1.2583546E+001, 1.2821229E+001, 1.2668613E+001, 1.1869116E+001, 1.0691787E+001, 9.2445949E+000, 7.3718250E+000, 5.8891381E+000, 4.6968823E+000, 3.7504593E+000, 2.8531437E+000, 2.4110355E+000, 1.9941480E+000, 1.6291227E+000, 1.1188371E+000, 6.5331632E-001, 4.6864336E-001, 2.7992663E-001, 1.6715381E-001, 7.1898649E-002, 2.9322735E-002, 1.1056019E-002, 8.3520386E-003, 2.8106554E-003, 1.2058228E-003, 7.7083966E-004, 4.8901114E-004, 3.6841759E-004, 2.7129633E-004, 2.0053710E-004, 1.3868777E-004, 1.0836766E-004, 8.6212478E-005, 7.3786144E-005, 6.1318804E-005, 4.8927640E-001
 1.2000180E+001, 2.0048455E-001, 1.0761475E+000, 1.1255357E+000, 1.5323085E+001, 2.0736473E+001, 1.5247307E+001, 1.4989605E+001, 1.5130359E+001, 1.5694663E+001, 1.5772637E+001, 1.4464537E+001, 1.3885826E+001, 1.3417098E+001, 1.3366240E+001, 1.3575198E+001, 1.4634377E+001, 1.4535268E+001, 1.3664901E+001, 1.2409901E+001, 1.0867363E+001, 9.6836348E+000, 8.3333069E+000, 6.9145864E+000, 5.6667567E+000, 4.4157459E+000, 3.5128442E+000, 2.5766233E+000, 2.0487151E+000, 1.8517404E+000, 1.7262145E+000, 1.5716289E+000, 1.3262338E+000, 1.0784827E+000, 7.8840320E-001, 6.5177349E-001, 5.8848813E-001, 5.2093413E-001, 3.5135697E-001, 2.7335584E-001, 1.8660461E-001, 1.0346574E-001, 5.3050551E-002, 2.5612630E-002, 2.1329441E-002, 1.5235860E-002, 1.0968046E-002, 2.0003222E-002, 2.7815387E-002, 5.4806378E-003, 6.4884391E-004, 3.0256810E-004, 2.7936364E-004, 2.5806569E-004, 4.1403655E-001
 1.3000141E+001, 1.9707794E-001, 1.0797346E+000, 1.1150056E+000, 1.6859538E+001, 2.2285884E+001, 1.4984806E+001, 1.4484661E+001, 1.5508107E+001, 1.6117176E+001, 1.6391464E+001, 1.7441385E+001, 1.7468355E+001, 1.6948646E+001, 1.6094529E+001, 1.5459071E+001, 1.4909533E+001, 1.4181268E+001, 1.3427708E+001, 1.2606208E+001, 1.2143063E+001, 1.1678666E+001, 1.0741085E+001, 9.3438870E+000, 8.0795083E+000, 6.6222506E+000, 5.8199447E+000, 4.5551615E+000, 3.5356636E+000, 2.4069570E+000, 1.6960756E+000, 1.2598909E+000, 9.1575843E-001, 6.9264336E-001, 5.1441826E-001, 3.9425062E-001, 2.6666531E-001, 1.4559773E-001, 7.2665328E-002, 3.4251542E-002, 8.3945926E-003, 3.6769044E-003, 2.0155615E-003, 1.2030645E-003, 8.4811958E-004, 5.6653057E-004, 4.0995016E-004, 2.8663448E-004, 2.2311816E-004, 1.4157244E-004, 9.2486055E-005, 6.1421391E-005, 4.2188431E-005, 3.6653975E-005, 4.4927808E-001
 1.4000187E+001, 1.9377842E-001, 1.0386854E+000, 1.0961623E+000, 1.7170260E+001, 2.0514337E+001, 1.5043643E+001, 1.4372710E+001, 1.4521640E+001, 1.5167887E+001, 1.5674709E+001, 1.5834744E+001, 1.6184703E+001, 1.6917792E+001, 1.6573778E+001, 1.6134283E+001, 1.5541468E+001, 1.4646825E+001, 1.3912006E+001, 1.3183877E+001, 1.2729775E+001, 1.2417607E+001, 1.1016162E+001, 9.7220734E+000, 9.0451230E+000, 7.6622404E+000, 6.4214707E+000, 5.3193093E+000, 4.4844725E+000, 3.5063622E+000, 2.6987473E+000, 2.1811763E+000, 1.8885402E+000, 1.5264183E+000, 1.2629200E+000, 1.1470710E+000, 9.8667438E-001, 8.9328604E-001, 7.5539683E-001, 5.3246910E-001, 3.4727558E-001, 2.4030879E-001, 1.6368052E-001, 9.4615124E-002, 5.6234367E-002, 2.9528075E-002, 1.4989579E-002, 6.3605331E-003, 2.0817927E-003, 1.0983565E-003, 8.2820945E-004, 6.6896470E-004, 5.4356513E-004, 4.4279806E-004, 5.2088382E-001
 1.5000235E+001, 1.9059439E-001, 1.0031019E+000, 1.0573487E+000, 1.8039044E+001, 2.0104327E+001, 1.4777825E+001, 1.4941682E+001, 1.6251701E+001, 1.7573173E+001, 1.6930956E+001, 1.5987209E+001, 1.6505258E+001, 1.7398119E+001, 1.7185704E+001, 1.6477305E+001, 1.4473707E+001, 1.2930722E+001, 1.2189116E+001, 1.1829726E+001, 1.1228560E+001, 1.0333214E+001, 8.9648146E+000, 7.5961781E+000, 6.9587513E+000, 6.2829113E+000, 5.7133545E+000, 4.9247451E+000, 4.5025598E+000, 3.7192520E+000, 2.9110365E+000, 2.0329797E+000, 1.6561773E+000, 1.2917877E+000, 9.8768968E-001, 7.3576529E-001, 5.1167700E-001, 4.0018006E-001, 2.5550885E-001, 1.8477756E-001, 1.0339562E-001, 6.2273281E-002, 3.1036527E-002, 1.2688877E-002, 6.0674031E-003, 5.2441619E-003, 5.5642265E-003, 5.2345571E-003, 4.6528466E-003, 3.5132324E-003, 2.3495268E-003, 1.3930424E-003, 6.1887088E-004, 2.5590432E-004, 5.1923623E-001
 1.6000227E+001, 1.8750648E-001, 1.0024600E+000, 1.0494477E+000, 1.8428841E+001, 1.9812598E+001, 1.5220061E+001, 1.4465816E+001, 1.4985631E+001, 1.5309216E+001, 1.5688083E+001, 1.5822923E+001, 1.5719361E+001, 1.5395889E+001, 1.4797786E+001, 1.4700781E+001, 1.4245207E+001, 1.3717334E+001, 1.2979566E+001, 1.2556551E+001, 1.1858638E+001, 1.1316250E+001, 1.0365825E+001, 1.0040032E+001, 9.9206195E+000, 9.5246321E+000, 8.4016194E+000, 6.6627125E+000, 5.4919798E+000, 3.9900667E+000, 2.9327739E+000, 2.1544700E+000, 1.7074412E+000, 1.3558658E+000, 9.7975428E-001, 7.5666601E-001, 6.3216695E-001, 6.1126756E-001, 6.0817030E-001, 4.9906900E-001, 3.6788176E-001, 2.7975123E-001, 2.2970704E-001, 1.9178422E-001, 1.4504341E-001, 7.9221578E-002, 3.0218927E-002, 8.4189108E-003, 3.8811324E-003, 9.1080561E-004, 2.6100747E-004, 1.1464455E-004, 7.4243718E-005, 4.9622648E-005, 5.3634473E-001
 1.7000054E+001, 1.8452448E-001, 9.8397516E-001, 1.0299133E+000, 1.7948870E+001, 1.9846424E+001, 1.4714316E+001, 1.4188658E+001, 1.5348061E+001, 1.6339334E+001, 1.6561685E+001, 1.6844010E+001, 1.6889219E+001, 1.7288483E+001, 1.7646211E+001, 1.7464412E+001, 1.6865462E+001, 1.5321821E+001, 1.3752638E+001, 1.2916250E+001, 1.2113257E+001, 1.1379730E+001, 1.0391852E+001, 9.3954471E+000, 8.3844755E+000, 7.4456104E+000, 6.6328916E+000, 5.8437370E+000, 4.8268014E+000, 4.0801749E+000, 3.5869562E+000, 2.5960902E+000, 1.7311192E+000, 1.2337150E+000, 7.4937144E-001, 5.2647640E-001, 2.9802802E-001, 1.7765741E-001, 1.0816935E-001, 8.4259697E-002, 7.8667680E-002, 7.6825077E-002, 5.7125438E-002, 2.9480143E-002, 2.2434873E-002, 2.4854247E-002, 3.1084568E-002, 3.5823277E-002, 3.2422275E-002, 2.2658797E-002, 7.1849291E-003, 1.7426868E-003, 8.6243904E-004, 5.6121860E-004, 6.0307704E-001
 1.8000102E+001, 1.8162848E-001, 9.4262632E-001, 9.9369320E-001, 1.7271988E+001, 1.9832034E+001, 1.3883240E+001, 1.3311199E+001, 1.3512007E+001, 1.4813726E+001, 1.6078982E+001, 1.6961047E+001, 1.7350548E+001, 1.7107101E+001, 1.6578403E+001, 1.5590399E+001, 1.4850779E+001, 1.4177941E+001, 1.3492073E+001, 1.2661124E+001, 1.1222893E+001, 9.8601874E+000, 8.8128520E+000, 8.4006183E+000, 7.8518258E+000, 7.2212316E+000, 6.6646576E+000, 5.8031083E+000, 5.1582855E+000, 4.4798303E+000, 3.8350802E+000, 3.3262236E+000, 2.9143589E+000, 2.2812135E+000, 1.7981876E+000, 1.4583805E+000, 1.1711443E+000, 9.0008068E-001, 7.4433487E-001, 5.0097990E-001, 3.3881120E-001, 2.3533597E-001, 1.5186479E-001, 9.6581256E-002, 7.0762457E-002, 2.1847257E-002, 4.9163114E-003, 1.5610422E-003, 8.5952870E-004, 4.9126713E-004, 3.6971778E-004, 2.8757283E-004, 2.0618385E-004, 1.4839345E-004, 4.8386034E-001
 1.9000069E+001, 1.7882867E-001, 9.3315050E-001, 9.6652914E-001, 1.8131760E+001, 1.9184963E+001, 1.3595639E+001, 1.3203637E+001, 1.4215006E+001, 1.4554143E+001, 1.4665869E+001, 1.5184371E+001, 1.5189079E+001, 1.5605173E+001, 1.5574949E+001, 1.5076196E+001, 1.4507940E+001, 1.3798892E+001, 1.2493969E+001, 1.1647726E+001, 1.0897946E+001, 1.0147243E+001, 9.3190081E+000, 8.8130353E+000, 8.1582140E+000, 7.2405471E+000, 6.1619608E+000, 5.4619809E+000, 5.2850608E+000, 4.8657700E+000, 4.3921722E+000, 4.0211573E+000, 3.8187854E+000, 3.4796781E+000, 2.8139915E+000, 2.0841260E+000, 1.4027013E+000, 9.7504367E-001, 7.6883421E-001, 5.8355786E-001, 4.4044869E-001, 4.0714596E-001, 4.1598531E-001, 3.4485752E-001, 2.4383282E-001, 1.8587666E-001, 1.3478650E-001, 7.9878890E-002, 5.0903112E-002, 2.7161675E-002, 1.2061057E-002, 2.0145593E-003, 5.2683294E-004, 2.5590489E-004, 5.3956647E-001
 2.0000192E+001, 1.7819134E-001, 8.7812865E-001, 9.3109745E-001, 1.7953855E+001, 1.8290761E+001, 1.4387141E+001, 1.4101727E+001, 1.4507851E+001, 1.5305880E+001, 1.6196979E+001, 1.6356773E+001, 1.6154344E+001, 1.6028260E+001, 1.5550464E+001, 1.5216901E+001, 1.5644508E+001, 1.5860382E+001, 1.5690272E+001, 1.4973047E+001, 1.3640132E+001, 1.2633044E+001, 1.1540973E+001, 1.0958362E+001, 1.0325448E+001, 9.3142273E+000, 8.3385933E+000, 7.3996867E+000, 6.6272028E+000, 5.6182917E+000, 4.3268745E+000, 3.5303641E+000, 3.2258940E+000, 2.7701595E+000, 2.3331759E+000, 2.0059880E+000, 1.6578806E+000, 1.2985129E+000, 8.0690509E-001, 5.9344929E-001, 3.6988140E-001, 2.8350928E-001, 2.3844911E-001, 1.7402948E-001, 1.3240689E-001, 1.0344838E-001, 5.6484687E-002, 2.0070651E-002, 5.0415644E-003, 1.4607377E-003, 8.1813790E-004, 5.0741831E-004, 3.8300553E-004, 2.6985292E-004, 4.9574264E-001
 2.1000195E+001, 1.7817489E-001, 8.8063240E-001, 9.3207312E-001, 1.8904578E+001, 1.7956235E+001, 1.5015629E+001, 1.4762799E+001, 1.5698183E+001, 1.6399019E+001, 1.6522261E+001, 1.6582709E+001, 1.6992702E+001, 1.7091223E+001, 1.7165219E+001, 1.6860281E+001, 1.6051838E+001, 1.6220130E+001, 1.5904235E+001, 1.5683341E+001, 1.5454107E+001, 1.4883335E+001, 1.3659572E+001, 1.2624200E+001, 1.1429734E+001, 1.0086035E+001, 9.0764997E+000, 7.3646223E+000, 6.5969355E+000, 5.8366173E+000, 4.9042773E+000, 4.1449609E+000, 3.4761943E+000, 2.7470067E+000, 1.8218591E+000, 1.2498354E+000, 6.1989203E-001, 4.5367718E-001, 3.4571439E-001, 2.7944092E-001, 1.8351406E-001, 1.3087411E-001, 1.0163823E-001, 5.9237356E-002, 2.8642307E-002, 1.7971098E-002, 1.8427743E-002, 1.9225001E-002, 1.0364078E-002, 9.3180231E-004, 5.5410486E-004, 3.8393303E-004, 2.6537109E-004, 1.6622722E-004, 4.0405207E-001
 2.2000153E+001, 1.7815840E-001, 8.9037513E-001, 9.4156314E-001, 1.7583673E+001, 1.8388057E+001, 1.3827738E+001, 1.4628437E+001, 1.5235756E+001, 1.5987612E+001, 1.6558791E+001, 1.7091419E+001, 1.7522946E+001, 1.7554919E+001, 1.7651624E+001, 1.7760911E+001, 1.8090076E+001, 1.7808263E+001, 1.7088087E+001, 1.5610901E+001, 1.4157441E+001, 1.3579263E+001, 1.2381228E+001, 1.1521902E+001, 1.0765481E+001, 9.5781331E+000, 8.1193531E+000, 6.6722993E+000, 5.8568979E+000, 4.6003828E+000, 3.7746964E+000, 3.0603814E+000, 2.5755042E+000, 1.9633084E+000, 1.5070478E+000, 1.2233310E+000, 1.0170544E+000, 7.9840436E-001, 6.1062438E-001, 5.3281917E-001, 4.2377937E-001, 2.7251303E-001, 1.1431204E-001, 4.7738190E-002, 3.2742706E-002, 1.7389033E-002, 7.6494128E-003, 3.1817351E-003, 1.3123015E-002, 5.1288807E-003, 1.3238609E-003, 6.1021163E-004, 3.8601857E-004, 2.5175178E-004, 4.4414635E-001
