m,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,m,C,C
-1.3293538E-001, 2.0349646E+001, 3.3878421E+001, 7.4238376E-001, 1.7822922E-001, 2.2142894E+001, 3.8282983E+001, 9.5691576E-001, 2.0231685E-001, 9.6183547E+001, 1.1987458E+002, 1.6287134E+001, 1.9653387E-001, 1.3236532E+002, 1.3928006E+002, 1.1272976E+001, 1.9070381E-001, 4.0956522E-001, 6.7450235E+002, 7.5386347E+001
-1.2027487E-001, 2.0376013E+001, 3.4976140E+001, 8.3017854E-001, 1.7820141E-001, 2.8501346E+001, 4.5895208E+001, 9.7917035E+000, 1.9797819E-001, 1.3355306E+002, 1.6304313E+002, 2.1839586E+001, 1.9104741E-001, 1.4397353E+002, 1.5148910E+002, 1.2968869E+001, 1.8903253E-001, 4.5173913E-001, 6.1314146E+002, 6.4437589E+001
-1.0761436E-001, 2.0472265E+001, 3.6686032E+001, 9.2802378E-001, 1.7819231E-001, 4.6607560E+001, 7.3391668E+001, 3.4336921E+001, 1.9153693E-001, 1.7001724E+002, 2.0442023E+002, 2.7722291E+001, 1.8570438E-001, 1.5530263E+002, 1.6148513E+002, 1.3727368E+001, 1.8737782E-001, 4.9391304E-001, 5.6151639E+002, 5.4911868E+001
-9.4953846E-002, 2.1905546E+001, 3.9490783E+001, 1.5492250E+000, 1.7806769E-001, 7.5998252E+001, 1.2464879E+002, 5.0440459E+001, 1.8384630E-001, 2.1153329E+002, 2.5347417E+002, 2.8509438E+001, 1.8001125E-001, 1.6472522E+002, 1.7031156E+002, 1.3713756E+001, 1.8605630E-001, 5.3608696E-001, 5.1062245E+002, 5.0812677E+001
-8.2293333E-002, 3.3955445E+001, 5.5768939E+001, 1.5131273E+001, 1.7698287E-001, 1.2299837E+002, 2.0213497E+002, 5.2484389E+001, 1.7468073E-001, 2.5451965E+002, 3.0131294E+002, 2.9547392E+001, 1.7425379E-001, 1.7384231E+002, 1.7926076E+002, 1.2782416E+001, 1.8482824E-001, 5.7826087E-001, 4.5711358E+002, 5.0660361E+001
-6.9632821E-002, 6.7941753E+001, 1.1791420E+002, 4.3412537E+001, 1.7379221E-001, 1.9154122E+002, 2.9321894E+002, 4.8667058E+001, 1.6486024E-001, 3.0611269E+002, 3.5617089E+002, 3.4117358E+001, 1.6740457E-001, 1.8402841E+002, 1.8961390E+002, 1.3825940E+001, 1.8348122E-001, 6.2043478E-001, 4.2424363E+002, 4.6077337E+001
-5.6972308E-002, 1.2800558E+002, 2.2931705E+002, 4.8047023E+001, 1.6787542E-001, 2.9310567E+002, 4.0299463E+002, 4.5961125E+001, 1.5277156E-001, 3.5736770E+002, 4.1083435E+002, 3.9217928E+001, 1.6026262E-001, 1.9268748E+002, 1.9826386E+002, 1.5821296E+001, 1.8232028E-001, 6.6260870E-001, 3.8324450E+002, 3.7589788E+001
-4.4311795E-002, 2.5323322E+002, 3.8283842E+002, 5.4997948E+001, 1.5520765E-001, 4.5166052E+002, 5.5547086E+002, 5.9719366E+001, 1.3508098E-001, 3.9841374E+002, 4.4611409E+002, 4.2837635E+001, 1.5457720E-001, 2.0145640E+002, 2.0730052E+002, 1.6117342E+001, 1.8114380E-001, 7.0478261E-001, 3.5805838E+002, 3.3519724E+001
-3.1651282E-002, 4.1001203E+002, 5.1556714E+002, 6.9377124E+001, 1.3811873E-001, 5.9316992E+002, 6.6881740E+002, 5.7832093E+001, 1.1806959E-001, 4.4963108E+002, 4.8756766E+002, 5.0271755E+001, 1.4794266E-001, 2.0741109E+002, 2.1325956E+002, 1.5277633E+001, 1.8033513E-001, 7.4695652E-001, 3.3204890E+002, 3.0880530E+001
-1.8990769E-002, 6.8089165E+002, 6.9014747E+002, 5.9083423E+001, 1.0627579E-001, 7.2407679E+002, 7.4976090E+002, 5.3796286E+001, 1.0277751E-001, 4.9809994E+002, 5.3022882E+002, 5.4265496E+001, 1.4163917E-001, 2.1206809E+002, 2.1787099E+002, 1.6116123E+001, 1.7970612E-001, 7.8913043E-001, 2.9969200E+002, 2.3492871E+001
-6.3302564E-003, 7.7741677E+002, 7.2691976E+002, 4.8788947E+001, 8.3089973E-002, 8.0419686E+002, 7.8802116E+002, 4.3438400E+001, 9.3071886E-002, 5.1245979E+002, 5.4419800E+002, 5.2666678E+001, 1.3956143E-001, 2.1369407E+002, 2.2013729E+002, 1.5841258E+001, 1.7952086E-001, 8.3130435E-001, 2.7998629E+002, 1.9060297E+001
 6.3302564E-003, 7.6921041E+002, 7.1896530E+002, 5.5261417E+001, 8.4111509E-002, 7.9034350E+002, 7.8022241E+002, 4.0556298E+001, 9.3679623E-002, 4.9925003E+002, 5.3563376E+002, 4.9573954E+001, 1.4125100E-001, 2.1351489E+002, 2.2038314E+002, 1.4674370E+001, 1.7958340E-001, 8.7347826E-001, 2.6266497E+002, 1.8067972E+001
 1.8990769E-002, 6.6887916E+002, 6.8121621E+002, 5.0430073E+001, 1.0645812E-001, 7.4624081E+002, 7.6505631E+002, 5.3757714E+001, 9.9678086E-002, 4.7392765E+002, 5.1744688E+002, 5.1767138E+001, 1.4459000E-001, 2.0831037E+002, 2.1618724E+002, 1.3788064E+001, 1.8030349E-001, 9.1565217E-001, 2.4313074E+002, 1.7764355E+001
 3.1651282E-002, 4.3702098E+002, 5.3374814E+002, 6.1954356E+001, 1.3647182E-001, 6.1427571E+002, 6.8895097E+002, 4.6403440E+001, 1.1595183E-001, 4.4171041E+002, 4.8810723E+002, 5.2079001E+001, 1.4890336E-001, 2.0102282E+002, 2.0972318E+002, 1.3368052E+001, 1.8126245E-001, 9.5782609E-001, 2.3240071E+002, 1.7406988E+001
 4.4311795E-002, 2.2145075E+002, 3.3834280E+002, 4.8964379E+001, 1.5924800E-001, 4.5142036E+002, 5.6713966E+002, 4.9684330E+001, 1.3523782E-001, 3.9443116E+002, 4.4509812E+002, 5.3125338E+001, 1.5520950E-001, 1.9453361E+002, 2.0402344E+002, 1.3562667E+001, 1.8212687E-001, 1.0000000E+000, 2.2013729E+002, 1.5841258E+001
 5.6972308E-002, 8.9892603E+001, 1.4771964E+002, 2.2063907E+001, 1.7179350E-001, 2.8661545E+002, 4.1658196E+002, 5.2285824E+001, 1.5355804E-001, 3.4780337E+002, 4.0404210E+002, 5.1213357E+001, 1.6150490E-001, 1.8736457E+002, 1.9751346E+002, 1.3771658E+001, 1.8312518E-001,NaN,NaN,NaN
 6.9632821E-002, 3.9197048E+001, 7.0177269E+001, 1.8076408E+001, 1.7648805E-001, 1.8171084E+002, 2.9946559E+002, 4.5974069E+001, 1.6579867E-001, 3.0106545E+002, 3.6115258E+002, 4.6552281E+001, 1.6784142E-001, 1.7922602E+002, 1.8960585E+002, 1.3508390E+001, 1.8428301E-001,NaN,NaN,NaN
 8.2293333E-002, 2.4014323E+001, 4.5550494E+001, 4.4050950E+000, 1.7788201E-001, 1.0708754E+002, 1.8463965E+002, 3.0449509E+001, 1.7606213E-001, 2.4961155E+002, 3.0891961E+002, 3.8131629E+001, 1.7471821E-001, 1.7164816E+002, 1.8233016E+002, 1.3063710E+001, 1.8535311E-001,NaN,NaN,NaN
 9.4953846E-002, 2.0743526E+001, 3.8753584E+001, 1.1376847E+000, 1.7817296E-001, 5.7008562E+001, 1.0000062E+002, 2.1260342E+001, 1.8512025E-001, 2.0454316E+002, 2.5955504E+002, 3.2776222E+001, 1.8078992E-001, 1.6394170E+002, 1.7474843E+002, 1.1873789E+001, 1.8642245E-001,NaN,NaN,NaN
 1.0761436E-001, 2.0416709E+001, 3.6571845E+001, 1.0762544E+000, 1.7819671E-001, 3.3457540E+001, 5.9405526E+001, 1.1997729E+001, 1.9259993E-001, 1.6831926E+002, 2.2006173E+002, 3.0248085E+001, 1.8582755E-001, 1.5730705E+002, 1.6763487E+002, 1.0465666E+001, 1.8731559E-001,NaN,NaN,NaN
 1.2027487E-001, 2.0376205E+001, 3.5057091E+001, 8.7214728E-001, 1.7820095E-001, 2.3772878E+001, 4.2553398E+001, 2.3892570E+000, 1.9841953E-001, 1.4126881E+002, 1.8737333E+002, 2.6370187E+001, 1.8960277E-001, 1.4866674E+002, 1.5837907E+002, 1.0172207E+001, 1.8846282E-001,NaN,NaN,NaN
 1.3293538E-001, 2.0349862E+001, 3.3885983E+001, 8.3015225E-001, 1.7822485E-001, 2.1530701E+001, 3.8253530E+001, 8.3923666E-001, 2.0202933E-001, 1.1464266E+002, 1.5268001E+002, 2.3093986E+001, 1.9344681E-001, 1.3961959E+002, 1.4905884E+002, 9.7563494E+000, 1.8969671E-001,NaN,NaN,NaN
 1.4559590E-001, 2.0322224E+001, 3.2304028E+001, 7.0752134E-001, 1.7828809E-001, 2.1276421E+001, 3.6575079E+001, 7.2235108E-001, 2.0469829E-001, 9.1465158E+001, 1.2231707E+002, 1.9470182E+001, 1.9692802E-001, 1.2998980E+002, 1.3973194E+002, 1.0009760E+001, 1.9103436E-001,NaN,NaN,NaN
 1.5825641E-001, 2.0317359E+001, 3.1543717E+001, 6.6725156E-001, 1.7854764E-001, 2.1207706E+001, 3.5278764E+001, 6.2389051E-001, 2.0623385E-001, 7.3649127E+001, 1.0012593E+002, 1.7633305E+001, 1.9964965E-001, 1.1997864E+002, 1.2988339E+002, 1.1014479E+001, 1.9248560E-001,NaN,NaN,NaN
 1.7091692E-001, 2.0333785E+001, 3.0640571E+001, 5.9770457E-001, 1.7933071E-001, 2.1145127E+001, 3.4051580E+001, 6.0373653E-001, 2.0690960E-001, 6.0727281E+001, 8.3463769E+001, 1.5340388E+001, 2.0159518E-001, 1.0971022E+002, 1.1924443E+002, 1.0302209E+001, 1.9400947E-001,NaN,NaN,NaN
 1.8357744E-001, 2.0415756E+001, 3.0017019E+001, 5.3549673E-001, 1.8152997E-001, 2.1098563E+001, 3.3106340E+001, 5.8361319E-001, 2.0724359E-001, 4.7771084E+001, 6.6714669E+001, 1.4978562E+001, 2.0352233E-001, 1.0015690E+002, 1.0929248E+002, 9.5916909E+000, 1.9543808E-001,NaN,NaN,NaN
 1.9623795E-001, 2.0587944E+001, 2.9797673E+001, 4.5617569E-001, 1.8649257E-001, 2.1062622E+001, 3.2178374E+001, 5.1567646E-001, 2.0743143E-001, 3.8741396E+001, 5.4968233E+001, 1.4152948E+001, 2.0488739E-001, 9.4023573E+001, 1.0247268E+002, 9.7077693E+000, 1.9637382E-001,NaN,NaN,NaN
 2.0889846E-001, 2.0744391E+001, 2.9744686E+001, 3.9721038E-001, 1.9373706E-001, 2.1032646E+001, 3.1345414E+001, 5.2864399E-001, 2.0752269E-001, 3.3506387E+001, 4.8069738E+001, 1.2207839E+001, 2.0570247E-001, 8.9486497E+001, 9.7326058E+001, 1.0925206E+001, 1.9708526E-001,NaN,NaN,NaN
 2.2155897E-001, 2.0806373E+001, 2.9613887E+001, 3.8403800E-001, 2.0034399E-001, 2.1004940E+001, 3.0586270E+001, 4.5977264E-001, 2.0754785E-001, 2.9714060E+001, 4.1443169E+001, 8.9047862E+000, 2.0632304E-001, 8.4520212E+001, 9.1671170E+001, 1.1526351E+001, 1.9780395E-001,NaN,NaN,NaN
 2.3421949E-001, 2.0792838E+001, 2.9004800E+001, 3.5314940E-001, 2.0417778E-001, 2.0979955E+001, 2.9996976E+001, 4.4861234E-001, 2.0755707E-001, 2.5809010E+001, 3.4709276E+001, 5.1788096E+000, 2.0692354E-001, 7.9187789E+001, 8.5529793E+001, 1.1530658E+001, 1.9860148E-001,NaN,NaN,NaN
 2.4688000E-001, 2.0691922E+001, 2.8189280E+001, 3.7153006E-001, 2.0579288E-001, 2.0946885E+001, 2.9262409E+001, 3.8792692E-001, 2.0755804E-001, 2.3086881E+001, 2.9502732E+001, 2.2479433E+000, 2.0730661E-001, 7.3470191E+001, 7.9721233E+001, 1.0959793E+001, 1.9946739E-001,NaN,NaN,NaN
