m,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,m,C,C
-7.8126582E-002, 2.0808876E+001, 5.1979531E+001, 9.6055555E-001, 1.7819620E-001, 1.2312962E+002, 2.3505286E+002, 3.8430609E+001, 1.6937074E-001, 2.7553991E+002, 3.4331505E+002, 3.7649363E+001, 1.6939366E-001,NaN,NaN,NaN
-7.1876456E-002, 2.0892552E+001, 5.3969735E+001, 1.0076509E+000, 1.7819685E-001, 1.7470766E+002, 3.0106217E+002, 4.4746950E+001, 1.6303134E-001, 3.0300348E+002, 3.7006058E+002, 4.2000729E+001, 1.6543289E-001,NaN,NaN,NaN
-6.5626329E-002, 2.3796291E+001, 5.9287536E+001, 2.1780201E+000, 1.7794648E-001, 2.3548687E+002, 3.7523746E+002, 5.6060266E+001, 1.5587446E-001, 3.3529144E+002, 4.0301578E+002, 4.7185484E+001, 1.6081973E-001,NaN,NaN,NaN
-5.9376203E-002, 4.9532181E+001, 1.1450611E+002, 3.1025423E+001, 1.7524592E-001, 2.9493190E+002, 4.3822920E+002, 6.4196835E+001, 1.4908316E-001, 3.6839140E+002, 4.3710698E+002, 4.7863958E+001, 1.5598937E-001,NaN,NaN,NaN
-5.3126076E-002, 7.8341023E+001, 1.7337492E+002, 4.8639787E+001, 1.7197731E-001, 3.6521968E+002, 4.9923180E+002, 7.0256247E+001, 1.4127852E-001, 3.9593622E+002, 4.6650111E+002, 4.9013243E+001, 1.5184718E-001,NaN,NaN,NaN
-4.6875949E-002, 1.1960212E+002, 2.4367002E+002, 6.1081034E+001, 1.6766611E-001, 4.3447438E+002, 5.6323760E+002, 6.7459714E+001, 1.3293040E-001, 4.1866646E+002, 4.8505784E+002, 4.7514723E+001, 1.4862630E-001,NaN,NaN,NaN
-4.0625823E-002, 1.9330128E+002, 3.3158859E+002, 6.7202449E+001, 1.6009144E-001, 5.0761514E+002, 6.2492017E+002, 6.2967845E+001, 1.2383290E-001, 4.4979975E+002, 5.1025265E+002, 4.8605173E+001, 1.4430018E-001,NaN,NaN,NaN
-3.4375696E-002, 3.0614197E+002, 4.5201328E+002, 7.6823284E+001, 1.4805581E-001, 5.7396316E+002, 6.7700376E+002, 6.2119796E+001, 1.1530094E-001, 4.8293294E+002, 5.3817924E+002, 4.6418830E+001, 1.3968629E-001,NaN,NaN,NaN
-2.8125570E-002, 4.4261987E+002, 5.8955618E+002, 5.3693073E+001, 1.3254980E-001, 6.4083746E+002, 7.2286626E+002, 6.3114283E+001, 1.0712247E-001, 5.1441140E+002, 5.6365374E+002, 4.3120394E+001, 1.3526627E-001,NaN,NaN,NaN
-2.1875443E-002, 5.9599370E+002, 7.1160380E+002, 4.8968721E+001, 1.1292347E-001, 7.0006168E+002, 7.5938177E+002, 5.7682806E+001, 9.9508931E-002, 5.3424613E+002, 5.7574155E+002, 3.6356865E+001, 1.3246136E-001,NaN,NaN,NaN
-1.5625316E-002, 7.2368461E+002, 7.7764533E+002, 4.6923895E+001, 9.3279112E-002, 7.6323807E+002, 7.9755593E+002, 5.2050151E+001, 9.1243509E-002, 5.5220761E+002, 5.8856170E+002, 3.6984545E+001, 1.2972829E-001,NaN,NaN,NaN
-9.3751899E-003, 8.1890358E+002, 8.1929007E+002, 3.3127978E+001, 7.3581278E-002, 8.1152955E+002, 8.2055923E+002, 4.5103333E+001, 8.4943738E-002, 5.6540157E+002, 5.9723137E+002, 3.6118933E+001, 1.2773232E-001,NaN,NaN,NaN
-3.1250633E-003, 9.1508080E+002, 8.6507867E+002, 3.8867457E+001, 5.4743541E-002, 8.3270411E+002, 8.3018221E+002, 4.1975911E+001, 8.1868840E-002, 5.7703230E+002, 6.0462697E+002, 3.6245000E+001, 1.2584502E-001,NaN,NaN,NaN
 3.1250633E-003, 9.3599329E+002, 8.7216351E+002, 2.8030177E+001, 5.0839148E-002, 8.2000536E+002, 8.2207577E+002, 3.8257322E+001, 8.3492708E-002, 5.8929053E+002, 6.1423207E+002, 4.3830252E+001, 1.2399192E-001,NaN,NaN,NaN
 9.3751899E-003, 8.6326832E+002, 8.4758496E+002, 4.6181448E+001, 6.7208666E-002, 8.0660455E+002, 8.1976809E+002, 5.1658727E+001, 8.5656833E-002, 5.8125956E+002, 6.0809089E+002, 4.7409568E+001, 1.2522193E-001,NaN,NaN,NaN
 1.5625316E-002, 7.3320261E+002, 7.8717723E+002, 4.6996991E+001, 8.9964533E-002, 7.6486536E+002, 7.9727354E+002, 5.1112919E+001, 9.1081038E-002, 5.6947747E+002, 5.9828580E+002, 5.6103485E+001, 1.2682247E-001,NaN,NaN,NaN
 2.1875443E-002, 5.8844065E+002, 7.0033120E+002, 5.4175298E+001, 1.1231854E-001, 7.0350953E+002, 7.5765437E+002, 5.7808611E+001, 9.9090184E-002, 5.5438742E+002, 5.8791509E+002, 5.5508759E+001, 1.2896020E-001,NaN,NaN,NaN
 2.8125570E-002, 4.4567036E+002, 5.9843680E+002, 6.0566964E+001, 1.3178321E-001, 6.4107591E+002, 7.1506277E+002, 5.6509661E+001, 1.0730576E-001, 5.2158135E+002, 5.6184700E+002, 5.2286902E+001, 1.3345791E-001,NaN,NaN,NaN
 3.4375696E-002, 3.1292644E+002, 4.8150653E+002, 5.3742147E+001, 1.4752610E-001, 5.7363244E+002, 6.6985463E+002, 6.3191926E+001, 1.1549035E-001, 4.8945351E+002, 5.3648131E+002, 5.2247050E+001, 1.3799671E-001,NaN,NaN,NaN
 4.0625823E-002, 2.1097711E+002, 3.7094035E+002, 5.7182827E+001, 1.5839874E-001, 4.9618869E+002, 6.1503665E+002, 6.3277521E+001, 1.2517899E-001, 4.5266021E+002, 5.0898596E+002, 5.1430655E+001, 1.4322934E-001,NaN,NaN,NaN
 4.6875949E-002, 1.3158990E+002, 2.5327891E+002, 4.7662619E+001, 1.6678411E-001, 4.1620935E+002, 5.4087811E+002, 5.8763948E+001, 1.3476270E-001, 4.1452159E+002, 4.7671403E+002, 4.5582127E+001, 1.4852126E-001,NaN,NaN,NaN
 5.3126076E-002, 7.1192939E+001, 1.5364991E+002, 4.4052344E+001, 1.7295924E-001, 3.3865378E+002, 4.6533554E+002, 4.8271630E+001, 1.4368344E-001, 3.7945499E+002, 4.4422916E+002, 4.1672154E+001, 1.5331836E-001,NaN,NaN,NaN
 5.9376203E-002, 4.9586150E+001, 1.1116967E+002, 3.9207659E+001, 1.7506649E-001, 2.7789882E+002, 4.0878793E+002, 4.0634004E+001, 1.5071610E-001, 3.4845984E+002, 4.1615069E+002, 3.7401232E+001, 1.5765526E-001,NaN,NaN,NaN
 6.5626329E-002, 3.6052486E+001, 8.1677086E+001, 3.5349254E+001, 1.7641336E-001, 2.3290048E+002, 3.6427878E+002, 3.7134800E+001, 1.5616248E-001, 3.1928943E+002, 3.8621713E+002, 3.2957044E+001, 1.6181837E-001,NaN,NaN,NaN
 7.1876456E-002, 2.9761917E+001, 6.8577243E+001, 2.7313786E+001, 1.7710895E-001, 1.8783705E+002, 3.1260175E+002, 3.6884325E+001, 1.6182941E-001, 2.8692787E+002, 3.5369342E+002, 3.1834379E+001, 1.6661421E-001,NaN,NaN,NaN
 7.8126582E-002, 2.4991524E+001, 5.6959541E+001, 1.0312488E+001, 1.7776877E-001, 1.4642116E+002, 2.5595725E+002, 3.3088205E+001, 1.6758800E-001, 2.5357602E+002, 3.2143581E+002, 3.0807620E+001, 1.7161783E-001,NaN,NaN,NaN
 8.4376709E-002, 2.0903380E+001, 5.0131042E+001, 1.0065191E+000, 1.7818066E-001, 1.0834996E+002, 1.9751429E+002, 3.0973436E+001, 1.7343860E-001, 2.2446647E+002, 2.9175758E+002, 3.0245583E+001, 1.7610531E-001,NaN,NaN,NaN
 9.0626835E-002, 2.0715332E+001, 4.8314685E+001, 9.8440463E-001, 1.7819091E-001, 7.4393810E+001, 1.3966510E+002, 2.7867583E+001, 1.7916994E-001, 1.9084521E+002, 2.5336394E+002, 2.7548511E+001, 1.8115776E-001,NaN,NaN,NaN
 9.6876962E-002, 2.0673821E+001, 4.6726797E+001, 9.2259012E-001, 1.7818851E-001, 4.7019765E+001, 9.0196423E+001, 1.9912024E+001, 1.8446720E-001, 1.4764693E+002, 1.9984402E+002, 2.5384288E+001, 1.8791793E-001,NaN,NaN,NaN
 1.0312709E-001, 2.0685600E+001, 4.5595271E+001, 8.8490632E-001, 1.7819267E-001, 3.4215760E+001, 6.7714062E+001, 9.0417819E+000, 1.8669138E-001, 1.2374890E+002, 1.6990153E+002, 2.4833666E+001, 1.9124513E-001,NaN,NaN,NaN
 1.0937722E-001, 2.0639278E+001, 4.4206625E+001, 8.3172587E-001, 1.7819033E-001, 2.4560372E+001, 5.3018788E+001, 4.4567339E+000, 1.9056479E-001, 1.0042029E+002, 1.4199602E+002, 2.4253415E+001, 1.9487122E-001,NaN,NaN,NaN
 1.1562734E-001, 2.0612308E+001, 4.2996223E+001, 7.9069441E-001, 1.7818910E-001, 2.1984854E+001, 4.8080200E+001, 3.1815622E+000, 1.9284084E-001, 8.1413157E+001, 1.1967950E+002, 2.4400264E+001, 1.9785042E-001,NaN,NaN,NaN
 1.2187747E-001, 2.0582810E+001, 4.1823094E+001, 7.4437327E-001, 1.7818774E-001, 2.1745989E+001, 4.6238681E+001, 2.1064341E+000, 1.9517212E-001, 6.7999677E+001, 1.0344950E+002, 2.1421535E+001, 1.9998359E-001,NaN,NaN,NaN
 1.2812759E-001, 2.0558162E+001, 4.0806616E+001, 7.0770108E-001, 1.7818672E-001, 2.1757489E+001, 4.4656455E+001, 1.3187407E+000, 1.9719424E-001, 5.8383251E+001, 9.0150699E+001, 1.6933152E+001, 2.0146464E-001,NaN,NaN,NaN
 1.3437772E-001, 2.0533569E+001, 3.9773008E+001, 6.6785279E-001, 1.7818548E-001, 2.1768912E+001, 4.3445209E+001, 7.6867729E-001, 1.9931182E-001, 5.0924250E+001, 7.8677757E+001, 1.3378234E+001, 2.0261572E-001,NaN,NaN,NaN
 1.4062785E-001, 2.0511453E+001, 3.8882598E+001, 6.3652599E-001, 1.7818470E-001, 2.1765074E+001, 4.2461610E+001, 6.9903323E-001, 2.0124817E-001, 4.5458615E+001, 7.0591445E+001, 1.1576928E+001, 2.0349324E-001,NaN,NaN,NaN
 1.4687797E-001, 2.0489963E+001, 3.8008129E+001, 6.0391692E-001, 1.7818491E-001, 2.1750115E+001, 4.1618538E+001, 6.4927019E-001, 2.0300784E-001, 4.1691666E+001, 6.4227163E+001, 1.0446463E+001, 2.0413758E-001,NaN,NaN,NaN
 1.5312810E-001, 2.0469805E+001, 3.7238198E+001, 5.7532784E-001, 1.7818766E-001, 2.1724070E+001, 4.0792243E+001, 6.1581192E-001, 2.0446891E-001, 3.7430751E+001, 5.6502975E+001, 1.0003024E+001, 2.0487801E-001,NaN,NaN,NaN
 1.5937823E-001, 2.0450970E+001, 3.6451683E+001, 5.4714084E-001, 1.7819832E-001, 2.1684218E+001, 4.0004317E+001, 6.0062758E-001, 2.0560398E-001, 3.2961428E+001, 4.9270551E+001, 9.8691834E+000, 2.0567141E-001,NaN,NaN,NaN
 1.6562835E-001, 2.0438040E+001, 3.5794105E+001, 5.2430572E-001, 1.7823645E-001, 2.1633304E+001, 3.9254962E+001, 5.7159114E-001, 2.0645448E-001, 2.9632093E+001, 4.4015706E+001, 9.0249149E+000, 2.0625700E-001,NaN,NaN,NaN
 1.7187848E-001, 2.0432831E+001, 3.5128203E+001, 5.0055860E-001, 1.7835962E-001, 2.1572961E+001, 3.8504247E+001, 5.4782378E-001, 2.0701752E-001, 2.6804472E+001, 3.9587916E+001, 6.5464546E+000, 2.0674336E-001,NaN,NaN,NaN
 1.7812861E-001, 2.0443216E+001, 3.4570356E+001, 4.8257584E-001, 1.7872861E-001, 2.1514806E+001, 3.7809575E+001, 5.0204344E-001, 2.0735000E-001, 2.5302810E+001, 3.7364575E+001, 5.5914765E+000, 2.0701175E-001,NaN,NaN,NaN
 1.8437873E-001, 2.0487588E+001, 3.4100433E+001, 4.6302665E-001, 1.7966869E-001, 2.1467093E+001, 3.7140691E+001, 4.7405731E-001, 2.0749911E-001, 2.4483901E+001, 3.5901550E+001, 4.4403760E+000, 2.0715369E-001,NaN,NaN,NaN
 1.9062886E-001, 2.0590058E+001, 3.3798871E+001, 4.4954785E-001, 1.8159468E-001, 2.1431390E+001, 3.6544998E+001, 4.4340865E-001, 2.0754577E-001, 2.3607359E+001, 3.4110982E+001, 2.7398441E+000, 2.0728992E-001,NaN,NaN,NaN
 1.9687899E-001, 2.0746533E+001, 3.3674520E+001, 4.4098350E-001, 1.8463562E-001, 2.1402674E+001, 3.5962569E+001, 4.3070838E-001, 2.0755612E-001, 2.2691898E+001, 3.2392794E+001, 1.1402789E+000, 2.0742647E-001,NaN,NaN,NaN
 2.0312911E-001, 2.0918405E+001, 3.3697806E+001, 4.3357852E-001, 1.8851830E-001, 2.1376286E+001, 3.5435419E+001, 4.0954818E-001, 2.0755832E-001, 2.2144257E+001, 3.1228202E+001, 3.8217509E-001, 2.0750275E-001,NaN,NaN,NaN
 2.0937924E-001, 2.1061726E+001, 3.3772026E+001, 4.1696990E-001, 1.9285909E-001, 2.1349264E+001, 3.4908434E+001, 3.9758257E-001, 2.0755873E-001, 2.1804342E+001, 3.0607101E+001, 2.0956476E-001, 2.0754911E-001,NaN,NaN,NaN
 2.1562937E-001, 2.1150796E+001, 3.3742754E+001, 3.9517990E-001, 1.9712158E-001, 2.1322603E+001, 3.4432238E+001, 3.8357902E-001, 2.0755881E-001, 2.1715432E+001, 3.0287257E+001, 2.2189228E-001, 2.0755850E-001,NaN,NaN,NaN
 2.2187949E-001, 2.1185883E+001, 3.3481169E+001, 3.8333226E-001, 2.0083000E-001, 2.1296333E+001, 3.3959465E+001, 3.7326163E-001, 2.0755882E-001, 2.1689474E+001, 3.0056233E+001, 2.2612061E-001, 2.0755881E-001,NaN,NaN,NaN
 2.2812962E-001, 2.1168695E+001, 3.3009948E+001, 4.0824839E-001, 2.0367627E-001, 2.1270965E+001, 3.3522171E+001, 3.6219885E-001, 2.0755882E-001, 2.1666142E+001, 2.9808956E+001, 2.1344938E-001, 2.0755882E-001,NaN,NaN,NaN
 2.3437975E-001, 2.1100277E+001, 3.2490541E+001, 4.4494237E-001, 2.0556014E-001, 2.1245767E+001, 3.3082324E+001, 3.5183351E-001, 2.0755882E-001, 2.1643701E+001, 2.9584229E+001, 2.1314086E-001, 2.0755882E-001,NaN,NaN,NaN
 2.4062987E-001, 2.0983544E+001, 3.2004721E+001, 4.3282637E-001, 2.0665125E-001, 2.1221972E+001, 3.2687068E+001, 3.4012891E-001, 2.0755882E-001, 2.1621763E+001, 2.9357496E+001, 1.9805629E-001, 2.0755882E-001,NaN,NaN,NaN
 2.4688000E-001, 2.0852360E+001, 3.1531848E+001, 3.7857864E-001, 2.0722260E-001, 2.1199060E+001, 3.2290811E+001, 3.2840906E-001, 2.0755882E-001, 2.1600129E+001, 2.9142359E+001, 1.9895357E-001, 2.0755882E-001,NaN,NaN,NaN
