s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 2.8000250E+001, 4.9389680E+001, 0.0000000E+000,-7.3242363E+000,-4.0555979E+001, 1.5594299E-002,-7.8631661E-004, 0.0000000E+000, 0.0000000E+000, 1.2203154E+000, 1.5242724E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1261106E-002
 2.9000362E+001, 4.9655775E+001, 0.0000000E+000,-7.3372058E+000,-4.1912715E+001, 9.5478567E-003,-7.9828327E-004, 0.0000000E+000, 0.0000000E+000, 8.3911159E-002, 4.1460294E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1268426E-002
 3.0000275E+001, 4.8793100E+001, 0.0000000E+000,-7.0751550E+000,-4.2494723E+001, 1.8764851E-002,-7.7701362E-004, 0.0000000E+000, 0.0000000E+000,-9.1966462E-001,-7.5878972E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1664065E-002
 3.1000114E+001, 5.0229619E+001, 0.0000000E+000,-7.1819718E+000,-4.1618018E+001, 1.2345445E-002,-7.6876563E-004, 0.0000000E+000, 0.0000000E+000, 1.3306624E+000, 1.4412055E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.2858903E-002
 3.2000435E+001, 4.8389994E+001, 0.0000000E+000,-6.8661515E+000,-4.1703215E+001, 7.3908636E-003,-7.7648357E-004, 0.0000000E+000, 0.0000000E+000,-4.0480234E-001,-1.7275838E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.4078198E-002
 3.3000153E+001, 4.9113649E+001, 0.0000000E+000,-6.7274840E+000,-4.0153564E+001,-8.3336109E-003,-7.8006086E-004, 0.0000000E+000, 0.0000000E+000, 1.8767466E+000, 2.2234873E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.5297302E-002
 3.4000134E+001, 4.9706295E+001, 0.0000000E+000,-6.2347598E+000,-4.4030169E+001, 1.7882029E-003,-8.0490610E-004, 0.0000000E+000, 0.0000000E+000,-8.4245140E-001,-5.5765012E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.6516318E-002
 3.5000420E+001, 4.8932638E+001, 0.0000000E+000,-5.8406088E+000,-4.4813960E+001,-1.9562359E-003,-7.7696753E-004, 0.0000000E+000, 0.0000000E+000,-1.9967246E+000,-1.7246636E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.7735521E-002
 3.6000240E+001, 4.8649843E+001, 0.0000000E+000,-5.6873391E+000,-4.3596806E+001, 1.2775144E-002,-7.6470340E-004, 0.0000000E+000, 0.0000000E+000,-7.4612693E-001,-6.2229133E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.8954725E-002
 3.7000275E+001, 4.9077330E+001, 0.0000000E+000,-5.4158087E+000,-4.1518276E+001, 8.1428906E-003,-7.3480823E-004, 0.0000000E+000, 0.0000000E+000, 1.8475621E+000, 2.1506531E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.0173708E-002
