m,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,m,C,C
-1.4687797E-001, 2.0396866E+001, 3.5018727E+001, 6.4688266E-001, 1.7818679E-001, 2.1539448E+001, 3.8526924E+001, 6.4132447E-001, 2.0322037E-001, 9.8401645E+001, 1.3934733E+002, 3.6800066E+001, 1.9598090E-001, 1.2533033E+002, 1.3387033E+002, 1.3579902E+001, 1.9128822E-001, 7.0478261E-001, 3.7915517E+002, 3.9190840E+001
-1.4062785E-001, 2.0413574E+001, 3.5707180E+001, 6.9332731E-001, 1.7818518E-001, 2.1565763E+001, 3.9276972E+001, 6.4333291E-001, 2.0186820E-001, 1.1283195E+002, 1.5901095E+002, 4.0220668E+001, 1.9380858E-001, 1.3031012E+002, 1.3895567E+002, 1.4243178E+001, 1.9053672E-001, 7.4695652E-001, 3.4875725E+002, 3.5831069E+001
-1.3437772E-001, 2.0430178E+001, 3.6423839E+001, 7.2315650E-001, 1.7818515E-001, 2.1577052E+001, 3.9983281E+001, 6.5613732E-001, 2.0049553E-001, 1.2621849E+002, 1.7727903E+002, 4.2896856E+001, 1.9171919E-001, 1.3476187E+002, 1.4297846E+002, 1.4461832E+001, 1.8984245E-001, 7.8913043E-001, 3.2159218E+002, 2.9605183E+001
-1.2812759E-001, 2.0448616E+001, 3.7254465E+001, 7.6946351E-001, 1.7818610E-001, 2.1592406E+001, 4.0736667E+001, 6.7436993E-001, 1.9905892E-001, 1.3957329E+002, 1.9429856E+002, 4.4542086E+001, 1.8963279E-001, 1.3923262E+002, 1.4647117E+002, 1.3450990E+001, 1.8911119E-001, 8.3130435E-001, 2.9706474E+002, 2.6866517E+001
-1.2187747E-001, 2.0468904E+001, 3.8142780E+001, 8.1433436E-001, 1.7818718E-001, 2.1818966E+001, 4.1757529E+001, 7.6758947E-001, 1.9738284E-001, 1.5340588E+002, 2.1263547E+002, 4.7804606E+001, 1.8748173E-001, 1.4345706E+002, 1.5055054E+002, 1.2620207E+001, 1.8844482E-001, 8.7347826E-001, 2.7903249E+002, 2.3746565E+001
-1.1562734E-001, 2.0490079E+001, 3.9062883E+001, 8.7708111E-001, 1.7818839E-001, 2.3097649E+001, 4.4464196E+001, 2.0812044E+000, 1.9522782E-001, 1.6631227E+002, 2.2795452E+002, 5.1728207E+001, 1.8549204E-001, 1.4850965E+002, 1.5538927E+002, 1.1743978E+001, 1.8769425E-001, 9.1565217E-001, 2.6184785E+002, 2.0739039E+001
-1.0937722E-001, 2.0513900E+001, 4.0064682E+001, 9.1516605E-001, 1.7818985E-001, 2.6941776E+001, 5.2621859E+001, 6.9219971E+000, 1.9238974E-001, 1.8089970E+002, 2.4447724E+002, 5.4682936E+001, 1.8330495E-001, 1.5467142E+002, 1.6146932E+002, 1.1080636E+001, 1.8682232E-001, 9.5782609E-001, 2.4521670E+002, 2.0466738E+001
-1.0312709E-001, 2.0540757E+001, 4.1224971E+001, 9.9236241E-001, 1.7819131E-001, 3.5336912E+001, 6.8568393E+001, 1.3556949E+001, 1.8910202E-001, 1.9638491E+002, 2.6216730E+002, 5.7627969E+001, 1.8107263E-001, 1.6047538E+002, 1.6729491E+002, 1.1004502E+001, 1.8601845E-001, 1.0000000E+000, 2.3033574E+002, 1.7816121E+001
-9.6876962E-002, 2.0569591E+001, 4.2427353E+001, 1.0471885E+000, 1.7819302E-001, 5.3738650E+001, 9.7856999E+001, 2.1686266E+001, 1.8498463E-001, 2.1277192E+002, 2.8307718E+002, 5.8024451E+001, 1.7875377E-001, 1.6771911E+002, 1.7477000E+002, 1.0981064E+001, 1.8502977E-001,NaN,NaN,NaN
-9.0626835E-002, 2.0598728E+001, 4.3716833E+001, 1.1321782E+000, 1.7819462E-001, 8.4418916E+001, 1.4803187E+002, 3.3540779E+001, 1.7978651E-001, 2.3118807E+002, 3.0402319E+002, 5.8148856E+001, 1.7618763E-001, 1.7438764E+002, 1.8153592E+002, 1.1728255E+001, 1.8413463E-001,NaN,NaN,NaN
-8.4376709E-002, 2.0632675E+001, 4.5129346E+001, 1.1990226E+000, 1.7819612E-001, 1.2133130E+002, 2.0736643E+002, 4.3772522E+001, 1.7414124E-001, 2.5450525E+002, 3.2899121E+002, 5.7351259E+001, 1.7299712E-001, 1.8033806E+002, 1.8734312E+002, 1.3340151E+001, 1.8335729E-001,NaN,NaN,NaN
-7.8126582E-002, 2.0756303E+001, 4.6682429E+001, 1.2786730E+000, 1.7818968E-001, 1.6662389E+002, 2.7354340E+002, 5.6147955E+001, 1.6777656E-001, 2.8122537E+002, 3.5493570E+002, 5.8093167E+001, 1.6928257E-001, 1.8452790E+002, 1.9103148E+002, 1.5160818E+001, 1.8282611E-001,NaN,NaN,NaN
-7.1876456E-002, 2.2086453E+001, 4.9718376E+001, 1.5499735E+000, 1.7807327E-001, 2.1705058E+002, 3.3814249E+002, 7.0316426E+001, 1.6116589E-001, 3.0467150E+002, 3.7719474E+002, 5.8573681E+001, 1.6598994E-001, 1.8859447E+002, 1.9534830E+002, 1.7000994E+001, 1.8226817E-001,NaN,NaN,NaN
-6.5626329E-002, 2.9757992E+001, 6.4047409E+001, 8.1374219E+000, 1.7736679E-001, 2.6868973E+002, 3.9359738E+002, 7.3908881E+001, 1.5473196E-001, 3.2903007E+002, 3.9840943E+002, 5.4517726E+001, 1.6250308E-001, 1.9241183E+002, 1.9900572E+002, 1.7888296E+001, 1.8170611E-001,NaN,NaN,NaN
-5.9376203E-002, 4.9027596E+001, 1.0112816E+002, 2.1434547E+001, 1.7555179E-001, 3.2395920E+002, 4.4775294E+002, 6.5004514E+001, 1.4813842E-001, 3.5704453E+002, 4.2460089E+002, 5.1529634E+001, 1.5859738E-001, 1.9704872E+002, 2.0351595E+002, 1.8419923E+001, 1.8103465E-001,NaN,NaN,NaN
-5.3126076E-002, 8.7184510E+001, 1.7221223E+002, 3.1824693E+001, 1.7188828E-001, 3.8118061E+002, 5.0168995E+002, 5.7357857E+001, 1.4132758E-001, 3.8665027E+002, 4.5063805E+002, 5.2394283E+001, 1.5447688E-001, 2.0184083E+002, 2.0861071E+002, 1.8921939E+001, 1.8038375E-001,NaN,NaN,NaN
-4.6875949E-002, 1.5109666E+002, 2.7248960E+002, 3.8411981E+001, 1.6565141E-001, 4.4192734E+002, 5.5581398E+002, 4.8814108E+001, 1.3435462E-001, 4.1271340E+002, 4.7303444E+002, 5.4155702E+001, 1.5077784E-001, 2.0584441E+002, 2.1255876E+002, 1.9502839E+001, 1.7985260E-001,NaN,NaN,NaN
-4.0625823E-002, 2.4413377E+002, 3.8872410E+002, 4.3942460E+001, 1.5637133E-001, 5.1095121E+002, 6.1113590E+002, 4.5815057E+001, 1.2643334E-001, 4.3742081E+002, 4.9500888E+002, 5.3860817E+001, 1.4736188E-001, 2.0919161E+002, 2.1545951E+002, 1.9312618E+001, 1.7939009E-001,NaN,NaN,NaN
-3.4375696E-002, 3.6260918E+002, 5.0976468E+002, 6.1041087E+001, 1.4376282E-001, 5.7262977E+002, 6.5736424E+002, 4.9351434E+001, 1.1930483E-001, 4.6953870E+002, 5.2354681E+002, 5.1010668E+001, 1.4315320E-001, 2.1306383E+002, 2.1865238E+002, 1.9456898E+001, 1.7884840E-001,NaN,NaN,NaN
-2.8125570E-002, 4.9805362E+002, 6.2200805E+002, 6.8224522E+001, 1.2794542E-001, 6.3963016E+002, 7.0147500E+002, 5.2412319E+001, 1.1117972E-001, 4.9957060E+002, 5.5045273E+002, 4.8730306E+001, 1.3908702E-001, 2.1699586E+002, 2.2215577E+002, 1.9792730E+001, 1.7828932E-001,NaN,NaN,NaN
-2.1875443E-002, 6.3024891E+002, 7.1278025E+002, 4.8682195E+001, 1.0993862E-001, 7.1018405E+002, 7.4135694E+002, 4.4337257E+001, 1.0194732E-001, 5.2096493E+002, 5.6965023E+002, 5.0213558E+001, 1.3609032E-001, 2.1949750E+002, 2.2497010E+002, 2.0007378E+001, 1.7792730E-001,NaN,NaN,NaN
-1.5625316E-002, 7.4211781E+002, 7.6058610E+002, 4.9773320E+001, 9.1803744E-002, 7.7083343E+002, 7.7803661E+002, 4.3241537E+001, 9.3691032E-002, 5.3340371E+002, 5.7794914E+002, 5.2917943E+001, 1.3430640E-001, 2.2146492E+002, 2.2725407E+002, 2.0097100E+001, 1.7764710E-001,NaN,NaN,NaN
-9.3751899E-003, 8.0297277E+002, 7.7627014E+002, 3.6844166E+001, 7.8244054E-002, 8.0245429E+002, 7.9636999E+002, 3.5647371E+001, 8.9111779E-002, 5.4596011E+002, 5.8642163E+002, 5.9777443E+001, 1.3270930E-001, 2.2338881E+002, 2.2917694E+002, 1.9514897E+001, 1.7738417E-001,NaN,NaN,NaN
-3.1250633E-003, 8.4069246E+002, 7.8773958E+002, 3.5352229E+001, 6.8612450E-002, 8.1077297E+002, 8.0381829E+002, 3.6686781E+001, 8.7798302E-002, 5.5220788E+002, 5.9106310E+002, 6.4348861E+001, 1.3193659E-001, 2.2451911E+002, 2.3033574E+002, 1.7816121E+001, 1.7725933E-001,NaN,NaN,NaN
 3.1250633E-003, 8.5524437E+002, 7.9980233E+002, 3.3025640E+001, 6.6960625E-002, 7.9683301E+002, 7.9665372E+002, 3.8276692E+001, 8.9633786E-002, 5.5372452E+002, 5.9200931E+002, 6.6174457E+001, 1.3185514E-001, 2.2532586E+002, 2.3133561E+002, 1.6522645E+001, 1.7717868E-001,NaN,NaN,NaN
 9.3751899E-003, 8.2596216E+002, 7.9137266E+002, 4.6538563E+001, 7.5736292E-002, 7.7451689E+002, 7.8329280E+002, 4.4382046E+001, 9.2435982E-002, 5.5207398E+002, 5.9165784E+002, 6.6415719E+001, 1.3209471E-001, 2.2585450E+002, 2.3208409E+002, 1.5338382E+001, 1.7713749E-001,NaN,NaN,NaN
 1.5625316E-002, 7.1569839E+002, 7.4322154E+002, 4.5867738E+001, 9.4223204E-002, 7.4063390E+002, 7.6140533E+002, 5.0581405E+001, 9.6540809E-002, 5.4558703E+002, 5.8864671E+002, 6.4519246E+001, 1.3292875E-001, 2.2436032E+002, 2.3073162E+002, 1.4288613E+001, 1.7734287E-001,NaN,NaN,NaN
 2.1875443E-002, 6.1062686E+002, 6.9662178E+002, 4.2247231E+001, 1.1160137E-001, 7.0198589E+002, 7.3743759E+002, 5.5127562E+001, 1.0161808E-001, 5.2937285E+002, 5.7523250E+002, 6.3086699E+001, 1.3521216E-001, 2.2233124E+002, 2.2891304E+002, 1.3341759E+001, 1.7761688E-001,NaN,NaN,NaN
 2.8125570E-002, 4.7538075E+002, 6.0865472E+002, 4.3503566E+001, 1.2967563E-001, 6.4935686E+002, 7.0614815E+002, 5.3745042E+001, 1.0839572E-001, 5.0200036E+002, 5.4913226E+002, 6.6073162E+001, 1.3906725E-001, 2.2072042E+002, 2.2795772E+002, 1.3256952E+001, 1.7785648E-001,NaN,NaN,NaN
 3.4375696E-002, 3.4972920E+002, 4.9476496E+002, 4.4348180E+001, 1.4453378E-001, 5.8660682E+002, 6.6087901E+002, 5.8060971E+001, 1.1621355E-001, 4.6814609E+002, 5.1941126E+002, 6.6766597E+001, 1.4370932E-001, 2.1984524E+002, 2.2753291E+002, 1.3189789E+001, 1.7801952E-001,NaN,NaN,NaN
 4.0625823E-002, 2.3969531E+002, 3.6527119E+002, 4.6893925E+001, 1.5631017E-001, 5.3460595E+002, 6.1997340E+002, 5.8540568E+001, 1.2287568E-001, 4.3488480E+002, 4.8903412E+002, 6.8699485E+001, 1.4814278E-001, 2.1765834E+002, 2.2557606E+002, 1.2905062E+001, 1.7836898E-001,NaN,NaN,NaN
 4.6875949E-002, 1.5255809E+002, 2.4921048E+002, 5.1765612E+001, 1.6515197E-001, 4.7423281E+002, 5.7104461E+002, 5.8777834E+001, 1.3018629E-001, 4.0882746E+002, 4.6261778E+002, 6.8785318E+001, 1.5172171E-001, 2.1290317E+002, 2.2099313E+002, 1.2229786E+001, 1.7904537E-001,NaN,NaN,NaN
 5.3126076E-002, 9.3751027E+001, 1.5853009E+002, 4.7776005E+001, 1.7107772E-001, 4.1356823E+002, 5.2353337E+002, 5.3917967E+001, 1.3748956E-001, 3.8485543E+002, 4.3866825E+002, 6.5905408E+001, 1.5502726E-001, 2.0635205E+002, 2.1457535E+002, 1.1630252E+001, 1.7993611E-001,NaN,NaN,NaN
 5.9376203E-002, 5.7033341E+001, 9.4773966E+001, 3.0298820E+001, 1.7476095E-001, 3.5076756E+002, 4.6776768E+002, 5.3833082E+001, 1.4495357E-001, 3.5790426E+002, 4.1300555E+002, 6.0052287E+001, 1.5866361E-001, 2.0123409E+002, 2.0993653E+002, 1.1150059E+001, 1.8062500E-001,NaN,NaN,NaN
 6.5626329E-002, 3.6638348E+001, 6.4737937E+001, 1.3813301E+001, 1.7672943E-001, 2.8369651E+002, 3.9723490E+002, 5.2190353E+001, 1.5290050E-001, 3.3020387E+002, 3.8575829E+002, 5.7379716E+001, 1.6237633E-001, 1.9646895E+002, 2.0556381E+002, 1.0757806E+001, 1.8128368E-001,NaN,NaN,NaN
 7.1876456E-002, 2.5915769E+001, 5.2254546E+001, 3.8008684E+000, 1.7773090E-001, 2.2010017E+002, 3.1895835E+002, 5.5675656E+001, 1.6050376E-001, 3.0616034E+002, 3.6226553E+002, 5.5980502E+001, 1.6585546E-001, 1.9178958E+002, 2.0056493E+002, 1.0717606E+001, 1.8193443E-001,NaN,NaN,NaN
 7.8126582E-002, 2.1750844E+001, 4.7422094E+001, 1.0281907E+000, 1.7810417E-001, 1.6280709E+002, 2.4590417E+002, 5.6155511E+001, 1.6768511E-001, 2.8444886E+002, 3.3811933E+002, 5.6105434E+001, 1.6914942E-001, 1.8760666E+002, 1.9631099E+002, 1.0605762E+001, 1.8249379E-001,NaN,NaN,NaN
 8.4376709E-002, 2.0768873E+001, 4.5263176E+001, 8.9615348E-001, 1.7818591E-001, 1.1805334E+002, 1.8818823E+002, 4.7791055E+001, 1.7386736E-001, 2.6077309E+002, 3.1324720E+002, 5.1152148E+001, 1.7257488E-001, 1.8240118E+002, 1.9125112E+002, 1.1065325E+001, 1.8318310E-001,NaN,NaN,NaN
 9.0626835E-002, 2.0611292E+001, 4.3757808E+001, 8.7052169E-001, 1.7819513E-001, 9.0204643E+001, 1.4480543E+002, 4.2628766E+001, 1.7869482E-001, 2.3625740E+002, 2.9137022E+002, 4.6187064E+001, 1.7602564E-001, 1.7801549E+002, 1.8700018E+002, 1.0643335E+001, 1.8374509E-001,NaN,NaN,NaN
 9.6876962E-002, 2.0573928E+001, 4.2471868E+001, 8.2103341E-001, 1.7819418E-001, 6.9565335E+001, 1.0873928E+002, 3.9103845E+001, 1.8293791E-001, 2.1443179E+002, 2.7194165E+002, 4.3093714E+001, 1.7915263E-001, 1.7424767E+002, 1.8308268E+002, 9.9136339E+000, 1.8424688E-001,NaN,NaN,NaN
 1.0312709E-001, 2.0544739E+001, 4.1202679E+001, 7.7365966E-001, 1.7819239E-001, 5.2977118E+001, 8.3478849E+001, 3.0494438E+001, 1.8683510E-001, 1.9620840E+002, 2.5407437E+002, 4.0017671E+001, 1.8176441E-001, 1.7078491E+002, 1.7941085E+002, 9.6404602E+000, 1.8472566E-001,NaN,NaN,NaN
 1.0937722E-001, 2.0517975E+001, 4.0109481E+001, 7.3217239E-001, 1.7819086E-001, 3.8913429E+001, 6.5519306E+001, 2.0203700E+001, 1.9048168E-001, 1.7620646E+002, 2.3307061E+002, 3.9379603E+001, 1.8464853E-001, 1.6674000E+002, 1.7489290E+002, 1.0389634E+001, 1.8529521E-001,NaN,NaN,NaN
 1.1562734E-001, 2.0493716E+001, 3.9081415E+001, 6.9334729E-001, 1.7818951E-001, 2.9742464E+001, 5.4094695E+001, 1.1841303E+001, 1.9356020E-001, 1.5860661E+002, 2.1426378E+002, 4.1479764E+001, 1.8724536E-001, 1.6155977E+002, 1.6929780E+002, 1.1478681E+001, 1.8603756E-001,NaN,NaN,NaN
 1.2187747E-001, 2.0472166E+001, 3.8173445E+001, 6.5775499E-001, 1.7818828E-001, 2.4797839E+001, 4.6303479E+001, 5.2440960E+000, 1.9621256E-001, 1.4264849E+002, 1.9488233E+002, 4.2108154E+001, 1.8960356E-001, 1.5494243E+002, 1.6139976E+002, 1.1952778E+001, 1.8698147E-001,NaN,NaN,NaN
 1.2812759E-001, 2.0451613E+001, 3.7260036E+001, 6.1354707E-001, 1.7818710E-001, 2.2322970E+001, 4.1717111E+001, 9.0120581E-001, 1.9846731E-001, 1.2727086E+002, 1.7276671E+002, 3.9065963E+001, 1.9185727E-001, 1.4764101E+002, 1.5281843E+002, 1.2569838E+001, 1.8804269E-001,NaN,NaN,NaN
 1.3437772E-001, 2.0433002E+001, 3.6460485E+001, 5.9168318E-001, 1.7818622E-001, 2.1637490E+001, 4.0260997E+001, 4.8679529E-001, 2.0031656E-001, 1.1144538E+002, 1.5052845E+002, 3.3224859E+001, 1.9412879E-001, 1.4053262E+002, 1.4590394E+002, 1.4107606E+001, 1.8910858E-001,NaN,NaN,NaN
 1.4062785E-001, 2.0416091E+001, 3.5729300E+001, 5.5651581E-001, 1.7818598E-001, 2.1534644E+001, 3.9391496E+001, 5.0291141E-001, 2.0197127E-001, 9.4963422E+001, 1.2817099E+002, 2.8317366E+001, 1.9649988E-001, 1.3439071E+002, 1.3989409E+002, 1.5345973E+001, 1.9004860E-001,NaN,NaN,NaN
 1.4687797E-001, 2.0399114E+001, 3.5034146E+001, 5.2976068E-001, 1.7818690E-001, 2.1503715E+001, 3.8629646E+001, 4.7985023E-001, 2.0320240E-001, 8.0508124E+001, 1.0771004E+002, 2.5023791E+001, 1.9862187E-001, 1.2858784E+002, 1.3406421E+002, 1.5642056E+001, 1.9093870E-001,NaN,NaN,NaN
 1.5312810E-001, 2.0382026E+001, 3.4327877E+001, 5.0900208E-001, 1.7819074E-001, 2.1476693E+001, 3.7925776E+001, 4.7032626E-001, 2.0407980E-001, 6.7472074E+001, 8.9630249E+001, 2.2873462E+001, 2.0051876E-001, 1.2334122E+002, 1.2879245E+002, 1.4688669E+001, 1.9172599E-001,NaN,NaN,NaN
 1.5937823E-001, 2.0369862E+001, 3.3777567E+001, 4.8461654E-001, 1.7820702E-001, 2.1456536E+001, 3.7242937E+001, 4.6690239E-001, 2.0473806E-001, 5.6754492E+001, 7.5594898E+001, 2.0205645E+001, 2.0216506E-001, 1.1815638E+002, 1.2372013E+002, 1.3670622E+001, 1.9251724E-001,NaN,NaN,NaN
 1.6562835E-001, 2.0362972E+001, 3.3176844E+001, 4.6360087E-001, 1.7826425E-001, 2.1441871E+001, 3.6621744E+001, 4.5103649E-001, 2.0523040E-001, 4.8226170E+001, 6.4529003E+001, 1.6202220E+001, 2.0347976E-001, 1.1388571E+002, 1.1940492E+002, 1.2911444E+001, 1.9317671E-001,NaN,NaN,NaN
 1.7187848E-001, 2.0367337E+001, 3.2676822E+001, 4.4776616E-001, 1.7845991E-001, 2.1428364E+001, 3.6003383E+001, 4.3588298E-001, 2.0563059E-001, 4.1199733E+001, 5.5188172E+001, 1.2312789E+001, 2.0458733E-001, 1.0944839E+002, 1.1494200E+002, 1.2346989E+001, 1.9388039E-001,NaN,NaN,NaN
 1.7812861E-001, 2.0401120E+001, 3.2230028E+001, 4.3383270E-001, 1.7905178E-001, 2.1411706E+001, 3.5418145E+001, 4.1645671E-001, 2.0593287E-001, 3.6007509E+001, 4.8267379E+001, 9.6568652E+000, 2.0538836E-001, 1.0487771E+002, 1.1018883E+002, 1.2343190E+001, 1.9458412E-001,NaN,NaN,NaN
 1.8437873E-001, 2.0504095E+001, 3.1972799E+001, 4.3551957E-001, 1.8058261E-001, 2.1384485E+001, 3.4852870E+001, 3.9736360E-001, 2.0623771E-001, 3.2229816E+001, 4.3000438E+001, 6.9758028E+000, 2.0594526E-001, 9.9937311E+001, 1.0536630E+002, 1.2119415E+001, 1.9534134E-001,NaN,NaN,NaN
 1.9062886E-001, 2.0696439E+001, 3.1942277E+001, 4.5179307E-001, 1.8351270E-001, 2.1351043E+001, 3.4318714E+001, 3.7405351E-001, 2.0647950E-001, 2.9286050E+001, 3.9426784E+001, 5.2931053E+000, 2.0637393E-001, 9.3658862E+001, 9.9522359E+001, 1.1815755E+001, 1.9629782E-001,NaN,NaN,NaN
 1.9687899E-001, 2.0918772E+001, 3.2111827E+001, 4.6540548E-001, 1.8739362E-001, 2.1312765E+001, 3.3793910E+001, 3.5697813E-001, 2.0670419E-001, 2.6972072E+001, 3.6618040E+001, 4.2577587E+000, 2.0671820E-001, 8.7403885E+001, 9.3575895E+001, 1.1455237E+001, 1.9727494E-001,NaN,NaN,NaN
 2.0312911E-001, 2.1096239E+001, 3.2313594E+001, 4.6565276E-001, 1.9122053E-001, 2.1262639E+001, 3.3291782E+001, 3.4128897E-001, 2.0695463E-001, 2.5330648E+001, 3.4056737E+001, 3.2396747E+000, 2.0697241E-001, 8.1647702E+001, 8.7881711E+001, 1.1012760E+001, 1.9818022E-001,NaN,NaN,NaN
