s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 3.0000299E+001, 4.8542326E+001,-9.6239844E+000,-3.6860355E+001, 1.9932414E-002,-4.7478920E-004, 0.0000000E+000, 0.0000000E+000, 1.8290031E+000, 2.0774445E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1664088E-002
 3.1000179E+001, 4.8644386E+001,-9.4890383E+000,-4.1256049E+001, 2.5650543E-002,-4.5552095E-004, 0.0000000E+000, 0.0000000E+000,-2.1935875E+000,-2.0755056E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.2858962E-002
 3.2000202E+001, 4.7785378E+001,-8.9509593E+000,-3.7848180E+001, 3.2785662E-002,-4.4267751E-004, 0.0000000E+000, 0.0000000E+000, 7.3399420E-001, 1.0185816E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.4078140E-002
 3.3000198E+001, 4.9362337E+001,-9.1318647E+000,-3.9687128E+001, 3.2860972E-002,-4.5356972E-004, 0.0000000E+000, 0.0000000E+000, 3.1641575E-001, 5.7575106E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.5297159E-002
 3.4000114E+001, 4.7995368E+001,-8.5835434E+000,-4.0240793E+001, 3.4427316E-002,-4.3565620E-004, 0.0000000E+000, 0.0000000E+000,-9.1744520E-001,-7.9497645E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.6516219E-002
 3.5000423E+001, 4.7543494E+001,-8.0621040E+000,-3.9374172E+001, 2.7605936E-002,-4.1951201E-004, 0.0000000E+000, 0.0000000E+000,-6.9260409E-002, 1.3440478E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.7735493E-002
 3.6000179E+001, 4.8333794E+001,-7.9716763E+000,-3.8868811E+001, 2.8999950E-002,-4.2090847E-004, 0.0000000E+000, 0.0000000E+000, 1.3547309E+000, 1.5218860E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.8954712E-002
 3.7000031E+001, 4.8204520E+001,-8.0664800E+000,-4.0505216E+001, 2.6650106E-002,-4.1297338E-004, 0.0000000E+000, 0.0000000E+000,-5.8342904E-001,-3.4093857E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.0173516E-002
 3.8000278E+001, 4.8395239E+001,-7.7644648E+000,-3.9913610E+001, 1.6769184E-002,-3.9338098E-004, 0.0000000E+000, 0.0000000E+000, 4.5661029E-001, 7.3354050E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.1392779E-002
 3.9000309E+001, 4.8970276E+001,-7.3035242E+000,-4.2564289E+001, 7.4087785E-004,-4.1029826E-004, 0.0000000E+000, 0.0000000E+000,-1.3032117E+000,-8.9720710E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.2611975E-002
 4.0000050E+001, 4.8150858E+001,-6.7397426E+000,-4.0240592E+001, 1.5520979E-002,-3.8262393E-004, 0.0000000E+000, 0.0000000E+000, 9.5306805E-001, 1.1856621E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.3831053E-002
 4.1000416E+001, 4.8480724E+001,-6.7533324E+000,-4.2515382E+001, 1.3697952E-002,-3.8960432E-004, 0.0000000E+000, 0.0000000E+000,-9.5116385E-001,-7.7468143E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.5050155E-002
 4.2000061E+001, 4.7697773E+001,-6.3915053E+000,-4.1270429E+001, 1.5484919E-002,-3.9508222E-004, 0.0000000E+000, 0.0000000E+000,-1.9403647E-001, 5.0928655E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.6269362E-002
 4.3000111E+001, 4.8158139E+001,-6.0773745E+000,-4.1181358E+001, 2.0200664E-003,-3.8479029E-004, 0.0000000E+000, 0.0000000E+000, 6.6110779E-001, 9.0104148E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.7488230E-002
 4.4000343E+001, 4.8827562E+001,-5.8964213E+000,-4.1895911E+001, 3.6146755E-003,-3.7418320E-004, 0.0000000E+000, 0.0000000E+000, 8.9697192E-001, 1.0384700E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.8707613E-002
 4.5000046E+001, 4.7913575E+001,-5.5972328E+000,-4.2589467E+001,-6.8904000E-003,-3.5829361E-004, 0.0000000E+000, 0.0000000E+000,-5.3132912E-001,-2.8037331E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.9926590E-002
 4.6000164E+001, 4.8412832E+001,-5.4388898E+000,-4.4178265E+001,-5.7390243E-003,-3.6127703E-004, 0.0000000E+000, 0.0000000E+000,-1.4058541E+000,-1.2104228E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.1145681E-002
 4.7000145E+001, 4.8167897E+001,-5.1579739E+000,-4.1102652E+001,-6.9873809E-003,-3.4855674E-004, 0.0000000E+000, 0.0000000E+000, 1.7830785E+000, 1.8999356E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.2364810E-002
 4.8000027E+001, 4.7945472E+001,-4.9789279E+000,-4.3304008E+001,-1.1743574E-002,-3.5286254E-004, 0.0000000E+000, 0.0000000E+000,-5.1053163E-001,-3.4956074E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.3583856E-002
 4.9000469E+001, 4.7473164E+001,-4.5583082E+000,-4.3640957E+001,-9.9603045E-003,-3.3173314E-004, 0.0000000E+000, 0.0000000E+000,-1.0361908E+000,-7.3639316E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.4803160E-002
 5.0000202E+001, 4.7803928E+001,-4.5708831E+000,-4.3215571E+001,-1.4799815E-002,-3.3638830E-004, 0.0000000E+000, 0.0000000E+000,-2.1853525E-001, 2.3378420E-003, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.6022421E-002
 5.1000172E+001, 4.9304955E+001,-4.4567134E+000,-4.2981727E+001,-1.7533504E-002,-3.4728232E-004, 0.0000000E+000, 0.0000000E+000, 1.6364349E+000, 1.8486345E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.7241282E-002
