s,mol/mol,kW/m2,kW/m2,m
 5.6002306E+001, 1.2612258E-001, 3.8071908E-003, 3.8728585E-003, 1.4659045E-001
 5.7003281E+001, 1.2476169E-001, 2.9034735E-003, 2.9721079E-003, 1.4595810E-001
 5.8002018E+001, 1.2343229E-001, 2.2510221E-003, 2.3017403E-003, 1.4616232E-001
 5.9003916E+001, 1.2212837E-001, 1.7731070E-003, 1.7962992E-003, 1.4617651E-001
 6.0000077E+001, 1.2085635E-001, 1.4180282E-003, 1.4406427E-003, 1.4617212E-001
 6.1000883E+001, 1.1960627E-001, 1.1595270E-003, 1.1905586E-003, 1.4908436E-001
 6.2004966E+001, 1.1837795E-001, 9.2895990E-004, 9.4284029E-004, 0.0000000E+000
 6.3002422E+001, 1.1718284E-001, 7.7262241E-004, 7.8512087E-004, 0.0000000E+000
 6.4001492E+001, 1.1600858E-001, 6.9761302E-004, 7.1378183E-004, 0.0000000E+000
 6.5001484E+001, 1.1485725E-001, 6.5984378E-004, 6.7338678E-004, 0.0000000E+000
 6.6001767E+001, 1.1372750E-001, 6.3533222E-004, 6.5014227E-004, 0.0000000E+000
 6.7000414E+001, 1.1262179E-001, 6.1727348E-004, 6.3257157E-004, 0.0000000E+000
 6.8003397E+001, 1.1153396E-001, 6.0029654E-004, 6.1511456E-004, 0.0000000E+000
 6.9003645E+001, 1.1046853E-001, 5.8464787E-004, 6.0003364E-004, 0.0000000E+000
 7.0004487E+001, 1.0942482E-001, 5.6968439E-004, 5.8512750E-004, 0.0000000E+000
 7.1005650E+001, 1.0839758E-001, 5.5603098E-004, 5.7109478E-004, 0.0000000E+000
 7.2004755E+001, 1.0739183E-001, 5.4261703E-004, 5.5801683E-004, 0.0000000E+000
 7.3000186E+001, 1.0640873E-001, 5.3066298E-004, 5.4492817E-004, 0.0000000E+000
 7.4001761E+001, 1.0543804E-001, 5.1856982E-004, 5.3287778E-004, 0.0000000E+000
 7.5001910E+001, 1.0448711E-001, 5.0745929E-004, 5.2118696E-004, 0.0000000E+000
 7.6004720E+001, 1.0355037E-001, 4.9661276E-004, 5.1037835E-004, 0.0000000E+000
 7.7003537E+001, 1.0263144E-001, 4.8639944E-004, 5.0006742E-004, 0.0000000E+000
 7.8002648E+001, 1.0173085E-001, 4.7627907E-004, 4.8938462E-004, 0.0000000E+000
 7.9004005E+001, 1.0084253E-001, 4.6737860E-004, 4.8022124E-004, 0.0000000E+000
 8.0000000E+001, 9.9974409E-002, 4.5716195E-004, 4.6973443E-004, 0.0000000E+000
