s,,,,C,C,C,C,C,C,C,C,C
 9.0011305E+001, 5.7740787E+001, 5.3371733E+001, 4.9308505E+001, 5.6431116E+001, 5.7751004E+001, 5.4699019E+001, 5.2380760E+001, 5.3147647E+001, 5.1574863E+001, 4.8878835E+001, 4.8557211E+001, 4.7569833E+001
 1.0001430E+002, 5.9225263E+001, 5.5858190E+001, 5.0928563E+001, 5.8604967E+001, 5.8915674E+001, 5.7148034E+001, 5.5188868E+001, 5.5095099E+001, 5.3543209E+001, 5.0191517E+001, 5.0484161E+001, 4.9216020E+001
 1.1000172E+002, 6.2874113E+001, 5.7006954E+001, 5.2802206E+001, 6.1737156E+001, 6.1413011E+001, 5.7886109E+001, 5.7587712E+001, 5.6556839E+001, 5.4363330E+001, 5.2972993E+001, 5.1846386E+001, 5.1141651E+001
 1.2001614E+002, 7.0154517E+001, 6.3918334E+001, 5.4456041E+001, 6.7831398E+001, 6.9757170E+001, 6.0307767E+001, 6.1814254E+001, 6.1546506E+001, 5.7066374E+001, 5.4438993E+001, 5.3776486E+001, 5.1952309E+001
 1.3001199E+002, 7.9469672E+001, 7.3614708E+001, 6.2505516E+001, 8.1039739E+001, 7.7627706E+001, 6.7278556E+001, 7.3012916E+001, 6.9237048E+001, 6.3207342E+001, 5.9070357E+001, 5.8466779E+001, 5.6172376E+001
 1.4000799E+002, 8.6850568E+001, 7.9084702E+001, 7.0726513E+001, 8.4617180E+001, 8.8949925E+001, 7.6110150E+001, 7.9190963E+001, 7.6852401E+001, 7.0790158E+001, 6.8718824E+001, 6.7350784E+001, 6.4800268E+001
 1.5001097E+002, 8.9451348E+001, 8.4999011E+001, 7.5757211E+001, 8.7378430E+001, 9.3567591E+001, 8.4289029E+001, 8.3095644E+001, 8.4601516E+001, 7.8591888E+001, 7.4274669E+001, 7.3684634E+001, 7.1243977E+001
 1.6000869E+002, 9.8198263E+001, 8.8763346E+001, 8.0662831E+001, 9.4896420E+001, 9.7733277E+001, 9.0629640E+001, 8.7642613E+001, 8.7377494E+001, 8.2635867E+001, 8.0163368E+001, 8.0186500E+001, 7.6928073E+001
 1.7001395E+002, 1.0599633E+002, 9.4389116E+001, 8.5648931E+001, 1.0118700E+002, 1.0414402E+002, 9.9659587E+001, 9.3164288E+001, 9.3635820E+001, 8.9626553E+001, 8.4237811E+001, 8.2673678E+001, 7.9510474E+001
 1.8000707E+002, 1.1391236E+002, 1.0308731E+002, 9.1470574E+001, 1.0732584E+002, 1.1064402E+002, 1.1065532E+002, 1.0137932E+002, 9.8368808E+001, 9.6205269E+001, 9.0717367E+001, 8.8856766E+001, 8.5450552E+001
 1.9000018E+002, 1.1901177E+002, 1.1060580E+002, 9.8430209E+001, 1.1722654E+002, 1.1693580E+002, 1.1780080E+002, 1.0870965E+002, 1.0782751E+002, 1.0388607E+002, 9.7426999E+001, 9.4970968E+001, 9.2937354E+001
 2.0000543E+002, 1.3120252E+002, 1.2020507E+002, 1.0645181E+002, 1.2205616E+002, 1.2610136E+002, 1.2945314E+002, 1.1543602E+002, 1.1620415E+002, 1.1178974E+002, 1.0540291E+002, 1.0397516E+002, 9.9836409E+001
 2.1001077E+002, 1.4200098E+002, 1.2518020E+002, 1.1445816E+002, 1.3260338E+002, 1.3623740E+002, 1.4121718E+002, 1.2150128E+002, 1.2535950E+002, 1.2212754E+002, 1.1272178E+002, 1.1151593E+002, 1.0847293E+002
 2.2000695E+002, 1.5345751E+002, 1.3937422E+002, 1.2196421E+002, 1.4555492E+002, 1.4777466E+002, 1.4828567E+002, 1.3212780E+002, 1.3552265E+002, 1.2940115E+002, 1.1849165E+002, 1.1891918E+002, 1.1534817E+002
 2.3000202E+002, 1.6284316E+002, 1.4697874E+002, 1.3339443E+002, 1.5669240E+002, 1.5923516E+002, 1.6006993E+002, 1.4292995E+002, 1.4711873E+002, 1.4175777E+002, 1.2899302E+002, 1.3056786E+002, 1.2560704E+002
 2.4001149E+002, 1.7008286E+002, 1.5390915E+002, 1.4009389E+002, 1.6467037E+002, 1.6580644E+002, 1.6482491E+002, 1.5081211E+002, 1.5303345E+002, 1.4684970E+002, 1.3768759E+002, 1.3863934E+002, 1.3522863E+002
 2.5000027E+002, 1.7622765E+002, 1.6160634E+002, 1.4791065E+002, 1.7562825E+002, 1.7500672E+002, 1.7486204E+002, 1.5887103E+002, 1.6037672E+002, 1.5524400E+002, 1.4417552E+002, 1.4605987E+002, 1.4095201E+002
 2.6000623E+002, 1.9050054E+002, 1.7119112E+002, 1.5527981E+002, 1.8690342E+002, 1.8374926E+002, 1.8101735E+002, 1.6914963E+002, 1.6905460E+002, 1.6010502E+002, 1.5188908E+002, 1.5332784E+002, 1.4848298E+002
 2.7000882E+002, 1.9965881E+002, 1.8220741E+002, 1.6435112E+002, 1.9954302E+002, 1.9580303E+002, 1.9697482E+002, 1.7743056E+002, 1.8052090E+002, 1.7320273E+002, 1.6016335E+002, 1.6289228E+002, 1.5697164E+002
 2.8000905E+002, 2.0645943E+002, 1.8961578E+002, 1.7331227E+002, 2.0274857E+002, 2.0457624E+002, 2.0128166E+002, 1.8723011E+002, 1.9082133E+002, 1.8237258E+002, 1.7000326E+002, 1.7179305E+002, 1.6651501E+002
 2.9000880E+002, 2.1980872E+002, 1.9389084E+002, 1.7793439E+002, 2.1712902E+002, 2.1238493E+002, 2.1311839E+002, 1.9399031E+002, 1.9319002E+002, 1.8647088E+002, 1.7651597E+002, 1.7818940E+002, 1.7395682E+002
 3.0000120E+002, 2.3091576E+002, 2.0613569E+002, 1.8630238E+002, 2.2897810E+002, 2.1938536E+002, 2.3131214E+002, 2.0370470E+002, 2.0129441E+002, 1.9675563E+002, 1.8266075E+002, 1.8294465E+002, 1.7784308E+002
 3.1000017E+002, 2.4661051E+002, 2.1502643E+002, 1.9474179E+002, 2.4372411E+002, 2.3596515E+002, 2.3589377E+002, 2.1196349E+002, 2.1221762E+002, 2.0787841E+002, 1.9115722E+002, 1.9383758E+002, 1.8835434E+002
 3.2000293E+002, 2.5056103E+002, 2.2385337E+002, 2.0487468E+002, 2.5120947E+002, 2.4494521E+002, 2.4118375E+002, 2.2146900E+002, 2.2354502E+002, 2.1687510E+002, 2.0096512E+002, 2.0211513E+002, 1.9769411E+002
 3.3001073E+002, 2.6450700E+002, 2.3539263E+002, 2.1228730E+002, 2.6777026E+002, 2.6094932E+002, 2.4784897E+002, 2.3323642E+002, 2.3042751E+002, 2.2129432E+002, 2.0970667E+002, 2.0975677E+002, 2.0569752E+002
 3.4000811E+002, 2.7315860E+002, 2.4820504E+002, 2.2435650E+002, 2.6838541E+002, 2.7502430E+002, 2.6603234E+002, 2.4101284E+002, 2.4870188E+002, 2.3675586E+002, 2.1868173E+002, 2.2189364E+002, 2.1516665E+002
 3.5000236E+002, 2.9103506E+002, 2.5866899E+002, 2.3352648E+002, 2.8052723E+002, 2.9017375E+002, 2.7801806E+002, 2.5245947E+002, 2.6166808E+002, 2.4781599E+002, 2.2871068E+002, 2.3302083E+002, 2.2617277E+002
 3.6000111E+002, 3.0368911E+002, 2.7107429E+002, 2.4393986E+002, 2.8768063E+002, 3.0079780E+002, 3.0403363E+002, 2.6316490E+002, 2.7272092E+002, 2.6013472E+002, 2.3776039E+002, 2.4347572E+002, 2.3746720E+002
 3.7000955E+002, 3.2347306E+002, 2.8102932E+002, 2.5332532E+002, 3.0164941E+002, 3.1283347E+002, 3.2210545E+002, 2.6995466E+002, 2.8224008E+002, 2.7573276E+002, 2.4745931E+002, 2.5114098E+002, 2.4818692E+002
 3.8000762E+002, 3.3553993E+002, 2.9797825E+002, 2.6530031E+002, 3.2830564E+002, 3.2967149E+002, 3.4586891E+002, 2.8464232E+002, 2.9489781E+002, 2.8860619E+002, 2.5608133E+002, 2.6022509E+002, 2.5666402E+002
 3.9000091E+002, 3.4894307E+002, 3.0738185E+002, 2.7510890E+002, 3.4430488E+002, 3.4744604E+002, 3.3975037E+002, 3.0070146E+002, 3.0888934E+002, 2.9844136E+002, 2.7142935E+002, 2.7381179E+002, 2.6913842E+002
 4.0000539E+002, 3.6551899E+002, 3.1542186E+002, 2.8560565E+002, 3.4959737E+002, 3.6242354E+002, 3.5122955E+002, 3.1122169E+002, 3.2272281E+002, 3.0739576E+002, 2.8175109E+002, 2.8466728E+002, 2.7816471E+002
 4.1000603E+002, 3.8290174E+002, 3.3648453E+002, 2.9620538E+002, 3.6822717E+002, 3.8849794E+002, 3.7572596E+002, 3.2148889E+002, 3.3657257E+002, 3.2443448E+002, 2.8782264E+002, 2.9128431E+002, 2.8860640E+002
 4.2000489E+002, 4.2481550E+002, 3.4954700E+002, 3.1300301E+002, 4.0851848E+002, 4.0029402E+002, 3.9094500E+002, 3.4234961E+002, 3.5220846E+002, 3.4054212E+002, 3.0435233E+002, 3.0653942E+002, 3.0368883E+002
 4.3000113E+002, 4.3287526E+002, 3.6897649E+002, 3.2390429E+002, 4.3454527E+002, 4.3135424E+002, 4.2750533E+002, 3.5773060E+002, 3.6742438E+002, 3.5624914E+002, 3.1734595E+002, 3.2133096E+002, 3.1911410E+002
 4.4000625E+002, 4.4502146E+002, 3.7589482E+002, 3.3185312E+002, 4.4405935E+002, 4.3172247E+002, 4.3897944E+002, 3.7420034E+002, 3.7235599E+002, 3.6703666E+002, 3.3138539E+002, 3.3145522E+002, 3.2681336E+002
 4.5000134E+002, 4.5963856E+002, 3.8761687E+002, 3.4443447E+002, 4.6678285E+002, 4.4553805E+002, 4.4735410E+002, 3.8422267E+002, 3.8924378E+002, 3.7948593E+002, 3.4206084E+002, 3.3948794E+002, 3.3384655E+002
 4.6000556E+002, 4.7023081E+002, 4.0056764E+002, 3.5188837E+002, 4.7500462E+002, 4.6937631E+002, 4.5982182E+002, 3.9528630E+002, 3.9926245E+002, 3.8528625E+002, 3.4971322E+002, 3.4940139E+002, 3.4327741E+002
 4.7001031E+002, 5.0142147E+002, 4.1586401E+002, 3.6316550E+002, 4.7957718E+002, 4.8958746E+002, 4.7980045E+002, 4.0153793E+002, 4.1660017E+002, 4.0583100E+002, 3.5838640E+002, 3.6137027E+002, 3.5633593E+002
 4.8000365E+002, 5.1660384E+002, 4.2695972E+002, 3.7209808E+002, 5.1394981E+002, 5.0218115E+002, 5.0717200E+002, 4.1617699E+002, 4.3065308E+002, 4.1850291E+002, 3.6595275E+002, 3.7287458E+002, 3.7058319E+002
 4.9000253E+002, 5.4353483E+002, 4.3957600E+002, 3.8372790E+002, 5.2632391E+002, 5.2237002E+002, 5.2784514E+002, 4.3256050E+002, 4.3790246E+002, 4.2669821E+002, 3.7988774E+002, 3.7860886E+002, 3.7303051E+002
 5.0000479E+002, 5.6147965E+002, 4.5314846E+002, 3.9341207E+002, 5.3448506E+002, 5.6251872E+002, 5.5691656E+002, 4.3921734E+002, 4.5685765E+002, 4.4881887E+002, 3.9205042E+002, 3.9152495E+002, 3.8932181E+002
 5.1001281E+002, 5.8816781E+002, 4.7229740E+002, 4.0567654E+002, 5.7902502E+002, 5.7833519E+002, 5.8249748E+002, 4.6299642E+002, 4.6708448E+002, 4.6144003E+002, 4.0404695E+002, 4.0253646E+002, 3.9420055E+002
 5.2000143E+002, 6.0795050E+002, 4.8554363E+002, 4.1393616E+002, 5.9913732E+002, 5.9508748E+002, 6.0073691E+002, 4.7234444E+002, 4.8068814E+002, 4.7449990E+002, 4.1590764E+002, 4.1014391E+002, 4.0933851E+002
 5.3000808E+002, 6.2779851E+002, 4.9483770E+002, 4.2500497E+002, 6.2864859E+002, 6.1104887E+002, 6.1578372E+002, 4.8746003E+002, 4.8752017E+002, 4.8434002E+002, 4.2083784E+002, 4.2022665E+002, 4.2036608E+002
 5.4000474E+002, 6.5215543E+002, 5.0740810E+002, 4.4097326E+002, 6.1978251E+002, 6.5486265E+002, 6.4236322E+002, 4.9430018E+002, 5.0929160E+002, 5.0481361E+002, 4.3552278E+002, 4.3727687E+002, 4.3294856E+002
 5.5000152E+002, 6.6667084E+002, 5.2178291E+002, 4.4538338E+002, 6.4795015E+002, 6.8139104E+002, 6.6281641E+002, 5.0899954E+002, 5.1811223E+002, 5.1692225E+002, 4.4284819E+002, 4.4229469E+002, 4.4091692E+002
 5.6000445E+002, 6.9288571E+002, 5.3009500E+002, 4.6169711E+002, 6.7558945E+002, 7.0692664E+002, 6.7903480E+002, 5.1863485E+002, 5.3293773E+002, 5.3073687E+002, 4.5517417E+002, 4.5607454E+002, 4.5434605E+002
 5.7000060E+002, 7.1956100E+002, 5.4772866E+002, 4.7164001E+002, 6.8987030E+002, 7.1844393E+002, 7.1395276E+002, 5.3766390E+002, 5.4714626E+002, 5.4533807E+002, 4.6789586E+002, 4.6607855E+002, 4.6220228E+002
 5.8000041E+002, 7.4686664E+002, 5.6056961E+002, 4.7691248E+002, 7.2447651E+002, 7.5092614E+002, 7.4131955E+002, 5.4733801E+002, 5.5749380E+002, 5.5962908E+002, 4.7316985E+002, 4.7689171E+002, 4.7339787E+002
 5.9000533E+002, 7.7473124E+002, 5.7525364E+002, 4.9234160E+002, 7.3860952E+002, 7.6639842E+002, 7.7085303E+002, 5.6032582E+002, 5.7259069E+002, 5.7636152E+002, 4.8646271E+002, 4.8375287E+002, 4.8293062E+002
 6.0000813E+002, 7.9821860E+002, 5.9068453E+002, 4.9504331E+002, 7.6227024E+002, 7.8649471E+002, 8.1035603E+002, 5.7522332E+002, 5.8226716E+002, 5.7913228E+002, 5.0053012E+002, 4.9879263E+002, 4.8935684E+002
 6.1001176E+002, 8.0666160E+002, 5.9353293E+002, 5.0959301E+002, 8.0117557E+002, 8.0350577E+002, 8.0859345E+002, 5.8767081E+002, 5.9348226E+002, 5.9997019E+002, 5.0758383E+002, 5.0623766E+002, 4.9364159E+002
 6.2000102E+002, 8.5754727E+002, 6.2022057E+002, 5.2317870E+002, 8.2040579E+002, 8.2178784E+002, 8.4266460E+002, 6.0494778E+002, 6.0596660E+002, 6.1628454E+002, 5.1122273E+002, 5.1486019E+002, 5.1245202E+002
 6.3000293E+002, 9.0594385E+002, 6.4112559E+002, 5.4245401E+002, 8.6182787E+002, 8.6007604E+002, 8.9765208E+002, 6.2644411E+002, 6.2401312E+002, 6.3700039E+002, 5.3442978E+002, 5.3215165E+002, 5.3229222E+002
 6.4000730E+002, 1.0155143E+003, 7.2302825E+002, 5.7279861E+002, 9.8187440E+002, 9.7524817E+002, 9.7262962E+002, 6.6768921E+002, 6.6875611E+002, 6.8577486E+002, 5.5723903E+002, 5.5364383E+002, 5.5466962E+002
 6.5000802E+002, 9.8203616E+002, 7.6665805E+002, 6.0872391E+002, 1.0149574E+003, 1.0120003E+003, 1.0092624E+003, 7.2853826E+002, 7.3032686E+002, 7.4141511E+002, 5.9902832E+002, 5.9638085E+002, 5.9563357E+002
 6.6000293E+002, 8.9954844E+002, 8.1389803E+002, 6.4734481E+002, 9.5849683E+002, 9.6771969E+002, 9.3634102E+002, 8.0471026E+002, 7.7952345E+002, 7.9433943E+002, 6.3988951E+002, 6.3659800E+002, 6.3068440E+002
 6.7000139E+002, 7.9437947E+002, 8.2814140E+002, 6.4214571E+002, 8.6394952E+002, 8.4385023E+002, 8.3148172E+002, 8.2266181E+002, 8.0211268E+002, 8.1624896E+002, 6.6559822E+002, 6.6293946E+002, 6.5596930E+002
 6.8000422E+002, 7.1991894E+002, 9.0365086E+002, 7.1925006E+002, 7.6761468E+002, 7.4869198E+002, 7.4738752E+002, 8.9235243E+002, 8.8778638E+002, 8.6314627E+002, 6.5813320E+002, 6.6492987E+002, 6.6771958E+002
 6.9000756E+002, 6.7791442E+002, 8.1416867E+002, 7.8254090E+002, 7.0402031E+002, 6.9831750E+002, 7.0063255E+002, 9.1983251E+002, 8.4913503E+002, 8.3223675E+002, 7.5799624E+002, 7.6055604E+002, 7.6092867E+002
 7.0000626E+002, 6.3884939E+002, 7.2482090E+002, 9.6012113E+002, 6.5672581E+002, 6.5734753E+002, 6.6306042E+002, 7.5717085E+002, 7.5405841E+002, 7.7387037E+002, 8.8621758E+002, 8.6782810E+002, 8.8687326E+002
 7.1000198E+002, 6.0552536E+002, 6.8031970E+002, 8.3661233E+002, 6.1824582E+002, 6.2207134E+002, 6.2390628E+002, 7.0455426E+002, 7.0108274E+002, 7.0915390E+002, 9.3616145E+002, 9.2257962E+002, 9.2851440E+002
 7.2000514E+002, 5.7388477E+002, 6.1211708E+002, 7.3461019E+002, 5.8754106E+002, 5.8931406E+002, 5.9532893E+002, 6.5963194E+002, 6.4219119E+002, 6.3934565E+002, 7.8316297E+002, 7.7060215E+002, 7.4426304E+002
 7.3000601E+002, 5.4301524E+002, 5.8066943E+002, 7.2384177E+002, 5.5749119E+002, 5.5864965E+002, 5.6029910E+002, 6.0532017E+002, 5.8852475E+002, 5.8681315E+002, 7.3861127E+002, 7.5707677E+002, 6.9671903E+002
 7.4000741E+002, 5.1840161E+002, 5.6225861E+002, 6.6918901E+002, 5.3370741E+002, 5.2927126E+002, 5.2831443E+002, 5.7989475E+002, 5.6912881E+002, 5.6756473E+002, 6.9327279E+002, 7.3038411E+002, 6.6922866E+002
 7.5000007E+002, 5.0744744E+002, 5.4783242E+002, 6.7392225E+002, 5.2048649E+002, 5.0795493E+002, 5.0891475E+002, 5.5999358E+002, 5.5711113E+002, 5.4814787E+002, 6.7425333E+002, 7.0576809E+002, 6.4792576E+002
 7.6000399E+002, 4.9936475E+002, 5.3705475E+002, 6.9537983E+002, 5.1217559E+002, 4.9905937E+002, 4.9872802E+002, 5.4777058E+002, 5.4720023E+002, 5.4044293E+002, 6.7068213E+002, 7.2606871E+002, 6.3832623E+002
 7.7000436E+002, 4.9511918E+002, 5.2770240E+002, 6.4563823E+002, 5.0258463E+002, 4.9789389E+002, 4.9452467E+002, 5.3348528E+002, 5.3843327E+002, 5.3108580E+002, 6.5167359E+002, 6.9390901E+002, 6.3437265E+002
 7.8000397E+002, 4.8544114E+002, 5.2120143E+002, 6.5188175E+002, 4.9325033E+002, 4.9068740E+002, 4.8651228E+002, 5.2445125E+002, 5.2919730E+002, 5.2107606E+002, 6.4548017E+002, 6.8015260E+002, 6.2497248E+002
 7.9000333E+002, 4.7808552E+002, 5.1683170E+002, 6.4282064E+002, 4.8488337E+002, 4.8370139E+002, 4.7949287E+002, 5.2024121E+002, 5.2073333E+002, 5.1466838E+002, 6.5579948E+002, 7.0314531E+002, 6.2979428E+002
 8.0000905E+002, 4.7218813E+002, 5.1405706E+002, 6.4728660E+002, 4.7825070E+002, 4.7679531E+002, 4.7169089E+002, 5.1571616E+002, 5.1597501E+002, 5.1270127E+002, 6.3862118E+002, 6.8894684E+002, 6.2856756E+002
 8.1000339E+002, 4.6960037E+002, 5.0654598E+002, 6.3614539E+002, 4.7427108E+002, 4.7279485E+002, 4.6453894E+002, 5.1228941E+002, 5.1524297E+002, 5.0747902E+002, 6.2679679E+002, 6.7788850E+002, 6.1227223E+002
 8.2000071E+002, 4.6479918E+002, 5.0901065E+002, 6.4955612E+002, 4.7090817E+002, 4.7157069E+002, 4.6133530E+002, 5.0645811E+002, 5.1200129E+002, 5.0741527E+002, 6.3966485E+002, 6.9053167E+002, 6.2008864E+002
 8.3000367E+002, 4.6611314E+002, 5.0288841E+002, 6.3835769E+002, 4.6754860E+002, 4.6859834E+002, 4.6312046E+002, 5.0666749E+002, 5.1052528E+002, 5.0528356E+002, 6.2386333E+002, 6.8202344E+002, 6.1270367E+002
 8.4000635E+002, 4.6193906E+002, 5.0422822E+002, 6.4210960E+002, 4.6611500E+002, 4.6603508E+002, 4.6334052E+002, 5.0308134E+002, 5.0513871E+002, 5.0094772E+002, 6.3290420E+002, 6.9813260E+002, 6.2451544E+002
 8.5000369E+002, 4.6136070E+002, 5.0012145E+002, 6.1872817E+002, 4.6298839E+002, 4.6203394E+002, 4.5861312E+002, 5.0068530E+002, 5.0613688E+002, 5.0017769E+002, 6.2387772E+002, 6.7564149E+002, 6.1465389E+002
 8.6000080E+002, 4.5688205E+002, 4.9445249E+002, 6.4202358E+002, 4.6050627E+002, 4.5997248E+002, 4.5373225E+002, 4.9840885E+002, 4.9989144E+002, 4.9714494E+002, 6.1098702E+002, 6.6044200E+002, 6.0424614E+002
 8.7000124E+002, 4.5421548E+002, 5.0017697E+002, 6.3326559E+002, 4.5861234E+002, 4.5806721E+002, 4.5065067E+002, 4.9712806E+002, 5.0025063E+002, 4.9647510E+002, 6.2942994E+002, 6.6921881E+002, 6.0963115E+002
 8.8000322E+002, 4.5447465E+002, 4.9357523E+002, 6.3523494E+002, 4.5951072E+002, 4.5655079E+002, 4.4645740E+002, 4.9222185E+002, 4.9781782E+002, 4.9556992E+002, 6.2837213E+002, 6.4988961E+002, 6.1464048E+002
 8.9000266E+002, 4.5251188E+002, 4.9864965E+002, 6.3742439E+002, 4.5118394E+002, 4.5362030E+002, 4.5480143E+002, 4.9467998E+002, 4.9606709E+002, 4.9727491E+002, 6.1399291E+002, 6.6444038E+002, 6.0622272E+002
 9.0000342E+002, 4.5362539E+002, 4.9263310E+002, 6.1015663E+002, 4.5512563E+002, 4.5412575E+002, 4.5193609E+002, 4.9598672E+002, 4.9614138E+002, 4.9476726E+002, 6.0693248E+002, 6.5879843E+002, 6.0254926E+002
 9.1000110E+002, 4.5014552E+002, 4.9092871E+002, 6.4220090E+002, 4.5214194E+002, 4.5147542E+002, 4.5317765E+002, 4.8779923E+002, 4.8962413E+002, 4.9064450E+002, 6.1975625E+002, 6.6009891E+002, 6.0843224E+002
 9.2000690E+002, 4.5033679E+002, 4.9316402E+002, 6.1853975E+002, 4.4715648E+002, 4.4759515E+002, 4.4909076E+002, 4.9263288E+002, 4.9588450E+002, 4.9593443E+002, 6.1343034E+002, 6.6556575E+002, 6.1128683E+002
 9.3000738E+002, 4.4864502E+002, 4.9604184E+002, 6.2138385E+002, 4.5147500E+002, 4.4919823E+002, 4.5208711E+002, 4.9274919E+002, 4.9173777E+002, 4.9201278E+002, 6.0128716E+002, 6.5712219E+002, 6.1469660E+002
 9.4000102E+002, 4.5386332E+002, 4.8996690E+002, 6.1800491E+002, 4.5321166E+002, 4.5003259E+002, 4.5067089E+002, 4.9311850E+002, 4.9427427E+002, 4.9326742E+002, 5.9461484E+002, 6.4998319E+002, 6.1403762E+002
 9.5000205E+002, 4.4855491E+002, 4.8791334E+002, 6.0960356E+002, 4.5087813E+002, 4.5030506E+002, 4.4966072E+002, 4.9112696E+002, 4.9198291E+002, 4.9107192E+002, 5.9898466E+002, 6.5608595E+002, 6.1030309E+002
 9.6000763E+002, 4.4824890E+002, 4.8754298E+002, 6.2212529E+002, 4.4947572E+002, 4.4742526E+002, 4.4557342E+002, 4.8948500E+002, 4.9369041E+002, 4.9314178E+002, 6.0306471E+002, 6.5360315E+002, 6.1190604E+002
 9.7000305E+002, 4.4857662E+002, 4.9163473E+002, 6.3258319E+002, 4.5014275E+002, 4.4874862E+002, 4.5080015E+002, 4.8756138E+002, 4.9263360E+002, 4.9336762E+002, 6.0773292E+002, 6.5090806E+002, 6.1414974E+002
 9.8000413E+002, 4.4737373E+002, 4.8333858E+002, 6.1253949E+002, 4.4674578E+002, 4.4788816E+002, 4.5166928E+002, 4.8614040E+002, 4.8780508E+002, 4.8797416E+002, 6.0053844E+002, 6.3353089E+002, 6.0992352E+002
 9.9000211E+002, 4.4094347E+002, 4.8148276E+002, 6.1817284E+002, 4.4303286E+002, 4.4252877E+002, 4.4510730E+002, 4.7959397E+002, 4.8264714E+002, 4.8165945E+002, 5.9893545E+002, 6.3491177E+002, 5.9354078E+002
 1.0000045E+003, 4.4196812E+002, 4.8411114E+002, 6.2403501E+002, 4.3762717E+002, 4.4230359E+002, 4.4193542E+002, 4.7954096E+002, 4.8578990E+002, 4.8493688E+002, 5.7769450E+002, 6.4321871E+002, 6.2443041E+002
 1.0100042E+003, 4.4066811E+002, 4.8388863E+002, 6.2524493E+002, 4.4089783E+002, 4.4261390E+002, 4.4177930E+002, 4.8556749E+002, 4.8743467E+002, 4.8528464E+002, 6.0007220E+002, 6.4269728E+002, 6.2173189E+002
 1.0200009E+003, 4.4123632E+002, 4.8107880E+002, 6.1414348E+002, 4.4000743E+002, 4.4083754E+002, 4.4353849E+002, 4.7975315E+002, 4.8412773E+002, 4.8479004E+002, 5.8654803E+002, 6.3626997E+002, 6.1958878E+002
 1.0300034E+003, 4.3830955E+002, 4.7710173E+002, 6.1415257E+002, 4.4043150E+002, 4.3969637E+002, 4.3977258E+002, 4.8099482E+002, 4.8385659E+002, 4.8135082E+002, 5.8960308E+002, 6.3087266E+002, 6.1919262E+002
 1.0400086E+003, 4.3723842E+002, 4.8333450E+002, 6.1755763E+002, 4.3844654E+002, 4.3886094E+002, 4.3899216E+002, 4.7752889E+002, 4.8307582E+002, 4.8241795E+002, 5.8685353E+002, 6.4929525E+002, 6.2557182E+002
 1.0500064E+003, 4.3882933E+002, 4.8025960E+002, 6.1561286E+002, 4.3843184E+002, 4.4071304E+002, 4.4020002E+002, 4.8080601E+002, 4.8451724E+002, 4.8425065E+002, 5.9395321E+002, 6.4019939E+002, 6.2654817E+002
