s,C,C,C,C,C,C,C,C,C
 5.0003018E+002, 3.9912011E+002, 1.6955550E+002, 2.1069180E+002, 2.2360584E+002, 2.1638825E+002, 2.2510998E+002, 2.1396613E+002, 1.4229933E+002, 1.9212071E+002
 5.1000862E+002, 3.9970764E+002, 1.7362297E+002, 2.1588281E+002, 2.2886393E+002, 2.2162860E+002, 2.3036983E+002, 2.1918613E+002, 1.4545781E+002, 1.9655826E+002
 5.2002854E+002, 3.9916073E+002, 1.7761704E+002, 2.2095343E+002, 2.3398432E+002, 2.2674275E+002, 2.3548965E+002, 2.2428231E+002, 1.4854891E+002, 2.0091224E+002
 5.3002320E+002, 3.9749282E+002, 1.8151354E+002, 2.2587294E+002, 2.3892634E+002, 2.3168920E+002, 2.4042859E+002, 2.2921870E+002, 1.5155118E+002, 2.0513160E+002
 5.4000542E+002, 3.9582840E+002, 1.8527144E+002, 2.3059184E+002, 2.4363613E+002, 2.3641500E+002, 2.4513269E+002, 2.3394385E+002, 1.5442756E+002, 2.0916398E+002
 5.5000814E+002, 3.9416259E+002, 1.8887699E+002, 2.3509133E+002, 2.4809285E+002, 2.4090067E+002, 2.4958086E+002, 2.3843845E+002, 1.5716929E+002, 2.1299545E+002
 5.6002801E+002, 3.9249394E+002, 1.9232469E+002, 2.3936497E+002, 2.5229379E+002, 2.4514371E+002, 2.5377039E+002, 2.4269787E+002, 1.5977106E+002, 2.1663008E+002
 5.7002683E+002, 3.9082593E+002, 1.9562200E+002, 2.4342744E+002, 2.5626483E+002, 2.4916913E+002, 2.5772763E+002, 2.4674196E+002, 1.6223772E+002, 2.2009793E+002
 5.8000534E+002, 3.8916138E+002, 1.9876844E+002, 2.4727458E+002, 2.6000146E+002, 2.5296990E+002, 2.6144850E+002, 2.5056547E+002, 1.6457370E+002, 2.2339369E+002
 5.9003150E+002, 3.8749434E+002, 2.0178618E+002, 2.5093000E+002, 2.6352977E+002, 2.5657162E+002, 2.6495919E+002, 2.5419308E+002, 1.6679941E+002, 2.2654652E+002
 6.0001883E+002, 3.8582612E+002, 2.0466630E+002, 2.5437566E+002, 2.6682445E+002, 2.5994726E+002, 2.6823468E+002, 2.5760241E+002, 1.6891589E+002, 2.2952700E+002
 6.1000686E+002, 3.8416189E+002, 2.0741571E+002, 2.5762426E+002, 2.6991042E+002, 2.6311980E+002, 2.7130042E+002, 2.6081103E+002, 1.7092845E+002, 2.3236625E+002
 6.2003795E+002, 3.8249309E+002, 2.1005897E+002, 2.6070906E+002, 2.7282278E+002, 2.6612436E+002, 2.7419136E+002, 2.6385341E+002, 1.7284866E+002, 2.3509067E+002
 6.3000051E+002, 3.8082674E+002, 2.1259450E+002, 2.6362912E+002, 2.7556104E+002, 2.6896016E+002, 2.7690716E+002, 2.6672877E+002, 1.7467448E+002, 2.3769566E+002
 6.4002441E+002, 3.7916215E+002, 2.1501118E+002, 2.6636160E+002, 2.7809207E+002, 2.7159300E+002, 2.7941442E+002, 2.6940842E+002, 1.7640647E+002, 2.4014799E+002
 6.5001372E+002, 3.7749418E+002, 2.1733472E+002, 2.6894088E+002, 2.8046459E+002, 2.7407177E+002, 2.8176228E+002, 2.7193369E+002, 1.7806525E+002, 2.4250714E+002
 6.6001155E+002, 3.7582851E+002, 2.1956301E+002, 2.7136806E+002, 2.8267527E+002, 2.7639130E+002, 2.8394764E+002, 2.7430357E+002, 1.7964257E+002, 2.4474997E+002
 6.7002684E+002, 3.7415995E+002, 2.2169560E+002, 2.7364090E+002, 2.8472202E+002, 2.7854979E+002, 2.8596860E+002, 2.7651541E+002, 1.8114156E+002, 2.4688094E+002
 6.8003003E+002, 3.7249281E+002, 2.2375253E+002, 2.7578739E+002, 2.8663947E+002, 2.8058150E+002, 2.8786002E+002, 2.7860037E+002, 1.8257877E+002, 2.4893187E+002
 6.9000960E+002, 3.7082679E+002, 2.2572249E+002, 2.7778898E+002, 2.8840320E+002, 2.8246134E+002, 2.8959741E+002, 2.8053664E+002, 1.8394950E+002, 2.5087534E+002
 7.0002814E+002, 3.6916031E+002, 2.2761809E+002, 2.7966739E+002, 2.9004130E+002, 2.8421651E+002, 2.9120913E+002, 2.8234866E+002, 1.8525949E+002, 2.5273504E+002
 7.1001668E+002, 3.6749367E+002, 2.2945790E+002, 2.8145532E+002, 2.9159508E+002, 2.8588758E+002, 2.9273678E+002, 2.8407313E+002, 1.8651850E+002, 2.5454592E+002
 7.2003397E+002, 3.6582544E+002, 2.3122421E+002, 2.8313196E+002, 2.9303158E+002, 2.8744143E+002, 2.9414699E+002, 2.8568351E+002, 1.8770728E+002, 2.5625679E+002
 7.3002206E+002, 3.6415884E+002, 2.3288858E+002, 2.8465097E+002, 2.9429261E+002, 2.8881945E+002, 2.9538137E+002, 2.8712727E+002, 1.8881863E+002, 2.5782005E+002
 7.4002098E+002, 3.6249311E+002, 2.3448462E+002, 2.8605763E+002, 2.9544696E+002, 2.9009124E+002, 2.9650938E+002, 2.8846108E+002, 1.8988515E+002, 2.5932805E+002
 7.5001135E+002, 3.6082663E+002, 2.3603840E+002, 2.8739330E+002, 2.9653749E+002, 2.9129874E+002, 2.9757385E+002, 2.8972724E+002, 1.9091629E+002, 2.6079750E+002
 7.6000031E+002, 3.5790697E+002, 2.3751735E+002, 2.8861066E+002, 2.9749900E+002, 2.9237706E+002, 2.9850909E+002, 2.9086972E+002, 1.9188699E+002, 2.6215543E+002
 7.7000475E+002, 3.5374214E+002, 2.3889205E+002, 2.8967309E+002, 2.9828937E+002, 2.9328471E+002, 2.9927271E+002, 2.9184923E+002, 1.9277157E+002, 2.6335995E+002
 7.8002213E+002, 3.4957077E+002, 2.4016398E+002, 2.9060088E+002, 2.9894395E+002, 2.9405840E+002, 2.9990027E+002, 2.9269384E+002, 1.9355856E+002, 2.6444689E+002
 7.9002098E+002, 3.4539881E+002, 2.4131156E+002, 2.9137207E+002, 2.9943247E+002, 2.9466823E+002, 3.0036117E+002, 2.9337801E+002, 1.9422990E+002, 2.6537365E+002
 8.0001223E+002, 3.4123307E+002, 2.4232636E+002, 2.9197166E+002, 2.9974079E+002, 2.9510054E+002, 3.0064135E+002, 2.9388723E+002, 1.9478950E+002, 2.6614108E+002
 8.1003256E+002, 3.3706683E+002, 2.4320674E+002, 2.9239730E+002, 2.9986466E+002, 2.9534978E+002, 3.0073664E+002, 2.9421780E+002, 1.9523663E+002, 2.6673952E+002
 8.2001134E+002, 3.3289869E+002, 2.4394308E+002, 2.9263505E+002, 2.9979120E+002, 2.9540353E+002, 3.0063411E+002, 2.9435629E+002, 1.9557021E+002, 2.6716693E+002
 8.3000447E+002, 3.2873914E+002, 2.4456694E+002, 2.9272864E+002, 2.9957888E+002, 2.9532033E+002, 3.0039265E+002, 2.9435374E+002, 1.9581672E+002, 2.6748951E+002
 8.4000979E+002, 3.2457150E+002, 2.4509585E+002, 2.9270044E+002, 2.9924804E+002, 2.9511934E+002, 3.0003270E+002, 2.9423134E+002, 1.9598468E+002, 2.6771424E+002
 8.5003096E+002, 3.2040086E+002, 2.4551813E+002, 2.9252966E+002, 2.9876914E+002, 2.9476992E+002, 2.9952468E+002, 2.9396347E+002, 1.9607009E+002, 2.6781107E+002
 8.6001529E+002, 3.1623129E+002, 2.4584417E+002, 2.9223209E+002, 2.9816555E+002, 2.9429548E+002, 2.9889214E+002, 2.9356951E+002, 1.9608380E+002, 2.6780847E+002
 8.7002480E+002, 3.1207029E+002, 2.4608697E+002, 2.9182801E+002, 2.9746055E+002, 2.9372001E+002, 2.9815829E+002, 2.9307168E+002, 1.9603044E+002, 2.6772341E+002
 8.8002626E+002, 3.3184872E+002, 2.4625858E+002, 2.9132855E+002, 2.9666643E+002, 2.9305436E+002, 2.9733566E+002, 2.9248106E+002, 1.9592930E+002, 2.6757533E+002
 8.9000338E+002, 3.7515812E+002, 2.4661177E+002, 2.9099262E+002, 2.9611695E+002, 2.9262010E+002, 2.9676242E+002, 2.9208777E+002, 1.9612501E+002, 2.6784077E+002
 9.0000554E+002, 4.1843032E+002, 2.4781333E+002, 2.9154067E+002, 2.9667781E+002, 2.9325227E+002, 2.9731368E+002, 2.9267150E+002, 1.9734563E+002, 2.6953392E+002
 9.1000859E+002, 4.6176788E+002, 2.5042646E+002, 2.9359444E+002, 2.9901586E+002, 2.9558839E+002, 2.9966198E+002, 2.9486569E+002, 2.0008969E+002, 2.7325200E+002
 9.2000651E+002, 5.0511829E+002, 2.5482295E+002, 2.9755571E+002, 3.0352895E+002, 3.0001237E+002, 3.0420703E+002, 2.9906466E+002, 2.0466894E+002, 2.7930858E+002
 9.3002309E+002, 5.4845828E+002, 2.6131441E+002, 3.0376675E+002, 3.1056124E+002, 3.0686476E+002, 3.1129344E+002, 3.0560984E+002, 2.1135364E+002, 2.8798995E+002
 9.4000025E+002, 5.9180128E+002, 2.7013672E+002, 3.1247887E+002, 3.2035033E+002, 3.1639029E+002, 3.2115695E+002, 3.1474901E+002, 2.2037292E+002, 2.9947934E+002
 9.5000934E+002, 6.3506742E+002, 2.8147220E+002, 3.2386853E+002, 3.3305386E+002, 3.2876279E+002, 3.3395185E+002, 3.2665616E+002, 2.3193635E+002, 3.1391269E+002
 9.6001866E+002, 6.7845431E+002, 2.9557080E+002, 3.3821108E+002, 3.4896555E+002, 3.4430088E+002, 3.4996787E+002, 3.4162658E+002, 2.4630465E+002, 3.3158677E+002
 9.7001368E+002, 6.7951454E+002, 3.1242933E+002, 3.5549926E+002, 3.6800622E+002, 3.6295970E+002, 3.6911791E+002, 3.5963377E+002, 2.6345988E+002, 3.5228986E+002
 9.8000256E+002, 6.3884192E+002, 3.3036015E+002, 3.7401581E+002, 3.8793713E+002, 3.8256590E+002, 3.8913697E+002, 3.7873365E+002, 2.8111249E+002, 3.7276837E+002
 9.9000675E+002, 5.9813452E+002, 3.4605133E+002, 3.9036262E+002, 4.0481101E+002, 3.9924982E+002, 4.0605089E+002, 3.9528052E+002, 2.9553503E+002, 3.8842848E+002
 1.0000007E+003, 5.5743151E+002, 3.5794932E+002, 4.0294025E+002, 4.1717051E+002, 4.1156874E+002, 4.1840617E+002, 4.0774212E+002, 3.0560726E+002, 3.9845007E+002
 1.0100064E+003, 5.1670302E+002, 3.6592096E+002, 4.1159437E+002, 4.2513699E+002, 4.1962202E+002, 4.2633644E+002, 4.1609095E+002, 3.1164120E+002, 4.0359435E+002
 1.0200042E+003, 4.7598545E+002, 3.7041572E+002, 4.1674053E+002, 4.2934148E+002, 4.2401089E+002, 4.3048336E+002, 4.2084022E+002, 3.1436700E+002, 4.0493633E+002
 1.0300144E+003, 4.3525324E+002, 3.7198539E+002, 4.1887843E+002, 4.3039764E+002, 4.2532278E+002, 4.3146730E+002, 4.2253917E+002, 3.1446338E+002, 4.0332739E+002
 1.0400095E+003, 4.1054851E+002, 3.7123670E+002, 4.1858130E+002, 4.2897464E+002, 4.2420721E+002, 4.2996326E+002, 4.2180258E+002, 3.1258285E+002, 3.9961196E+002
 1.0500027E+003, 4.0168316E+002, 3.6892725E+002, 4.1657952E+002, 4.2591389E+002, 4.2148131E+002, 4.2681977E+002, 4.1940661E+002, 3.0955046E+002, 3.9482752E+002
 1.0600017E+003, 3.9282128E+002, 3.6595324E+002, 4.1378617E+002, 4.2223590E+002, 4.1813846E+002, 4.2306437E+002, 4.1630807E+002, 3.0624347E+002, 3.9008004E+002
 1.0700148E+003, 3.8395340E+002, 3.6281122E+002, 4.1069902E+002, 4.1840634E+002, 4.1462593E+002, 4.1916439E+002, 4.1298292E+002, 3.0301892E+002, 3.8568271E+002
 1.0800340E+003, 3.7507688E+002, 3.5962499E+002, 4.0740802E+002, 4.1443229E+002, 4.1094251E+002, 4.1512566E+002, 4.0947607E+002, 2.9989619E+002, 3.8149348E+002
 1.0900039E+003, 3.6622036E+002, 3.5647667E+002, 4.0399140E+002, 4.1037832E+002, 4.0715560E+002, 4.1101204E+002, 4.0585804E+002, 2.9689919E+002, 3.7754001E+002
 1.1000092E+003, 3.5736034E+002, 3.5342712E+002, 4.0053423E+002, 4.0632373E+002, 4.0334952E+002, 4.0690177E+002, 4.0221261E+002, 2.9402744E+002, 3.7383491E+002
 1.1100326E+003, 3.4848508E+002, 3.5049488E+002, 3.9706845E+002, 4.0229281E+002, 3.9955206E+002, 4.0281838E+002, 3.9856874E+002, 2.9126957E+002, 3.7036053E+002
 1.1200257E+003, 3.3961678E+002, 3.4767347E+002, 3.9359655E+002, 3.9827269E+002, 3.9575229E+002, 3.9874826E+002, 3.9492204E+002, 2.8860028E+002, 3.6704683E+002
 1.1300183E+003, 3.3075624E+002, 3.4491615E+002, 3.9007008E+002, 3.9419990E+002, 3.9188855E+002, 3.9462731E+002, 3.9121683E+002, 2.8597563E+002, 3.6379895E+002
 1.1400011E+003, 3.2190626E+002, 3.4220416E+002, 3.8647719E+002, 3.9006424E+002, 3.8795182E+002, 3.9044524E+002, 3.8744227E+002, 2.8338166E+002, 3.6059330E+002
 1.1500219E+003, 3.1304460E+002, 3.3948818E+002, 3.8276410E+002, 3.8579991E+002, 3.8387722E+002, 3.8613573E+002, 3.8353888E+002, 2.8078016E+002, 3.5734404E+002
 1.1600323E+003, 3.0416650E+002, 3.3677539E+002, 3.7895697E+002, 3.8145039E+002, 3.7971119E+002, 3.8174240E+002, 3.7954209E+002, 2.7817848E+002, 3.5409889E+002
 1.1700230E+003, 2.9529980E+002, 3.3405189E+002, 3.7505003E+002, 3.7700036E+002, 3.7543720E+002, 3.7724982E+002, 3.7544162E+002, 2.7556542E+002, 3.5080357E+002
 1.1800001E+003, 2.8645284E+002, 3.3131247E+002, 3.7104423E+002, 3.7246062E+002, 3.7106791E+002, 3.7266878E+002, 3.7124351E+002, 2.7295029E+002, 3.4748546E+002
 1.1900147E+003, 2.7758541E+002, 3.2859610E+002, 3.6700510E+002, 3.6791302E+002, 3.6668776E+002, 3.6808109E+002, 3.6702270E+002, 2.7035651E+002, 3.4421586E+002
 1.2000205E+003, 2.6871832E+002, 3.2588223E+002, 3.6291756E+002, 3.6332905E+002, 3.6226837E+002, 3.6345779E+002, 3.6275791E+002, 2.6776258E+002, 3.4093397E+002
 1.2100297E+003, 2.5984803E+002, 3.2314380E+002, 3.5874943E+002, 3.5866709E+002, 3.5776541E+002, 3.5875750E+002, 3.5841118E+002, 2.6515650E+002, 3.3759158E+002
 1.2200247E+003, 2.5098357E+002, 3.2041414E+002, 3.5455158E+002, 3.5399731E+002, 3.5325138E+002, 3.5405057E+002, 3.5404378E+002, 2.6257074E+002, 3.3427318E+002
 1.2300331E+003, 2.4211617E+002, 3.1768246E+002, 3.5031712E+002, 3.4930162E+002, 3.4870688E+002, 3.4931873E+002, 3.4964314E+002, 2.5999164E+002, 3.3093189E+002
 1.2400373E+003, 2.3324819E+002, 3.1492124E+002, 3.4601332E+002, 3.4454006E+002, 3.4409142E+002, 3.4452191E+002, 3.4517248E+002, 2.5740304E+002, 3.2752649E+002
 1.2500265E+003, 2.2438622E+002, 3.1214568E+002, 3.4166677E+002, 3.3975017E+002, 3.3944413E+002, 3.3969780E+002, 3.4066427E+002, 2.5482249E+002, 3.2410558E+002
 1.2600220E+003, 2.1895882E+002, 3.0937263E+002, 3.3730584E+002, 3.3496428E+002, 3.3479785E+002, 3.3487870E+002, 3.3614931E+002, 2.5226125E+002, 3.2069419E+002
 1.2700191E+003, 2.1689656E+002, 3.0662952E+002, 3.3296625E+002, 3.3022565E+002, 3.3019576E+002, 3.3010809E+002, 3.3166704E+002, 2.4975092E+002, 3.1734251E+002
 1.2800449E+003, 2.1483117E+002, 3.0395942E+002, 3.2869945E+002, 3.2559187E+002, 3.2569351E+002, 3.2544409E+002, 3.2727132E+002, 2.4733540E+002, 3.1410482E+002
 1.2900223E+003, 2.1276582E+002, 3.0137175E+002, 3.2451868E+002, 3.2106838E+002, 3.2129364E+002, 3.2089234E+002, 3.2297041E+002, 2.4502163E+002, 3.1096600E+002
 1.3000261E+003, 2.1070431E+002, 2.9889432E+002, 3.2045968E+002, 3.1669640E+002, 3.1703660E+002, 3.1649438E+002, 3.1880229E+002, 2.4283262E+002, 3.0797074E+002
 1.3100459E+003, 2.0863831E+002, 2.9651757E+002, 3.1651345E+002, 3.1246079E+002, 3.1290767E+002, 3.1223480E+002, 3.1475515E+002, 2.4075281E+002, 3.0509009E+002
 1.3200374E+003, 2.0657370E+002, 2.9422702E+002, 3.1267306E+002, 3.0834803E+002, 3.0889414E+002, 3.0809965E+002, 3.1081918E+002, 2.3876401E+002, 3.0228988E+002
 1.3300004E+003, 2.0451527E+002, 2.9199661E+002, 3.0890917E+002, 3.0432061E+002, 3.0495749E+002, 3.0405141E+002, 3.0696040E+002, 2.3684719E+002, 2.9952921E+002
 1.3400450E+003, 2.0245029E+002, 2.8981717E+002, 3.0521013E+002, 3.0037333E+002, 3.0109519E+002, 3.0008473E+002, 3.0317122E+002, 2.3499710E+002, 2.9682320E+002
 1.3500408E+003, 2.0038325E+002, 2.8769610E+002, 3.0159281E+002, 2.9652456E+002, 2.9732609E+002, 2.9621791E+002, 2.9946981E+002, 2.3321624E+002, 2.9418140E+002
 1.3600240E+003, 1.9832107E+002, 2.8563096E+002, 2.9806182E+002, 2.9277650E+002, 2.9365232E+002, 2.9245305E+002, 2.9585951E+002, 2.3150204E+002, 2.9159738E+002
 1.3700275E+003, 1.9625968E+002, 2.8361179E+002, 2.9460442E+002, 2.8911565E+002, 2.9006101E+002, 2.8877647E+002, 2.9232749E+002, 2.2984542E+002, 2.8906095E+002
