s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_C12H26,MLR_PRODUCTS,ZONE_1
 4.5000369E+002, 1.0445227E+002,-4.8296783E+001,-1.4761909E+001,-3.9871288E+001,-3.0579127E-001, 2.4730411E-001, 0.0000000E+000, 1.2248616E+000, 1.4638028E+000, 0.0000000E+000, 2.4738847E-003, 0.0000000E+000, 6.5586032E+001
 4.6001111E+002, 1.0382433E+002,-4.8033628E+001,-1.4798292E+001,-4.0326248E+001,-3.0309254E-001,-4.0338863E-003, 0.0000000E+000, 1.5961120E-001, 3.5904022E-001, 0.0000000E+000, 2.4636301E-003, 0.0000000E+000, 6.5558839E+001
 4.7000473E+002, 1.0255737E+002,-4.7883796E+001,-1.4862135E+001,-3.9925131E+001,-3.0129606E-001,-1.0116669E-001, 0.0000000E+000,-7.5585733E-001,-5.1615299E-001, 0.0000000E+000, 2.4426365E-003, 0.0000000E+000, 5.6773388E+001
 4.8001303E+002, 1.0195616E+002,-4.7644427E+001,-1.4647477E+001,-4.0127940E+001,-2.9844143E-001, 3.5693931E-002, 0.0000000E+000,-9.4337288E-001,-7.2643674E-001, 0.0000000E+000, 2.4216431E-003, 0.0000000E+000, 5.9644029E+001
 4.9001013E+002, 1.0062847E+002,-4.7220344E+001,-1.4722856E+001,-3.9586457E+001,-2.9448595E-001,-1.2936130E-001, 0.0000000E+000,-1.5474659E+000,-1.3250349E+000, 0.0000000E+000, 2.4006489E-003, 0.0000000E+000, 4.8696414E+001
 5.0001447E+002, 1.0046518E+002,-4.7054886E+001,-1.4784033E+001,-3.9229708E+001,-2.9326350E-001, 9.5206534E-002, 0.0000000E+000,-1.0105169E+000,-8.0150450E-001, 0.0000000E+000, 2.3796445E-003, 0.0000000E+000, 5.6733058E+001
 5.1000043E+002, 9.9174790E+001,-4.6641610E+001,-1.4707874E+001,-3.9210373E+001,-2.9078079E-001,-5.2615129E-002, 0.0000000E+000,-1.9441796E+000,-1.7284627E+000, 0.0000000E+000, 2.3586609E-003, 0.0000000E+000, 5.2049643E+001
 5.2001239E+002, 9.8371395E+001,-4.6140288E+001,-1.4436617E+001,-3.8740281E+001,-2.8839056E-001, 6.6929964E-003, 0.0000000E+000,-1.4016064E+000,-1.2274877E+000, 0.0000000E+000, 2.3376699E-003, 0.0000000E+000, 5.2937968E+001
 5.3000287E+002, 9.7482503E+001,-4.5949716E+001,-1.4438315E+001,-3.8629379E+001,-2.8471321E-001,-2.2890123E-002, 0.0000000E+000,-2.0554281E+000,-1.8425102E+000, 0.0000000E+000, 2.3166821E-003, 0.0000000E+000, 5.0749444E+001
 5.4000720E+002, 9.6678981E+001,-4.5497694E+001,-1.4423442E+001,-3.8492422E+001,-2.8349160E-001, 1.0747898E-002, 0.0000000E+000,-2.1904321E+000,-2.0073214E+000, 0.0000000E+000, 2.2956996E-003, 0.0000000E+000, 5.1801592E+001
 5.5001038E+002, 9.6021971E+001,-4.5426053E+001,-1.4527492E+001,-3.7658643E+001,-2.8337715E-001, 3.7701723E-002, 0.0000000E+000,-2.0365302E+000,-1.8358927E+000, 0.0000000E+000, 2.2747005E-003, 0.0000000E+000, 5.4848592E+001
 5.6001239E+002, 9.4645746E+001,-4.4951268E+001,-1.4319560E+001,-3.7582452E+001,-2.8095721E-001,-1.4069635E-001, 0.0000000E+000,-2.8395576E+000,-2.6291874E+000, 0.0000000E+000, 2.2537031E-003, 0.0000000E+000, 4.2707669E+001
 5.7000470E+002, 9.3927999E+001,-4.4360495E+001,-1.4329984E+001,-3.7378260E+001,-2.7782859E-001, 4.2860865E-002, 0.0000000E+000,-2.5384349E+000,-2.3757079E+000, 0.0000000E+000, 2.2327045E-003, 0.0000000E+000, 4.6608798E+001
