s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
 1.5000294E+002, 2.9228608E+002, 0.0000000E+000,-1.0677983E+002,-7.1386071E+001,-6.8992755E+001,-2.9634816E-002,-3.6335610E-001, 0.0000000E+000, 4.4543149E+001, 4.4734434E+001,-1.0088269E-001, 6.4152856E-003,-5.6331184E-002, 0.0000000E+000, 2.2084955E+002
 1.6000175E+002, 2.9207722E+002, 0.0000000E+000,-1.0908692E+002,-7.3885194E+001,-7.1169466E+001,-2.9523340E-002,-1.6578652E-001, 0.0000000E+000, 3.7489623E+001, 3.7740327E+001,-7.3034128E-002, 6.4152856E-003,-5.9354199E-002, 0.0000000E+000, 2.1045727E+002
 1.7000078E+002, 2.9171139E+002, 0.0000000E+000,-1.1080861E+002,-7.4956783E+001,-6.9719993E+001,-2.9595672E-002,-1.7641514E-001, 0.0000000E+000, 3.5820767E+001, 3.6019994E+001,-6.4081771E-002, 6.4152856E-003,-6.2427768E-002, 0.0000000E+000, 1.9994778E+002
 1.8000249E+002, 2.9182854E+002, 0.0000000E+000,-1.1271014E+002,-7.5630086E+001,-7.2240988E+001,-2.9568995E-002,-7.2947733E-001, 0.0000000E+000, 3.0278780E+001, 3.0488280E+001,-5.0715716E-002, 6.4152856E-003,-6.3720768E-002, 0.0000000E+000, 1.5545146E+002
 1.9000513E+002, 2.9209123E+002, 0.0000000E+000,-1.1404294E+002,-7.6924238E+001,-7.4326844E+001,-2.9563309E-002, 1.1153996E-001, 0.0000000E+000, 2.6657858E+001, 2.6879185E+001,-2.7232201E-002, 6.4152856E-003,-6.6287400E-002, 0.0000000E+000, 1.6202957E+002
 2.0000627E+002, 2.9208307E+002, 0.0000000E+000,-1.1582743E+002,-7.8962010E+001,-7.3645049E+001,-2.9578376E-002,-2.5531322E-001, 0.0000000E+000, 2.3156500E+001, 2.3363689E+001,-1.6440150E-002, 6.4152856E-003,-6.9167399E-002, 0.0000000E+000, 1.4658258E+002
 2.1000766E+002, 2.9180341E+002, 0.0000000E+000,-1.1673329E+002,-7.8195633E+001,-7.5273418E+001,-2.9536530E-002,-3.5392147E-002, 0.0000000E+000, 2.1317970E+001, 2.1536140E+001,-7.3282109E-003, 6.4152856E-003,-7.0131662E-002, 0.0000000E+000, 1.4441395E+002
 2.2000375E+002, 2.9160542E+002, 0.0000000E+000,-1.1739211E+002,-7.8888747E+001,-7.4074269E+001,-2.9433509E-002,-2.5801364E-001, 0.0000000E+000, 2.0720559E+001, 2.0962845E+001,-4.9484679E-003, 6.4152856E-003,-7.2601456E-002, 0.0000000E+000, 1.2851839E+002
 2.3000314E+002, 2.9235236E+002, 0.0000000E+000,-1.1867139E+002,-7.9214136E+001,-7.5578910E+001,-2.9439922E-002, 4.2743481E-003, 0.0000000E+000, 1.8647764E+001, 1.8862757E+001, 4.8487944E-003, 6.4152856E-003,-7.2893014E-002, 0.0000000E+000, 1.2888209E+002
 2.4000781E+002, 2.9191061E+002, 0.0000000E+000,-1.1945292E+002,-7.9225864E+001,-7.6140143E+001,-2.9477743E-002,-7.9485421E-002, 0.0000000E+000, 1.6747761E+001, 1.6982719E+001, 1.0777660E-002, 6.4152856E-003,-7.3720773E-002, 0.0000000E+000, 1.2385751E+002
 2.5000412E+002, 2.9206218E+002, 0.0000000E+000,-1.2027736E+002,-7.9329882E+001,-7.6008726E+001,-2.9418510E-002,-4.4986597E-002, 0.0000000E+000, 1.6152009E+001, 1.6371797E+001, 1.4815628E-002, 6.4152856E-003,-7.4664998E-002, 0.0000000E+000, 1.2114588E+002
 2.6000943E+002, 2.9195834E+002, 0.0000000E+000,-1.2113226E+002,-7.9605346E+001,-7.7292009E+001,-2.9369907E-002,-1.5032744E-001, 0.0000000E+000, 1.3519964E+001, 1.3749022E+001, 2.1990663E-002, 6.4152856E-003,-7.4861796E-002, 0.0000000E+000, 1.1201486E+002
 2.7000665E+002, 2.9122749E+002, 0.0000000E+000,-1.2207283E+002,-8.1144853E+001,-7.6713057E+001,-2.9362860E-002,-1.5481559E-001, 0.0000000E+000, 1.0902324E+001, 1.1112577E+001, 3.4205526E-002, 6.4152856E-003,-7.7804385E-002, 0.0000000E+000, 1.0271836E+002
 2.8000815E+002, 2.9249983E+002, 0.0000000E+000,-1.2329329E+002,-8.1422315E+001,-7.9293660E+001,-2.9319397E-002,-1.8856103E-002, 0.0000000E+000, 8.2585958E+000, 8.4423848E+000, 4.4777706E-002, 6.4152856E-003,-7.8618403E-002, 0.0000000E+000, 1.0132201E+002
 2.9000912E+002, 2.9164974E+002, 0.0000000E+000,-1.2356312E+002,-8.1406154E+001,-7.9045960E+001,-2.9386250E-002,-4.2377856E-002, 0.0000000E+000, 7.3180116E+000, 7.5627403E+000, 5.0642707E-002, 6.4152856E-003,-8.1887564E-002, 0.0000000E+000, 9.8599036E+001
 3.0000546E+002, 2.9261237E+002, 0.0000000E+000,-1.2381396E+002,-8.2389418E+001,-7.7605157E+001,-2.9341425E-002, 1.3146677E-001, 0.0000000E+000, 8.6835640E+000, 8.9059607E+000, 4.8851815E-002, 6.4152856E-003,-8.2557451E-002, 0.0000000E+000, 1.0657447E+002
 3.1000348E+002, 2.9153788E+002, 0.0000000E+000,-1.2467259E+002,-8.1711135E+001,-8.0079319E+001,-2.9410663E-002,-1.7427737E-001, 0.0000000E+000, 4.6612489E+000, 4.8711538E+000, 5.9128065E-002, 6.4152856E-003,-8.2756577E-002, 0.0000000E+000, 9.5955319E+001
 3.2000461E+002, 2.9135061E+002, 0.0000000E+000,-1.2504639E+002,-8.2431654E+001,-8.0083046E+001,-2.9215758E-002, 1.0872248E-001, 0.0000000E+000, 3.6499870E+000, 3.8690223E+000, 6.7180139E-002, 6.4152856E-003,-8.3990309E-002, 0.0000000E+000, 1.0228241E+002
 3.3000516E+002, 2.9294697E+002, 0.0000000E+000,-1.2489338E+002,-8.3572027E+001,-7.7677035E+001,-2.9365619E-002, 3.6091478E-002, 0.0000000E+000, 6.5879500E+000, 6.8112517E+000, 5.8060985E-002, 6.4152856E-003,-8.6540626E-002, 0.0000000E+000, 1.0447180E+002
 3.4000204E+002, 2.9136200E+002, 0.0000000E+000,-1.2512822E+002,-8.2109788E+001,-7.7291171E+001,-2.9375230E-002,-1.9778916E-001, 0.0000000E+000, 6.3632869E+000, 6.6056545E+000, 5.6641198E-002, 6.4152856E-003,-8.5874682E-002, 0.0000000E+000, 9.2230598E+001
 3.5000693E+002, 2.9225736E+002, 0.0000000E+000,-1.2516966E+002,-8.2589111E+001,-7.8318701E+001,-2.9418960E-002, 2.9226358E-001, 0.0000000E+000, 6.2059117E+000, 6.4427336E+000, 6.1869916E-002, 6.4152856E-003,-8.5883995E-002, 0.0000000E+000, 1.0987204E+002
 3.6000912E+002, 2.9222640E+002, 0.0000000E+000,-1.2541329E+002,-8.3438919E+001,-7.7498849E+001,-2.9391941E-002,-7.2228704E-002, 0.0000000E+000, 5.5369431E+000, 5.7737200E+000, 6.1256280E-002, 6.4152856E-003,-8.6924400E-002, 0.0000000E+000, 1.0532199E+002
 3.7000366E+002, 2.9206893E+002, 0.0000000E+000,-1.2577330E+002,-8.3501956E+001,-7.8056195E+001,-2.9222872E-002, 1.0798082E-002, 0.0000000E+000, 4.4920567E+000, 4.7190586E+000, 6.7197669E-002, 6.4152856E-003,-8.7944634E-002, 0.0000000E+000, 1.0596024E+002
 3.8000815E+002, 2.9181309E+002, 0.0000000E+000,-1.2554824E+002,-8.4413790E+001,-7.6546951E+001,-2.9460200E-002,-6.6300107E-002, 0.0000000E+000, 4.9802125E+000, 5.2083486E+000, 6.6093896E-002, 6.4152856E-003,-8.9682217E-002, 0.0000000E+000, 1.0180818E+002
 3.9000049E+002, 2.9201546E+002, 0.0000000E+000,-1.2625471E+002,-8.3230485E+001,-7.7823592E+001,-2.9244148E-002, 1.9154985E-002, 0.0000000E+000, 4.4811850E+000, 4.6965844E+000, 6.8048874E-002, 6.4152856E-003,-8.9350650E-002, 0.0000000E+000, 1.0310054E+002
 4.0000204E+002, 2.9142414E+002, 0.0000000E+000,-1.2619190E+002,-8.4469077E+001,-7.7875728E+001,-2.9339690E-002,-9.7826793E-002, 0.0000000E+000, 2.4966066E+000, 2.7602668E+000, 7.4556255E-002, 6.4152856E-003,-9.0188697E-002, 0.0000000E+000, 9.6786784E+001
 4.1000177E+002, 2.9254678E+002, 0.0000000E+000,-1.2612704E+002,-8.3845285E+001,-7.7496172E+001,-2.9275766E-002, 3.0623156E-001, 0.0000000E+000, 5.1508332E+000, 5.3552388E+000, 6.9858866E-002, 6.4152856E-003,-9.0216457E-002, 0.0000000E+000, 1.1579937E+002
 4.2000586E+002, 2.9182652E+002, 0.0000000E+000,-1.2040561E+002,-6.8620293E+001,-8.6531700E+001,-2.9322760E-002,-1.5945558E+001,-1.6983309E+002,-1.6963002E+002,-1.6953905E+002, 3.6070772E-001, 6.4152857E-003,-7.3739023E-002, 4.7033020E-002,-8.5556097E+002
 4.3000162E+002, 2.9106091E+002, 0.0000000E+000,-9.5830242E+001,-2.9872067E+001,-7.8724178E+001,-2.9214850E-002, 7.0650413E+000,-2.5202727E+002,-1.5872227E+002,-1.5835703E+002, 5.4984877E-001, 6.4152857E-003,-5.0186506E-002, 5.9487954E-002,-4.2544867E+002
 4.4000244E+002, 2.9317564E+002, 0.0000000E+000,-8.9754707E+001,-2.4648648E+001,-6.7656758E+001,-2.9259086E-002, 2.8537794E+000,-1.9233567E+002,-7.8630635E+001,-7.8395624E+001, 2.8723742E-001, 6.4152857E-003,-6.0798132E-002, 3.5517243E-002,-2.5170153E+002
 4.5000626E+002, 2.9118394E+002, 0.0000000E+000,-8.6545749E+001,-2.1761365E+001,-6.0458735E+001,-2.9163492E-002, 2.5974008E+000,-1.7392333E+002,-4.9160286E+001,-4.8937000E+001, 2.0432856E-001, 6.4152857E-003,-6.3104155E-002, 2.7425141E-002,-9.3539258E+001
 4.6000006E+002, 2.9249548E+002, 0.0000000E+000,-8.4179092E+001,-2.0121774E+001,-5.4999518E+001,-2.9127109E-002, 1.7939893E+000,-1.5468392E+002,-1.9929382E+001,-1.9723963E+001, 1.1505451E-001, 6.4152857E-003,-6.5648155E-002, 1.8550106E-002, 1.5836240E+001
 4.7000351E+002, 2.9183713E+002, 0.0000000E+000,-8.3672241E+001,-2.0559909E+001,-5.4352668E+001,-2.8893383E-002, 3.9362142E-001,-1.4778691E+002,-1.4388323E+001,-1.4169868E+001, 8.9842063E-002, 6.4152857E-003,-6.8321645E-002, 1.4825020E-002, 3.9872825E+001
 4.8000439E+002, 2.9174706E+002, 0.0000000E+000,-8.3372082E+001,-2.0170546E+001,-5.4565382E+001,-2.8810196E-002, 1.6022699E-001,-1.3698665E+002,-3.3988571E+000,-3.2161862E+000, 6.2363313E-002, 6.4152856E-003,-7.1488411E-002, 9.7222866E-003, 4.9718488E+001
 4.9000360E+002, 2.9214728E+002, 0.0000000E+000,-8.2310320E+001,-2.0165557E+001,-5.1289653E+001,-2.9140204E-002,-9.7794702E-003,-1.4122292E+002,-3.0883318E+000,-2.8800962E+000, 6.0363306E-002, 6.4152856E-003,-7.3499353E-002, 1.0116509E-002, 4.9021582E+001
 5.0000677E+002, 2.9184122E+002, 0.0000000E+000,-8.2656223E+001,-2.1113285E+001,-5.1229828E+001,-2.9121180E-002,-1.1825163E-001,-1.3948360E+002,-2.9847748E+000,-2.7890870E+000, 6.2897960E-002, 6.4152856E-003,-7.5118142E-002, 8.6035656E-003, 4.1873609E+001
 5.1000195E+002, 2.9236227E+002, 0.0000000E+000,-8.2579553E+001,-2.1407601E+001,-5.2256869E+001,-2.8937062E-002, 8.6695687E-002,-1.3640032E+002,-4.4142416E-001,-2.2430911E-001, 6.1586393E-002, 6.4152856E-003,-7.6820715E-002, 6.6023680E-003, 4.6943419E+001
 5.2000464E+002, 2.9196311E+002, 0.0000000E+000,-8.2343172E+001,-2.1327776E+001,-5.0997600E+001,-2.8786391E-002, 3.2513748E-002,-1.3579380E+002, 1.2946121E+000, 1.5044867E+000, 5.9363197E-002, 6.4152856E-003,-7.8736573E-002, 5.8102073E-003, 4.8912589E+001
 5.3000592E+002, 2.9098444E+002, 0.0000000E+000,-8.2705595E+001,-2.0473249E+001,-5.2995992E+001,-2.8806923E-002, 2.6486144E-002,-1.3398741E+002, 6.4033016E-001, 8.1986975E-001, 6.3781017E-002, 6.4152856E-003,-7.9613759E-002, 4.7930740E-003, 5.0586875E+001
 5.4000330E+002, 2.9120066E+002, 0.0000000E+000,-8.2026774E+001,-2.0631252E+001,-5.0956506E+001,-2.8694056E-002,-2.8368909E-001,-1.3544920E+002, 1.6222940E+000, 1.8245497E+000, 5.9249554E-002, 6.4152856E-003,-8.1317181E-002, 4.6192944E-003, 3.3185818E+001
 5.5000134E+002, 2.9267719E+002, 0.0000000E+000,-8.2196253E+001,-2.1188133E+001,-5.0178864E+001,-2.8862552E-002, 1.6890262E-001,-1.3962680E+002,-5.5881072E-001,-3.7281580E-001, 6.9506279E-002, 6.4152856E-003,-8.2107728E-002, 5.5780747E-003, 4.3565724E+001
 5.6000684E+002, 2.9200882E+002, 0.0000000E+000,-8.3010447E+001,-2.1753883E+001,-5.2007645E+001,-2.8897572E-002, 2.2222604E-001,-1.3661622E+002,-1.3943039E+000,-1.1860404E+000, 7.5677058E-002, 6.4152856E-003,-8.2397004E-002, 4.5243010E-003, 5.7226343E+001
 5.7000189E+002, 2.9074670E+002, 0.0000000E+000,-8.2842686E+001,-2.0354326E+001,-5.2272975E+001,-2.8524472E-002,-3.7890013E-001,-1.3165464E+002, 3.0390232E+000, 3.2146443E+000, 6.0523334E-002, 6.4152856E-003,-8.4344748E-002, 1.9703526E-003, 3.4337626E+001
 5.8000275E+002, 2.9252340E+002, 0.0000000E+000,-8.2905399E+001,-1.9922274E+001,-5.3464417E+001,-2.8648828E-002,-1.6978639E-001,-1.3697636E+002,-1.1390403E+000,-9.4347961E-001, 7.4701445E-002, 6.4152856E-003,-8.5066015E-002, 3.2167248E-003, 2.3905839E+001
 5.9000262E+002, 2.9256640E+002, 0.0000000E+000,-8.2472465E+001,-1.9701942E+001,-5.1714437E+001,-2.8757320E-002, 3.5049511E-001,-1.3398823E+002, 4.8050673E+000, 5.0110625E+000, 6.5196090E-002, 6.4152856E-003,-8.7062949E-002, 2.1103126E-003, 4.5329290E+001
 6.0000543E+002, 2.9179281E+002, 0.0000000E+000,-8.2766345E+001,-2.1196057E+001,-5.3461584E+001,-2.8793336E-002,-6.6696407E-002,-1.3541073E+002,-1.3540355E+000,-1.1373932E+000, 8.0226824E-002, 6.4152856E-003,-8.7300480E-002, 2.4188615E-003, 4.1294941E+001
 6.1000317E+002, 2.9246068E+002, 0.0000000E+000,-8.2534884E+001,-2.0548114E+001,-5.2421096E+001,-2.8665033E-002, 3.2209933E-001,-1.3375448E+002, 3.2992103E+000, 3.4955363E+000, 7.1824905E-002, 6.4152856E-003,-8.8339234E-002, 1.7753050E-003, 6.0805170E+001
 6.2000024E+002, 2.9125057E+002, 0.0000000E+000,-8.2140027E+001,-2.0949782E+001,-5.1653226E+001,-2.8897268E-002,-3.8321335E-001,-1.3648358E+002,-5.7585707E-001,-3.8815279E-001, 7.6288505E-002, 6.4152856E-003,-8.8532345E-002, 2.2498060E-003, 3.7602815E+001
 6.3000336E+002, 2.9088025E+002, 0.0000000E+000,-8.2449781E+001,-2.0990639E+001,-5.2798070E+001,-2.8730928E-002,-7.7368279E-002,-1.3671875E+002,-2.3995525E+000,-2.1830882E+000, 8.6284401E-002, 6.4152856E-003,-8.9407672E-002, 2.2067604E-003, 3.2754842E+001
 6.4000525E+002, 2.9250895E+002, 0.0000000E+000,-8.2642917E+001,-2.0766676E+001,-5.3424922E+001,-2.8843830E-002, 1.0793811E-001,-1.3522161E+002, 3.5373672E-001, 5.3191700E-001, 8.1813630E-002, 6.4152856E-003,-9.0734187E-002, 1.2776113E-003, 3.9454615E+001
 6.5000500E+002, 2.9230380E+002, 0.0000000E+000,-8.1722484E+001,-2.1218409E+001,-4.9157142E+001,-2.8958407E-002, 9.2451218E-002,-1.3735631E+002, 2.7046279E+000, 2.9129491E+000, 7.4660300E-002, 6.4152856E-003,-9.2020046E-002, 1.8959842E-003, 4.4990323E+001
 6.6000555E+002, 2.9094619E+002, 0.0000000E+000,-8.2561269E+001,-2.1471783E+001,-5.4272945E+001,-2.8738946E-002,-2.9007879E-001,-1.3840876E+002,-6.2804672E+000,-6.0873844E+000, 9.8002756E-002, 6.4152856E-003,-9.0733828E-002, 2.3716063E-003, 2.7258195E+001
 6.7000061E+002, 2.9284401E+002, 0.0000000E+000,-8.2267140E+001,-2.1825906E+001,-5.4776421E+001,-2.8727101E-002, 5.1193265E-001,-1.2950345E+002, 4.7385511E+000, 4.9543008E+000, 7.7054108E-002, 6.4152856E-003,-9.2527724E-002,-7.2019890E-004, 5.8394523E+001
 6.8000153E+002, 2.9191345E+002, 0.0000000E+000,-8.1747087E+001,-2.0215365E+001,-5.0107173E+001,-2.8742300E-002,-7.2459997E-002,-1.3388205E+002, 5.6593639E+000, 5.8605727E+000, 6.7932256E-002, 6.4152856E-003,-9.4193596E-002, 1.7099502E-004, 5.4033543E+001
 6.9000061E+002, 2.9066122E+002, 0.0000000E+000,-8.2115473E+001,-2.2496811E+001,-4.5449882E+001,-2.8704470E-002, 4.3721905E+000,-9.8209094E+001, 4.6430357E+001, 4.6733442E+001,-1.1165797E-003, 6.4152856E-003,-1.0074373E-001,-2.7770795E-003, 3.2029507E+002
 7.0000281E+002, 2.9299554E+002, 0.0000000E+000,-8.9855890E+001,-4.2590436E+001,-4.7107599E+001,-2.8514553E-002, 9.0789801E-001,-7.9288966E-001, 1.1339322E+002, 1.1352811E+002,-2.2546637E-001, 6.4152856E-003,-1.1585880E-001,-1.5355423E-002, 3.7562524E+002
 7.1000610E+002, 2.9160252E+002, 0.0000000E+000,-9.7802001E+001,-6.0689200E+001,-5.2753066E+001,-2.8445170E-002,-1.1525907E+000,-2.2636101E-003, 7.9042344E+001, 7.9174953E+001,-1.3984914E-001, 6.4152856E-003,-1.1467671E-001,-1.3610282E-002, 3.0560795E+002
 7.2000488E+002, 2.9201671E+002, 0.0000000E+000,-1.0482564E+002,-6.8266745E+001,-5.8302501E+001,-2.8659240E-002,-9.0338631E-001, 1.4314268E-005, 5.9479716E+001, 5.9689799E+001,-7.1758536E-002, 6.4152856E-003,-1.1731300E-001,-1.2727179E-002, 2.5031602E+002
 7.3000470E+002, 2.9223482E+002, 0.0000000E+000,-1.1084684E+002,-7.4431041E+001,-6.5428571E+001,-2.8750859E-002,-5.0589630E-001, 1.0082277E-005, 4.0820271E+001, 4.0993732E+001,-9.4283396E-003, 6.4152856E-003,-1.1702976E-001,-1.1762788E-002, 2.1947792E+002
 7.4000079E+002, 2.9166930E+002, 0.0000000E+000,-1.1409184E+002,-7.6879369E+001,-6.5676684E+001,-2.8726883E-002,-6.2586986E-001, 6.3300917E-006, 3.4164310E+001, 3.4366818E+001, 1.2193883E-002, 6.4152856E-003,-1.1847431E-001,-1.0933953E-002, 1.8141362E+002
 7.5000116E+002, 2.9254554E+002, 0.0000000E+000,-1.1665367E+002,-7.9159656E+001,-6.6610354E+001,-2.8675669E-002, 9.9435538E-002, 6.0794826E-006, 2.9988588E+001, 3.0192625E+001, 3.0484718E-002, 6.4152856E-003,-1.1718384E-001,-1.0331196E-002, 1.8742295E+002
 7.6000317E+002, 2.9130115E+002, 0.0000000E+000,-1.1964137E+002,-8.0824633E+001,-7.0052544E+001,-2.8754495E-002,-9.2876558E-001, 5.9287621E-006, 1.9658341E+001, 1.9825095E+001, 5.1822059E-002, 6.4152856E-003,-1.1682821E-001,-9.7411270E-003, 1.3105197E+002
 7.7000104E+002, 2.9223275E+002, 0.0000000E+000,-1.2117173E+002,-8.3697114E+001,-7.0872285E+001,-2.8839854E-002, 2.6096164E-001, 5.9181386E-006, 1.6523005E+001, 1.6723745E+001, 7.5457753E-002, 6.4152856E-003,-1.1800567E-001,-9.1966000E-003, 1.4679121E+002
 7.8000830E+002, 2.9193512E+002, 0.0000000E+000,-1.2211297E+002,-8.4129215E+001,-7.0553336E+001,-2.8840880E-002,-3.6528540E-001, 6.0135179E-006, 1.4552049E+001, 1.4745486E+001, 7.4724619E-002, 6.4152856E-003,-1.1892016E-001,-8.7688395E-003, 1.2455909E+002
 7.9000690E+002, 2.9128220E+002, 0.0000000E+000,-1.2306930E+002,-8.4220420E+001,-6.9943946E+001,-2.8801342E-002,-2.1789701E-001, 6.1203167E-006, 1.3573389E+001, 1.3801836E+001, 7.8240900E-002, 6.4152856E-003,-1.1724625E-001,-8.3252524E-003, 1.1111931E+002
 8.0000555E+002, 2.9244101E+002, 0.0000000E+000,-1.2427104E+002,-8.4552271E+001,-7.1820411E+001,-2.8926724E-002,-3.0497588E-002, 6.0899486E-006, 1.1531882E+001, 1.1737869E+001, 8.3466566E-002, 6.4152856E-003,-1.1602097E-001,-7.8977323E-003, 1.0945423E+002
 8.1000012E+002, 2.9200220E+002, 0.0000000E+000,-1.2515482E+002,-8.5393234E+001,-7.2703187E+001,-2.8863952E-002,-1.1165542E-001, 6.1107960E-006, 8.4161624E+000, 8.6104453E+000, 9.4436924E-002, 6.4152856E-003,-1.1703180E-001,-7.5309327E-003, 1.0266396E+002
 8.2000494E+002, 2.9172940E+002, 0.0000000E+000,-1.2482087E+002,-8.5440836E+001,-7.1192504E+001,-2.8892148E-002, 3.8873459E-002, 5.9207753E-006, 1.0057518E+001, 1.0285185E+001, 8.9653729E-002, 6.4152856E-003,-1.1736023E-001,-7.2347999E-003, 1.0488710E+002
 8.3000311E+002, 2.9243886E+002, 0.0000000E+000,-1.2552688E+002,-8.5758571E+001,-7.0696584E+001,-2.8943850E-002, 3.4289037E-001, 5.9670669E-006, 1.0523679E+001, 1.0770771E+001, 8.9205047E-002, 6.4152856E-003,-1.1519609E-001,-6.8147528E-003, 1.2561479E+002
 8.4000165E+002, 2.9175486E+002, 0.0000000E+000,-1.2617502E+002,-8.4612352E+001,-7.3200379E+001,-2.8908801E-002, 3.0323842E-002, 2.5017789E-006, 7.5495239E+000, 7.7685262E+000, 9.4894362E-002, 6.4152856E-003,-1.1501469E-001,-6.4790389E-003, 1.2723531E+002
 8.5000677E+002, 2.9243583E+002, 0.0000000E+000,-1.2668792E+002,-8.5803554E+001,-7.3153546E+001,-2.8947524E-002,-2.2555435E-001, 3.9152102E-007, 6.3561017E+000, 6.5363086E+000, 9.4753731E-002, 6.4152856E-003,-1.1504793E-001,-6.1488998E-003, 1.1369120E+002
