s,C,C,C,C,C,C,C
Time,"Air Temp","VTT_1","IRSN_1","TRAC_2","TRAC_4","GRS_2","NRC_2"
 7.8002520E+002, 6.4278157E+002, 4.6104501E+002, 3.8853138E+002, 4.7236549E+002, 4.7378664E+002, 3.3787557E+002, 4.7157326E+002
 7.9001367E+002, 6.4389224E+002, 4.7066845E+002, 3.9783535E+002, 4.8188030E+002, 4.8327615E+002, 3.4641745E+002, 4.8045088E+002
 8.0002056E+002, 6.4500322E+002, 4.7967654E+002, 4.0659415E+002, 4.9072854E+002, 4.9209409E+002, 3.5440118E+002, 4.8834019E+002
 8.1001908E+002, 6.4611510E+002, 4.8807504E+002, 4.1480865E+002, 4.9893237E+002, 5.0026425E+002, 3.6187289E+002, 4.9558164E+002
 8.2002388E+002, 6.4722617E+002, 4.9594014E+002, 4.2253507E+002, 5.0658370E+002, 5.0787985E+002, 3.6889918E+002, 5.0228422E+002
 8.3001027E+002, 6.4833676E+002, 5.0330364E+002, 4.2980739E+002, 5.1371919E+002, 5.1497853E+002, 3.7551628E+002, 5.0853138E+002
 8.4002152E+002, 6.4944784E+002, 5.1026516E+002, 4.3671178E+002, 5.2044988E+002, 5.2167254E+002, 3.8180482E+002, 5.1455749E+002
 8.5001965E+002, 6.5055923E+002, 5.1691682E+002, 4.4333136E+002, 5.2687317E+002, 5.2805955E+002, 3.8783963E+002, 5.2045773E+002
 8.6002591E+002, 6.5167054E+002, 5.2328782E+002, 4.4970201E+002, 5.3301509E+002, 5.3416552E+002, 3.9364276E+002, 5.2603374E+002
 8.7001825E+002, 6.5278140E+002, 5.2931223E+002, 4.5579389E+002, 5.3879892E+002, 5.3991309E+002, 3.9919218E+002, 5.3119825E+002
 8.8001034E+002, 6.5389206E+002, 5.3498556E+002, 4.6160595E+002, 5.4422407E+002, 5.4530235E+002, 4.0448435E+002, 5.3604449E+002
 8.9000203E+002, 6.5500252E+002, 5.4039652E+002, 4.6720596E+002, 5.4939147E+002, 5.5043498E+002, 4.0958704E+002, 5.4084841E+002
 9.0000875E+002, 6.5611305E+002, 5.4556955E+002, 4.7262188E+002, 5.5432125E+002, 5.5533078E+002, 4.1451654E+002, 5.4538334E+002
 9.1000961E+002, 6.5722462E+002, 5.5049868E+002, 4.7785523E+002, 5.5900699E+002, 5.5998322E+002, 4.1928137E+002, 5.4982516E+002
 9.2001163E+002, 6.5833597E+002, 5.5524403E+002, 4.8295036E+002, 5.6351450E+002, 5.6445844E+002, 4.2391677E+002, 5.5412442E+002
 9.3000565E+002, 6.5944672E+002, 5.5974712E+002, 4.8787016E+002, 5.6777546E+002, 5.6868780E+002, 4.2838297E+002, 5.5809444E+002
 9.4000870E+002, 6.5365825E+002, 5.6401047E+002, 4.9261485E+002, 5.7179545E+002, 5.7267693E+002, 4.3268290E+002, 5.6181778E+002
 9.5001951E+002, 6.4101546E+002, 5.6781423E+002, 4.9698494E+002, 5.7532274E+002, 5.7617134E+002, 4.3652444E+002, 5.6417768E+002
 9.6001163E+002, 6.2838302E+002, 5.7074428E+002, 5.0059153E+002, 5.7791343E+002, 5.7872413E+002, 4.3946474E+002, 5.6479430E+002
 9.7001230E+002, 6.1575723E+002, 5.7258888E+002, 5.0323778E+002, 5.7935663E+002, 5.8012459E+002, 4.4137161E+002, 5.6387044E+002
 9.8002488E+002, 6.0311564E+002, 5.7337215E+002, 5.0493694E+002, 5.7970019E+002, 5.8042222E+002, 4.4232612E+002, 5.6195721E+002
 9.9001677E+002, 5.9048182E+002, 5.7320718E+002, 5.0578592E+002, 5.7907594E+002, 5.7975018E+002, 4.4246011E+002, 5.5917112E+002
 1.0000097E+003, 5.7785763E+002, 5.7219282E+002, 5.0588006E+002, 5.7759338E+002, 5.7821881E+002, 4.4189269E+002, 5.5584457E+002
 1.0100105E+003, 5.6523444E+002, 5.7044053E+002, 5.0533056E+002, 5.7536913E+002, 5.7594544E+002, 4.4073791E+002, 5.5200562E+002
 1.0200003E+003, 5.5260824E+002, 5.6812385E+002, 5.0428346E+002, 5.7259189E+002, 5.7311960E+002, 4.3913614E+002, 5.4804509E+002
 1.0300191E+003, 5.3996759E+002, 5.6525396E+002, 5.0277525E+002, 5.6925911E+002, 5.6973827E+002, 4.3710401E+002, 5.4341971E+002
 1.0400255E+003, 5.2732386E+002, 5.6174867E+002, 5.0076855E+002, 5.6527877E+002, 5.6570902E+002, 4.3463542E+002, 5.3828339E+002
 1.0500031E+003, 5.1469709E+002, 5.5780919E+002, 4.9840905E+002, 5.6087891E+002, 5.6126123E+002, 4.3187919E+002, 5.3326617E+002
 1.0600156E+003, 5.0207112E+002, 5.5353714E+002, 4.9578462E+002, 5.5615930E+002, 5.5649436E+002, 4.2889221E+002, 5.2807985E+002
 1.0700076E+003, 4.8944223E+002, 5.4892083E+002, 4.9289768E+002, 5.5110008E+002, 5.5138831E+002, 4.2566996E+002, 5.2263684E+002
 1.0800023E+003, 4.7681519E+002, 5.4396567E+002, 4.8976126E+002, 5.4570585E+002, 5.4594806E+002, 4.2223526E+002, 5.1700733E+002
 1.0900113E+003, 4.6418361E+002, 5.3874876E+002, 4.8643276E+002, 5.4006125E+002, 5.4025826E+002, 4.1864315E+002, 5.1131603E+002
 1.1000152E+003, 4.5154153E+002, 5.3320520E+002, 4.8287394E+002, 5.3408693E+002, 5.3423895E+002, 4.1485608E+002, 5.0516964E+002
 1.1100323E+003, 4.3889645E+002, 5.2736605E+002, 4.7910396E+002, 5.2782293E+002, 5.2793062E+002, 4.1090717E+002, 4.9904016E+002
 1.1200341E+003, 4.2625093E+002, 5.2133438E+002, 4.7519537E+002, 5.2137962E+002, 5.2144379E+002, 4.0686172E+002, 4.9288292E+002
 1.1300145E+003, 4.1747815E+002, 5.1513988E+002, 4.7117161E+002, 5.1478495E+002, 5.1480642E+002, 4.0273952E+002, 4.8672393E+002
 1.1400196E+003, 4.1248311E+002, 5.0888261E+002, 4.6711364E+002, 5.0815005E+002, 5.0813045E+002, 3.9863511E+002, 4.8089005E+002
 1.1500188E+003, 4.0748209E+002, 5.0266023E+002, 4.6311511E+002, 5.0157755E+002, 5.0151969E+002, 3.9465198E+002, 4.7533898E+002
 1.1600009E+003, 4.0248716E+002, 4.9658467E+002, 4.5926458E+002, 4.9518545E+002, 4.9509278E+002, 3.9086632E+002, 4.7026294E+002
 1.1700170E+003, 3.9748839E+002, 4.9071562E+002, 4.5560537E+002, 4.8903133E+002, 4.8890718E+002, 3.8728984E+002, 4.6548167E+002
 1.1800041E+003, 3.9248625E+002, 4.8495816E+002, 4.5206775E+002, 4.8300306E+002, 4.8284970E+002, 3.8385327E+002, 4.6066801E+002
 1.1900110E+003, 3.8748675E+002, 4.7931893E+002, 4.4864431E+002, 4.7711115E+002, 4.7693061E+002, 3.8055195E+002, 4.5604290E+002
 1.2000223E+003, 3.8248209E+002, 4.7374635E+002, 4.4529155E+002, 4.7129688E+002, 4.7109093E+002, 3.7734179E+002, 4.5137794E+002
 1.2100112E+003, 3.7748346E+002, 4.6827208E+002, 4.4201933E+002, 4.6559756E+002, 4.6536808E+002, 3.7423871E+002, 4.4694314E+002
 1.2200073E+003, 3.7248683E+002, 4.6291885E+002, 4.3883599E+002, 4.6003529E+002, 4.5978381E+002, 3.7124014E+002, 4.4257242E+002
 1.2300080E+003, 3.6748810E+002, 4.5763290E+002, 4.3569906E+002, 4.5455012E+002, 4.5427787E+002, 3.6830634E+002, 4.3821831E+002
 1.2400366E+003, 3.6248075E+002, 4.5243208E+002, 4.3261441E+002, 4.4916326E+002, 4.4887139E+002, 3.6544527E+002, 4.3398029E+002
 1.2500297E+003, 3.5747473E+002, 4.4727457E+002, 4.2954806E+002, 4.4382546E+002, 4.4351490E+002, 3.6262353E+002, 4.2961922E+002
 1.2600321E+003, 3.5247448E+002, 4.4218605E+002, 4.2651226E+002, 4.3856861E+002, 4.3824051E+002, 3.5985949E+002, 4.2543283E+002
 1.2700145E+003, 3.4747804E+002, 4.3717932E+002, 4.2351360E+002, 4.3340470E+002, 4.3305998E+002, 3.5715500E+002, 4.2130680E+002
 1.2800169E+003, 3.4248261E+002, 4.3222428E+002, 4.2052933E+002, 4.2829893E+002, 4.2793830E+002, 3.5448753E+002, 4.1711864E+002
