s,C,C,C,C
 2.4003366E+002, 1.8954619E+002, 4.2335402E+001, 4.3032474E+001, 4.3143733E+001
 2.5001631E+002, 1.9954506E+002, 4.4106028E+001, 4.4887824E+001, 4.5012258E+001
 2.6005071E+002, 2.0855356E+002, 4.6066549E+001, 4.6938681E+001, 4.7077028E+001
 2.7001313E+002, 2.1755213E+002, 4.8210293E+001, 4.9177126E+001, 4.9329963E+001
 2.8002295E+002, 2.2653546E+002, 5.0527365E+001, 5.1590627E+001, 5.1758035E+001
 2.9001373E+002, 2.3553619E+002, 5.3024433E+001, 5.4187292E+001, 5.4369665E+001
 3.0000044E+002, 2.4251475E+002, 5.5703646E+001, 5.6970941E+001, 5.7169007E+001
 3.1000175E+002, 2.4751142E+002, 5.8560016E+001, 5.9933663E+001, 6.0147555E+001
 3.2002961E+002, 2.5251648E+002, 6.1556026E+001, 6.3030460E+001, 6.3258956E+001
 3.3001069E+002, 2.5752047E+002, 6.4656671E+001, 6.6227858E+001, 6.6470228E+001
 3.4000232E+002, 2.6251276E+002, 6.7855070E+001, 6.9522551E+001, 6.9778756E+001
 3.5004315E+002, 2.6752257E+002, 7.1152570E+001, 7.2914246E+001, 7.3183830E+001
 3.6001275E+002, 2.7252139E+002, 7.4525730E+001, 7.6379486E+001, 7.6662056E+001
 3.7002012E+002, 2.7751983E+002, 7.7982340E+001, 7.9930268E+001, 8.0226230E+001
 3.8003258E+002, 2.8252415E+002, 8.1537111E+001, 8.3580357E+001, 8.3889829E+001
 3.9003452E+002, 2.8752809E+002, 8.5179521E+001, 8.7318731E+001, 8.7641762E+001
 4.0002227E+002, 2.9252653E+002, 8.8908632E+001, 9.1145184E+001, 9.1481984E+001
 4.1003670E+002, 2.9616200E+002, 9.2726535E+001, 9.5060382E+001, 9.5410869E+001
 4.2002420E+002, 2.9846179E+002, 9.6616617E+001, 9.9045410E+001, 9.9409122E+001
 4.3002137E+002, 3.0076017E+002, 1.0055335E+002, 1.0307260E+002, 1.0344871E+002
 4.4003449E+002, 3.0306060E+002, 1.0451448E+002, 1.0711771E+002, 1.0750511E+002
 4.5001888E+002, 3.0535962E+002, 1.0847162E+002, 1.1115232E+002, 1.1154994E+002
 4.6001640E+002, 3.0765960E+002, 1.1241509E+002, 1.1516767E+002, 1.1557456E+002
 4.7002513E+002, 3.0996039E+002, 1.1636003E+002, 1.1918268E+002, 1.1959865E+002
 4.8002651E+002, 3.1226007E+002, 1.2029322E+002, 1.2318262E+002, 1.2360716E+002
 4.9002484E+002, 3.1456016E+002, 1.2421906E+002, 1.2717518E+002, 1.2760848E+002
 5.0003982E+002, 3.1686168E+002, 1.2815039E+002, 1.3117311E+002, 1.3161516E+002
 5.1000155E+002, 3.1916038E+002, 1.3206850E+002, 1.3515487E+002, 1.3560517E+002
 5.2003225E+002, 3.2145814E+002, 1.3599591E+002, 1.3914657E+002, 1.3960527E+002
 5.3002730E+002, 3.2376183E+002, 1.3992585E+002, 1.4313684E+002, 1.4360318E+002
 5.4003373E+002, 3.2606283E+002, 1.4383608E+002, 1.4710337E+002, 1.4757672E+002
 5.5002341E+002, 3.2836116E+002, 1.4772757E+002, 1.5104743E+002, 1.5152722E+002
 5.6003109E+002, 3.3066086E+002, 1.5161875E+002, 1.5499277E+002, 1.5547944E+002
 5.7002275E+002, 3.3296052E+002, 1.5551139E+002, 1.5893793E+002, 1.5943121E+002
 5.8000950E+002, 3.3525803E+002, 1.5938163E+002, 1.6285488E+002, 1.6335375E+002
 5.9003384E+002, 3.3755937E+002, 1.6324299E+002, 1.6675985E+002, 1.6726382E+002
 6.0001099E+002, 3.3985957E+002, 1.6707522E+002, 1.7063038E+002, 1.7113859E+002
 6.1003150E+002, 3.4210943E+002, 1.7089574E+002, 1.7448889E+002, 1.7500148E+002
 6.2004002E+002, 3.4431333E+002, 1.7471259E+002, 1.7834285E+002, 1.7885977E+002
 6.3002637E+002, 3.4651080E+002, 1.7852804E+002, 1.8219698E+002, 1.8271861E+002
 6.4004422E+002, 3.4871145E+002, 1.8234908E+002, 1.8605604E+002, 1.8658227E+002
 6.5001584E+002, 3.5091036E+002, 1.8614646E+002, 1.8988511E+002, 1.9041480E+002
 6.6002714E+002, 3.5310960E+002, 1.8991692E+002, 1.9368199E+002, 1.9421426E+002
 6.7001629E+002, 3.5530939E+002, 1.9365321E+002, 1.9743876E+002, 1.9797268E+002
 6.8000367E+002, 3.5750610E+002, 1.9735487E+002, 2.0115749E+002, 2.0169259E+002
 6.9003157E+002, 3.5970737E+002, 2.0104887E+002, 2.0486977E+002, 2.0540645E+002
 7.0000628E+002, 3.6190805E+002, 2.0473075E+002, 2.0856894E+002, 2.0910701E+002
 7.1001499E+002, 3.6410636E+002, 2.0837696E+002, 2.1222717E+002, 2.1276575E+002
 7.2001918E+002, 3.6630817E+002, 2.1203284E+002, 2.1589989E+002, 2.1644000E+002
 7.3001396E+002, 3.6850716E+002, 2.1570030E+002, 2.1958754E+002, 2.2012987E+002
 7.4001410E+002, 3.7070733E+002, 2.1937215E+002, 2.2327842E+002, 2.2382275E+002
 7.5000198E+002, 3.7290514E+002, 2.2302247E+002, 2.2694088E+002, 2.2748594E+002
 7.6002598E+002, 3.7510736E+002, 2.2660975E+002, 2.3052521E+002, 2.3106826E+002
 7.7001457E+002, 3.7730725E+002, 2.3016127E+002, 2.3407524E+002, 2.3461693E+002
 7.8001087E+002, 3.7950734E+002, 2.3371911E+002, 2.3763890E+002, 2.3818070E+002
 7.9002702E+002, 3.8170764E+002, 2.3727184E+002, 2.4119510E+002, 2.4173659E+002
 8.0000492E+002, 3.8390694E+002, 2.4082004E+002, 2.4474926E+002, 2.4529096E+002
 8.1001273E+002, 3.8610599E+002, 2.4434271E+002, 2.4827046E+002, 2.4881090E+002
 8.2003734E+002, 3.8830912E+002, 2.4785910E+002, 2.5178702E+002, 2.5232674E+002
 8.3002445E+002, 3.9051029E+002, 2.5134038E+002, 2.5525968E+002, 2.5579697E+002
 8.4000453E+002, 3.9270745E+002, 2.5475500E+002, 2.5865778E+002, 2.5919145E+002
 8.5001509E+002, 3.9490697E+002, 2.5815439E+002, 2.6204393E+002, 2.6257474E+002
 8.6002258E+002, 3.9675580E+002, 2.6154361E+002, 2.6542080E+002, 2.6594899E+002
 8.7002158E+002, 3.9825581E+002, 2.6491794E+002, 2.6878232E+002, 2.6930781E+002
 8.8003284E+002, 3.9975670E+002, 2.6824890E+002, 2.7209239E+002, 2.7261367E+002
 8.9000698E+002, 4.0125552E+002, 2.7149616E+002, 2.7530804E+002, 2.7582328E+002
 9.0000434E+002, 4.0275373E+002, 2.7468974E+002, 2.7847095E+002, 2.7898057E+002
 9.1000107E+002, 4.0425308E+002, 2.7786828E+002, 2.8162574E+002, 2.8213121E+002
 9.2000300E+002, 4.0575304E+002, 2.8101117E+002, 2.8474103E+002, 2.8524157E+002
 9.3001641E+002, 4.0725437E+002, 2.8407351E+002, 2.8776327E+002, 2.8825658E+002
 9.4002367E+002, 4.0875614E+002, 2.8710936E+002, 2.9076797E+002, 2.9125608E+002
 9.5000964E+002, 4.1025527E+002, 2.9011957E+002, 2.9374746E+002, 2.9423033E+002
 9.6001852E+002, 4.1175487E+002, 2.9307766E+002, 2.9666886E+002, 2.9714538E+002
 9.7001873E+002, 4.1325515E+002, 2.9598092E+002, 2.9952932E+002, 2.9999836E+002
 9.8003351E+002, 4.1475629E+002, 2.9881084E+002, 3.0230916E+002, 3.0276950E+002
 9.9001961E+002, 4.1625672E+002, 3.0161461E+002, 3.0507154E+002, 3.0552506E+002
 1.0000062E+003, 4.1461133E+002, 3.0440150E+002, 3.0782239E+002, 3.0827012E+002
 1.0100245E+003, 4.0986167E+002, 3.0711705E+002, 3.1048951E+002, 3.1092902E+002
 1.0200004E+003, 4.0511080E+002, 3.0961452E+002, 3.1290694E+002, 3.1333256E+002
 1.0300070E+003, 4.0036527E+002, 3.1178682E+002, 3.1496288E+002, 3.1536840E+002
 1.0400176E+003, 3.9561125E+002, 3.1364242E+002, 3.1668877E+002, 3.1707273E+002
 1.0500334E+003, 3.9085451E+002, 3.1527282E+002, 3.1819890E+002, 3.1856354E+002
 1.0600023E+003, 3.8610817E+002, 3.1660981E+002, 3.1939706E+002, 3.1973881E+002
 1.0700180E+003, 3.8136101E+002, 3.1767323E+002, 3.2031516E+002, 3.2063326E+002
 1.0800101E+003, 3.7660979E+002, 3.1849002E+002, 3.2098143E+002, 3.2127509E+002
 1.0900352E+003, 3.7185578E+002, 3.1909814E+002, 3.2144378E+002, 3.2171410E+002
 1.1000068E+003, 3.6710571E+002, 3.1952125E+002, 3.2172316E+002, 3.2197043E+002
 1.1100196E+003, 3.6236039E+002, 3.1974878E+002, 3.2180138E+002, 3.2202465E+002
 1.1200072E+003, 3.5580681E+002, 3.1978625E+002, 3.2168338E+002, 3.2188149E+002
 1.1300184E+003, 3.4747420E+002, 3.1959483E+002, 3.2132199E+002, 3.2149235E+002
 1.1400205E+003, 3.3913746E+002, 3.1918004E+002, 3.2073511E+002, 3.2087770E+002
 1.1500169E+003, 3.3080101E+002, 3.1854796E+002, 3.1992968E+002, 3.2004452E+002
 1.1600059E+003, 3.2247493E+002, 3.1764644E+002, 3.1883927E+002, 3.1892361E+002
 1.1700254E+003, 3.1413540E+002, 3.1648201E+002, 3.1747783E+002, 3.1753049E+002
 1.1800048E+003, 3.0580575E+002, 3.1510133E+002, 3.1590416E+002, 3.1592620E+002
 1.1900389E+003, 2.9746576E+002, 3.1350951E+002, 3.1411524E+002, 3.1410585E+002
 1.2000293E+003, 2.8912462E+002, 3.1169611E+002, 3.1209604E+002, 3.1205361E+002
 1.2100085E+003, 2.8079941E+002, 3.0970516E+002, 3.0990493E+002, 3.0983079E+002
 1.2200221E+003, 2.7246937E+002, 3.0755534E+002, 3.0755751E+002, 3.0745204E+002
 1.2300026E+003, 2.6413703E+002, 3.0526621E+002, 3.0507565E+002, 3.0493986E+002
 1.2400227E+003, 2.5838137E+002, 3.0287326E+002, 3.0249968E+002, 3.0233540E+002
 1.2500387E+003, 2.5515474E+002, 3.0036526E+002, 2.9980986E+002, 2.9961721E+002
 1.2600110E+003, 2.5193762E+002, 2.9782003E+002, 2.9709591E+002, 2.9687715E+002
 1.2700269E+003, 2.4872097E+002, 2.9524481E+002, 2.9435537E+002, 2.9411079E+002
 1.2800300E+003, 2.4549830E+002, 2.9268562E+002, 2.9164476E+002, 2.9137683E+002
 1.2900354E+003, 2.4227786E+002, 2.9013472E+002, 2.8894364E+002, 2.8865225E+002
 1.3000235E+003, 2.3906084E+002, 2.8758422E+002, 2.8624500E+002, 2.8593040E+002
 1.3100250E+003, 2.3584532E+002, 2.8505335E+002, 2.8357402E+002, 2.8323769E+002
 1.3200155E+003, 2.3262810E+002, 2.8255192E+002, 2.8093974E+002, 2.8058294E+002
 1.3300136E+003, 2.2940794E+002, 2.8008748E+002, 2.7835271E+002, 2.7797733E+002
 1.3400062E+003, 2.2619198E+002, 2.7763346E+002, 2.7577502E+002, 2.7538059E+002
 1.3500486E+003, 2.2296823E+002, 2.7516055E+002, 2.7317317E+002, 2.7275857E+002
 1.3600150E+003, 2.1974943E+002, 2.7270602E+002, 2.7060092E+002, 2.7016849E+002
 1.3700060E+003, 2.1653479E+002, 2.7029000E+002, 2.6807698E+002, 2.6762843E+002
 1.3800173E+003, 2.1331692E+002, 2.6790050E+002, 2.6558804E+002, 2.6512495E+002
 1.3900248E+003, 2.1009549E+002, 2.6552841E+002, 2.6311994E+002, 2.6264276E+002
 1.4000346E+003, 2.0687351E+002, 2.6314443E+002, 2.6063646E+002, 2.6014437E+002
 1.4100230E+003, 2.0365282E+002, 2.6077013E+002, 2.5816682E+002, 2.5766052E+002
 1.4200460E+003, 2.0043502E+002, 2.5837778E+002, 2.5567424E+002, 2.5515265E+002
 1.4300430E+003, 1.9721056E+002, 2.5597162E+002, 2.5316882E+002, 2.5263211E+002
 1.4400284E+003, 1.9399642E+002, 2.5358996E+002, 2.5069929E+002, 2.5014970E+002
 1.4500258E+003, 1.9077953E+002, 2.5124318E+002, 2.4827493E+002, 2.4771434E+002
 1.4600129E+003, 1.8756346E+002, 2.4889757E+002, 2.4584994E+002, 2.4527771E+002
 1.4700414E+003, 1.8434122E+002, 2.4656831E+002, 2.4344967E+002, 2.4286736E+002
 1.4800004E+003, 1.8112597E+002, 2.4425266E+002, 2.4106250E+002, 2.4046977E+002
 1.4900005E+003, 1.7791208E+002, 2.4193212E+002, 2.3866896E+002, 2.3806552E+002
 1.5000196E+003, 1.7469129E+002, 2.3961855E+002, 2.3629012E+002, 2.3567754E+002
 1.5100277E+003, 1.7146879E+002, 2.3732830E+002, 2.3393907E+002, 2.3331805E+002
 1.5200151E+003, 1.6825247E+002, 2.3502467E+002, 2.3156635E+002, 2.3093512E+002
 1.5300124E+003, 1.6503421E+002, 2.3271458E+002, 2.2919045E+002, 2.2854967E+002
 1.5400069E+003, 1.6181416E+002, 2.3039488E+002, 2.2680491E+002, 2.2615443E+002
 1.5500184E+003, 1.5859628E+002, 2.2809797E+002, 2.2445038E+002, 2.2379174E+002
 1.5600414E+003, 1.5644796E+002, 2.2582574E+002, 2.2212759E+002, 2.2146209E+002
 1.5700331E+003, 1.5535298E+002, 2.2360228E+002, 2.1986399E+002, 2.1919354E+002
 1.5800452E+003, 1.5425948E+002, 2.2140047E+002, 2.1761893E+002, 2.1694263E+002
 1.5900466E+003, 1.5316640E+002, 2.1920491E+002, 2.1537869E+002, 2.1469628E+002
 1.6000205E+003, 1.5207478E+002, 2.1706760E+002, 2.1320914E+002, 2.1252300E+002
 1.6100287E+003, 1.5098310E+002, 2.1497779E+002, 2.1109022E+002, 2.1040067E+002
 1.6200556E+003, 1.4988769E+002, 2.1290884E+002, 2.0899055E+002, 2.0829721E+002
 1.6300235E+003, 1.4879495E+002, 2.1088557E+002, 2.0694213E+002, 2.0624603E+002
 1.6400446E+003, 1.4770232E+002, 2.0889543E+002, 2.0492640E+002, 2.0422727E+002
 1.6500033E+003, 1.4661025E+002, 2.0692417E+002, 2.0292581E+002, 2.0222282E+002
 1.6600041E+003, 1.4551977E+002, 2.0498671E+002, 2.0096160E+002, 2.0025518E+002
 1.6700071E+003, 1.4442670E+002, 2.0309293E+002, 1.9904859E+002, 1.9834019E+002
 1.6800330E+003, 1.4333097E+002, 2.0124632E+002, 1.9718896E+002, 1.9647973E+002
 1.6900187E+003, 1.4223885E+002, 1.9943537E+002, 1.9536682E+002, 1.9465700E+002
 1.7000329E+003, 1.4114487E+002, 1.9765162E+002, 1.9357171E+002, 1.9286107E+002
 1.7100509E+003, 1.4005056E+002, 1.9587735E+002, 1.9178309E+002, 1.9107095E+002
 1.7200201E+003, 1.3895825E+002, 1.9412411E+002, 1.9001533E+002, 1.8930157E+002
 1.7300447E+003, 1.3786487E+002, 1.9239660E+002, 1.8827608E+002, 1.8756128E+002
 1.7400100E+003, 1.3677253E+002, 1.9069702E+002, 1.8656789E+002, 1.8585268E+002
 1.7500401E+003, 1.3568009E+002, 1.8901974E+002, 1.8488247E+002, 1.8416685E+002
 1.7600390E+003, 1.3458568E+002, 1.8736049E+002, 1.8321575E+002, 1.8249984E+002
 1.7700064E+003, 1.3349394E+002, 1.8574822E+002, 1.8160231E+002, 1.8088724E+002
 1.7800003E+003, 1.3240358E+002, 1.8416383E+002, 1.8001657E+002, 1.7930221E+002
 1.7900292E+003, 1.3130933E+002, 1.8259466E+002, 1.7844594E+002, 1.7773227E+002
 1.8000520E+003, 1.3021285E+002, 1.8104268E+002, 1.7689409E+002, 1.7618139E+002
 1.8100285E+003, 1.2912003E+002, 1.7951993E+002, 1.7537283E+002, 1.7466115E+002
 1.8200335E+003, 1.2802843E+002, 1.7801152E+002, 1.7386362E+002, 1.7315249E+002
 1.8300128E+003, 1.2693578E+002, 1.7651676E+002, 1.7236859E+002, 1.7165819E+002
 1.8400124E+003, 1.2584407E+002, 1.7504987E+002, 1.7090748E+002, 1.7019897E+002
 1.8500142E+003, 1.2475144E+002, 1.7362105E+002, 1.6949145E+002, 1.6878606E+002
 1.8600045E+003, 1.2365803E+002, 1.7220022E+002, 1.6807654E+002, 1.6737278E+002
 1.8700228E+003, 1.2256486E+002, 1.7076912E+002, 1.6664519E+002, 1.6594198E+002
 1.8800571E+003, 1.2146861E+002, 1.6934817E+002, 1.6522641E+002, 1.6452427E+002
 1.8900249E+003, 1.2037626E+002, 1.6795117E+002, 1.6383533E+002, 1.6313492E+002
 1.9000427E+003, 1.1928351E+002, 1.6657974E+002, 1.6247252E+002, 1.6177424E+002
 1.9100219E+003, 1.1819106E+002, 1.6522519E+002, 1.6112712E+002, 1.6043099E+002
 1.9200431E+003, 1.1709799E+002, 1.6389127E+002, 1.5980473E+002, 1.5911125E+002
 1.9300397E+003, 1.1600336E+002, 1.6257841E+002, 1.5850467E+002, 1.5781401E+002
 1.9400496E+003, 1.1491056E+002, 1.6127389E+002, 1.5720984E+002, 1.5652134E+002
 1.9500524E+003, 1.1381661E+002, 1.5996865E+002, 1.5591058E+002, 1.5522356E+002
 1.9600165E+003, 1.1272509E+002, 1.5868471E+002, 1.5463610E+002, 1.5395121E+002
 1.9700689E+003, 1.1163094E+002, 1.5741982E+002, 1.5338299E+002, 1.5270060E+002
 1.9800275E+003, 1.1053772E+002, 1.5617125E+002, 1.5214720E+002, 1.5146752E+002
 1.9900448E+003, 1.1000000E+002, 1.5494128E+002, 1.5092999E+002, 1.5025300E+002
 2.0000000E+003, 1.1000000E+002, 1.5371947E+002, 1.4971840E+002, 1.4904355E+002
