m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 6.1000000E-001, 2.2405759E+000, 7.6397026E+000, 3.3979615E+001, 3.4283713E+001, 8.1159921E+000, 2.4127437E+000
 6.3000000E-001, 2.2545120E+000, 7.7291220E+000, 3.3699921E+001, 3.3990719E+001, 8.1337103E+000, 2.4263454E+000
 6.5000000E-001, 2.2740286E+000, 7.8053785E+000, 3.3361875E+001, 3.3635351E+001, 8.1395904E+000, 2.4372706E+000
 6.7000000E-001, 2.2988257E+000, 7.8800691E+000, 3.3021683E+001, 3.3236253E+001, 8.1471619E+000, 2.4519240E+000
 6.9000000E-001, 2.3227095E+000, 7.9423714E+000, 3.2646382E+001, 3.2809084E+001, 8.1555313E+000, 2.4674420E+000
 7.1000000E-001, 2.3467652E+000, 7.9892989E+000, 3.2233955E+001, 3.2317632E+001, 8.1780496E+000, 2.4844212E+000
 7.3000000E-001, 2.3703833E+000, 8.0335806E+000, 3.1777589E+001, 3.1813182E+001, 8.1807849E+000, 2.4997889E+000
 7.5000000E-001, 2.3860509E+000, 8.0681905E+000, 3.1294201E+001, 3.1284897E+001, 8.1779294E+000, 2.5102258E+000
 7.7000000E-001, 2.3994706E+000, 8.0965799E+000, 3.0743207E+001, 3.0735807E+001, 8.1746295E+000, 2.5253062E+000
 7.9000000E-001, 2.4169941E+000, 8.0950599E+000, 3.0188209E+001, 3.0175239E+001, 8.1614948E+000, 2.5416971E+000
 8.1000000E-001, 2.4326757E+000, 8.0894096E+000, 2.9616674E+001, 2.9598205E+001, 8.1141193E+000, 2.5589558E+000
 8.3000000E-001, 2.4499358E+000, 8.0677145E+000, 2.9000455E+001, 2.9000483E+001, 8.0502661E+000, 2.5740789E+000
 8.5000000E-001, 2.4708397E+000, 8.0632586E+000, 2.8360379E+001, 2.8407974E+001, 7.9926925E+000, 2.5893471E+000
 8.7000000E-001, 2.4963382E+000, 8.0419000E+000, 2.7709604E+001, 2.7801141E+001, 7.9367313E+000, 2.6077732E+000
 8.9000000E-001, 2.5204693E+000, 7.9865414E+000, 2.7028003E+001, 2.7209132E+001, 7.8877182E+000, 2.6222692E+000
 9.1000000E-001, 2.5398118E+000, 7.8938290E+000, 2.6360985E+001, 2.6579370E+001, 7.8299340E+000, 2.6287138E+000
 9.3000000E-001, 2.5547964E+000, 7.7994380E+000, 2.5684484E+001, 2.5939274E+001, 7.7628828E+000, 2.6284115E+000
 9.5000000E-001, 2.5657050E+000, 7.6844729E+000, 2.4999906E+001, 2.5280324E+001, 7.6783687E+000, 2.6225441E+000
 9.7000000E-001, 2.5758322E+000, 7.5737696E+000, 2.4333207E+001, 2.4631012E+001, 7.5690440E+000, 2.6146080E+000
 9.9000000E-001, 2.5772268E+000, 7.4528363E+000, 2.3652006E+001, 2.3969414E+001, 7.4499472E+000, 2.5993723E+000
 1.0100000E+000, 2.5751343E+000, 7.3380271E+000, 2.2989011E+001, 2.3276062E+001, 7.3420879E+000, 2.5750666E+000
 1.0300000E+000, 2.5718213E+000, 7.2032505E+000, 2.2360323E+001, 2.2594886E+001, 7.2388206E+000, 2.5492922E+000
 1.0500000E+000, 2.5717264E+000, 7.0478012E+000, 2.1725442E+001, 2.1907519E+001, 7.1137804E+000, 2.5157870E+000
 1.0700000E+000, 2.5666704E+000, 6.8846351E+000, 2.1100942E+001, 2.1214297E+001, 6.9741708E+000, 2.4824538E+000
 1.0900000E+000, 2.5482516E+000, 6.7152935E+000, 2.0447813E+001, 2.0536300E+001, 6.8034373E+000, 2.4476007E+000
 1.1100000E+000, 2.5162854E+000, 6.5416478E+000, 1.9795453E+001, 1.9840802E+001, 6.6351495E+000, 2.4075523E+000
 1.1300000E+000, 2.4706161E+000, 6.3606857E+000, 1.9157814E+001, 1.9149709E+001, 6.4704435E+000, 2.3647350E+000
 1.1500000E+000, 2.4247515E+000, 6.1782649E+000, 1.8525009E+001, 1.8483218E+001, 6.3133615E+000, 2.3262645E+000
 1.1700000E+000, 2.3775582E+000, 6.0038923E+000, 1.7899708E+001, 1.7816996E+001, 6.1495692E+000, 2.2963065E+000
 1.1900000E+000, 2.3337001E+000, 5.8394723E+000, 1.7316331E+001, 1.7181036E+001, 5.9873057E+000, 2.2699332E+000
 1.2100000E+000, 2.2875581E+000, 5.6734513E+000, 1.6727022E+001, 1.6570093E+001, 5.8261591E+000, 2.2424511E+000
 1.2300000E+000, 2.2440820E+000, 5.4975153E+000, 1.6155408E+001, 1.5984804E+001, 5.6664771E+000, 2.2083480E+000
 1.2500000E+000, 2.1983270E+000, 5.3274898E+000, 1.5610940E+001, 1.5414464E+001, 5.5159630E+000, 2.1687854E+000
 1.2700000E+000, 2.1491105E+000, 5.1783245E+000, 1.5073126E+001, 1.4868128E+001, 5.3676291E+000, 2.1297278E+000
 1.2900000E+000, 2.1037797E+000, 5.0320787E+000, 1.4546725E+001, 1.4350737E+001, 5.2247816E+000, 2.0941463E+000
 1.3100000E+000, 2.0532118E+000, 4.8995079E+000, 1.4027653E+001, 1.3850085E+001, 5.0813136E+000, 2.0644920E+000
 1.3300000E+000, 2.0003679E+000, 4.7711467E+000, 1.3529317E+001, 1.3371470E+001, 4.9439678E+000, 2.0345762E+000
 1.3500000E+000, 1.9527741E+000, 4.6408558E+000, 1.3058781E+001, 1.2917773E+001, 4.8084134E+000, 2.0050596E+000
 1.3700000E+000, 1.9024873E+000, 4.5185834E+000, 1.2594346E+001, 1.2469139E+001, 4.6785466E+000, 1.9788258E+000
 1.3900000E+000, 1.8520256E+000, 4.3970701E+000, 1.2143900E+001, 1.2054558E+001, 4.5576515E+000, 1.9542857E+000
 1.4100000E+000, 1.8035426E+000, 4.2918218E+000, 1.1696361E+001, 1.1634198E+001, 4.4539556E+000, 1.9224201E+000
 1.4300000E+000, 1.7565572E+000, 4.1882574E+000, 1.1260007E+001, 1.1202349E+001, 4.3519069E+000, 1.8850733E+000
 1.4500000E+000, 1.7134254E+000, 4.0872151E+000, 1.0854929E+001, 1.0781151E+001, 4.2519614E+000, 1.8474284E+000
 1.4700000E+000, 1.6703476E+000, 3.9763604E+000, 1.0452313E+001, 1.0376005E+001, 4.1451295E+000, 1.8071852E+000
 1.4900000E+000, 1.6268365E+000, 3.8744860E+000, 1.0074703E+001, 9.9869008E+000, 4.0392314E+000, 1.7668524E+000
 1.5100000E+000, 1.5818526E+000, 3.7685158E+000, 9.7055534E+000, 9.6239172E+000, 3.9223218E+000, 1.7245177E+000
 1.5300000E+000, 1.5341924E+000, 3.6689030E+000, 9.3529372E+000, 9.2816340E+000, 3.8073743E+000, 1.6811394E+000
 1.5500000E+000, 1.4902453E+000, 3.5636644E+000, 9.0031485E+000, 8.9492251E+000, 3.6876422E+000, 1.6407273E+000
 1.5700000E+000, 1.4499377E+000, 3.4626736E+000, 8.6736963E+000, 8.6368853E+000, 3.5718313E+000, 1.6040533E+000
 1.5900000E+000, 1.4153744E+000, 3.3649865E+000, 8.3591500E+000, 8.3224192E+000, 3.4540350E+000, 1.5688134E+000
 1.6100000E+000, 1.3885112E+000, 3.2696093E+000, 8.0597158E+000, 8.0275373E+000, 3.3376041E+000, 1.5347944E+000
 1.6300000E+000, 1.3658106E+000, 3.1767651E+000, 7.7790706E+000, 7.7366244E+000, 3.2278956E+000, 1.4966064E+000
 1.6500000E+000, 1.3457030E+000, 3.0877003E+000, 7.5167882E+000, 7.4759587E+000, 3.1250156E+000, 1.4570602E+000
 1.6700000E+000, 1.3221826E+000, 3.0029526E+000, 7.2628080E+000, 7.2190942E+000, 3.0389921E+000, 1.4164915E+000
 1.6900000E+000, 1.2997896E+000, 2.9181582E+000, 7.0215613E+000, 6.9827228E+000, 2.9665388E+000, 1.3759288E+000
 1.7100000E+000, 1.2739879E+000, 2.8364911E+000, 6.8025154E+000, 6.7609994E+000, 2.8991098E+000, 1.3337131E+000
 1.7300000E+000, 1.2458896E+000, 2.7532689E+000, 6.5920813E+000, 6.5441837E+000, 2.8335339E+000, 1.2932807E+000
 1.7500000E+000, 1.2156619E+000, 2.6746992E+000, 6.3877874E+000, 6.3380946E+000, 2.7692504E+000, 1.2565918E+000
 1.7700000E+000, 1.1841015E+000, 2.5961474E+000, 6.1859001E+000, 6.1345764E+000, 2.7011412E+000, 1.2229080E+000
 1.7900000E+000, 1.1536581E+000, 2.5202645E+000, 5.9876702E+000, 5.9411574E+000, 2.6391000E+000, 1.1921835E+000
 1.8100000E+000, 1.1250973E+000, 2.4506987E+000, 5.8015449E+000, 5.7668738E+000, 2.5737230E+000, 1.1654066E+000
 1.8300000E+000, 1.0977523E+000, 2.3855345E+000, 5.6184560E+000, 5.5944417E+000, 2.5117561E+000, 1.1389523E+000
 1.8500000E+000, 1.0737570E+000, 2.3264131E+000, 5.4415369E+000, 5.4339636E+000, 2.4513348E+000, 1.1149406E+000
 1.8700000E+000, 1.0497556E+000, 2.2675324E+000, 5.2728780E+000, 5.2710751E+000, 2.3882942E+000, 1.0912536E+000
 1.8900000E+000, 1.0296095E+000, 2.2117363E+000, 5.0985689E+000, 5.1084498E+000, 2.3278450E+000, 1.0681895E+000
 1.9100000E+000, 1.0064213E+000, 2.1540296E+000, 4.9345181E+000, 4.9454740E+000, 2.2668270E+000, 1.0454537E+000
 1.9300000E+000, 9.8493477E-001, 2.0991735E+000, 4.7653574E+000, 4.7763686E+000, 2.2105516E+000, 1.0270332E+000
 1.9500000E+000, 9.6147888E-001, 2.0407140E+000, 4.5862982E+000, 4.6020894E+000, 2.1537989E+000, 1.0056995E+000
 1.9700000E+000, 9.4292384E-001, 1.9823173E+000, 4.3865877E+000, 4.4037665E+000, 2.0946210E+000, 9.9102393E-001
 1.9900000E+000, 9.2835756E-001, 1.9154508E+000, 4.1129993E+000, 4.1312515E+000, 2.0287473E+000, 9.7594901E-001
