s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 4.600E+01, 1.825E+01, 5.975E+01, 7.429E+01, 1.025E+02, 1.690E+02, 1.852E+02, 5.672E+01, 1.652E+02, 1.009E+03, 6.419E+01, 3.585E+01, 3.681E+01
 4.701E+01, 1.825E+01, 5.957E+01, 7.706E+01, 1.007E+02, 1.450E+02, 1.860E+02, 5.544E+01, 1.216E+02, 1.023E+03, 7.368E+01, 3.903E+01, 3.932E+01
 4.801E+01, 1.825E+01, 5.968E+01, 7.928E+01, 1.019E+02, 1.404E+02, 1.885E+02, 5.440E+01, 1.081E+02, 1.062E+03, 7.995E+01, 4.414E+01, 4.086E+01
 4.901E+01, 1.825E+01, 5.925E+01, 8.154E+01, 1.002E+02, 1.410E+02, 1.936E+02, 5.306E+01, 8.534E+01, 1.042E+03, 8.253E+01, 4.722E+01, 4.088E+01
 5.001E+01, 1.825E+01, 5.898E+01, 8.330E+01, 1.009E+02, 1.495E+02, 2.016E+02, 5.171E+01, 7.973E+01, 9.746E+02, 1.055E+02, 4.686E+01, 4.249E+01
 5.101E+01, 1.916E+01, 5.925E+01, 8.526E+01, 1.003E+02, 1.512E+02, 2.064E+02, 5.045E+01, 7.678E+01, 9.546E+02, 1.130E+02, 4.869E+01, 4.303E+01
 5.201E+01, 1.925E+01, 5.925E+01, 8.616E+01, 1.018E+02, 1.465E+02, 2.127E+02, 4.931E+01, 7.352E+01, 9.999E+02, 1.054E+02, 4.958E+01, 4.242E+01
 5.301E+01, 1.925E+01, 5.925E+01, 8.846E+01, 1.055E+02, 1.414E+02, 2.174E+02, 4.831E+01, 6.940E+01, 9.973E+02, 1.028E+02, 5.108E+01, 4.236E+01
 5.401E+01, 1.925E+01, 5.925E+01, 9.146E+01, 1.069E+02, 1.488E+02, 2.179E+02, 4.740E+01, 6.763E+01, 1.040E+03, 1.230E+02, 5.022E+01, 4.149E+01
 5.500E+01, 1.925E+01, 5.925E+01, 9.060E+01, 1.011E+02, 1.595E+02, 2.187E+02, 4.659E+01, 6.515E+01, 8.113E+02, 2.447E+02, 5.068E+01, 4.076E+01
 5.601E+01, 8.401E+00, 5.925E+01, 9.447E+01, 1.034E+02, 1.456E+02, 2.160E+02, 4.597E+01, 6.253E+01, 9.465E+02, 1.827E+02, 5.073E+01, 3.966E+01
 5.700E+01, 1.250E+00, 5.925E+01, 9.403E+01, 1.020E+02, 1.424E+02, 1.966E+02, 4.587E+01, 6.100E+01, 8.025E+02, 1.995E+02, 5.125E+01, 4.093E+01
 5.801E+01, 1.250E+00, 5.925E+01, 9.768E+01, 1.002E+02, 1.427E+02, 1.849E+02, 4.582E+01, 5.840E+01, 9.534E+02, 5.625E+02, 5.408E+01, 4.738E+01
 5.901E+01, 1.250E+00, 5.925E+01, 9.937E+01, 1.009E+02, 1.415E+02, 1.904E+02, 4.577E+01, 5.554E+01, 9.978E+02, 9.460E+02, 5.766E+01, 5.096E+01
 6.000E+01, 1.250E+00, 5.925E+01, 9.907E+01, 1.017E+02, 1.427E+02, 1.936E+02, 4.571E+01, 5.400E+01, 8.095E+02, 1.030E+03, 6.097E+01, 5.186E+01
 6.102E+01, 1.250E+00, 5.925E+01, 9.937E+01, 1.054E+02, 1.452E+02, 1.978E+02, 4.566E+01, 5.244E+01, 7.395E+02, 1.003E+03, 5.815E+01, 5.147E+01
